Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,9,68,26,11,51,16,20,119,42
080018,Abrera,1129,4123,674,1039,3944,702,2168,8067,1376
250024,Àger,31,201,84,17,163,94,48,364,178
250030,Agramunt,470,2000,414,423,1754,592,893,3754,1006
080023,Aguilar de Segarra,18,80,33,15,74,25,33,154,58
170010,Agullana,52,295,83,66,245,98,118,540,181
080142,Aiguafreda,182,805,213,195,799,287,377,1604,500
430017,Aiguamúrcia,51,347,81,65,290,83,116,637,164
170025,Aiguaviva,80,247,53,81,241,52,161,488,105
250387,Aitona,163,846,250,150,680,316,313,1526,566
250045,"Alamús, els",41,284,78,42,215,88,83,499,166
250058,Alàs i Cerc,21,127,46,23,99,50,44,226,96
250061,"Albagés, l'",28,148,62,21,120,70,49,268,132
170031,Albanyà,15,60,9,12,44,10,27,104,19
250077,Albatàrrec,167,788,108,159,681,137,326,1469,245
250083,Albesa,136,600,156,96,491,177,232,1091,333
250096,"Albi, l'",67,277,110,54,247,105,121,524,215
430022,Albinyana,186,787,207,193,732,242,379,1519,449
430038,"Albiol, l'",44,154,27,52,148,26,96,302,53
170046,Albons,60,255,53,57,227,57,117,482,110
430043,Alcanar,778,3791,928,647,3406,1051,1425,7197,1979
250100,Alcanó,8,75,30,11,70,39,19,145,69
250117,Alcarràs,658,3168,481,642,2802,599,1300,5970,1080
250122,Alcoletge,231,1176,170,224,1025,189,455,2201,359
430056,Alcover,456,1785,361,432,1658,448,888,3443,809
439044,"Aldea, l'",339,1685,387,286,1350,466,625,3035,853
430069,Aldover,62,301,120,64,291,140,126,592,260
430075,"Aleixar, l'",87,306,65,81,281,94,168,587,159
080039,Alella,850,3219,636,724,3369,772,1574,6588,1408
430081,Alfara de Carles,16,143,53,25,105,58,41,248,111
250138,Alfarràs,240,1067,292,226,920,362,466,1987,654
250143,Alfés,14,121,41,16,95,44,30,216,85
430094,Alforja,149,653,158,107,616,183,256,1269,341
250156,Algerri,21,137,74,13,119,86,34,256,160
250169,Alguaire,231,1117,268,207,955,319,438,2072,587
250175,Alins,16,108,38,20,77,46,36,185,84
430108,Alió,14,130,44,31,124,37,45,254,81
250194,Almacelles,486,2447,552,460,2034,683,946,4481,1235
250208,Almatret,9,129,61,6,90,83,15,219,144
250215,Almenar,232,1311,344,231,1064,423,463,2375,767
430115,Almoster,126,483,72,127,478,76,253,961,148
250220,Alòs de Balaguer,6,47,28,4,28,25,10,75,53
170062,Alp,135,706,86,130,588,98,265,1294,184
080044,Alpens,28,111,26,17,90,30,45,201,56
250236,Alpicat,615,2149,328,601,2094,403,1216,4243,731
250241,Alt Àneu,23,187,46,19,138,37,42,325,83
430120,Altafulla,435,1648,281,419,1650,343,854,3298,624
170078,Amer,141,762,224,126,715,309,267,1477,533
430136,"Ametlla de Mar, l'",592,2551,745,543,2406,812,1135,4957,1557
080057,"Ametlla del Vallès, l'",891,2791,399,739,2793,498,1630,5584,897
439060,"Ampolla, l'",208,1224,369,200,1163,365,408,2387,734
430141,Amposta,1748,7597,1515,1674,7020,1891,3422,14617,3406
170084,Anglès,472,1899,457,496,1759,554,968,3658,1011
250273,Anglesola,93,450,156,103,411,176,196,861,332
250292,Arbeca,163,835,297,129,741,328,292,1576,625
430167,"Arboç, l'",536,1985,359,501,1721,446,1037,3706,805
430154,Arbolí,6,49,8,2,33,16,8,82,24
170097,Arbúcies,608,2467,466,565,2041,566,1173,4508,1032
080060,Arenys de Mar,1155,4997,1155,1005,4890,1661,2160,9887,2816
080076,Arenys de Munt,786,2925,549,728,2831,681,1514,5756,1230
170101,Argelaguer,36,154,36,23,131,44,59,285,80
080082,Argençola,13,108,17,14,61,25,27,169,42
430173,"Argentera, l'",4,65,22,4,45,19,8,110,41
080095,Argentona,1092,3965,764,1038,3923,994,2130,7888,1758
170118,"Armentera, l'",60,278,79,68,270,108,128,548,187
430189,Arnes,24,146,89,21,125,91,45,271,180
250313,Arres,6,31,5,0,18,4,6,49,9
250328,Arsèguel,6,39,9,9,29,8,15,68,17
080109,Artés,454,1963,392,433,1778,555,887,3741,947
250334,Artesa de Lleida,138,515,144,121,438,168,259,953,312
250349,Artesa de Segre,284,1344,334,288,1161,417,572,2505,751
430192,Ascó,83,606,177,80,525,194,163,1131,371
250365,Aspa,13,63,39,7,64,38,20,127,77
250371,"Avellanes i Santa Linya, les",20,158,86,25,114,67,45,272,153
080116,Avià,179,746,199,174,707,240,353,1453,439
080121,Avinyó,200,775,192,165,689,300,365,1464,492
170123,Avinyonet de Puigventós,166,536,66,157,510,74,323,1046,140
080137,Avinyonet del Penedès,154,620,138,129,505,164,283,1125,302
080155,Badalona,17911,77402,14412,16544,73555,19962,34455,150957,34374
089045,Badia del Vallès,1116,4660,914,1069,4522,1362,2185,9182,2276
080168,Bagà,143,827,230,117,746,309,260,1573,539
250390,Baix Pallars,30,124,47,22,113,46,52,237,93
250404,Balaguer,1462,5965,1200,1365,5275,1610,2827,11240,2810
080174,Balenyà,311,1309,226,322,1211,316,633,2520,542
080180,Balsareny,209,1266,281,223,1100,415,432,2366,696
430206,Banyeres del Penedès,291,1066,189,292,952,205,583,2018,394
170157,Banyoles,1844,6487,1287,1685,6056,1800,3529,12543,3087
250411,Barbens,66,304,114,46,236,130,112,540,244
430213,Barberà de la Conca,43,199,52,37,143,66,80,342,118
082520,Barberà del Vallès,2749,11484,1674,2688,11261,2177,5437,22745,3851
080193,Barcelona,101082,534510,132323,95929,547912,203692,197011,1082422,336015
250426,"Baronia de Rialb, la",15,87,34,15,68,38,30,155,72
170160,Bàscara,93,318,103,65,283,123,158,601,226
250447,Bassella,18,83,33,14,78,29,32,161,62
430228,Batea,129,715,260,131,622,293,260,1337,553
250450,Bausen,3,15,17,1,12,11,4,27,28
080207,Begues,691,2239,277,643,2242,334,1334,4481,611
170139,Begur,297,1490,356,278,1400,398,575,2890,754
250463,Belianes,35,185,75,36,145,102,71,330,177
251706,Bellaguarda,21,99,54,10,83,58,31,182,112
170182,Bellcaire d'Empordà,61,211,61,48,205,78,109,416,139
250479,Bellcaire d'Urgell,88,438,155,83,401,191,171,839,346
250485,Bell-lloc d'Urgell,179,823,212,196,766,270,375,1589,482
250498,Bellmunt d'Urgell,13,60,22,13,64,30,26,124,52
430234,Bellmunt del Priorat,20,117,32,20,97,51,40,214,83
080214,Bellprat,4,33,15,4,26,9,8,59,24
250501,Bellpuig,386,1874,355,404,1470,511,790,3344,866
430249,Bellvei,223,694,156,190,662,157,413,1356,313
250518,Bellver de Cerdanya,155,828,192,144,716,225,299,1544,417
250523,Bellvís,164,794,254,139,735,318,303,1529,572
250539,Benavent de Segrià,160,551,98,159,491,94,319,1042,192
430252,Benifallet,33,254,113,29,229,145,62,483,258
430265,Benissanet,74,465,133,78,343,156,152,808,289
080229,Berga,1250,5727,1441,1161,5394,2045,2411,11121,3486
170195,Besalú,158,753,219,184,763,295,342,1516,514
170209,Bescanó,452,1520,312,440,1499,378,892,3019,690
170216,Beuda,9,60,17,16,55,13,25,115,30
080235,Bigues i Riells del Fai,879,3137,469,842,2883,545,1721,6020,1014
250557,Biosca,11,85,27,7,57,35,18,142,62
170221,"Bisbal d'Empordà, la",950,3603,714,846,3360,962,1796,6963,1676
430271,"Bisbal de Falset, la",17,72,35,7,58,36,24,130,71
430287,"Bisbal del Penedès, la",254,1184,302,252,1073,308,506,2257,610
172348,Biure,13,89,25,15,78,28,28,167,53
430290,Blancafort,23,138,50,20,125,59,43,263,109
170237,Blanes,3248,14051,2765,3025,13317,3428,6273,27368,6193
170293,Boadella i les Escaules,13,87,21,17,89,26,30,176,47
170242,Bolvir,28,157,28,20,125,35,48,282,63
430304,Bonastre,53,232,51,49,207,50,102,439,101
250576,"Bòrdes, Es",16,92,21,10,83,20,26,175,41
170255,Bordils,156,606,107,156,562,149,312,1168,256
250582,"Borges Blanques, les",470,2092,516,399,1859,698,869,3951,1214
430311,"Borges del Camp, les",196,710,166,206,668,200,402,1378,366
170268,Borrassà,61,248,56,55,219,70,116,467,126
080240,Borredà,48,205,62,28,168,84,76,373,146
250595,Bossòst,78,445,78,76,399,92,154,844,170
430326,Bot,35,213,110,25,194,116,60,407,226
430332,Botarell,110,422,64,88,360,65,198,782,129
250560,Bovera,13,96,66,8,78,71,21,174,137
430347,Bràfim,45,234,59,43,204,85,88,438,144
170274,Breda,258,1307,340,294,1186,396,552,2493,736
080253,"Bruc, el",213,737,114,176,629,123,389,1366,237
080266,"Brull, el",32,88,16,20,71,22,52,159,38
170280,Brunyola i Sant Martí Sapresa,24,121,42,27,121,53,51,242,95
430350,Cabacés,16,116,42,26,92,48,42,208,90
250609,Cabanabona,5,26,16,5,26,34,10,52,50
170314,Cabanelles,16,101,24,12,68,26,28,169,50
170307,Cabanes,73,315,94,77,266,87,150,581,181
080272,"Cabanyes, les",90,326,52,105,298,56,195,624,108
250616,Cabó,0,33,16,5,28,12,5,61,28
