Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,17,62,22,12,55,20,29,117,42
080018,Abrera,687,3492,383,679,3161,421,1366,6653,804
250024,Àger,22,153,104,16,123,89,38,276,193
250030,Agramunt,376,1801,456,330,1513,595,706,3314,1051
080023,Aguilar de Segarra,12,66,34,15,56,32,27,122,66
170010,Agullana,27,224,92,34,185,110,61,409,202
080142,Aiguafreda,136,756,178,142,719,244,278,1475,422
430017,Aiguamúrcia,28,244,79,35,209,76,63,453,155
170025,Aiguaviva,47,206,38,47,188,45,94,394,83
250387,Aitona,122,756,233,108,669,305,230,1425,538
250045,"Alamús, els",38,236,72,39,210,98,77,446,170
250058,Alàs i Cerc,20,146,48,19,113,59,39,259,107
250061,"Albagés, l'",37,163,66,24,128,84,61,291,150
170031,Albanyà,6,39,14,5,31,15,11,70,29
250077,Albatàrrec,86,441,111,83,388,127,169,829,238
250083,Albesa,99,485,171,83,468,209,182,953,380
250096,"Albi, l'",40,282,95,40,239,110,80,521,205
430022,Albinyana,102,635,147,100,554,157,202,1189,304
430038,"Albiol, l'",20,83,15,20,65,11,40,148,26
170046,Albons,42,213,52,24,181,76,66,394,128
430043,Alcanar,540,2926,785,521,2673,945,1061,5599,1730
250100,Alcanó,9,79,43,17,65,43,26,144,86
250117,Alcarràs,334,1647,437,345,1580,495,679,3227,932
250122,Alcoletge,127,706,152,120,597,160,247,1303,312
430056,Alcover,308,1426,314,304,1311,379,612,2737,693
439044,"Aldea, l'",232,1219,368,204,1080,421,436,2299,789
430069,Aldover,31,241,104,32,249,128,63,490,232
430075,"Aleixar, l'",50,250,81,49,212,98,99,462,179
080039,Alella,706,3227,446,647,3179,591,1353,6406,1037
430081,Alfara de Carles,11,122,54,14,91,63,25,213,117
250138,Alfarràs,187,971,308,184,954,370,371,1925,678
250143,Alfés,18,117,41,14,90,51,32,207,92
430094,Alforja,75,433,164,71,382,178,146,815,342
250156,Algerri,17,156,81,18,152,86,35,308,167
250169,Alguaire,172,984,285,175,894,334,347,1878,619
250175,Alins,10,85,40,12,73,52,22,158,92
430108,Alió,11,131,50,26,108,56,37,239,106
250194,Almacelles,348,2076,524,389,1766,650,737,3842,1174
250208,Almatret,17,144,80,16,110,101,33,254,181
250215,Almenar,223,1194,368,198,1065,440,421,2259,808
430115,Almoster,91,335,60,83,296,62,174,631,122
250220,Alòs de Balaguer,4,67,32,4,40,27,8,107,59
170062,Alp,84,516,73,80,430,89,164,946,162
080044,Alpens,25,92,33,18,76,33,43,168,66
250236,Alpicat,376,1593,265,396,1497,354,772,3090,619
250241,Alt Àneu,30,177,50,24,115,46,54,292,96
