Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,15,61,23,13,53,18,28,114,41
080018,Abrera,723,3629,401,718,3248,447,1441,6877,848
250024,Àger,19,153,100,13,124,88,32,277,188
250030,Agramunt,390,1793,454,328,1514,592,718,3307,1046
080023,Aguilar de Segarra,14,71,32,14,62,31,28,133,63
170010,Agullana,34,244,91,49,206,99,83,450,190
080142,Aiguafreda,137,754,184,142,736,253,279,1490,437
430017,Aiguamúrcia,30,246,79,35,209,73,65,455,152
170025,Aiguaviva,51,204,40,55,192,45,106,396,85
250387,Aitona,130,754,239,99,674,322,229,1428,561
250045,"Alamús, els",38,242,70,34,210,97,72,452,167
250058,Alàs i Cerc,21,147,47,18,109,54,39,256,101
250061,"Albagés, l'",37,167,68,26,138,76,63,305,144
170031,Albanyà,8,41,13,7,33,14,15,74,27
250077,Albatàrrec,94,466,113,97,407,129,191,873,242
250083,Albesa,103,498,167,83,464,208,186,962,375
250096,"Albi, l'",47,284,95,40,247,113,87,531,208
430022,Albinyana,101,658,154,114,589,164,215,1247,318
430038,"Albiol, l'",19,84,18,22,73,14,41,157,32
170046,Albons,51,218,53,26,186,73,77,404,126
430043,Alcanar,569,3064,808,540,2798,959,1109,5862,1767
250100,Alcanó,12,74,44,17,68,43,29,142,87
250117,Alcarràs,340,1654,464,341,1587,517,681,3241,981
250122,Alcoletge,128,715,157,134,601,164,262,1316,321
430056,Alcover,317,1504,324,336,1314,402,653,2818,726
439044,"Aldea, l'",228,1256,373,197,1097,439,425,2353,812
430069,Aldover,33,252,102,34,259,134,67,511,236
430075,"Aleixar, l'",56,242,83,55,219,95,111,461,178
080039,Alella,705,3251,452,634,3204,601,1339,6455,1053
430081,Alfara de Carles,13,131,54,17,102,60,30,233,114
250138,Alfarràs,164,949,308,167,929,364,331,1878,672
250143,Alfés,18,114,36,15,87,50,33,201,86
430094,Alforja,93,462,162,86,405,185,179,867,347
250156,Algerri,18,158,80,17,145,89,35,303,169
250169,Alguaire,186,1001,281,175,890,339,361,1891,620
250175,Alins,9,86,41,12,70,52,21,156,93
430108,Alió,8,130,47,30,108,53,38,238,100
250194,Almacelles,345,2036,532,377,1765,647,722,3801,1179
250208,Almatret,19,139,81,16,107,99,35,246,180
250215,Almenar,234,1196,363,197,1062,429,431,2258,792
430115,Almoster,95,364,62,102,331,63,197,695,125
250220,Alòs de Balaguer,5,64,30,4,36,28,9,100,58
170062,Alp,83,532,70,79,442,91,162,974,161
