Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,7,65,26,10,50,16,17,115,42,
080018,Abrera,1166,4206,700,1083,3970,745,2249,8176,1445,
250024,Àger,32,204,86,17,162,92,49,366,178,
250030,Agramunt,474,1979,420,427,1749,584,901,3728,1004,
080023,Aguilar de Segarra,16,83,33,17,76,25,33,159,58,
170010,Agullana,58,298,83,73,245,101,131,543,184,
080142,Aiguafreda,179,812,207,193,793,294,372,1605,501,
430017,Aiguamúrcia,52,332,89,63,284,86,115,616,175,
170025,Aiguaviva,77,251,55,88,246,57,165,497,112,
250387,Aitona,169,828,249,166,683,324,335,1511,573,
250045,"Alamús, els",43,280,85,41,215,87,84,495,172,
250058,Alàs i Cerc,21,130,49,26,97,53,47,227,102,
250061,"Albagés, l'",25,141,58,18,121,62,43,262,120,
170031,Albanyà,17,61,7,10,47,11,27,108,18,
250077,Albatàrrec,179,816,106,167,714,131,346,1530,237,
250083,Albesa,141,588,160,99,483,181,240,1071,341,
250096,"Albi, l'",66,273,109,63,240,109,129,513,218,
430022,Albinyana,192,789,205,188,747,246,380,1536,451,
430038,"Albiol, l'",42,162,28,49,154,24,91,316,52,
170046,Albons,58,255,57,59,227,58,117,482,115,
430043,Alcanar,781,3788,951,661,3412,1065,1442,7200,2016,
250100,Alcanó,9,74,32,11,69,42,20,143,74,
250117,Alcarràs,743,3288,489,702,2920,613,1445,6208,1102,
250122,Alcoletge,262,1238,177,235,1082,197,497,2320,374,
430056,Alcover,451,1779,363,443,1651,456,894,3430,819,
439044,"Aldea, l'",350,1678,393,299,1347,463,649,3025,856,
430069,Aldover,61,304,121,59,285,138,120,589,259,
430075,"Aleixar, l'",86,314,65,86,281,94,172,595,159,
080039,Alella,841,3191,684,752,3347,795,1593,6538,1479,
430081,Alfara de Carles,17,143,53,26,101,59,43,244,112,
250138,Alfarràs,225,1063,290,226,909,364,451,1972,654,
250143,Alfés,16,122,41,22,94,47,38,216,88,
430094,Alforja,154,645,165,105,597,199,259,1242,364,
250156,Algerri,16,142,71,12,108,89,28,250,160,
250169,Alguaire,249,1126,260,207,945,318,456,2071,578,
250175,Alins,17,105,37,22,79,46,39,184,83,
430108,Alió,14,136,46,35,125,38,49,261,84,
250194,Almacelles,505,2460,569,462,2043,689,967,4503,1258,
250208,Almatret,8,124,55,7,82,78,15,206,133,
250215,Almenar,255,1341,345,227,1065,420,482,2406,765,
430115,Almoster,127,482,80,129,482,81,256,964,161,
250220,Alòs de Balaguer,6,45,27,3,28,25,9,73,52,
170062,Alp,125,707,95,125,588,105,250,1295,200,
080044,Alpens,26,112,26,18,91,31,44,203,57,
250236,Alpicat,590,2184,333,607,2085,404,1197,4269,737,
250241,Alt Àneu,18,180,48,23,136,34,41,316,82,
430120,Altafulla,430,1662,290,429,1663,361,859,3325,651,
170078,Amer,148,731,226,141,720,311,289,1451,537,
430136,"Ametlla de Mar, l'",600,2543,771,545,2394,835,1145,4937,1606,
080057,"Ametlla del Vallès, l'",870,2832,417,750,2809,512,1620,5641,929,
439060,"Ampolla, l'",228,1226,390,211,1153,398,439,2379,788,
430141,Amposta,1783,7526,1558,1680,6965,1922,3463,14491,3480,
170084,Anglès,476,1913,461,502,1799,568,978,3712,1029,
250273,Anglesola,95,440,157,109,410,174,204,850,331,
250292,Arbeca,158,845,284,137,732,337,295,1577,621,
430167,"Arboç, l'",518,1968,359,506,1692,443,1024,3660,802,
430154,Arbolí,5,46,10,1,34,17,6,80,27,
170097,Arbúcies,612,2448,478,572,2060,571,1184,4508,1049,
080060,Arenys de Mar,1170,5045,1185,1031,4914,1685,2201,9959,2870,
080076,Arenys de Munt,791,2955,559,724,2794,707,1515,5749,1266,
170101,Argelaguer,37,149,37,24,132,46,61,281,83,
080082,Argençola,11,116,14,13,68,23,24,184,37,
430173,"Argentera, l'",4,67,17,6,42,17,10,109,34,
080095,Argentona,1120,3985,783,1047,3954,1025,2167,7939,1808,
170118,"Armentera, l'",61,281,84,64,265,105,125,546,189,
430189,Arnes,22,144,88,22,123,93,44,267,181,
250313,Arres,5,31,6,0,19,4,5,50,10,
250328,Arsèguel,8,35,8,6,27,7,14,62,15,
080109,Artés,456,1956,390,440,1773,551,896,3729,941,
250334,Artesa de Lleida,127,522,147,117,427,167,244,949,314,
250349,Artesa de Segre,279,1293,336,292,1145,414,571,2438,750,
430192,Ascó,78,622,175,82,529,194,160,1151,369,
250365,Aspa,12,60,38,8,63,35,20,123,73,
250371,"Avellanes i Santa Linya, les",20,157,85,22,112,62,42,269,147,
080116,Avià,187,733,200,186,717,236,373,1450,436,
080121,Avinyó,197,768,197,164,706,296,361,1474,493,
170123,Avinyonet de Puigventós,164,535,65,153,530,76,317,1065,141,
080137,Avinyonet del Penedès,164,620,139,130,494,169,294,1114,308,
080155,Badalona,18136,77377,14796,16798,73563,20307,34934,150940,35103,
089045,Badia del Vallès,1118,4586,944,1060,4449,1406,2178,9035,2350,
080168,Bagà,146,824,234,126,758,308,272,1582,542,
250390,Baix Pallars,28,114,45,18,114,43,46,228,88,
250404,Balaguer,1473,5986,1200,1369,5300,1624,2842,11286,2824,
080174,Balenyà,320,1319,226,316,1215,318,636,2534,544,
080180,Balsareny,219,1262,279,226,1093,413,445,2355,692,
430206,Banyeres del Penedès,298,1065,195,293,950,218,591,2015,413,
170157,Banyoles,1818,6577,1302,1708,6125,1811,3526,12702,3113,
250411,Barbens,68,315,109,58,251,127,126,566,236,
430213,Barberà de la Conca,43,196,49,34,140,64,77,336,113,
082520,Barberà del Vallès,2830,11535,1752,2759,11246,2314,5589,22781,4066,
080193,Barcelona,102289,533884,133646,97113,548887,205124,199402,1082771,338770,
250426,"Baronia de Rialb, la",13,88,35,15,65,39,28,153,74,
170160,Bàscara,86,317,95,67,274,129,153,591,224,
250447,Bassella,17,80,32,14,74,29,31,154,61,
430228,Batea,131,709,257,130,613,296,261,1322,553,
250450,Bausen,2,16,18,1,13,11,3,29,29,
080207,Begues,678,2268,295,670,2265,344,1348,4533,639,
170139,Begur,312,1478,366,282,1373,410,594,2851,776,
250463,Belianes,35,177,79,33,141,99,68,318,178,
251706,Bellaguarda,26,100,54,6,93,56,32,193,110,
170182,Bellcaire d'Empordà,58,205,65,47,209,77,105,414,142,
250479,Bellcaire d'Urgell,89,438,157,79,388,199,168,826,356,
250485,Bell-lloc d'Urgell,178,810,206,191,766,269,369,1576,475,
250498,Bellmunt d'Urgell,10,62,21,12,64,27,22,126,48,
430234,Bellmunt del Priorat,23,114,36,19,95,49,42,209,85,
080214,Bellprat,5,32,16,4,25,9,9,57,25,
250501,Bellpuig,381,1849,352,407,1475,511,788,3324,863,
430249,Bellvei,216,709,162,190,666,167,406,1375,329,
250518,Bellver de Cerdanya,154,851,202,142,728,223,296,1579,425,
250523,Bellvís,171,797,245,140,719,319,311,1516,564,
250539,Benavent de Segrià,150,548,100,155,492,95,305,1040,195,
430252,Benifallet,30,246,114,28,215,138,58,461,252,
430265,Benissanet,71,490,139,80,349,151,151,839,290,
080229,Berga,1284,5590,1439,1170,5332,2030,2454,10922,3469,
170195,Besalú,177,763,223,190,777,297,367,1540,520,
170209,Bescanó,455,1564,316,463,1517,390,918,3081,706,
170216,Beuda,13,59,20,11,54,13,24,113,33,
080235,Bigues i Riells del Fai,891,3106,492,845,2881,566,1736,5987,1058,
250557,Biosca,11,78,26,5,56,37,16,134,63,
170221,"Bisbal d'Empordà, la",1027,3689,703,886,3416,958,1913,7105,1661,
430271,"Bisbal de Falset, la",17,77,33,7,56,37,24,133,70,
430287,"Bisbal del Penedès, la",283,1194,305,263,1056,327,546,2250,632,
172348,Biure,15,88,25,15,78,28,30,166,53,
430290,Blancafort,22,141,51,23,125,56,45,266,107,
170237,Blanes,3224,13990,2822,3004,13188,3557,6228,27178,6379,
170293,Boadella i les Escaules,16,87,20,17,92,24,33,179,44,
170242,Bolvir,27,159,28,24,124,38,51,283,66,
430304,Bonastre,55,243,48,49,212,44,104,455,92,
250576,"Bòrdes, Es",13,96,21,11,78,19,24,174,40,
170255,Bordils,151,614,112,158,553,149,309,1167,261,
250582,"Borges Blanques, les",487,2082,526,399,1869,697,886,3951,1223,
430311,"Borges del Camp, les",201,696,168,199,664,199,400,1360,367,
170268,Borrassà,69,235,60,59,217,74,128,452,134,
080240,Borredà,51,206,64,27,160,86,78,366,150,
250595,Bossòst,78,437,76,87,404,97,165,841,173,
430326,Bot,34,209,110,24,176,125,58,385,235,
430332,Botarell,114,416,65,98,364,69,212,780,134,
250560,Bovera,10,95,61,8,74,67,18,169,128,
430347,Bràfim,52,229,61,40,204,84,92,433,145,
170274,Breda,259,1305,336,292,1166,409,551,2471,745,
080253,"Bruc, el",216,757,117,179,632,128,395,1389,245,
080266,"Brull, el",35,89,19,22,73,23,57,162,42,
170280,Brunyola i Sant Martí Sapresa,26,125,44,28,123,51,54,248,95,
430350,Cabacés,15,119,43,24,93,48,39,212,91,
250609,Cabanabona,4,26,12,5,23,30,9,49,42,
170314,Cabanelles,17,94,26,13,68,26,30,162,52,
170307,Cabanes,74,324,98,77,273,85,151,597,183,
080272,"Cabanyes, les",94,335,54,107,296,61,201,631,115,
250616,Cabó,0,30,17,4,30,13,4,60,30,
430363,Cabra del Camp,128,375,104,87,373,98,215,748,202,
080288,Cabrera d'Anoia,123,522,85,108,446,92,231,968,177,
080291,Cabrera de Mar,424,1570,293,361,1556,328,785,3126,621,
080305,Cabrils,748,2371,377,743,2503,398,1491,4874,775,
170329,Cadaqués,235,1010,195,227,999,269,462,2009,464,
080312,Calaf,295,1261,292,272,1062,356,567,2323,648,
430379,Calafell,2070,8601,1800,1887,8278,2036,3957,16879,3836,
080348,Calders,81,330,77,80,296,91,161,626,168,
080327,Caldes d'Estrac,190,918,210,214,931,310,404,1849,520,
170335,Caldes de Malavella,631,2392,492,616,2356,584,1247,4748,1076,
080333,Caldes de Montbui,1527,5973,1135,1403,5701,1532,2930,11674,2667,
080351,Calella,1474,6326,1353,1378,6033,1965,2852,12359,3318,
080370,Calldetenes,211,896,143,182,826,183,393,1722,326,
080386,Callús,198,606,138,162,588,217,360,1194,355,
080364,Calonge de Segarra,14,61,26,10,58,32,24,119,58,
170340,Calonge i Sant Antoni,842,3709,880,810,3608,1002,1652,7317,1882,
250621,Camarasa,49,319,115,34,280,148,83,599,263,
439039,Camarles,290,1215,339,265,1097,403,555,2312,742,
430385,Cambrils,2988,11738,1954,2887,11497,2471,5875,23235,4425,
170353,Camós,51,222,70,43,200,91,94,422,161,
170366,Campdevànol,257,1090,363,205,1060,494,462,2150,857,
170372,Campelles,5,48,13,14,43,13,19,91,26,
080399,Campins,47,179,25,48,168,29,95,347,54,
170388,Campllong,59,181,26,72,155,32,131,336,58,
170391,Camprodon,142,825,240,174,757,328,316,1582,568,
250637,Canejan,1,39,17,7,29,16,8,68,33,
170405,Canet d'Adri,52,213,52,36,202,69,88,415,121,
080403,Canet de Mar,1183,4680,1104,1078,4593,1545,2261,9273,2649,
439076,"Canonja, la",514,2021,336,499,1924,429,1013,3945,765,
080410,Canovelles,1568,5892,921,1412,5178,1119,2980,11070,2040,
080425,Cànoves i Samalús,240,1011,220,249,919,226,489,1930,446,
170412,Cantallops,22,114,35,21,98,43,43,212,78,
080431,Canyelles,425,1517,233,428,1448,224,853,2965,457,
430398,Capafonts,2,41,21,5,32,20,7,73,41,
430402,Capçanes,19,140,51,22,130,59,41,270,110,
080446,Capellades,432,1820,449,401,1750,587,833,3570,1036,
170427,Capmany,37,220,84,42,182,68,79,402,152,
080459,Capolat,7,25,6,11,28,13,18,53,19,
080462,Cardedeu,1672,5906,989,1585,5920,1355,3257,11826,2344,
080478,Cardona,304,1674,514,315,1508,749,619,3182,1263,
080484,Carme,73,307,77,51,269,89,124,576,166,
430419,Caseres,12,86,41,16,86,43,28,172,84,
170448,Cassà de la Selva,860,3599,653,831,3040,942,1691,6639,1595,
080497,Casserres,87,522,187,70,489,223,157,1011,410,
080575,Castell de l'Areny,7,31,5,3,21,6,10,52,11,
259046,Castell de Mur,7,61,25,12,43,25,19,104,50,
250642,Castellar de la Ribera,14,47,22,11,48,17,25,95,39,
080522,Castellar de n'Hug,11,70,15,8,50,21,19,120,36,
080500,Castellar del Riu,16,60,19,14,53,12,30,113,31,
080517,Castellar del Vallès,2265,7976,1298,2111,7996,1717,4376,15972,3015,
080538,Castellbell i el Vilar,306,1283,281,292,1125,354,598,2408,635,
080543,Castellbisbal,1330,4366,642,1213,4130,726,2543,8496,1368,
080556,Castellcir,60,231,51,68,194,64,128,425,115,
250674,Castelldans,54,378,117,60,289,130,114,667,247,
080569,Castelldefels,5654,22193,3366,5346,22093,4337,11000,44286,7703,
080581,Castellet i la Gornal,188,756,188,183,725,212,371,1481,400,
170464,Castellfollit de la Roca,88,319,102,53,301,136,141,620,238,
080608,Castellfollit de Riubregós,10,69,21,1,54,29,11,123,50,
080594,Castellfollit del Boix,39,136,37,26,132,46,65,268,83,
080615,Castellgalí,198,704,142,172,636,149,370,1340,291,
080620,Castellnou de Bages,113,418,71,137,392,53,250,810,124,
