Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
251706,Bellaguarda,17,94,48,7,84,57,24,178,105,
170182,Bellcaire d'Empordà,54,200,63,48,199,83,102,399,146,
250479,Bellcaire d'Urgell,88,395,156,82,350,192,170,745,348,
250485,Bell-lloc d'Urgell,174,774,214,188,725,274,362,1499,488,
250498,Bellmunt d'Urgell,10,59,21,14,54,30,24,113,51,
430234,Bellmunt del Priorat,16,94,35,12,92,47,28,186,82,
080214,Bellprat,0,29,17,4,16,9,4,45,26,
250501,Bellpuig,390,1835,375,402,1482,521,792,3317,896,
430249,Bellvei,231,714,191,209,658,187,440,1372,378,
250518,Bellver de Cerdanya,149,686,199,141,595,225,290,1281,424,
250523,Bellvís,172,752,226,152,639,323,324,1391,549,
250539,Benavent de Segrià,124,551,97,133,463,114,257,1014,211,
430252,Benifallet,32,216,100,25,204,131,57,420,231,
430265,Benissanet,71,451,131,72,339,154,143,790,285,
080229,Berga,1232,5213,1505,1074,5109,2042,2306,10322,3547,
170195,Besalú,188,717,241,203,763,326,391,1480,567,
170209,Bescanó,499,1604,329,464,1542,416,963,3146,745,
170216,Beuda,19,76,17,17,59,11,36,135,28,
080235,Bigues i Riells del Fai,848,3092,606,829,2876,664,1677,5968,1270,
250557,Biosca,6,63,30,4,45,39,10,108,69,
170221,"Bisbal d'Empordà, la",1020,3587,739,942,3455,999,1962,7042,1738,
430271,"Bisbal de Falset, la",17,69,29,8,51,34,25,120,63,
430287,"Bisbal del Penedès, la",279,1203,349,256,1029,350,535,2232,699,
172348,Biure,13,77,32,10,72,29,23,149,61,
430290,Blancafort,19,138,48,26,111,51,45,249,99,
170237,Blanes,3068,13318,3105,2843,12802,3924,5911,26120,7029,
170293,Boadella i les Escaules,17,93,28,20,83,25,37,176,53,
170242,Bolvir,35,131,32,26,110,41,61,241,73,
430304,Bonastre,62,213,52,63,202,47,125,415,99,
250576,"Bòrdes, Es",18,94,26,15,76,21,33,170,47,
170255,Bordils,147,563,126,131,553,160,278,1116,286,
250582,"Borges Blanques, les",480,2025,557,438,1802,698,918,3827,1255,
430311,"Borges del Camp, les",196,666,180,197,613,218,393,1279,398,
170268,Borrassà,71,234,64,63,207,72,134,441,136,
080240,Borredà,29,183,62,20,134,67,49,317,129,
250595,Bossòst,86,387,82,81,382,105,167,769,187,
430326,Bot,28,179,105,22,157,124,50,336,229,
430332,Botarell,107,412,68,103,356,74,210,768,142,
250560,Bovera,8,88,51,10,55,55,18,143,106,
430347,Bràfim,56,218,63,58,188,85,114,406,148,
170274,Breda,245,1260,344,281,1164,428,526,2424,772,
080253,"Bruc, el",211,737,133,191,610,132,402,1347,265,
080266,"Brull, el",31,92,19,22,78,21,53,170,40,
