Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,7,72,23,15,51,15,22,123,38
080018,Abrera,1041,4342,591,962,3953,632,2003,8295,1223
250024,Àger,27,189,88,21,161,89,48,350,177
250030,Agramunt,445,2005,416,406,1739,597,851,3744,1013
080023,Aguilar de Segarra,19,87,29,17,80,25,36,167,54
170010,Agullana,45,299,85,63,223,97,108,522,182
080142,Aiguafreda,175,817,203,191,781,297,366,1598,500
430017,Aiguamúrcia,54,340,86,61,285,80,115,625,166
170025,Aiguaviva,77,238,47,72,233,47,149,471,94
250387,Aitona,151,875,230,134,685,323,285,1560,553
250045,"Alamús, els",40,264,80,45,224,87,85,488,167
250058,Alàs i Cerc,19,137,50,25,107,53,44,244,103
250061,"Albagés, l'",29,161,67,27,121,71,56,282,138
170031,Albanyà,12,60,9,13,50,8,25,110,17
250077,Albatàrrec,158,717,110,138,613,136,296,1330,246
250083,Albesa,118,564,152,96,496,187,214,1060,339
250096,"Albi, l'",51,269,103,44,256,113,95,525,216
430022,Albinyana,171,790,185,194,728,207,365,1518,392
430038,"Albiol, l'",41,149,20,44,129,22,85,278,42
170046,Albons,48,259,51,49,214,66,97,473,117
430043,Alcanar,753,3789,892,661,3465,1010,1414,7254,1902
250100,Alcanó,9,78,29,12,71,40,21,149,69
250117,Alcarràs,610,2976,474,549,2565,602,1159,5541,1076
250122,Alcoletge,197,1038,171,195,897,179,392,1935,350
430056,Alcover,464,1796,346,432,1643,419,896,3439,765
439044,"Aldea, l'",267,1505,382,237,1224,448,504,2729,830
430069,Aldover,57,319,112,65,297,134,122,616,246
430075,"Aleixar, l'",72,304,68,81,272,101,153,576,169
080039,Alella,802,3277,558,724,3350,686,1526,6627,1244
430081,Alfara de Carles,14,152,49,21,109,55,35,261,104
250138,Alfarràs,244,1089,302,219,935,366,463,2024,668
250143,Alfés,12,115,42,15,92,42,27,207,84
430094,Alforja,144,655,161,111,593,187,255,1248,348
250156,Algerri,19,145,78,12,121,94,31,266,172
250169,Alguaire,232,1153,276,199,970,335,431,2123,611
250175,Alins,15,102,37,16,80,47,31,182,84
430108,Alió,9,147,38,28,121,41,37,268,79
250194,Almacelles,467,2432,528,418,1996,665,885,4428,1193
250208,Almatret,8,138,69,10,89,83,18,227,152
250215,Almenar,233,1350,346,232,1081,427,465,2431,773
430115,Almoster,133,475,69,142,460,78,275,935,147
250220,Alòs de Balaguer,5,51,31,4,29,26,9,80,57
170062,Alp,118,719,81,128,592,97,246,1311,178
080044,Alpens,30,111,27,22,92,29,52,203,56
250236,Alpicat,579,2144,309,551,2069,406,1130,4213,715
250241,Alt Àneu,26,178,44,20,130,36,46,308,80
430120,Altafulla,421,1659,260,407,1624,314,828,3283,574
170078,Amer,135,784,227,121,742,295,256,1526,522
430136,"Ametlla de Mar, l'",562,2634,688,548,2444,716,1110,5078,1404
080057,"Ametlla del Vallès, l'",857,2764,370,747,2714,497,1604,5478,867
439060,"Ampolla, l'",182,1108,330,145,1047,306,327,2155,636
430141,Amposta,1674,7632,1515,1651,6963,1805,3325,14595,3320
170084,Anglès,420,1971,437,450,1729,562,870,3700,999
250273,Anglesola,88,446,147,91,414,165,179,860,312
250292,Arbeca,172,815,295,134,736,328,306,1551,623
430167,"Arboç, l'",523,2000,343,456,1694,425,979,3694,768
430154,Arbolí,3,49,8,0,35,17,3,84,25
170097,Arbúcies,569,2491,448,520,2008,559,1089,4499,1007
080060,Arenys de Mar,1110,4980,1076,976,4853,1632,2086,9833,2708
080076,Arenys de Munt,733,2844,508,705,2728,672,1438,5572,1180
170101,Argelaguer,37,158,38,30,138,44,67,296,82
080082,Argençola,13,109,17,17,59,25,30,168,42
430173,"Argentera, l'",4,55,19,2,37,17,6,92,36
080095,Argentona,1087,3996,701,998,3936,915,2085,7932,1616
170118,"Armentera, l'",54,275,82,65,267,112,119,542,194
430189,Arnes,20,142,89,14,129,94,34,271,183
250313,Arres,4,38,4,1,15,6,5,53,10
250328,Arsèguel,3,35,11,7,28,9,10,63,20
080109,Artés,432,1904,388,406,1749,554,838,3653,942
250334,Artesa de Lleida,135,519,140,116,433,174,251,952,314
250349,Artesa de Segre,285,1361,352,272,1183,416,557,2544,768
430192,Ascó,79,569,178,87,495,200,166,1064,378
250365,Aspa,17,68,43,11,73,39,28,141,82
250371,"Avellanes i Santa Linya, les",24,157,82,18,124,62,42,281,144
080116,Avià,181,741,187,160,692,245,341,1433,432
080121,Avinyó,181,766,197,175,681,289,356,1447,486
170123,Avinyonet de Puigventós,168,514,63,152,475,77,320,989,140
080137,Avinyonet del Penedès,150,623,135,116,510,156,266,1133,291
080155,Badalona,16865,79689,13631,15800,74425,19137,32665,154114,32768
089045,Badia del Vallès,1087,4791,866,1023,4680,1232,2110,9471,2098
