Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,10,70,24,14,47,16,24,117,40
080018,Abrera,1077,4192,636,988,3906,670,2065,8098,1306
250024,Àger,28,199,86,20,158,93,48,357,179
250030,Agramunt,456,2003,409,418,1741,591,874,3744,1000
080023,Aguilar de Segarra,18,83,32,17,78,25,35,161,57
170010,Agullana,49,302,87,60,241,101,109,543,188
080142,Aiguafreda,183,818,206,197,803,298,380,1621,504
430017,Aiguamúrcia,54,344,84,62,288,82,116,632,166
170025,Aiguaviva,79,244,45,74,236,49,153,480,94
250387,Aitona,155,861,242,141,679,315,296,1540,557
250045,"Alamús, els",40,265,79,43,220,92,83,485,171
250058,Alàs i Cerc,19,139,50,22,108,48,41,247,98
250061,"Albagés, l'",28,159,63,20,121,71,48,280,134
170031,Albanyà,13,61,9,12,45,9,25,106,18
250077,Albatàrrec,167,771,102,154,649,136,321,1420,238
250083,Albesa,135,601,155,98,503,187,233,1104,342
250096,"Albi, l'",60,271,106,51,248,111,111,519,217
430022,Albinyana,176,795,192,191,736,224,367,1531,416
430038,"Albiol, l'",42,150,22,47,134,23,89,284,45
170046,Albons,56,256,57,56,227,58,112,483,115
430043,Alcanar,763,3766,900,677,3418,1021,1440,7184,1921
250100,Alcanó,9,77,27,11,70,41,20,147,68
250117,Alcarràs,631,3065,469,592,2667,605,1223,5732,1074
250122,Alcoletge,208,1087,172,214,946,189,422,2033,361
430056,Alcover,449,1810,359,427,1663,435,876,3473,794
439044,"Aldea, l'",309,1616,394,287,1308,462,596,2924,856
430069,Aldover,59,311,116,63,290,138,122,601,254
430075,"Aleixar, l'",83,305,65,81,278,99,164,583,164
080039,Alella,823,3274,605,731,3393,731,1554,6667,1336
430081,Alfara de Carles,15,144,50,21,109,59,36,253,109
250138,Alfarràs,244,1093,302,223,929,367,467,2022,669
250143,Alfés,16,121,41,17,101,41,33,222,82
430094,Alforja,152,666,166,113,608,192,265,1274,358
250156,Algerri,22,142,77,15,117,89,37,259,166
250169,Alguaire,234,1150,275,197,955,329,431,2105,604
250175,Alins,15,112,39,19,81,47,34,193,86
430108,Alió,13,144,38,31,121,39,44,265,77
250194,Almacelles,480,2430,541,435,2015,676,915,4445,1217
250208,Almatret,12,133,66,10,95,83,22,228,149
