Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,8,71,21,15,53,15,23,124,36,
080018,Abrera,983,4345,554,908,3914,574,1891,8259,1128,
250024,Àger,23,187,92,14,156,85,37,343,177,
250030,Agramunt,444,2040,434,368,1708,583,812,3748,1017,
080023,Aguilar de Segarra,18,85,29,18,74,25,36,159,54,
170010,Agullana,45,288,88,61,224,100,106,512,188,
080142,Aiguafreda,167,810,201,184,769,297,351,1579,498,
430017,Aiguamúrcia,52,338,82,60,280,74,112,618,156,
170025,Aiguaviva,67,233,46,67,216,49,134,449,95,
250387,Aitona,144,837,230,118,685,331,262,1522,561,
250045,"Alamús, els",35,258,80,43,218,90,78,476,170,
250058,Alàs i Cerc,19,137,49,22,115,54,41,252,103,
250061,"Albagés, l'",30,153,69,28,124,72,58,277,141,
170031,Albanyà,12,54,10,11,47,9,23,101,19,
250077,Albatàrrec,152,679,110,118,554,136,270,1233,246,
250083,Albesa,104,541,154,85,477,185,189,1018,339,
250096,"Albi, l'",48,283,96,43,261,110,91,544,206,
430022,Albinyana,185,792,182,187,745,201,372,1537,383,
430038,"Albiol, l'",42,153,21,55,125,19,97,278,40,
170046,Albons,50,246,49,41,220,60,91,466,109,
430043,Alcanar,759,3805,861,647,3439,999,1406,7244,1860,
250100,Alcanó,8,79,32,14,73,38,22,152,70,
250117,Alcarràs,549,2752,479,495,2422,584,1044,5174,1063,
250122,Alcoletge,183,990,163,174,860,177,357,1850,340,
430056,Alcover,433,1798,343,419,1567,402,852,3365,745,
439044,"Aldea, l'",244,1499,380,213,1178,452,457,2677,832,
430069,Aldover,52,307,112,63,286,137,115,593,249,
430075,"Aleixar, l'",71,309,73,78,273,96,149,582,169,
080039,Alella,752,3243,550,709,3353,653,1461,6596,1203,
430081,Alfara de Carles,14,147,50,20,108,53,34,255,103,
250138,Alfarràs,233,1088,306,229,935,372,462,2023,678,
250143,Alfés,14,114,44,14,91,46,28,205,90,
430094,Alforja,143,648,149,114,574,186,257,1222,335,
250156,Algerri,18,143,78,12,127,95,30,270,173,
250169,Alguaire,230,1131,271,197,959,341,427,2090,612,
250175,Alins,8,91,37,10,74,45,18,165,82,
430108,Alió,9,149,34,28,118,41,37,267,75,
250194,Almacelles,447,2350,529,399,1913,657,846,4263,1186,
250208,Almatret,12,140,69,13,91,90,25,231,159,
250215,Almenar,234,1337,344,234,1094,422,468,2431,766,
430115,Almoster,133,466,68,144,450,78,277,916,146,
250220,Alòs de Balaguer,7,53,31,5,33,24,12,86,55,
170062,Alp,113,694,78,117,591,93,230,1285,171,
080044,Alpens,35,112,26,19,90,30,54,202,56,
250236,Alpicat,515,2109,305,535,2032,404,1050,4141,709,
250241,Alt Àneu,27,176,49,18,127,42,45,303,91,
430120,Altafulla,389,1663,232,383,1582,305,772,3245,537,
170078,Amer,124,760,225,118,737,306,242,1497,531,
430136,"Ametlla de Mar, l'",541,2594,663,519,2427,680,1060,5021,1343,
080057,"Ametlla del Vallès, l'",830,2710,353,743,2674,486,1573,5384,839,
