Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
430154,Arbolí,1,50,10,0,33,18,1,83,28,
170097,Arbúcies,491,2277,440,416,1829,549,907,4106,989,
080060,Arenys de Mar,1057,4722,981,926,4731,1443,1983,9453,2424,
080076,Arenys de Munt,634,2611,437,596,2483,608,1230,5094,1045,
170101,Argelaguer,42,131,45,26,115,49,68,246,94,
080082,Argençola,13,82,22,11,60,22,24,142,44,
430173,"Argentera, l'",8,70,16,5,47,15,13,117,31,
080095,Argentona,960,3787,627,899,3737,858,1859,7524,1485,
170118,"Armentera, l'",41,257,81,34,240,112,75,497,193,
430189,Arnes,24,144,100,21,136,89,45,280,189,
250313,Arres,4,32,3,3,16,9,7,48,12,
250328,Arsèguel,5,31,10,3,33,10,8,64,20,
080109,Artés,380,1738,381,338,1603,509,718,3341,890,
250334,Artesa de Lleida,100,500,144,91,400,179,191,900,323,
250349,Artesa de Segre,251,1314,375,226,1119,411,477,2433,786,
430192,Ascó,89,549,168,83,503,209,172,1052,377,
250365,Aspa,11,75,44,12,76,45,23,151,89,
250371,"Avellanes i Santa Linya, les",16,178,66,14,117,76,30,295,142,
080116,Avià,137,694,185,132,631,236,269,1325,421,
080121,Avinyó,166,693,179,149,622,258,315,1315,437,
170123,Avinyonet de Puigventós,96,410,51,97,383,64,193,793,115,
080137,Avinyonet del Penedès,115,587,120,93,458,156,208,1045,276,
080155,Badalona,15765,81401,12813,14722,75496,18356,30487,156897,31169,
089045,Badia del Vallès,1109,5142,840,1033,5017,1089,2142,10159,1929,
080168,Bagà,114,707,235,124,689,291,238,1396,526,
250390,Baix Pallars,13,139,61,19,101,47,32,240,108,
250404,Balaguer,1193,5350,1143,1142,4916,1537,2335,10266,2680,
080174,Balenyà,252,1239,208,280,1162,280,532,2401,488,
080180,Balsareny,204,1130,286,197,1049,411,401,2179,697,
430206,Banyeres del Penedès,191,884,136,161,776,155,352,1660,291,
170157,Banyoles,1463,5853,1183,1405,5375,1659,2868,11228,2842,
250411,Barbens,50,311,97,27,219,128,77,530,225,
430213,Barberà de la Conca,30,179,43,34,135,67,64,314,110,
082520,Barberà del Vallès,2287,10321,1308,2082,10107,1722,4369,20428,3030,
080193,Barcelona,95455,531662,127346,91018,545718,201876,186473,1077380,329222,
250426,"Baronia de Rialb, la",23,94,33,17,69,41,40,163,74,
170160,Bàscara,65,311,88,31,272,110,96,583,198,
250447,Bassella,20,79,35,17,71,39,37,150,74,
430228,Batea,112,694,262,119,635,272,231,1329,534,
250450,Bausen,0,18,15,0,6,13,0,24,28,
080207,Begues,609,1910,222,577,1873,279,1186,3783,501,
170139,Begur,310,1440,301,297,1328,310,607,2768,611,
250463,Belianes,46,193,80,39,157,100,85,350,180,
251706,Bellaguarda,20,101,68,12,94,65,32,195,133,
170182,Bellcaire d'Empordà,49,235,62,46,202,74,95,437,136,
250479,Bellcaire d'Urgell,57,387,167,68,383,212,125,770,379,
250485,Bell-lloc d'Urgell,141,754,225,169,695,271,310,1449,496,
250498,Bellmunt d'Urgell,10,67,31,20,71,29,30,138,60,
430234,Bellmunt del Priorat,12,101,49,10,87,61,22,188,110,
080214,Bellprat,3,35,12,4,25,10,7,60,22,
250501,Bellpuig,292,1599,368,286,1348,483,578,2947,851,
430249,Bellvei,122,636,125,115,514,131,237,1150,256,
250518,Bellver de Cerdanya,98,699,156,103,561,192,201,1260,348,
250523,Bellvís,119,796,269,128,641,341,247,1437,610,
250539,Benavent de Segrià,91,456,82,114,398,76,205,854,158,
430252,Benifallet,37,241,123,39,220,150,76,461,273,
430265,Benissanet,66,420,131,50,357,145,116,777,276,
080229,Berga,1058,5481,1438,984,5156,2058,2042,10637,3496,
170195,Besalú,129,722,237,133,715,275,262,1437,512,
170209,Bescanó,327,1285,281,318,1227,324,645,2512,605,
170216,Beuda,9,54,12,12,53,7,21,107,19,
080235,Bigues i Riells del Fai,669,2686,353,576,2476,395,1245,5162,748,
250557,Biosca,15,73,32,12,63,40,27,136,72,
170221,"Bisbal d'Empordà, la",703,3228,663,676,3006,920,1379,6234,1583,
430271,"Bisbal de Falset, la",13,86,37,12,71,35,25,157,72,
430287,"Bisbal del Penedès, la",205,1019,203,177,839,237,382,1858,440,
172348,Biure,11,87,22,19,73,25,30,160,47,
430290,Blancafort,29,145,48,22,113,64,51,258,112,
170237,Blanes,2876,13368,2259,2745,12571,2892,5621,25939,5151,
170293,Boadella i les Escaules,15,79,22,14,84,26,29,163,48,
170242,Bolvir,13,114,21,10,97,32,23,211,53,
430304,Bonastre,30,198,37,35,147,47,65,345,84,
250576,"Bòrdes, Es",13,85,19,9,91,18,22,176,37,
170255,Bordils,122,541,113,106,475,144,228,1016,257,
250582,"Borges Blanques, les",375,1911,513,331,1711,678,706,3622,1191,
430311,"Borges del Camp, les",123,655,154,135,601,187,258,1256,341,
170268,Borrassà,33,215,60,25,177,76,58,392,136,
080240,Borredà,44,179,43,25,159,68,69,338,111,
250595,Bossòst,68,384,81,68,334,86,136,718,167,
430326,Bot,31,246,119,33,207,147,64,453,266,
430332,Botarell,92,359,46,64,313,59,156,672,105,
250560,Bovera,9,115,67,10,99,77,19,214,144,
430347,Bràfim,35,238,58,28,200,77,63,438,135,
170274,Breda,268,1275,310,264,1127,381,532,2402,691,
080253,"Bruc, el",134,601,95,106,490,117,240,1091,212,
080266,"Brull, el",13,74,21,10,64,20,23,138,41,
170280,Brunyola i Sant Martí Sapresa,16,109,53,15,107,53,31,216,106,
430350,Cabacés,13,122,45,19,90,51,32,212,96,
250609,Cabanabona,6,29,22,4,31,30,10,60,52,
170314,Cabanelles,13,98,30,10,70,28,23,168,58,
170307,Cabanes,68,319,88,77,274,85,145,593,173,
080272,"Cabanyes, les",61,250,39,65,217,50,126,467,89,
250616,Cabó,6,36,19,1,28,18,7,64,37,
430363,Cabra del Camp,73,311,77,49,284,65,122,595,142,
080288,Cabrera d'Anoia,71,380,58,65,310,60,136,690,118,
080291,Cabrera de Mar,369,1494,239,328,1430,259,697,2924,498,
080305,Cabrils,645,2165,257,671,2179,321,1316,4344,578,
170329,Cadaqués,172,929,165,203,925,229,375,1854,394,
080312,Calaf,196,1244,271,203,1013,344,399,2257,615,
430379,Calafell,1328,7070,1230,1250,6647,1380,2578,13717,2610,
080348,Calders,59,271,81,69,252,78,128,523,159,
080327,Caldes d'Estrac,176,881,162,171,834,284,347,1715,446,
170335,Caldes de Malavella,440,1856,368,400,1740,476,840,3596,844,
080333,Caldes de Montbui,1234,5549,988,1153,5278,1334,2387,10827,2322,
080351,Calella,1204,6090,1119,1154,5697,1663,2358,11787,2782,
080370,Calldetenes,176,829,135,166,716,161,342,1545,296,
080386,Callús,100,502,120,93,480,182,193,982,302,
080364,Calonge de Segarra,19,59,29,11,55,33,30,114,62,
170340,Calonge i Sant Antoni,705,3300,666,682,3086,723,1387,6386,1389,
250621,Camarasa,38,304,132,32,265,155,70,569,287,
439039,Camarles,219,1163,303,224,1013,357,443,2176,660,
430385,Cambrils,2198,9554,1371,2096,9279,1711,4294,18833,3082,
170353,Camós,40,242,68,39,206,78,79,448,146,
170366,Campdevànol,207,1134,370,176,1077,468,383,2211,838,
170372,Campelles,0,47,13,4,35,15,4,82,28,
080399,Campins,23,137,20,41,112,21,64,249,41,
170388,Campllong,37,113,38,35,111,34,72,224,72,
170391,Camprodon,120,840,248,142,783,313,262,1623,561,
250637,Canejan,5,36,15,7,27,17,12,63,32,
170405,Canet d'Adri,37,214,41,32,181,59,69,395,100,
080403,Canet de Mar,942,4363,844,842,4154,1284,1784,8517,2128,
080410,Canovelles,1139,5762,774,1070,4919,1004,2209,10681,1778,
080425,Cànoves i Samalús,206,881,149,194,777,168,400,1658,317,
170412,Cantallops,15,84,38,14,79,41,29,163,79,
080431,Canyelles,278,1214,158,258,1069,150,536,2283,308,
430398,Capafonts,0,42,18,1,30,19,1,72,37,
430402,Capçanes,20,133,42,15,133,57,35,266,99,
080446,Capellades,397,1806,389,388,1785,537,785,3591,926,
170427,Capmany,26,175,63,29,146,61,55,321,124,
080459,Capolat,2,32,7,4,22,12,6,54,19,
080462,Cardedeu,1388,5301,767,1241,5247,1074,2629,10548,1841,
080478,Cardona,283,1740,515,291,1638,765,574,3378,1280,
080484,Carme,41,261,70,40,212,102,81,473,172,
430419,Caseres,17,86,51,17,96,51,34,182,102,
170448,Cassà de la Selva,685,3057,680,630,2669,891,1315,5726,1571,
080497,Casserres,77,493,181,70,487,240,147,980,421,
080575,Castell de l'Areny,1,26,8,7,14,4,8,40,12,
259046,Castell de Mur,11,51,29,10,47,25,21,98,54,
250642,Castellar de la Ribera,12,45,19,11,49,22,23,94,41,
080522,Castellar de n'Hug,6,70,18,6,58,26,12,128,44,
080500,Castellar del Riu,11,58,15,12,45,11,23,103,26,
080517,Castellar del Vallès,1863,7279,1054,1748,7050,1443,3611,14329,2497,
080538,Castellbell i el Vilar,231,1203,254,207,1062,350,438,2265,604,
080543,Castellbisbal,1070,4030,491,1000,3694,557,2070,7724,1048,
080556,Castellcir,53,194,34,40,152,55,93,346,89,
250674,Castelldans,45,362,126,45,270,143,90,632,269,
080569,Castelldefels,4754,21165,2398,4600,20622,3179,9354,41787,5577,
080581,Castellet i la Gornal,145,625,152,140,562,174,285,1187,326,
170464,Castellfollit de la Roca,54,334,102,48,284,142,102,618,244,
080608,Castellfollit de Riubregós,12,70,20,7,61,32,19,131,52,
080594,Castellfollit del Boix,34,132,35,31,118,53,65,250,88,
080615,Castellgalí,107,481,93,93,399,109,200,880,202,
080620,Castellnou de Bages,77,310,36,61,270,37,138,580,73,
250680,Castellnou de Seana,49,242,94,34,216,102,83,458,196,
170470,Castelló d'Empúries,751,3345,647,707,3016,701,1458,6361,1348,
250693,Castelló de Farfanya,24,195,81,26,168,89,50,363,170,
080636,Castellolí,28,161,34,40,149,47,68,310,81,
170486,Castell-Platja d'Aro,619,3606,556,588,3262,608,1207,6868,1164,
250707,Castellserà,54,373,150,60,326,165,114,699,315,
080641,Castellterçol,144,733,200,155,691,272,299,1424,472,
430424,Castellvell del Camp,220,854,92,239,819,116,459,1673,208,
080654,Castellví de la Marca,109,549,134,116,470,185,225,1019,319,
080667,Castellví de Rosanes,115,503,83,127,461,81,242,964,164,
430430,"Catllar, el",277,1209,178,239,1147,171,516,2356,349,
250714,Cava,0,25,11,3,14,7,3,39,18,
171899,"Cellera de Ter, la",155,723,176,122,647,241,277,1370,417,
170499,Celrà,336,1245,193,328,1171,237,664,2416,430,
080673,Centelles,471,2236,469,459,2154,704,930,4390,1173,
082687,Cercs,86,438,164,54,395,205,140,833,369,
082665,Cerdanyola del Vallès,4456,21139,2813,4089,20896,3721,8545,42035,6534,
080689,Cervelló,567,2837,356,536,2590,464,1103,5427,820,
250729,Cervera,705,3348,606,699,2764,820,1404,6112,1426,
250735,Cervià de les Garrigues,40,282,128,36,254,124,76,536,252,
170502,Cervià de Ter,67,252,77,60,252,88,127,504,165,
170519,Cistella,12,80,28,19,72,28,31,152,56,
250740,Ciutadilla,17,80,32,7,68,31,24,148,63,
250753,Clariana de Cardener,12,58,8,9,52,10,21,110,18,
250766,"Cogul, el",6,73,38,10,59,34,16,132,72,
170545,Colera,26,211,75,24,193,77,50,404,152,
250772,Coll de Nargó,24,210,81,27,173,85,51,383,166,
080692,Collbató,347,1266,134,290,1121,179,637,2387,313,
430458,Colldejou,7,84,17,8,59,18,15,143,35,
080706,Collsuspina,26,117,19,20,99,25,46,216,44,
170558,Colomers,9,68,27,4,62,37,13,130,64,
251636,"Coma i la Pedra, la",12,117,31,11,70,29,23,187,60,
251615,Conca de Dalt,19,142,66,19,118,75,38,260,141,
430461,Conesa,7,53,15,7,31,20,14,84,35,
430477,Constantí,445,2173,363,421,1783,423,866,3956,786,
080713,Copons,9,103,30,21,87,39,30,190,69,
430483,Corbera d'Ebre,64,397,137,57,309,153,121,706,290,
080728,Corbera de Llobregat,1141,4477,556,1004,4144,703,2145,8621,1259,
250788,Corbins,87,515,108,76,385,140,163,900,248,
170577,Corçà,71,443,108,58,435,117,129,878,225,
080734,Cornellà de Llobregat,5830,30066,5919,5565,28703,8048,11395,58769,13967,
170561,Cornellà del Terri,145,687,180,115,677,213,260,1364,393,
430496,Cornudella de Montsant,40,340,108,51,276,133,91,616,241,
430509,Creixell,178,883,197,155,781,247,333,1664,444,
170583,Crespià,23,69,31,11,75,32,34,144,63,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",75,453,86,88,419,112,163,872,198,
080749,Cubelles,877,4008,626,747,3640,719,1624,7648,1345,
250791,Cubells,27,110,64,27,99,68,54,209,132,
430516,Cunit,638,3347,675,652,3022,683,1290,6369,1358,
170600,Darnius,24,186,69,28,162,74,52,348,143,
170617,Das,10,66,16,7,56,16,17,122,32,
439018,Deltebre,734,3855,959,624,3609,1162,1358,7464,2121,
080752,Dosrius,333,1536,176,348,1488,212,681,3024,388,
430537,Duesaigües,10,80,36,5,48,26,15,128,62,
170622,"Escala, l'",560,3044,679,532,2766,730,1092,5810,1409,
080765,Esparreguera,1846,7746,1039,1621,7088,1400,3467,14834,2439,
170638,Espinelves,14,65,25,6,52,31,20,117,56,
250812,"Espluga Calba, l'",13,166,59,18,124,68,31,290,127,
430542,"Espluga de Francolí, l'",261,1275,370,234,1188,486,495,2463,856,
080771,Esplugues de Llobregat,3098,16694,3086,2836,16875,3961,5934,33569,7047,
170643,Espolla,16,137,46,23,115,58,39,252,104,
170656,Esponellà,27,151,34,31,146,43,58,297,77,
250827,Espot,23,160,24,24,108,35,47,268,59,
080787,"Espunyola, l'",17,77,39,16,90,31,33,167,70,
082541,"Esquirol, l'",152,730,200,168,686,264,320,1416,464,
250886,Estamariu,4,42,18,5,32,18,9,74,36,
080790,"Estany, l'",20,118,48,21,125,61,41,243,109,
250851,Estaràs,9,68,23,13,40,28,22,108,51,
250864,Esterri d'Àneu,45,262,72,50,257,87,95,519,159,
250870,Esterri de Cardós,1,24,8,5,22,10,6,46,18,
430555,Falset,175,926,234,195,811,317,370,1737,551,
170059,"Far d'Empordà, el",39,154,38,34,138,45,73,292,83,
250899,Farrera,2,47,11,6,31,8,8,78,19,
430568,"Fatarella, la",51,391,157,59,335,187,110,726,344,
430574,"Febró, la",0,28,7,1,18,4,1,46,11,
081347,Figaró-Montmany,69,374,80,74,289,134,143,663,214,
080804,Fígols,3,14,10,1,13,7,4,27,17,
259084,Fígols i Alinyà,5,92,54,7,70,45,12,162,99,
430580,"Figuera, la",6,74,20,7,59,24,13,133,44,
170669,Figueres,3115,13544,2501,2934,13098,3692,6049,26642,6193,
430593,Figuerola del Camp,20,97,31,32,98,40,52,195,71,
170675,Flaçà,57,348,91,64,312,111,121,660,202,
430607,Flix,230,1418,413,197,1286,485,427,2704,898,
250925,"Floresta, la",13,60,27,7,47,30,20,107,57,
080826,Fogars de la Selva,111,427,73,104,382,74,215,809,147,
080811,Fogars de Montclús,41,148,35,23,131,39,64,279,74,
170681,Foixà,29,103,37,15,101,44,44,204,81,
080832,Folgueroles,187,646,120,168,630,154,355,1276,274,
250931,Fondarella,60,278,54,49,282,63,109,560,117,
080847,Fonollosa,94,437,85,88,405,99,182,842,184,
170694,Fontanals de Cerdanya,18,166,35,25,149,43,43,315,78,
170708,Fontanilles,10,64,19,5,52,14,15,116,33,
170715,Fontcoberta,71,417,65,95,413,76,166,830,141,
080850,Font-rubí,98,481,156,95,397,155,193,878,311,
250946,Foradada,11,81,34,5,57,25,16,138,59,
179026,Forallac,108,625,130,116,589,177,224,1214,307,
430614,Forès,0,21,13,0,16,12,0,37,25,
170736,Fornells de la Selva,175,648,89,184,657,131,359,1305,220,
170741,Fortià,26,213,52,48,166,67,74,379,119,
080863,"Franqueses del Vallès, les",1230,5811,751,1168,5260,976,2398,11071,1727,
430629,Freginals,15,138,56,22,119,56,37,257,112,
250962,"Fuliola, la",66,399,141,69,352,177,135,751,318,
250978,Fulleda,4,41,18,5,36,17,9,77,35,
080902,Gaià,14,52,13,11,55,12,25,107,25,
430635,"Galera, la",47,268,96,41,248,118,88,516,214,
080879,Gallifa,19,74,13,17,74,13,36,148,26,
430640,Gandesa,190,1088,289,185,914,362,375,2002,651,
430653,Garcia,18,162,80,20,139,79,38,301,159,
430666,"Garidells, els",12,71,18,13,58,17,25,129,35,
080885,"Garriga, la",1197,4586,756,1140,4675,1118,2337,9261,1874,
170754,Garrigàs,18,122,41,17,92,42,35,214,83,
170767,Garrigoles,8,58,18,7,40,25,15,98,43,
170773,Garriguella,55,263,72,41,222,82,96,485,154,
080898,Gavà,3528,16022,2542,3341,15537,3240,6869,31559,5782,
250984,Gavet de la Conca,12,86,49,13,89,64,25,175,113,
080919,Gelida,476,2061,358,438,1855,462,914,3916,820,
170789,Ger,29,155,41,22,157,29,51,312,70,
259123,Gimenells i el Pla de la Font,71,391,119,54,330,145,125,721,264,
430672,Ginestar,49,341,112,47,264,137,96,605,249,
170792,Girona,7120,30001,4877,6927,30484,7263,14047,60485,12140,
080924,Gironella,240,1616,508,229,1533,727,469,3149,1235,
080930,Gisclareny,0,17,3,1,13,2,1,30,5,
430688,Godall,36,239,116,37,203,118,73,442,234,
250997,Golmés,101,525,123,106,497,156,207,1022,279,
170806,Gombrèn,12,78,20,8,77,34,20,155,54,
251001,Gósol,9,85,24,3,69,33,12,154,57,
080945,"Granada, la",124,560,120,117,530,143,241,1090,263,
251018,"Granadella, la",35,257,116,49,191,142,84,448,258,
080958,Granera,1,43,10,0,19,6,1,62,16,
251023,"Granja d'Escarp, la",55,393,117,51,296,144,106,689,261,
080961,Granollers,4457,20945,3342,4263,20037,4752,8720,40982,8094,
251039,Granyanella,3,49,23,5,40,19,8,89,42,
251057,Granyena de les Garrigues,7,64,24,2,39,34,9,103,58,
251044,Granyena de Segarra,2,42,29,1,35,29,3,77,58,
430691,Gratallops,18,78,26,11,64,26,29,142,52,
080977,Gualba,77,385,66,68,328,64,145,713,130,
170813,Gualta,30,155,27,24,89,34,54,244,61,
080996,Guardiola de Berguedà,62,301,111,50,265,137,112,566,248,
430705,"Guiamets, els",19,117,41,15,80,55,34,197,96,
170828,Guils de Cerdanya,16,158,32,23,132,31,39,290,63,
251095,Guimerà,8,110,66,14,91,71,22,201,137,
259031,"Guingueta d'Àneu, la",30,120,37,20,105,42,50,225,79,
251109,Guissona,413,2000,237,363,1546,315,776,3546,552,
251116,Guixers,3,64,19,2,39,17,5,103,36,
081000,Gurb,202,775,134,199,730,149,401,1505,283,
430712,Horta de Sant Joan,83,436,151,52,351,168,135,787,319,
081017,"Hospitalet de Llobregat, l'",15502,90045,18753,14601,88338,25645,30103,178383,44398,
081629,"Hostalets de Pierola, els",151,713,124,140,606,145,291,1319,269,
170834,Hostalric,261,1295,212,250,1156,285,511,2451,497,
081022,Igualada,2700,12545,2519,2550,11911,3708,5250,24456,6227,
251155,Isona i Conca Dellà,66,393,171,36,303,180,102,696,351,
170849,Isòvol,9,107,18,5,59,33,14,166,51,
251137,Ivars d'Urgell,92,695,199,102,513,247,194,1208,446,
251121,Ivars de Noguera,10,132,45,17,101,48,27,233,93,
251142,Ivorra,6,44,19,9,41,29,15,85,48,
170852,Jafre,18,146,47,12,98,56,30,244,103,
170865,"Jonquera, la",217,1174,165,196,1054,210,413,2228,375,
081038,Jorba,61,203,60,67,198,76,128,401,136,
259101,Josa i Tuixén,9,58,20,3,59,21,12,117,41,
170871,Juià,23,109,29,15,87,35,38,196,64,
251180,Juncosa,29,199,78,32,128,85,61,327,163,
251193,Juneda,198,1152,324,200,967,381,398,2119,705,
251214,Les,47,316,48,45,290,83,92,606,131,
251229,Linyola,180,912,238,166,809,282,346,1721,520,
081043,"Llacuna, la",51,325,87,52,245,109,103,570,196,
170887,Lladó,33,194,58,42,167,68,75,361,126,
251235,Lladorre,7,78,29,11,75,24,18,153,53,
251240,Lladurs,14,74,24,12,66,25,26,140,49,
081056,"Llagosta, la",989,4998,760,949,4760,999,1938,9758,1759,
170890,Llagostera,536,2436,525,510,2099,658,1046,4535,1183,
170904,Llambilles,42,210,42,44,193,54,86,403,96,
170911,Llanars,34,204,52,19,177,60,53,381,112,
170926,Llançà,273,1530,370,270,1439,489,543,2969,859,
251253,Llardecans,28,185,82,28,156,91,56,341,173,
251266,Llavorsí,16,111,43,21,107,36,37,218,79,
251207,Lleida,9213,44481,8102,8880,42355,11678,18093,86836,19780,
170932,Llers,83,409,89,83,374,107,166,783,196,
251272,Lles de Cerdanya,16,91,32,3,61,34,19,152,66,
081075,Lliçà d'Amunt,1171,4554,688,1104,4212,710,2275,8766,1398,
081081,Lliçà de Vall,518,2170,325,448,2045,315,966,4215,640,
251288,Llimiana,7,55,30,2,50,24,9,105,54,
081069,Llinars del Vallès,727,2903,446,652,2802,636,1379,5705,1082,
170947,Llívia,78,508,84,58,424,100,136,932,184,
430727,"Lloar, el",6,43,21,2,34,20,8,77,41,
251291,Llobera,12,81,25,7,61,38,19,142,63,
430733,Llorac,5,37,14,9,29,20,14,66,34,
430748,Llorenç del Penedès,168,671,136,175,669,178,343,1340,314,
170950,Lloret de Mar,2385,11661,1328,2138,10252,1681,4523,21913,3009,
170963,"Llosses, les",13,100,27,11,85,25,24,185,52,
081094,Lluçà,20,92,22,17,74,24,37,166,46,
171024,Maçanet de Cabrenys,31,263,87,37,209,107,68,472,194,
171030,Maçanet de la Selva,445,1971,349,406,1782,401,851,3753,750,
170979,Madremanya,11,69,21,16,82,23,27,151,44,
170985,Maià de Montcal,24,129,40,16,122,43,40,251,83,
251333,Maials,41,308,131,47,259,175,88,567,306,
251305,Maldà,19,89,48,15,85,37,34,174,85,
081108,Malgrat de Mar,1257,6101,1153,1122,5638,1562,2379,11739,2715,
081115,Malla,14,88,18,14,101,23,28,189,41,
081120,Manlleu,1662,6898,1327,1515,6240,1846,3177,13138,3173,
081136,Manresa,4994,23939,5632,4490,22782,8506,9484,46721,14138,
430764,Marçà,35,188,83,31,191,93,66,379,176,
430751,Margalef,9,42,18,4,29,23,13,71,41,
082423,Marganell,15,88,19,20,91,42,35,179,61,
081141,Martorell,2169,9705,1438,2001,8471,1982,4170,18176,3420,
081154,Martorelles,364,1793,335,295,1687,429,659,3480,764,
430770,Mas de Barberans,33,225,85,34,205,101,67,430,186,
171002,Masarac,17,83,30,18,78,37,35,161,67,
430786,Masdenverge,61,371,118,69,318,115,130,689,233,
081167,"Masies de Roda, les",44,252,62,50,242,69,94,494,131,
081173,"Masies de Voltregà, les",252,1054,199,245,1047,270,497,2101,469,
430799,Masllorenç,27,161,51,27,130,67,54,291,118,
081189,"Masnou, el",1630,7521,1254,1534,7588,1937,3164,15109,3191,
430803,"Masó, la",7,101,32,18,93,34,25,194,66,
430810,Maspujols,42,164,61,42,152,59,84,316,120,
081192,Masquefa,664,2596,357,647,2406,400,1311,5002,757,
430825,"Masroig, el",32,173,70,26,152,86,58,325,156,
251312,Massalcoreig,37,230,70,34,165,89,71,395,159,
171019,Massanes,42,229,58,46,191,58,88,420,116,
251327,Massoteres,12,77,24,8,57,27,20,134,51,
081206,Matadepera,912,2736,369,750,2697,502,1662,5433,871,
081213,Mataró,8926,42605,6937,8224,40117,9889,17150,82722,16826,
081228,Mediona,132,702,189,115,594,211,247,1296,400,
251348,Menàrguens,48,280,110,52,225,130,100,505,240,
170998,Meranges,2,39,13,1,23,10,3,62,23,
171058,Mieres,29,121,33,29,96,44,58,217,77,
430831,"Milà, el",8,56,18,16,57,22,24,113,40,
251351,Miralcamp,75,443,117,71,417,152,146,860,269,
430846,Miravet,48,293,78,35,221,124,83,514,202,
081385,Moià,436,1822,360,415,1631,478,851,3453,838,
430859,"Molar, el",17,93,45,12,74,45,29,167,90,
081234,Molins de Rei,1781,8218,1383,1722,8072,1893,3503,16290,3276,
251370,Mollerussa,986,4431,713,909,3860,930,1895,8291,1643,
171061,Mollet de Peralada,7,56,24,6,47,35,13,103,59,
