Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,14,63,22,13,52,19,27,115,41,
080018,Abrera,804,3855,429,784,3489,478,1588,7344,907,
250024,Àger,20,161,87,10,123,84,30,284,171,
250030,Agramunt,408,2000,425,333,1598,591,741,3598,1016,
080023,Aguilar de Segarra,15,76,32,13,70,29,28,146,61,
170010,Agullana,39,266,88,53,218,95,92,484,183,
080142,Aiguafreda,152,799,171,162,750,274,314,1549,445,
430017,Aiguamúrcia,40,279,73,31,228,68,71,507,141,
170025,Aiguaviva,50,218,36,55,197,45,105,415,81,
250387,Aitona,147,827,237,106,687,318,253,1514,555,
250045,"Alamús, els",37,277,70,40,217,93,77,494,163,
250058,Alàs i Cerc,25,149,51,18,112,51,43,261,102,
250061,"Albagés, l'",35,163,65,28,132,68,63,295,133,
170031,Albanyà,14,47,11,9,40,10,23,87,21,
250077,Albatàrrec,120,546,110,108,430,130,228,976,240,
250083,Albesa,103,525,157,96,486,194,199,1011,351,
250096,"Albi, l'",48,294,91,45,254,105,93,548,196,
430022,Albinyana,157,725,159,150,670,175,307,1395,334,
430038,"Albiol, l'",34,119,20,39,104,17,73,223,37,
170046,Albons,51,211,46,27,188,66,78,399,112,
430043,Alcanar,653,3347,793,541,3050,927,1194,6397,1720,
250100,Alcanó,9,80,38,15,68,41,24,148,79,
250117,Alcarràs,383,1798,460,352,1706,542,735,3504,1002,
250122,Alcoletge,150,808,154,141,680,160,291,1488,314,
430056,Alcover,352,1593,328,355,1386,391,707,2979,719,
439044,"Aldea, l'",226,1331,359,209,1129,439,435,2460,798,
430069,Aldover,28,278,99,35,264,129,63,542,228,
430075,"Aleixar, l'",55,252,83,64,225,88,119,477,171,
080039,Alella,681,3280,466,649,3271,593,1330,6551,1059,
430081,Alfara de Carles,10,128,51,17,99,55,27,227,106,
250138,Alfarràs,234,1167,304,214,970,371,448,2137,675,
250143,Alfés,18,115,38,13,85,49,31,200,87,
430094,Alforja,100,516,154,82,462,174,182,978,328,
250156,Algerri,18,153,70,17,140,84,35,293,154,
250169,Alguaire,207,1097,276,180,933,330,387,2030,606,
250175,Alins,6,83,37,11,63,48,17,146,85,
430108,Alió,9,145,40,27,113,50,36,258,90,
250194,Almacelles,408,2244,521,391,1841,651,799,4085,1172,
250208,Almatret,18,145,76,16,99,96,34,244,172,
250215,Almenar,241,1293,356,197,1078,434,438,2371,790,
430115,Almoster,120,400,66,121,371,62,241,771,128,
250220,Alòs de Balaguer,9,67,27,4,44,28,13,111,55,
170062,Alp,89,565,72,88,489,86,177,1054,158,
080044,Alpens,26,101,26,21,81,33,47,182,59,
250236,Alpicat,387,1829,270,412,1704,382,799,3533,652,
250241,Alt Àneu,31,177,50,22,129,45,53,306,95,
430120,Altafulla,351,1457,203,338,1387,257,689,2844,460,
170078,Amer,131,748,232,122,714,290,253,1462,522,
430136,"Ametlla de Mar, l'",423,2300,595,424,2093,603,847,4393,1198,
080057,"Ametlla del Vallès, l'",761,2558,333,681,2545,441,1442,5103,774,
439060,"Ampolla, l'",161,862,255,130,839,271,291,1701,526,
430141,Amposta,1335,6748,1380,1311,6199,1746,2646,12947,3126,
170084,Anglès,364,1869,454,343,1595,566,707,3464,1020,
250273,Anglesola,64,438,154,73,403,158,137,841,312,
250292,Arbeca,177,808,280,135,746,338,312,1554,618,
430167,"Arboç, l'",434,1718,312,300,1414,384,734,3132,696,
