Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,7,60,23,10,46,19,17,106,42
080018,Abrera,1195,4231,726,1113,3989,801,2308,8220,1527
250024,Àger,36,210,81,22,165,90,58,375,171
250030,Agramunt,465,1963,424,439,1729,579,904,3692,1003
080023,Aguilar de Segarra,16,80,32,18,73,23,34,153,55
170010,Agullana,53,292,89,70,248,101,123,540,190
080142,Aiguafreda,183,810,216,185,813,295,368,1623,511
430017,Aiguamúrcia,57,332,97,65,274,93,122,606,190
170025,Aiguaviva,79,255,59,93,248,58,172,503,117
250387,Aitona,172,811,251,180,664,324,352,1475,575
250045,"Alamús, els",41,271,83,45,223,89,86,494,172
250058,Alàs i Cerc,18,122,43,27,97,52,45,219,95
250061,"Albagés, l'",24,141,59,20,119,64,44,260,123
170031,Albanyà,22,63,5,13,51,10,35,114,15
250077,Albatàrrec,174,815,107,150,708,136,324,1523,243
250083,Albesa,136,591,158,93,476,182,229,1067,340
250096,"Albi, l'",70,261,117,63,237,115,133,498,232
430022,Albinyana,188,776,214,181,738,257,369,1514,471
430038,"Albiol, l'",42,168,28,52,154,25,94,322,53
170046,Albons,70,257,60,61,228,63,131,485,123
430043,Alcanar,761,3647,956,645,3314,1066,1406,6961,2022
250100,Alcanó,15,70,34,12,69,44,27,139,78
250117,Alcarràs,800,3392,499,730,2984,621,1530,6376,1120
250122,Alcoletge,264,1250,183,251,1078,198,515,2328,381
430056,Alcover,468,1744,373,438,1665,454,906,3409,827
439044,"Aldea, l'",341,1602,396,285,1320,470,626,2922,866
430069,Aldover,64,297,133,56,278,145,120,575,278
430075,"Aleixar, l'",75,300,68,80,268,93,155,568,161
080039,Alella,845,3164,727,760,3349,845,1605,6513,1572
430081,Alfara de Carles,20,141,54,23,101,55,43,242,109
250138,Alfarràs,224,1031,286,229,870,361,453,1901,647
250143,Alfés,13,111,40,21,86,48,34,197,88
430094,Alforja,139,638,172,108,605,195,247,1243,367
250156,Algerri,16,141,71,11,103,89,27,244,160
250169,Alguaire,236,1123,277,223,933,321,459,2056,598
250175,Alins,19,98,40,21,77,46,40,175,86
430108,Alió,21,145,46,38,130,41,59,275,87
250194,Almacelles,514,2427,556,480,2049,698,994,4476,1254
250208,Almatret,8,123,52,9,82,74,17,205,126
250215,Almenar,247,1330,348,232,1041,414,479,2371,762
430115,Almoster,120,486,85,121,494,90,241,980,175
250220,Alòs de Balaguer,8,43,24,4,30,24,12,73,48
170062,Alp,125,687,96,127,569,108,252,1256,204
080044,Alpens,26,111,30,20,87,30,46,198,60
250236,Alpicat,595,2179,346,616,2110,421,1211,4289,767
250241,Alt Àneu,12,174,47,21,126,36,33,300,83
430120,Altafulla,449,1665,308,430,1700,376,879,3365,684
170078,Amer,141,736,222,153,726,305,294,1462,527
430136,"Ametlla de Mar, l'",587,2540,797,534,2376,870,1121,4916,1667
080057,"Ametlla del Vallès, l'",834,2853,442,766,2792,540,1600,5645,982
439060,"Ampolla, l'",227,1245,382,207,1164,411,434,2409,793
430141,Amposta,1853,7472,1596,1647,6993,1950,3500,14465,3546
170084,Anglès,480,1877,461,488,1796,560,968,3673,1021
250273,Anglesola,96,436,151,111,409,181,207,845,332
250292,Arbeca,147,839,284,147,708,345,294,1547,629
430167,"Arboç, l'",539,1973,360,517,1679,449,1056,3652,809
430154,Arbolí,6,47,9,0,32,16,6,79,25
170097,Arbúcies,571,2343,488,546,2011,568,1117,4354,1056
080060,Arenys de Mar,1185,5048,1224,1039,4965,1763,2224,10013,2987
080076,Arenys de Munt,812,2961,584,731,2764,736,1543,5725,1320
170101,Argelaguer,34,146,43,23,131,48,57,277,91
080082,Argençola,11,95,11,14,62,22,25,157,33
430173,"Argentera, l'",3,67,18,5,41,18,8,108,36
080095,Argentona,1079,3977,804,1030,3974,1056,2109,7951,1860
170118,"Armentera, l'",59,295,82,68,261,106,127,556,188
430189,Arnes,21,140,86,23,120,89,44,260,175
250313,Arres,5,30,5,0,17,4,5,47,9
250328,Arsèguel,7,32,6,8,25,6,15,57,12
080109,Artés,449,1979,385,446,1801,547,895,3780,932
250334,Artesa de Lleida,130,521,146,115,437,170,245,958,316
250349,Artesa de Segre,284,1270,333,289,1112,420,573,2382,753
430192,Ascó,86,590,183,83,523,185,169,1113,368
250365,Aspa,13,59,35,5,66,34,18,125,69
250371,"Avellanes i Santa Linya, les",27,158,85,23,117,64,50,275,149
080116,Avià,192,742,206,185,727,237,377,1469,443
080121,Avinyó,203,757,201,165,692,298,368,1449,499
170123,Avinyonet de Puigventós,172,559,69,153,536,77,325,1095,146
080137,Avinyonet del Penedès,171,589,143,136,494,172,307,1083,315
080155,Badalona,18124,75924,15257,16846,72828,20729,34970,148752,35986
089045,Badia del Vallès,1126,4496,964,1059,4445,1441,2185,8941,2405
080168,Bagà,143,761,242,121,727,305,264,1488,547
250390,Baix Pallars,29,123,43,23,113,45,52,236,88
250404,Balaguer,1466,5838,1190,1335,5204,1632,2801,11042,2822
080174,Balenyà,326,1313,235,321,1213,320,647,2526,555
080180,Balsareny,213,1262,272,226,1084,417,439,2346,689
430206,Banyeres del Penedès,294,1053,205,300,964,228,594,2017,433
170157,Banyoles,1797,6471,1314,1666,6052,1819,3463,12523,3133
250411,Barbens,69,280,106,66,225,124,135,505,230
430213,Barberà de la Conca,40,193,49,32,144,65,72,337,114
082520,Barberà del Vallès,2875,11448,1830,2801,11212,2414,5676,22660,4244
080193,Barcelona,102296,526558,134847,96982,545267,205872,199278,1071825,340719
250426,"Baronia de Rialb, la",11,91,35,14,67,39,25,158,74
170160,Bàscara,88,317,94,64,278,133,152,595,227
250447,Bassella,15,79,33,17,77,28,32,156,61
430228,Batea,121,608,256,122,572,288,243,1180,544
250450,Bausen,1,15,15,1,11,9,2,26,24
080207,Begues,668,2280,326,666,2272,378,1334,4552,704
170139,Begur,289,1433,371,278,1361,416,567,2794,787
250463,Belianes,33,174,79,31,147,92,64,321,171
251706,Bellaguarda,21,95,50,6,90,55,27,185,105
170182,Bellcaire d'Empordà,54,202,66,47,219,76,101,421,142
250479,Bellcaire d'Urgell,89,435,149,87,366,189,176,801,338
250485,Bell-lloc d'Urgell,171,766,211,189,737,263,360,1503,474
250498,Bellmunt d'Urgell,13,61,23,12,58,31,25,119,54
430234,Bellmunt del Priorat,19,107,37,14,89,47,33,196,84
080214,Bellprat,4,31,17,3,24,10,7,55,27
250501,Bellpuig,383,1856,350,414,1485,513,797,3341,863
430249,Bellvei,214,709,168,201,667,170,415,1376,338
250518,Bellver de Cerdanya,162,795,193,145,663,227,307,1458,420
250523,Bellvís,173,768,247,143,711,329,316,1479,576
250539,Benavent de Segrià,149,546,100,146,486,100,295,1032,200
430252,Benifallet,27,227,111,26,196,138,53,423,249
430265,Benissanet,74,488,131,80,348,159,154,836,290
080229,Berga,1277,5461,1436,1152,5274,2009,2429,10735,3445
170195,Besalú,171,747,235,197,764,292,368,1511,527
170209,Bescanó,482,1594,325,491,1553,394,973,3147,719
170216,Beuda,16,63,21,14,60,14,30,123,35
080235,Bigues i Riells del Fai,868,3090,514,831,2855,589,1699,5945,1103
250557,Biosca,8,77,25,5,51,36,13,128,61
170221,"Bisbal d'Empordà, la",1044,3705,703,900,3476,965,1944,7181,1668
430271,"Bisbal de Falset, la",17,71,33,6,53,39,23,124,72
430287,"Bisbal del Penedès, la",290,1216,324,263,1079,325,553,2295,649
172348,Biure,15,89,26,15,70,29,30,159,55
430290,Blancafort,24,139,49,22,122,58,46,261,107
