Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,10,58,25,9,48,20,19,106,45,
080018,Abrera,1203,4132,783,1112,3946,895,2315,8078,1678,
250024,Àger,30,211,84,24,169,95,54,380,179,
250030,Agramunt,455,1877,443,447,1707,562,902,3584,1005,
080023,Aguilar de Segarra,17,84,30,19,70,26,36,154,56,
170010,Agullana,54,274,90,66,248,96,120,522,186,
080142,Aiguafreda,177,783,215,184,790,316,361,1573,531,
430017,Aiguamúrcia,60,320,106,61,271,94,121,591,200,
170025,Aiguaviva,82,248,61,85,240,59,167,488,120,
250387,Aitona,195,801,253,177,708,322,372,1509,575,
250045,"Alamús, els",46,276,82,53,231,90,99,507,172,
250058,Alàs i Cerc,25,113,44,19,102,53,44,215,97,
250061,"Albagés, l'",16,142,64,18,115,64,34,257,128,
170031,Albanyà,18,60,7,11,44,9,29,104,16,
250077,Albatàrrec,182,858,116,161,756,141,343,1614,257,
250083,Albesa,135,582,157,103,461,186,238,1043,343,
250096,"Albi, l'",68,249,109,58,218,117,126,467,226,
430022,Albinyana,175,769,227,168,722,259,343,1491,486,
430038,"Albiol, l'",45,149,34,46,144,30,91,293,64,
170046,Albons,68,248,66,68,227,68,136,475,134,
430043,Alcanar,721,3215,927,634,3049,1057,1355,6264,1984,
250100,Alcanó,16,73,34,12,68,43,28,141,77,
250117,Alcarràs,860,3504,499,823,3051,635,1683,6555,1134,
250122,Alcoletge,275,1253,188,273,1091,205,548,2344,393,
430056,Alcover,445,1703,387,435,1645,458,880,3348,845,
439044,"Aldea, l'",329,1500,410,276,1266,464,605,2766,874,
430069,Aldover,58,271,130,50,256,153,108,527,283,
430075,"Aleixar, l'",75,299,74,75,270,92,150,569,166,
080039,Alella,821,3084,821,740,3284,910,1561,6368,1731,
430081,Alfara de Carles,18,131,53,23,94,59,41,225,112,
250138,Alfarràs,222,1040,296,210,850,358,432,1890,654,
250143,Alfés,17,105,42,21,92,49,38,197,91,
430094,Alforja,136,636,184,125,603,199,261,1239,383,
250156,Algerri,22,130,77,12,92,89,34,222,166,
250169,Alguaire,221,1074,276,222,881,328,443,1955,604,
250175,Alins,16,95,42,16,74,45,32,169,87,
430108,Alió,20,135,47,35,138,44,55,273,91,
250194,Almacelles,512,2439,583,485,2047,700,997,4486,1283,
250208,Almatret,8,114,50,7,78,69,15,192,119,
