Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,11,67,21,7,54,23,18,121,44,
080018,Abrera,1164,4274,887,1072,4091,1050,2236,8365,1937,
250024,Àger,25,200,89,26,155,85,51,355,174,
250030,Agramunt,415,1807,488,422,1678,601,837,3485,1089,
080023,Aguilar de Segarra,26,94,28,28,83,23,54,177,51,
170010,Agullana,67,275,89,68,270,94,135,545,183,
080142,Aiguafreda,157,830,234,165,795,331,322,1625,565,
430017,Aiguamúrcia,59,310,114,68,272,107,127,582,221,
170025,Aiguaviva,75,254,56,64,257,59,139,511,115,
250387,Aitona,215,871,252,188,706,335,403,1577,587,
250045,"Alamús, els",56,272,84,50,264,85,106,536,169,
250058,Alàs i Cerc,21,93,44,19,87,56,40,180,100,
250061,"Albagés, l'",13,122,54,14,102,56,27,224,110,
170031,Albanyà,18,47,14,19,46,11,37,93,25,
250077,Albatàrrec,184,839,119,183,756,155,367,1595,274,
250083,Albesa,117,565,166,95,418,200,212,983,366,
250096,"Albi, l'",59,215,104,42,200,124,101,415,228,
430022,Albinyana,193,865,215,163,765,267,356,1630,482,
430038,"Albiol, l'",66,167,39,40,157,31,106,324,70,
170046,Albons,53,262,76,54,242,72,107,504,148,
430043,Alcanar,665,3176,941,642,2933,1077,1307,6109,2018,
250100,Alcanó,18,74,29,14,68,35,32,142,64,
250117,Alcarràs,952,3612,532,854,3113,644,1806,6725,1176,
250122,Alcoletge,301,1286,218,299,1095,236,600,2381,454,
430056,Alcover,424,1715,416,441,1644,504,865,3359,920,
439044,"Aldea, l'",330,1433,434,269,1213,468,599,2646,902,
430069,Aldover,57,286,114,44,262,142,101,548,256,
430075,"Aleixar, l'",66,319,73,66,289,80,132,608,153,
080039,Alella,850,3005,983,738,3222,1106,1588,6227,2089,
430081,Alfara de Carles,15,130,56,18,98,59,33,228,115,
250138,Alfarràs,176,956,308,181,785,359,357,1741,667,
250143,Alfés,21,100,38,15,81,42,36,181,80,
430094,Alforja,122,639,158,115,558,191,237,1197,349,
250156,Algerri,23,129,67,15,88,82,38,217,149,
250169,Alguaire,198,1110,298,233,850,340,431,1960,638,
250175,Alins,13,88,42,11,79,39,24,167,81,
430108,Alió,34,128,57,46,148,45,80,276,102,
250194,Almacelles,513,2530,606,454,1991,732,967,4521,1338,
250208,Almatret,7,108,55,5,70,60,12,178,115,
250215,Almenar,225,1189,360,200,949,434,425,2138,794,
430115,Almoster,91,484,99,89,477,101,180,961,200,
250220,Alòs de Balaguer,5,49,25,3,27,23,8,76,48,
170062,Alp,98,614,111,85,558,127,183,1172,238,
080044,Alpens,19,99,19,12,84,28,31,183,47,
250236,Alpicat,572,2145,421,569,2075,484,1141,4220,905,
250241,Alt Àneu,25,159,55,12,124,39,37,283,94,
430120,Altafulla,450,1676,453,467,1737,524,917,3413,977,
170078,Amer,156,737,251,155,716,317,311,1453,568,
430136,"Ametlla de Mar, l'",485,2206,801,440,2066,868,925,4272,1669,
080057,"Ametlla del Vallès, l'",717,3018,623,663,2946,679,1380,5964,1302,
439060,"Ampolla, l'",186,1065,432,197,959,438,383,2024,870,
430141,Amposta,1833,7026,1816,1602,6671,2167,3435,13697,3983,
170084,Anglès,486,1867,464,467,1773,597,953,3640,1061,
250273,Anglesola,102,443,144,122,376,178,224,819,322,
250292,Arbeca,116,715,270,114,615,296,230,1330,566,
430167,"Arboç, l'",522,1943,416,509,1727,492,1031,3670,908,
430154,Arbolí,5,56,13,5,34,14,10,90,27,
170097,Arbúcies,548,2313,555,532,2004,656,1080,4317,1211,
080060,Arenys de Mar,1183,5167,1411,1070,5058,2052,2253,10225,3463,
080076,Arenys de Munt,776,3081,734,658,2999,873,1434,6080,1607,
170101,Argelaguer,23,140,44,18,127,44,41,267,88,
080082,Argençola,12,82,19,18,67,21,30,149,40,
430173,"Argentera, l'",0,50,16,3,30,18,3,80,34,
080095,Argentona,1030,4170,997,957,4117,1265,1987,8287,2262,
170118,"Armentera, l'",85,300,93,87,282,104,172,582,197,
430189,Arnes,19,115,85,21,113,91,40,228,176,
250313,Arres,1,32,6,3,16,2,4,48,8,
250328,Arsèguel,8,28,10,6,24,5,14,52,15,
080109,Artés,465,1975,471,451,1810,590,916,3785,1061,
250334,Artesa de Lleida,100,583,133,90,463,166,190,1046,299,
250349,Artesa de Segre,237,1169,350,225,1024,395,462,2193,745,
430192,Ascó,102,542,200,94,495,211,196,1037,411,
250365,Aspa,10,70,35,10,57,38,20,127,73,
250371,"Avellanes i Santa Linya, les",22,144,83,25,91,68,47,235,151,
080116,Avià,180,718,215,154,707,246,334,1425,461,
080121,Avinyó,171,763,203,163,693,296,334,1456,499,
170123,Avinyonet de Puigventós,147,579,92,147,582,94,294,1161,186,
080137,Avinyonet del Penedès,110,628,161,114,507,177,224,1135,338,
080155,Badalona,17590,74108,18320,16506,72614,24028,34096,146722,42348,
089045,Badia del Vallès,1029,4369,1170,977,4204,1666,2006,8573,2836,
080168,Bagà,116,680,265,113,641,325,229,1321,590,
250390,Baix Pallars,20,122,38,18,92,41,38,214,79,
250404,Balaguer,1550,6117,1286,1434,5320,1765,2984,11437,3051,
080174,Balenyà,316,1321,284,289,1262,368,605,2583,652,
080180,Balsareny,188,1092,296,203,977,436,391,2069,732,
430206,Banyeres del Penedès,278,1081,266,275,1033,274,553,2114,540,
170157,Banyoles,1825,6681,1480,1693,6392,1982,3518,13073,3462,
250411,Barbens,53,318,97,55,239,116,108,557,213,
430213,Barberà de la Conca,34,171,55,31,116,64,65,287,119,
082520,Barberà del Vallès,2788,11069,2538,2753,10974,3212,5541,22043,5750,
080193,Barcelona,104905,544980,140823,99367,562944,211163,204272,1107924,351986,
250426,"Baronia de Rialb, la",5,74,37,11,66,36,16,140,73,
170160,Bàscara,79,349,93,70,285,125,149,634,218,
250447,Bassella,13,68,31,6,69,30,19,137,61,
430228,Batea,138,546,265,127,517,308,265,1063,573,
250450,Bausen,0,16,14,2,15,13,2,31,27,
080207,Begues,685,2489,476,668,2453,529,1353,4942,1005,
170139,Begur,234,1321,400,238,1259,439,472,2580,839,
250463,Belianes,25,151,85,25,151,83,50,302,168,
251706,Bellaguarda,12,97,41,8,79,50,20,176,91,
170182,Bellcaire d'Empordà,45,215,65,53,216,84,98,431,149,
250479,Bellcaire d'Urgell,71,397,139,76,336,180,147,733,319,
250485,Bell-lloc d'Urgell,154,793,212,173,731,272,327,1524,484,
250498,Bellmunt d'Urgell,10,60,20,12,53,30,22,113,50,
430234,Bellmunt del Priorat,20,90,32,7,81,43,27,171,75,
080214,Bellprat,0,25,16,1,13,9,1,38,25,
250501,Bellpuig,373,1989,412,420,1495,529,793,3484,941,
430249,Bellvei,206,769,187,190,690,195,396,1459,382,
250518,Bellver de Cerdanya,149,676,210,133,607,230,282,1283,440,
250523,Bellvís,168,755,236,132,638,331,300,1393,567,
250539,Benavent de Segrià,115,581,110,104,483,125,219,1064,235,
430252,Benifallet,25,212,99,32,221,134,57,433,233,
430265,Benissanet,68,432,130,65,298,147,133,730,277,
080229,Berga,1260,5475,1580,1089,5209,2147,2349,10684,3727,
170195,Besalú,204,723,254,200,781,325,404,1504,579,
170209,Bescanó,502,1660,360,444,1591,434,946,3251,794,
170216,Beuda,14,74,11,20,56,11,34,130,22,
080235,Bigues i Riells del Fai,782,3321,676,758,3079,742,1540,6400,1418,
250557,Biosca,4,59,31,6,44,33,10,103,64,
170221,"Bisbal d'Empordà, la",1038,3722,805,958,3576,1060,1996,7298,1865,
430271,"Bisbal de Falset, la",17,69,30,9,50,36,26,119,66,
430287,"Bisbal del Penedès, la",252,1281,385,238,1108,367,490,2389,752,
172348,Biure,13,74,38,10,72,34,23,146,72,
430290,Blancafort,19,134,47,21,107,54,40,241,101,
170237,Blanes,2847,13629,3370,2710,13126,4232,5557,26755,7602,
170293,Boadella i les Escaules,13,93,31,18,88,29,31,181,60,
170242,Bolvir,27,134,36,17,121,40,44,255,76,
430304,Bonastre,56,243,60,59,213,54,115,456,114,
250576,"Bòrdes, Es",17,100,25,17,75,21,34,175,46,
170255,Bordils,146,599,140,137,576,163,283,1175,303,
250582,"Borges Blanques, les",502,2048,602,457,1829,735,959,3877,1337,
430311,"Borges del Camp, les",189,694,170,156,620,227,345,1314,397,
170268,Borrassà,74,243,63,64,217,72,138,460,135,
080240,Borredà,20,177,60,20,123,64,40,300,124,
250595,Bossòst,67,388,89,78,376,117,145,764,206,
430326,Bot,26,162,96,20,144,106,46,306,202,
430332,Botarell,90,396,66,94,351,80,184,747,146,
250560,Bovera,10,81,47,10,52,48,20,133,95,
430347,Bràfim,67,220,68,56,192,92,123,412,160,
170274,Breda,232,1248,362,273,1192,455,505,2440,817,
