Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,8,60,26,9,47,20,17,107,46
080018,Abrera,1189,4221,757,1121,3977,860,2310,8198,1617
250024,Àger,34,205,75,24,164,92,58,369,167
250030,Agramunt,461,1895,421,443,1720,575,904,3615,996
080023,Aguilar de Segarra,17,82,33,18,77,24,35,159,57
170010,Agullana,54,274,86,67,247,98,121,521,184
080142,Aiguafreda,178,804,212,195,799,310,373,1603,522
430017,Aiguamúrcia,60,327,100,64,265,93,124,592,193
170025,Aiguaviva,78,254,60,89,244,58,167,498,118
250387,Aitona,193,785,247,179,687,324,372,1472,571
250045,"Alamús, els",44,277,82,49,227,90,93,504,172
250058,Alàs i Cerc,19,120,43,23,100,51,42,220,94
250061,"Albagés, l'",18,140,62,20,115,64,38,255,126
170031,Albanyà,17,62,6,13,46,11,30,108,17
250077,Albatàrrec,179,823,110,151,737,139,330,1560,249
250083,Albesa,131,569,156,94,470,188,225,1039,344
250096,"Albi, l'",71,251,114,55,224,119,126,475,233
430022,Albinyana,187,774,220,173,729,252,360,1503,472
430038,"Albiol, l'",43,157,34,50,148,26,93,305,60
170046,Albons,66,248,61,64,221,67,130,469,128
430043,Alcanar,747,3247,928,615,3044,1056,1362,6291,1984
250100,Alcanó,15,70,33,14,64,46,29,134,79
250117,Alcarràs,840,3479,496,782,3021,634,1622,6500,1130
250122,Alcoletge,271,1257,188,266,1086,202,537,2343,390
430056,Alcover,457,1747,369,432,1668,458,889,3415,827
439044,"Aldea, l'",337,1575,406,283,1310,465,620,2885,871
430069,Aldover,61,277,137,54,261,150,115,538,287
430075,"Aleixar, l'",78,303,69,76,274,91,154,577,160
080039,Alella,815,3140,767,740,3335,854,1555,6475,1621
430081,Alfara de Carles,23,133,55,25,99,60,48,232,115
250138,Alfarràs,228,1039,295,221,861,359,449,1900,654
250143,Alfés,12,108,42,17,87,49,29,195,91
430094,Alforja,124,645,177,111,598,204,235,1243,381
250156,Algerri,19,134,75,9,96,90,28,230,165
250169,Alguaire,233,1125,278,222,911,324,455,2036,602
250175,Alins,15,93,42,16,74,46,31,167,88
430108,Alió,21,141,48,38,139,45,59,280,93
250194,Almacelles,514,2405,565,485,2027,703,999,4432,1268
250208,Almatret,7,117,52,8,75,74,15,192,126
250215,Almenar,233,1308,346,216,1026,418,449,2334,764
430115,Almoster,117,486,88,120,493,92,237,979,180
250220,Alòs de Balaguer,7,40,22,4,29,24,11,69,46
170062,Alp,111,663,102,120,556,109,231,1219,211
080044,Alpens,26,107,29,21,90,27,47,197,56
250236,Alpicat,589,2190,361,621,2091,445,1210,4281,806
250241,Alt Àneu,12,173,50,20,122,39,32,295,89
430120,Altafulla,459,1667,325,444,1699,394,903,3366,719
170078,Amer,146,725,224,156,728,302,302,1453,526
430136,"Ametlla de Mar, l'",569,2371,763,510,2249,841,1079,4620,1604
080057,"Ametlla del Vallès, l'",837,2878,462,747,2804,555,1584,5682,1017
439060,"Ampolla, l'",225,1162,385,199,1102,406,424,2264,791
430141,Amposta,1824,7279,1610,1624,6902,1958,3448,14181,3568
170084,Anglès,474,1854,458,475,1778,567,949,3632,1025
250273,Anglesola,95,428,155,108,393,181,203,821,336
250292,Arbeca,141,799,281,137,694,337,278,1493,618
430167,"Arboç, l'",534,1959,372,496,1698,456,1030,3657,828
430154,Arbolí,3,47,9,0,29,17,3,76,26
170097,Arbúcies,563,2327,487,538,1981,585,1101,4308,1072
080060,Arenys de Mar,1198,5036,1275,1063,4925,1810,2261,9961,3085
080076,Arenys de Munt,829,2937,605,743,2780,760,1572,5717,1365
170101,Argelaguer,31,152,46,21,126,49,52,278,95
080082,Argençola,7,91,15,12,64,23,19,155,38
430173,"Argentera, l'",2,62,17,5,41,19,7,103,36
080095,Argentona,1057,3969,851,1030,3954,1102,2087,7923,1953
170118,"Armentera, l'",69,296,85,75,272,104,144,568,189
430189,Arnes,23,136,83,24,117,91,47,253,174
250313,Arres,5,34,6,3,21,4,8,55,10
250328,Arsèguel,7,31,7,8,21,7,15,52,14
080109,Artés,470,1978,393,461,1810,549,931,3788,942
250334,Artesa de Lleida,120,529,135,115,442,167,235,971,302
250349,Artesa de Segre,269,1256,325,280,1109,417,549,2365,742
430192,Ascó,94,581,187,81,521,190,175,1102,377
250365,Aspa,12,61,34,7,64,37,19,125,71
250371,"Avellanes i Santa Linya, les",27,159,86,20,120,67,47,279,153
080116,Avià,197,724,208,167,729,233,364,1453,441
080121,Avinyó,205,737,196,163,675,299,368,1412,495
170123,Avinyonet de Puigventós,168,551,78,161,543,80,329,1094,158
080137,Avinyonet del Penedès,144,588,146,127,497,173,271,1085,319
080155,Badalona,17892,73874,15821,16693,71559,21371,34585,145433,37192
089045,Badia del Vallès,1126,4477,1000,1052,4412,1486,2178,8889,2486
080168,Bagà,135,736,238,116,702,298,251,1438,536
250390,Baix Pallars,29,123,40,23,103,43,52,226,83
250404,Balaguer,1451,5686,1196,1339,5151,1662,2790,10837,2858
080174,Balenyà,335,1296,239,326,1203,325,661,2499,564
080180,Balsareny,207,1158,279,224,1055,420,431,2213,699
430206,Banyeres del Penedès,293,1045,214,302,967,236,595,2012,450
170157,Banyoles,1843,6526,1340,1672,6123,1839,3515,12649,3179
250411,Barbens,75,283,107,60,232,118,135,515,225
430213,Barberà de la Conca,44,184,53,35,137,66,79,321,119
082520,Barberà del Vallès,2867,11313,1940,2788,11107,2535,5655,22420,4475
080193,Barcelona,103100,518818,136398,97863,538615,207592,200963,1057433,343990
250426,"Baronia de Rialb, la",6,79,39,14,60,37,20,139,76
170160,Bàscara,85,303,94,64,264,139,149,567,233
250447,Bassella,13,76,36,15,77,27,28,153,63
430228,Batea,122,603,258,123,569,300,245,1172,558
250450,Bausen,1,14,14,1,10,9,2,24,23
080207,Begues,651,2283,348,665,2284,389,1316,4567,737
170139,Begur,275,1383,369,259,1305,403,534,2688,772
250463,Belianes,34,161,80,31,151,98,65,312,178
251706,Bellaguarda,17,94,50,5,83,58,22,177,108
170182,Bellcaire d'Empordà,53,192,64,47,211,83,100,403,147
250479,Bellcaire d'Urgell,95,416,155,91,363,185,186,779,340
250485,Bell-lloc d'Urgell,179,774,211,188,735,264,367,1509,475
250498,Bellmunt d'Urgell,11,61,23,11,56,30,22,117,53
430234,Bellmunt del Priorat,16,106,34,15,91,45,31,197,79
080214,Bellprat,0,31,15,2,19,11,2,50,26
250501,Bellpuig,369,1828,361,407,1481,510,776,3309,871
430249,Bellvei,224,714,183,208,666,179,432,1380,362
250518,Bellver de Cerdanya,151,739,196,135,632,222,286,1371,418
250523,Bellvís,176,765,243,144,685,329,320,1450,572
250539,Benavent de Segrià,139,555,98,135,478,111,274,1033,209
430252,Benifallet,29,224,105,17,190,138,46,414,243
430265,Benissanet,72,476,129,81,337,152,153,813,281
080229,Berga,1265,5349,1462,1148,5204,2028,2413,10553,3490
170195,Besalú,181,741,232,191,752,303,372,1493,535
170209,Bescanó,480,1619,328,481,1570,396,961,3189,724
170216,Beuda,19,69,20,18,60,14,37,129,34
080235,Bigues i Riells del Fai,859,3103,551,840,2881,620,1699,5984,1171
250557,Biosca,8,69,29,6,50,35,14,119,64
170221,"Bisbal d'Empordà, la",1035,3671,713,909,3462,971,1944,7133,1684
430271,"Bisbal de Falset, la",17,70,32,9,52,36,26,122,68
430287,"Bisbal del Penedès, la",286,1210,339,254,1061,345,540,2271,684
172348,Biure,15,89,28,14,70,29,29,159,57
430290,Blancafort,24,141,49,21,121,57,45,262,106
170237,Blanes,3114,13602,2987,2909,12889,3792,6023,26491,6779
170293,Boadella i les Escaules,18,85,26,15,79,25,33,164,51
170242,Bolvir,29,135,33,24,107,45,53,242,78
430304,Bonastre,51,218,52,54,201,46,105,419,98
250576,"Bòrdes, Es",15,95,24,9,74,17,24,169,41
170255,Bordils,154,575,123,146,539,153,300,1114,276
250582,"Borges Blanques, les",483,2065,546,429,1852,713,912,3917,1259
430311,"Borges del Camp, les",187,674,179,200,636,201,387,1310,380
170268,Borrassà,76,237,61,67,212,75,143,449,136
080240,Borredà,36,203,60,17,148,76,53,351,136
250595,Bossòst,79,412,78,83,384,104,162,796,182
430326,Bot,35,185,107,18,163,122,53,348,229
430332,Botarell,110,402,64,97,357,70,207,759,134
250560,Bovera,10,90,57,11,62,60,21,152,117
430347,Bràfim,48,220,64,49,194,85,97,414,149
170274,Breda,258,1266,352,289,1155,431,547,2421,783
