Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,9,66,27,8,51,23,17,117,50
080018,Abrera,1218,4238,827,1121,3987,972,2339,8225,1799
250024,Àger,27,200,88,22,155,94,49,355,182
250030,Agramunt,429,1817,460,424,1703,572,853,3520,1032
080023,Aguilar de Segarra,20,90,32,20,76,25,40,166,57
170010,Agullana,54,273,87,74,250,93,128,523,180
080142,Aiguafreda,168,803,233,183,797,330,351,1600,563
430017,Aiguamúrcia,52,304,104,67,270,96,119,574,200
170025,Aiguaviva,82,250,63,79,242,63,161,492,126
250387,Aitona,205,856,260,185,716,326,390,1572,586
250045,"Alamús, els",58,267,86,56,226,84,114,493,170
250058,Alàs i Cerc,23,108,47,25,97,51,48,205,98
250061,"Albagés, l'",20,130,61,17,106,59,37,236,120
170031,Albanyà,13,50,12,15,40,11,28,90,23
250077,Albatàrrec,182,884,117,173,773,146,355,1657,263
250083,Albesa,126,559,170,98,437,192,224,996,362
250096,"Albi, l'",64,231,109,52,207,118,116,438,227
430022,Albinyana,172,786,227,175,729,251,347,1515,478
430038,"Albiol, l'",52,162,33,47,153,32,99,315,65
170046,Albons,59,251,71,71,245,72,130,496,143
430043,Alcanar,678,3139,921,631,2954,1070,1309,6093,1991
250100,Alcanó,18,68,35,10,72,40,28,140,75
250117,Alcarràs,893,3448,495,840,3043,644,1733,6491,1139
250122,Alcoletge,292,1284,197,306,1126,210,598,2410,407
430056,Alcover,447,1714,410,455,1652,485,902,3366,895
439044,"Aldea, l'",349,1445,421,287,1238,471,636,2683,892
430069,Aldover,53,251,116,45,235,142,98,486,258
430075,"Aleixar, l'",70,300,75,73,262,86,143,562,161
080039,Alella,802,3026,876,720,3197,1004,1522,6223,1880
430081,Alfara de Carles,19,127,53,20,89,61,39,216,114
250138,Alfarràs,209,1020,286,197,814,353,406,1834,639
250143,Alfés,19,102,41,16,88,47,35,190,88
430094,Alforja,131,632,160,122,564,190,253,1196,350
250156,Algerri,22,134,66,13,96,86,35,230,152
250169,Alguaire,211,1065,286,222,849,337,433,1914,623
250175,Alins,18,88,46,16,75,43,34,163,89
430108,Alió,21,124,50,41,128,44,62,252,94
250194,Almacelles,519,2467,591,489,2071,720,1008,4538,1311
250208,Almatret,8,112,54,2,79,64,10,191,118
250215,Almenar,237,1252,349,202,1007,421,439,2259,770
430115,Almoster,88,499,95,99,479,101,187,978,196
250220,Alòs de Balaguer,5,42,27,4,26,24,9,68,51
170062,Alp,104,571,100,104,510,110,208,1081,210
080044,Alpens,25,98,21,19,85,29,44,183,50
250236,Alpicat,587,2194,365,602,2097,440,1189,4291,805
250241,Alt Àneu,19,159,51,13,125,38,32,284,89
430120,Altafulla,444,1642,399,439,1717,448,883,3359,847
170078,Amer,155,698,237,154,689,309,309,1387,546
430136,"Ametlla de Mar, l'",523,2180,770,504,2076,834,1027,4256,1604
080057,"Ametlla del Vallès, l'",769,2931,528,699,2839,602,1468,5770,1130
439060,"Ampolla, l'",209,1079,411,205,1006,424,414,2085,835
430141,Amposta,1776,6883,1672,1573,6602,2066,3349,13485,3738
170084,Anglès,475,1787,451,478,1700,588,953,3487,1039
250273,Anglesola,95,418,152,106,374,179,201,792,331
250292,Arbeca,117,736,276,143,641,318,260,1377,594
430167,"Arboç, l'",528,1904,390,498,1693,476,1026,3597,866
430154,Arbolí,3,58,9,5,31,17,8,89,26
170097,Arbúcies,558,2252,497,552,1944,624,1110,4196,1121
080060,Arenys de Mar,1174,4964,1319,1025,4942,1944,2199,9906,3263
080076,Arenys de Munt,806,2912,662,690,2841,817,1496,5753,1479
170101,Argelaguer,29,153,37,23,135,46,52,288,83
080082,Argençola,10,85,18,16,68,23,26,153,41
430173,"Argentera, l'",1,58,17,6,34,19,7,92,36
080095,Argentona,1046,3995,906,1002,4021,1163,2048,8016,2069
170118,"Armentera, l'",80,315,85,79,283,107,159,598,192
430189,Arnes,26,126,82,21,117,87,47,243,169
250313,Arres,2,29,6,2,18,2,4,47,8
250328,Arsèguel,9,32,7,4,24,6,13,56,13
080109,Artés,449,1947,426,449,1761,553,898,3708,979
250334,Artesa de Lleida,116,543,136,112,460,160,228,1003,296
250349,Artesa de Segre,258,1198,335,258,1050,409,516,2248,744
430192,Ascó,101,598,169,97,536,189,198,1134,358
250365,Aspa,10,63,34,8,64,35,18,127,69
250371,"Avellanes i Santa Linya, les",26,155,81,28,102,63,54,257,144
080116,Avià,183,710,219,168,725,244,351,1435,463
080121,Avinyó,175,755,189,157,668,296,332,1423,485
170123,Avinyonet de Puigventós,146,556,79,147,548,89,293,1104,168
080137,Avinyonet del Penedès,121,603,149,118,488,174,239,1091,323
080155,Badalona,17647,71524,17045,16498,70565,22569,34145,142089,39614
089045,Badia del Vallès,1058,4436,1092,1029,4299,1552,2087,8735,2644
080168,Bagà,126,695,240,113,672,303,239,1367,543
250390,Baix Pallars,24,120,39,18,108,32,42,228,71
250404,Balaguer,1512,5686,1222,1383,5179,1688,2895,10865,2910
080174,Balenyà,312,1297,235,294,1195,332,606,2492,567
080180,Balsareny,198,1125,295,202,987,433,400,2112,728
430206,Banyeres del Penedès,285,1049,238,289,1004,256,574,2053,494
170157,Banyoles,1872,6397,1375,1698,6159,1896,3570,12556,3271
250411,Barbens,60,331,106,55,258,123,115,589,229
430213,Barberà de la Conca,33,169,52,41,121,61,74,290,113
082520,Barberà del Vallès,2866,11073,2272,2815,10969,2865,5681,22042,5137
080193,Barcelona,105336,522088,139201,99950,544688,209546,205286,1066776,348747
250426,"Baronia de Rialb, la",6,75,43,12,61,38,18,136,81
170160,Bàscara,92,325,97,66,276,133,158,601,230
250447,Bassella,9,69,31,15,75,30,24,144,61
430228,Batea,130,571,264,127,543,303,257,1114,567
250450,Bausen,0,22,11,3,17,14,3,39,25
080207,Begues,662,2307,406,638,2374,443,1300,4681,849
170139,Begur,247,1340,387,229,1299,431,476,2639,818
250463,Belianes,32,151,78,26,147,85,58,298,163
251706,Bellaguarda,12,100,47,6,81,59,18,181,106
170182,Bellcaire d'Empordà,62,206,60,51,209,80,113,415,140
250479,Bellcaire d'Urgell,85,384,154,81,349,184,166,733,338
250485,Bell-lloc d'Urgell,162,779,216,180,710,274,342,1489,490
250498,Bellmunt d'Urgell,9,61,22,15,52,29,24,113,51
430234,Bellmunt del Priorat,14,94,38,7,91,46,21,185,84
080214,Bellprat,0,29,17,2,17,9,2,46,26
250501,Bellpuig,379,1840,372,412,1462,520,791,3302,892
430249,Bellvei,218,719,188,209,665,194,427,1384,382
250518,Bellver de Cerdanya,149,661,204,136,599,224,285,1260,428
250523,Bellvís,172,755,230,151,649,319,323,1404,549
250539,Benavent de Segrià,120,536,97,129,448,112,249,984,209
430252,Benifallet,30,211,104,29,211,136,59,422,240
430265,Benissanet,73,429,129,69,323,149,142,752,278
080229,Berga,1252,5161,1532,1064,5042,2064,2316,10203,3596
170195,Besalú,188,717,248,207,753,330,395,1470,578
170209,Bescanó,534,1597,348,472,1564,414,1006,3161,762
170216,Beuda,15,69,17,19,50,11,34,119,28
080235,Bigues i Riells del Fai,820,3135,614,813,2891,684,1633,6026,1298
250557,Biosca,6,65,28,6,45,36,12,110,64
170221,"Bisbal d'Empordà, la",1010,3603,752,957,3439,1014,1967,7042,1766
430271,"Bisbal de Falset, la",19,68,30,9,56,35,28,124,65
430287,"Bisbal del Penedès, la",278,1206,362,251,1018,345,529,2224,707
172348,Biure,13,73,32,11,71,30,24,144,62
430290,Blancafort,21,133,45,26,104,52,47,237,97
170237,Blanes,2978,13205,3150,2805,12700,3975,5783,25905,7125
170293,Boadella i les Escaules,16,94,30,20,78,29,36,172,59
170242,Bolvir,33,133,33,24,114,43,57,247,76
430304,Bonastre,63,214,56,65,215,48,128,429,104
250576,"Bòrdes, Es",16,99,25,14,77,21,30,176,46
170255,Bordils,145,582,127,127,549,163,272,1131,290
250582,"Borges Blanques, les",485,2020,563,439,1793,705,924,3813,1268
430311,"Borges del Camp, les",198,683,176,189,611,223,387,1294,399
170268,Borrassà,70,233,64,59,217,72,129,450,136
080240,Borredà,31,176,60,18,135,60,49,311,120
250595,Bossòst,82,379,85,84,378,112,166,757,197
430326,Bot,30,169,107,26,152,125,56,321,232
430332,Botarell,96,404,66,99,339,74,195,743,140
250560,Bovera,10,88,49,8,57,54,18,145,103
430347,Bràfim,60,209,66,58,193,86,118,402,152
170274,Breda,246,1250,348,282,1180,434,528,2430,782
080253,"Bruc, el",189,752,132,184,598,133,373,1350,265
080266,"Brull, el",29,89,21,20,79,20,49,168,41
170280,Brunyola i Sant Martí Sapresa,22,121,42,32,106,46,54,227,88
430350,Cabacés,20,100,39,25,81,44,45,181,83
250609,Cabanabona,2,26,7,3,21,22,5,47,29
170314,Cabanelles,27,95,28,17,64,34,44,159,62
170307,Cabanes,71,320,99,65,248,100,136,568,199
080272,"Cabanyes, les",105,323,56,94,302,67,199,625,123
250616,Cabó,5,33,13,6,23,13,11,56,26
430363,Cabra del Camp,99,379,114,76,344,119,175,723,233
080288,Cabrera d'Anoia,124,507,93,103,433,104,227,940,197
080291,Cabrera de Mar,380,1580,365,353,1529,387,733,3109,752
080305,Cabrils,654,2480,468,656,2527,511,1310,5007,979
170329,Cadaqués,203,940,216,214,956,265,417,1896,481
080312,Calaf,291,1160,325,274,1040,387,565,2200,712
430379,Calafell,2051,8273,2217,1809,8041,2507,3860,16314,4724
080348,Calders,74,347,76,74,293,98,148,640,174
080327,Caldes d'Estrac,209,922,225,201,937,329,410,1859,554
170335,Caldes de Malavella,667,2420,559,648,2390,667,1315,4810,1226
080333,Caldes de Montbui,1466,5758,1300,1347,5547,1769,2813,11305,3069
080351,Calella,1363,6123,1529,1315,5926,2225,2678,12049,3754
080370,Calldetenes,194,863,181,190,800,218,384,1663,399
080386,Callús,186,676,146,192,646,221,378,1322,367
080364,Calonge de Segarra,13,65,22,9,55,34,22,120,56
170340,Calonge i Sant Antoni,857,3559,993,742,3535,1118,1599,7094,2111
250621,Camarasa,50,278,111,38,243,143,88,521,254
439039,Camarles,264,1051,346,209,969,431,473,2020,777
430385,Cambrils,3012,10777,2310,2847,11073,2836,5859,21850,5146
170353,Camós,58,215,70,42,207,95,100,422,165
170366,Campdevànol,222,1000,363,195,973,490,417,1973,853
170372,Campelles,5,47,18,8,43,14,13,90,32
080399,Campins,33,195,32,39,160,39,72,355,71
170388,Campllong,58,176,23,63,169,36,121,345,59
170391,Camprodon,140,689,262,139,657,327,279,1346,589
250637,Canejan,0,33,18,4,26,7,4,59,25
170405,Canet d'Adri,68,230,60,55,219,71,123,449,131
080403,Canet de Mar,1184,4557,1267,1117,4592,1706,2301,9149,2973
439076,"Canonja, la",504,1959,386,536,1936,483,1040,3895,869
080410,Canovelles,1589,5608,1129,1458,5053,1308,3047,10661,2437
080425,Cànoves i Samalús,243,996,233,259,914,261,502,1910,494
170412,Cantallops,23,103,36,24,94,42,47,197,78
080431,Canyelles,399,1537,315,386,1445,306,785,2982,621
430398,Capafonts,3,35,16,3,33,12,6,68,28
430402,Capçanes,16,124,61,25,121,56,41,245,117
080446,Capellades,408,1696,478,394,1629,620,802,3325,1098
170427,Capmany,49,192,75,50,179,78,99,371,153
080459,Capolat,13,27,7,11,33,8,24,60,15
080462,Cardedeu,1742,6008,1201,1654,6047,1558,3396,12055,2759
080478,Cardona,285,1517,514,307,1367,738,592,2884,1252
080484,Carme,58,269,80,53,242,89,111,511,169
430419,Caseres,6,71,41,10,67,39,16,138,80
170448,Cassà de la Selva,919,3592,688,876,3186,970,1795,6778,1658
080497,Casserres,100,484,183,94,471,225,194,955,408
080575,Castell de l'Areny,5,25,10,1,25,3,6,50,13
259046,Castell de Mur,7,60,27,7,41,26,14,101,53
250642,Castellar de la Ribera,14,39,19,13,34,21,27,73,40
080522,Castellar de n'Hug,6,65,15,6,47,20,12,112,35
080500,Castellar del Riu,14,58,24,8,46,16,22,104,40
080517,Castellar del Vallès,2185,7898,1619,2004,8016,2054,4189,15914,3673
080538,Castellbell i el Vilar,277,1254,325,305,1081,376,582,2335,701
080543,Castellbisbal,1241,4250,729,1146,4082,849,2387,8332,1578
080556,Castellcir,60,264,49,70,227,53,130,491,102
250674,Castelldans,53,348,105,51,265,121,104,613,226
080569,Castelldefels,5825,22677,4060,5388,22734,5270,11213,45411,9330
080581,Castellet i la Gornal,170,745,217,169,703,229,339,1448,446
170464,Castellfollit de la Roca,80,296,110,55,275,135,135,571,245
080608,Castellfollit de Riubregós,5,64,22,6,39,24,11,103,46
080594,Castellfollit del Boix,39,146,40,33,136,46,72,282,86
080615,Castellgalí,190,694,172,163,623,175,353,1317,347
080620,Castellnou de Bages,124,443,91,142,418,85,266,861,176
250680,Castellnou de Seana,46,232,84,44,179,101,90,411,185
170470,Castelló d'Empúries,836,3681,957,856,3418,1043,1692,7099,2000
250693,Castelló de Farfanya,34,177,78,30,141,82,64,318,160
080636,Castellolí,44,203,42,70,181,59,114,384,101
170486,Castell-Platja d'Aro,816,3514,884,751,3575,1053,1567,7089,1937
250707,Castellserà,57,326,124,60,281,160,117,607,284
080641,Castellterçol,177,779,226,166,714,312,343,1493,538
430424,Castellvell del Camp,266,968,191,254,989,181,520,1957,372
080654,Castellví de la Marca,109,514,149,115,485,182,224,999,331
080667,Castellví de Rosanes,141,638,119,152,613,163,293,1251,282
430430,"Catllar, el",392,1514,289,317,1444,295,709,2958,584
250714,Cava,2,19,11,1,12,7,3,31,18
