Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,9,71,22,14,53,17,23,124,39
080018,Abrera,855,3952,470,830,3619,518,1685,7571,988
250024,Àger,18,163,89,9,132,80,27,295,169
250030,Agramunt,428,2054,418,334,1633,592,762,3687,1010
080023,Aguilar de Segarra,19,82,32,14,76,27,33,158,59
170010,Agullana,42,265,87,51,213,98,93,478,185
080142,Aiguafreda,168,797,186,166,771,285,334,1568,471
430017,Aiguamúrcia,49,298,82,48,245,75,97,543,157
170025,Aiguaviva,49,207,36,59,194,49,108,401,85
250387,Aitona,147,864,230,116,692,321,263,1556,551
250045,"Alamús, els",31,260,71,38,211,90,69,471,161
250058,Alàs i Cerc,25,144,48,23,112,52,48,256,100
250061,"Albagés, l'",32,161,70,29,134,66,61,295,136
170031,Albanyà,11,49,12,8,47,10,19,96,22
250077,Albatàrrec,131,574,109,110,467,128,241,1041,237
250083,Albesa,107,537,155,98,498,192,205,1035,347
250096,"Albi, l'",48,277,91,40,249,106,88,526,197
430022,Albinyana,176,754,174,166,687,183,342,1441,357
430038,"Albiol, l'",34,131,19,44,105,15,78,236,34
170046,Albons,51,229,49,28,196,67,79,425,116
430043,Alcanar,691,3466,818,549,3139,957,1240,6605,1775
250100,Alcanó,8,78,37,16,72,42,24,150,79
250117,Alcarràs,456,2145,481,408,1923,557,864,4068,1038
250122,Alcoletge,175,869,158,153,720,164,328,1589,322
430056,Alcover,350,1637,336,365,1414,398,715,3051,734
439044,"Aldea, l'",247,1378,370,219,1129,452,466,2507,822
430069,Aldover,38,298,105,48,271,133,86,569,238
430075,"Aleixar, l'",64,264,81,77,234,95,141,498,176
080039,Alella,702,3237,505,683,3279,607,1385,6516,1112
430081,Alfara de Carles,9,123,51,14,92,52,23,215,103
250138,Alfarràs,230,1182,302,229,962,369,459,2144,671
250143,Alfés,14,113,43,13,88,50,27,201,93
430094,Alforja,125,547,149,97,493,173,222,1040,322
250156,Algerri,19,145,74,11,132,86,30,277,160
250169,Alguaire,226,1101,280,181,963,337,407,2064,617
250175,Alins,9,84,37,10,62,49,19,146,86
430108,Alió,10,147,40,26,112,41,36,259,81
250194,Almacelles,416,2278,533,374,1827,660,790,4105,1193
250208,Almatret,14,145,73,17,96,98,31,241,171
250215,Almenar,224,1300,350,204,1065,433,428,2365,783
430115,Almoster,126,437,68,139,398,73,265,835,141
250220,Alòs de Balaguer,9,62,29,5,40,29,14,102,58
170062,Alp,90,604,77,99,509,88,189,1113,165
080044,Alpens,29,109,27,22,84,36,51,193,63
250236,Alpicat,436,1969,290,440,1841,386,876,3810,676
250241,Alt Àneu,33,176,52,24,128,44,57,304,96
430120,Altafulla,377,1546,219,366,1488,278,743,3034,497
170078,Amer,136,759,232,109,728,294,245,1487,526
430136,"Ametlla de Mar, l'",453,2390,610,452,2205,634,905,4595,1244
080057,"Ametlla del Vallès, l'",785,2629,342,702,2601,458,1487,5230,800
439060,"Ampolla, l'",155,905,273,126,880,274,281,1785,547
430141,Amposta,1409,6894,1418,1379,6264,1778,2788,13158,3196
170084,Anglès,368,1841,470,364,1592,576,732,3433,1046
250273,Anglesola,67,440,152,76,402,166,143,842,318
250292,Arbeca,170,839,283,135,742,343,305,1581,626
430167,"Arboç, l'",461,1799,326,343,1490,383,804,3289,709
430154,Arbolí,1,48,8,0,30,18,1,78,26
170097,Arbúcies,516,2406,446,442,1859,563,958,4265,1009
080060,Arenys de Mar,1057,4773,1025,913,4755,1493,1970,9528,2518
080076,Arenys de Munt,676,2715,468,664,2580,618,1340,5295,1086
170101,Argelaguer,43,138,44,28,117,48,71,255,92
080082,Argençola,13,80,22,13,60,21,26,140,43
430173,"Argentera, l'",5,67,17,6,44,16,11,111,33
080095,Argentona,1003,3878,648,946,3804,882,1949,7682,1530
170118,"Armentera, l'",46,250,86,35,240,113,81,490,199
430189,Arnes,22,145,100,17,138,88,39,283,188
250313,Arres,4,30,3,2,14,8,6,44,11
250328,Arsèguel,3,35,11,3,38,10,6,73,21
080109,Artés,406,1783,379,348,1645,511,754,3428,890
250334,Artesa de Lleida,105,507,144,93,421,181,198,928,325
250349,Artesa de Segre,257,1301,359,225,1141,413,482,2442,772
430192,Ascó,84,559,169,87,500,203,171,1059,372
250365,Aspa,14,77,44,14,74,46,28,151,90
250371,"Avellanes i Santa Linya, les",18,177,69,15,118,72,33,295,141
080116,Avià,144,696,185,141,654,238,285,1350,423
080121,Avinyó,169,723,172,163,636,259,332,1359,431
170123,Avinyonet de Puigventós,134,456,56,110,418,67,244,874,123
080137,Avinyonet del Penedès,127,602,125,106,473,158,233,1075,283
080155,Badalona,16123,82899,13095,15122,75573,18708,31245,158472,31803
089045,Badia del Vallès,1105,5035,864,1022,4943,1154,2127,9978,2018
080168,Bagà,118,723,232,125,684,296,243,1407,528
250390,Baix Pallars,17,130,64,23,100,47,40,230,111
250404,Balaguer,1243,5556,1149,1212,5084,1525,2455,10640,2674
080174,Balenyà,265,1258,217,294,1163,282,559,2421,499
080180,Balsareny,199,1148,290,209,1059,405,408,2207,695
430206,Banyeres del Penedès,225,966,142,201,864,159,426,1830,301
170157,Banyoles,1526,5982,1197,1451,5467,1686,2977,11449,2883
250411,Barbens,45,309,99,31,217,127,76,526,226
430213,Barberà de la Conca,36,179,48,28,147,65,64,326,113
082520,Barberà del Vallès,2338,10585,1414,2170,10318,1808,4508,20903,3222
080193,Barcelona,96385,536488,128997,91997,548871,202864,188382,1085359,331861
250426,"Baronia de Rialb, la",18,102,32,16,71,42,34,173,74
170160,Bàscara,67,317,94,35,274,113,102,591,207
250447,Bassella,20,79,35,15,71,36,35,150,71
430228,Batea,112,710,261,119,634,270,231,1344,531
250450,Bausen,0,18,15,0,7,12,0,25,27
080207,Begues,639,1997,224,596,1957,286,1235,3954,510
170139,Begur,312,1492,308,287,1350,327,599,2842,635
250463,Belianes,40,189,77,37,150,99,77,339,176
251706,Bellaguarda,19,100,65,10,93,65,29,193,130
170182,Bellcaire d'Empordà,48,226,64,49,210,75,97,436,139
250479,Bellcaire d'Urgell,57,402,172,74,384,206,131,786,378
250485,Bell-lloc d'Urgell,146,769,227,175,726,283,321,1495,510
250498,Bellmunt d'Urgell,13,65,30,19,67,31,32,132,61
430234,Bellmunt del Priorat,14,108,41,12,92,57,26,200,98
080214,Bellprat,3,36,15,6,30,9,9,66,24
