Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,17,64,22,16,61,19,33,125,41,
080018,Abrera,670,3356,337,663,3038,390,1333,6394,727,
250024,Àger,22,155,108,16,133,89,38,288,197,
250030,Agramunt,365,1716,465,327,1486,601,692,3202,1066,
080023,Aguilar de Segarra,9,60,35,13,52,39,22,112,74,
170010,Agullana,29,212,95,37,184,109,66,396,204,
080142,Aiguafreda,131,750,172,138,705,235,269,1455,407,
430017,Aiguamúrcia,27,230,80,36,200,78,63,430,158,
170025,Aiguaviva,38,192,40,42,181,44,80,373,84,
250387,Aitona,128,739,232,115,671,298,243,1410,530,
250045,"Alamús, els",42,237,69,40,214,94,82,451,163,
250058,Alàs i Cerc,21,138,50,21,105,56,42,243,106,
250061,"Albagés, l'",40,161,65,23,133,80,63,294,145,
170031,Albanyà,6,45,15,7,36,16,13,81,31,
250077,Albatàrrec,80,410,111,81,384,123,161,794,234,
250083,Albesa,89,486,171,88,474,204,177,960,375,
250096,"Albi, l'",38,275,96,42,228,110,80,503,206,
430022,Albinyana,99,589,134,94,512,142,193,1101,276,
430038,"Albiol, l'",15,70,13,11,57,11,26,127,24,
170046,Albons,42,214,60,31,172,77,73,386,137,
430043,Alcanar,503,2848,772,508,2611,933,1011,5459,1705,
250100,Alcanó,11,78,44,16,67,45,27,145,89,
250117,Alcarràs,327,1655,428,344,1565,485,671,3220,913,
250122,Alcoletge,130,688,154,113,607,154,243,1295,308,
430056,Alcover,272,1373,305,271,1250,370,543,2623,675,
439044,"Aldea, l'",255,1204,359,210,1096,415,465,2300,774,
430069,Aldover,29,243,107,34,247,122,63,490,229,
430075,"Aleixar, l'",46,252,75,49,206,97,95,458,172,
080039,Alella,680,3170,445,628,3118,573,1308,6288,1018,
430081,Alfara de Carles,15,122,54,12,96,63,27,218,117,
250138,Alfarràs,192,951,293,179,966,360,371,1917,653,
250143,Alfés,20,116,40,14,94,48,34,210,88,
430094,Alforja,75,433,170,70,377,184,145,810,354,
250156,Algerri,16,152,81,19,152,88,35,304,169,
250169,Alguaire,160,982,287,174,883,337,334,1865,624,
250175,Alins,9,87,42,13,67,55,22,154,97,
430108,Alió,12,122,53,27,104,54,39,226,107,
250194,Almacelles,345,2030,515,375,1770,624,720,3800,1139,
250208,Almatret,21,145,80,15,114,98,36,259,178,
250215,Almenar,229,1192,363,188,1080,428,417,2272,791,
430115,Almoster,72,306,60,76,275,62,148,581,122,
250220,Alòs de Balaguer,4,70,30,5,44,25,9,114,55,
170062,Alp,83,501,67,78,419,83,161,920,150,
080044,Alpens,25,90,29,20,77,33,45,167,62,
250236,Alpicat,360,1507,243,375,1413,339,735,2920,582,
250241,Alt Àneu,27,154,50,24,119,44,51,273,94,
430120,Altafulla,275,1268,172,246,1160,208,521,2428,380,
170078,Amer,135,715,239,131,693,292,266,1408,531,
