Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250485,Bell-lloc d'Urgell,163,790,224,189,720,286,352,1510,510
250498,Bellmunt d'Urgell,10,63,31,16,65,28,26,128,59
430234,Bellmunt del Priorat,16,110,38,16,101,55,32,211,93
080214,Bellprat,4,37,12,4,27,9,8,64,21
250501,Bellpuig,333,1680,358,331,1375,499,664,3055,857
430249,Bellvei,164,680,134,144,571,147,308,1251,281
250518,Bellver de Cerdanya,121,776,167,129,620,201,250,1396,368
250523,Bellvís,150,826,267,131,729,325,281,1555,592
250539,Benavent de Segrià,126,514,81,131,432,81,257,946,162
430252,Benifallet,42,243,120,42,211,150,84,454,270
430265,Benissanet,79,451,136,64,377,142,143,828,278
080229,Berga,1102,5713,1431,1044,5271,2035,2146,10984,3466
170195,Besalú,143,739,232,151,721,279,294,1460,511
170209,Bescanó,378,1401,296,356,1336,354,734,2737,650
170216,Beuda,5,60,13,9,59,7,14,119,20
080235,Bigues i Riells del Fai,761,2874,378,701,2657,436,1462,5531,814
250557,Biosca,12,76,33,9,53,45,21,129,78
170221,"Bisbal d'Empordà, la",769,3371,679,729,3114,931,1498,6485,1610
430271,"Bisbal de Falset, la",16,75,36,12,67,39,28,142,75
430287,"Bisbal del Penedès, la",242,1170,240,228,1014,248,470,2184,488
172348,Biure,11,92,21,22,72,27,33,164,48
430290,Blancafort,29,144,50,20,111,61,49,255,111
170237,Blanes,2975,14006,2418,2869,13013,3087,5844,27019,5505
170293,Boadella i les Escaules,13,74,22,11,78,30,24,152,52
170242,Bolvir,20,133,24,15,107,30,35,240,54
430304,Bonastre,44,217,49,49,176,49,93,393,98
250576,"Bòrdes, Es",14,93,20,9,89,16,23,182,36
170255,Bordils,136,584,114,132,508,151,268,1092,265
250582,"Borges Blanques, les",396,2002,508,349,1791,688,745,3793,1196
430311,"Borges del Camp, les",144,697,154,151,625,194,295,1322,348
170268,Borrassà,30,231,55,28,198,71,58,429,126
080240,Borredà,48,198,47,31,167,80,79,365,127
250595,Bossòst,78,431,75,64,380,87,142,811,162
430326,Bot,29,227,116,25,197,133,54,424,249
430332,Botarell,97,382,50,79,334,56,176,716,106
250560,Bovera,8,112,66,8,97,73,16,209,139
430347,Bràfim,46,244,60,33,216,75,79,460,135
170274,Breda,258,1304,320,280,1151,394,538,2455,714
080253,"Bruc, el",161,668,101,144,559,110,305,1227,211
080266,"Brull, el",20,79,23,14,72,19,34,151,42
170280,Brunyola i Sant Martí Sapresa,24,112,48,20,109,52,44,221,100
430350,Cabacés,12,122,48,22,87,52,34,209,100
250609,Cabanabona,3,26,20,3,24,27,6,50,47
170314,Cabanelles,12,98,28,9,68,27,21,166,55
170307,Cabanes,72,320,89,82,266,87,154,586,176
080272,"Cabanyes, les",86,303,39,90,277,47,176,580,86
250616,Cabó,4,35,20,2,27,16,6,62,36
