Any,Codi_ine_5_txt,Codi_ine_6_txt,NomMun,Comarca,AFT,Costa,Muntanya,Poblacio_padro,Superficie_ha,05_SU,05_perce_SU,05_SUC,05_perce_SUC,05_SNC,05_perce_SNC,05_SURB,05_perce_SUR,05_SUD,05_perce_SUD,05_SND,05_perce_SND,05_SNU,05_perce_SNU,06_Class_no_SNU,06_perce_Class_no_snu,07_densitat_pob_km2,08_densitat_pob_urba_Km2,09_Perce_SNC_SU,10_Perce_SUD_SU,11_Perce_SND_SU,012_Qual_SUC_AE,12_A1_SUC,12_A2_SUC,12_A3_SUC,13_Qual_SUC_R,13_R1_SUC,13_R2_SUC,13_R3_SUC,13_R4_SUC,13_R5_SUC,13_R6_SUC,14_Qual_SUC_Altres,14_M1_SUC,14_M2_SUC,14_M3_SUC,15_Qual_SUC_SISTEMES,15_SA_SUC,15_SC_SUC,15_SD_SUC,15_SE_SUC,15_SF_SUC,15_SH_SUC,15_SP_SUC,15_SS_SUC,15_ST_SUC,15_SV_SUC,15_SX0_SUC,15_SX1_SUC,15_SX2_SUC,16_QUAL_snu,16_N1_SNU,16_N2_SNU,16_N3_SNU,16_N4_SNU,17_Sol_resid_habt,18_Sol_AE_habt,19_Zverdes_habt,20_Equip_habt
2012,8102,81022,Igualada,Anoia,PE,0,,39198,822.3400,622.2445,75.6675,622.2445,75.6675,0.0000,0.0000,25.3235,3.0794,12.6491,1.5382,12.6744,1.5413,174.7730,21.2531,647.5681,78.7469,4833.1953,6299.4527,0.0000,2.0328,2.0369,135.2957,126.5736,8.7221,0,186.2790,0.0000,98.6508,0.0000,31.0563,11.2244,45.3475,10.0290,9.3096,0.7195,0,289.6733,0.0000,0.0000,0.6640,66.3092,1.2625,0.3294,0.0000,3.9187,3.7348,71.1228,0.0000,57.9057,85.6887,120.7247,47.2508,73.4739,0.0000,0.0000,210.4263,289.7210,18.1445,16.9165
2012,8047,80478,Cardona,Bages,CC,0,,5064,6673.8000,107.4292,1.6097,91.8763,1.3767,15.5529,0.2330,46.8435,0.7019,46.8435,0.7019,0.0000,0.0000,6519.5244,97.6884,154.2727,2.3116,75.9231,4713.8018,14.4774,43.6041,0.0000,18.2262,18.2262,0.0000,0,34.3611,5.2976,12.4934,2.7615,3.3229,1.4722,9.0136,0.5415,0.0000,0.5415,0,38.7941,0.0000,0.0000,0.0000,8.2800,0.0000,0.0000,0.0000,10.3790,0.1174,4.1436,0.0000,8.1469,7.7272,6452.7510,5602.9816,849.7694,0.0000,0.0000,147.3758,277.8423,8.1824,16.3507
2012,8104,81043,la Llacuna,Anoia,PE,0,Zona de muntanya,928,5329.2900,70.2093,1.3174,38.5858,0.7240,31.6236,0.5934,5.2872,0.0992,5.2872,0.0992,0.0000,0.0000,5253.7939,98.5834,75.4966,1.4166,17.7691,1321.7617,45.0418,7.5307,0.0000,6.0027,6.0027,0.0000,0,19.4031,0.4052,3.1283,0.0000,2.9038,0.0000,12.9658,0.0000,0.0000,0.0000,0,13.1967,0.0000,0.0000,0.0000,2.5431,0.0000,0.0000,0.0000,0.0000,0.1626,0.8157,0.0000,5.0268,4.6485,5244.3264,3469.9426,1773.6766,0.0000,0.7072,47.8273,154.5982,8.7899,27.4038
2012,8055,80556,Castellcir,Moianès,CC,0,Zona de muntanya,668,3367.7600,24.4828,0.7270,24.4828,0.7270,0.0000,0.0000,52.9922,1.5735,52.9922,1.5735,0.0000,0.0000,3290.2897,97.6995,77.4750,2.3005,19.5463,2728.4441,0.0000,216.4466,0.0000,0.0000,0.0000,0.0000,0,18.4040,1.2186,3.5093,0.0000,0.0000,0.0000,13.6761,0.0000,0.0000,0.0000,0,6.0954,0.0000,0.0000,0.0000,0.4306,0.0000,0.0000,0.0000,0.0000,0.0000,0.5995,0.0000,1.9668,3.0984,3281.0935,3281.0935,0.0000,0.0000,0.0000,36.2964,0.0000,8.9749,6.4467
2012,8054,80543,Castellbisbal,Vallès Occidental,MB,0,,12407,3094.6900,944.1606,30.5090,944.1606,30.5090,0.0000,0.0000,73.6452,2.3797,43.7496,1.4137,29.8956,0.9660,2076.8876,67.1113,1017.8058,32.8887,399.7591,1314.0773,0.0000,4.6337,3.1664,365.0813,357.9603,7.1210,0,155.9257,8.9938,9.4004,0.0000,5.7664,10.0077,121.7574,9.3699,3.9828,5.3871,0,402.8976,0.0000,0.0000,0.0000,27.9049,11.4724,6.6305,0.0000,0.0000,1.7200,240.6678,0.0000,47.0572,78.9173,1523.5361,0.0000,1523.5361,0.0000,0.0000,79.5699,33.9842,193.9774,22.4913
2012,8053,80538,Castellbell i el Vilar,Bages,CC,0,,3641,2866.4200,167.2543,5.8350,151.9284,5.3003,15.3258,0.5347,75.2208,2.6242,75.2208,2.6242,0.0000,0.0000,2623.9406,91.5408,242.4751,8.4592,127.8882,2176.9252,9.1632,44.9739,0.0000,5.6936,5.6936,0.0000,0,74.4596,4.4178,9.2281,0.0774,0.8610,0.0000,59.8753,0.4390,0.0000,0.4390,0,71.4223,0.0000,0.0000,0.0000,4.6105,0.0000,0.0000,0.0000,0.0000,0.0253,47.5118,0.0000,9.8741,9.4006,2540.6333,1013.2155,503.8548,0.0000,1023.5629,48.8990,639.4844,130.4910,12.6628
2012,8052,80522,Castellar de n'Hug,Berguedà,CC,0,Zona de muntanya,175,4688.9600,18.7478,0.3998,18.7478,0.3998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4670.2075,99.6002,18.7478,0.3998,3.7142,933.4417,0.0000,0.0000,0.0000,5.1753,5.1753,0.0000,0,8.5889,2.7694,0.4495,0.0000,0.0000,0.0000,5.3701,0.0000,0.0000,0.0000,0,4.9955,0.0000,0.0000,0.0000,1.2756,0.0000,0.0000,0.0000,0.0000,0.0000,1.0185,0.0000,0.5565,2.1450,4568.0023,4568.0023,0.0000,0.0000,0.0000,20.3750,33.8147,58.2009,72.8906
2012,8051,80517,Castellar del Vallès,Vallès Occidental,MB,0,,23363,4494.3400,742.4093,16.5187,696.4611,15.4964,45.9482,1.0224,94.6443,2.1059,94.6443,2.1059,0.0000,0.0000,3657.2907,81.3754,837.0535,18.6246,520.0849,3146.9165,6.1891,12.7483,0.0000,125.2338,117.0051,8.2287,0,281.9990,2.4910,14.9187,20.0548,1.4761,24.8521,218.2062,0.0000,0.0000,0.0000,0,289.6850,0.0000,0.0000,0.0000,51.4986,0.0000,0.0000,0.0000,4.0970,2.5375,130.5503,0.0000,27.6139,73.3876,3490.9692,1463.8511,701.7323,1241.4212,83.9646,82.8478,186.5551,55.8791,22.0428
2012,8050,80500,Castellar del Riu,Berguedà,CC,0,Zona de muntanya,174,3265.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2061,0.1594,5.2061,0.1594,0.0000,0.0000,3259.8901,99.8406,5.2061,0.1594,5.3144,,,,,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3242.8426,2124.0339,560.4057,501.6014,56.8015,0.0000,0.0000,0.0000,0.0000
2012,8057,80575,Castell de l'Areny,Berguedà,CC,0,Zona de muntanya,73,2412.6200,1.2312,0.0510,1.2312,0.0510,0.0000,0.0000,8.3574,0.3464,8.3574,0.3464,0.0000,0.0000,2403.0346,99.6026,9.5886,0.3974,2.9977,5929.0716,0.0000,678.7896,0.0000,0.0000,0.0000,0.0000,0,0.2616,0.0746,0.0000,0.0000,0.0000,0.1870,0.0000,0.0000,0.0000,0.0000,0,0.9704,0.0000,0.0000,0.0000,0.5108,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.2928,2398.8181,95.4302,2303.3879,0.0000,0.0000,279.0379,0.0000,22.8391,69.9716
