Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
080018,Abrera,1283,2604,0,335,0,0,4450
250030,Agramunt,630,648,256,412,0,0,2040
080142,Aiguafreda,326,321,66,145,0,0,930
250387,Aitona,237,192,181,145,0,0,832
250077,Albatàrrec,70,446,104,126,0,49,816
250083,Albesa,100,74,234,0,0,70,639
430022,Albinyana,308,415,94,0,0,0,899
430043,Alcanar,958,1209,783,798,0,270,4084
250117,Alcarràs,816,1296,236,797,98,74,3318
250122,Alcoletge,228,639,132,172,0,0,1224
430056,Alcover,567,727,185,436,0,0,1988
439044,Aldea l',498,553,234,0,0,149,1631
080039,Alella,1168,1159,210,547,0,154,3324
250138,Alfarràs,529,274,200,158,0,0,1205
430094,Alforja,183,293,92,0,0,0,707
250169,Alguaire,398,383,135,118,0,0,1106
250194,Almacelles,801,712,355,388,0,99,2432
250215,Almenar,502,317,214,129,0,87,1284
430115,Almoster,140,268,0,0,0,0,480
170062,Alp,161,170,54,242,91,0,768
250236,Alpicat,515,1208,137,123,0,92,2129
430120,Altafulla,602,761,0,340,0,0,1861
170078,Amer,373,208,112,181,0,55,949
430136,Ametlla de Mar l',985,807,369,568,0,195,2979
080057,Ametlla del Vallès l',712,1432,117,343,0,0,2726
439060,Ampolla l',371,456,153,230,0,0,1422
430141,Amposta,2158,3645,835,1139,0,244,8170
170084,Anglès,789,667,159,372,0,85,2152
250273,Anglesola,130,150,144,64,0,43,538
250292,Arbeca,334,208,251,0,0,69,956
430167,Arboç l',589,870,97,343,0,68,1991
170097,Arbúcies,771,678,146,754,0,112,2503
080060,Arenys de Mar,1766,2015,328,1504,0,323,5995
080076,Arenys de Munt,822,1423,329,237,169,212,3192
080095,Argentona,1154,1905,262,521,0,178,4102
080109,Artés,579,911,130,284,0,166,2093
250334,Artesa de Lleida,176,147,84,91,0,38,547
250349,Artesa de Segre,464,258,277,273,0,130,1418
430192,Ascó,250,110,148,73,0,0,613
080116,Avià,231,245,136,145,0,0,862
080121,Avinyó,282,218,125,167,0,63,873
170123,Avinyonet de Puigventós,86,331,0,0,0,0,483
080137,Avinyonet del Penedès,163,242,135,0,0,0,648
080155,Badalona,33099,29446,2969,12812,802,2665,81793
089045,Badia del Vallès,3023,1998,0,0,0,0,5277
080168,Bagà,333,248,117,144,0,100,988
250404,Balaguer,1956,2337,297,1451,0,233,6304
080174,Balenyà,521,524,68,174,0,105,1392
080180,Balsareny,478,542,112,113,0,83,1374
430206,Banyeres del Penedès,313,652,0,0,0,0,1128
170157,Banyoles,2774,2090,592,1102,0,234,7003
082520,Barberà del Vallès,4835,5443,310,969,0,444,12147
080193,Barcelona,257547,153835,26249,205912,13327,27207,684078
430228,Batea,221,161,317,0,0,0,765
080207,Begues,560,1085,140,350,0,0,2263
170139,Begur,750,562,123,139,0,0,1680
250479,Bellcaire d'Urgell,126,144,169,64,0,0,549
250485,Bell-lloc d'Urgell,253,310,165,0,0,0,873
250501,Bellpuig,464,567,184,341,0,160,1760
430249,Bellvei,240,402,65,0,0,0,813
250518,Bellver de Cerdanya,352,197,150,273,0,0,1047
250523,Bellvís,339,136,205,169,0,73,958
250539,Benavent de Segrià,157,223,49,0,0,0,512
430265,Benissanet,107,80,160,66,0,0,463
080229,Berga,2511,1720,320,1906,0,385,7038
170195,Besalú,343,235,102,177,0,51,967
170209,Bescanó,587,683,117,130,0,0,1652
080235,Bigues i Riells del Fai,775,1968,103,210,0,0,3218
170221,Bisbal d'Empordà la,1108,1277,263,1153,183,144,4129
430287,Bisbal del Penedès la,495,480,135,72,0,0,1259
170237,Blanes,5649,5207,719,3401,285,696,15957
170255,Bordils,209,186,99,87,0,0,622
250582,Borges Blanques les,831,770,329,246,0,138,2370
430311,Borges del Camp les,228,276,65,134,0,0,759
250595,Bossòst,0,213,0,0,0,0,413
430332,Botarell,128,159,0,0,0,51,409
170274,Breda,551,386,119,304,0,79,1461
080253,Bruc el,152,407,0,75,0,0,729
430363,Cabra del Camp,80,214,44,0,0,0,413
080288,Cabrera d'Anoia,126,308,0,0,0,0,526
080291,Cabrera de Mar,481,672,110,247,0,0,1606
080305,Cabrils,581,1252,106,365,0,0,2423
170329,Cadaqués,288,195,144,412,0,0,1131
080312,Calaf,559,358,148,292,0,0,1431
430379,Calafell,2732,4940,330,1256,300,535,10092
080327,Caldes d'Estrac,243,489,130,225,0,119,1226
170335,Caldes de Malavella,906,1033,108,451,0,0,2619
080333,Caldes de Montbui,2029,2489,474,1147,0,298,6507
080351,Calella,2020,2598,576,1713,0,526,7519
080370,Calldetenes,277,309,76,214,0,0,917
080386,Callús,170,227,72,210,0,47,740
170340,Calonge i Sant Antoni,1316,1553,233,774,0,186,4167
439039,Camarles,400,323,307,0,0,0,1245
430385,Cambrils,3554,5662,172,2275,339,620,12622
170366,Campdevànol,616,330,125,228,0,0,1393
170391,Camprodon,354,155,140,336,0,54,1083
080403,Canet de Mar,1646,2336,337,756,0,416,5613
439076,Canonja la,976,970,0,0,0,0,2283
080410,Canovelles,1856,2613,0,688,0,138,5584
080425,Cànoves i Samalús,387,487,0,0,0,0,1042
080431,Canyelles,357,1001,0,0,0,0,1528
080446,Capellades,798,715,148,354,0,0,2123
080462,Cardedeu,1781,2853,344,1218,0,267,6490
080478,Cardona,662,357,249,523,0,141,1963
170448,Cassà de la Selva,1145,1269,376,764,0,174,3828
080497,Casserres,230,139,101,90,0,0,609
080517,Castellar del Vallès,2740,3843,429,718,0,413,8261
080538,Castellbell i el Vilar,420,547,76,131,0,139,1339
080543,Castellbisbal,1200,2366,208,348,0,0,4254
250674,Castelldans,143,68,90,0,0,36,398
080569,Castelldefels,6737,10120,494,4866,397,783,23397
080581,Castellet i la Gornal,308,403,88,0,0,0,857
080615,Castellgalí,172,378,0,86,0,0,735
080620,Castellnou de Bages,109,267,0,0,0,0,419
170470,Castelló d'Empúries,1284,1460,192,1243,0,206,4523
170486,Castell-Platja d'Aro,1521,1311,0,1158,231,191,4542
250707,Castellserà,156,65,93,78,0,42,448
080641,Castellterçol,300,349,116,122,0,0,937
430424,Castellvell del Camp,219,587,78,0,0,0,954
080654,Castellví de la Marca,148,212,115,0,0,59,586
080667,Castellví de Rosanes,165,293,0,0,0,0,579
430430,Catllar el,518,775,0,0,0,0,1531
171899,Cellera de Ter la,313,201,96,93,0,0,779
170499,Celrà,407,655,150,506,0,0,1791
080673,Centelles,884,997,420,478,0,0,2960
082687,Cercs,256,156,54,89,0,0,585
082665,Cerdanyola del Vallès,8845,8317,700,2537,161,757,21316
080689,Cervelló,1036,1612,0,276,0,133,3117
250729,Cervera,1092,1240,299,708,0,131,3560
080692,Collbató,346,908,0,0,0,0,1469
430477,Constantí,545,1074,117,622,0,100,2502
430483,Corbera d'Ebre,99,0,227,0,0,0,414
080728,Corbera de Llobregat,1166,2772,0,839,0,0,5067
250788,Corbins,138,204,103,0,0,0,507
170577,Corçà,192,89,85,95,0,0,516
080734,Cornellà de Llobregat,15192,10745,905,5377,316,889,33424
170561,Cornellà del Terri,240,220,165,0,0,61,747
430496,Cornudella de Montsant,129,121,107,0,0,0,452
430509,Creixell,447,595,0,223,0,0,1409
179011,Cruïlles Monells i Sant Sadurní de l'Heura,145,153,72,70,0,0,476
080749,Cubelles,1528,3260,0,545,0,0,5803
430516,Cunit,1890,2344,0,478,0,0,5010
439018,Deltebre,1278,1294,832,461,0,295,4270
080752,Dosrius,437,1050,0,285,0,0,1954
170622,Escala l',1392,1514,358,642,0,109,4072
080765,Esparreguera,2400,4191,297,1167,0,394,8495
430542,Espluga de Francolí l',494,391,245,195,0,145,1493
080771,Esplugues de Llobregat,8229,4813,454,3093,261,680,17529
082541,Esquirol l',313,208,148,80,0,0,824
430555,Falset,301,287,160,233,0,55,1074
430568,Fatarella la,104,55,226,0,0,45,438
081347,Figaró-Montmany,81,107,40,123,0,0,375
170669,Figueres,5054,5135,669,5752,318,669,17597
170675,Flaçà,142,110,49,81,0,0,412
430607,Flix,591,462,201,165,95,96,1611
080826,Fogars de la Selva,207,266,0,0,0,0,550
080832,Folgueroles,211,326,74,119,0,0,781
080847,Fonollosa,161,287,0,0,0,0,513
170715,Fontcoberta,196,171,0,0,0,0,476
080850,Font-rubí,120,128,144,0,0,81,521
179026,Forallac,200,141,107,106,0,41,626
170736,Fornells de la Selva,291,350,49,82,0,55,828
080863,Franqueses del Vallès les,1904,3659,191,1251,0,0,7240
250962,Fuliola la,136,71,110,92,0,41,470
430640,Gandesa,380,248,223,205,0,0,1153
080885,Garriga la,1581,2470,311,1125,286,281,6052
080898,Gavà,6120,7302,826,2360,412,654,17675
080919,Gelida,526,1248,206,633,0,166,2825
259123,Gimenells i el Pla de la Font,194,115,55,0,0,0,430
170792,Girona,12581,11931,1244,10553,697,1239,38245
080924,Gironella,636,477,210,628,0,106,2110
250997,Golmés,169,243,111,0,0,64,638
080945,Granada la,228,363,59,104,0,0,816
080961,Granollers,8440,8095,878,4261,313,844,22831
080977,Gualba,120,267,0,76,0,0,534
251109,Guissona,303,457,177,1135,0,106,2216
081000,Gurb,291,339,67,0,0,0,757
430712,Horta de Sant Joan,159,55,141,52,0,32,444
081017,Hospitalet de Llobregat l',43660,28248,3397,23033,1029,2664,102031
081629,Hostalets de Pierola els,229,503,0,205,0,86,1092
170834,Hostalric,506,561,0,310,0,122,1612
081022,Igualada,5236,5071,993,3366,366,656,15688
251155,Isona i Conca Dellà,185,47,107,0,0,37,440
251137,Ivars d'Urgell,183,132,168,0,0,46,616
170865,Jonquera la,387,309,0,387,0,0,1222
251193,Juneda,294,299,287,253,0,76,1226
251214,Les,0,152,0,136,0,0,417
251229,Linyola,256,311,254,0,0,58,1052
081056,Llagosta la,2178,2162,0,560,0,0,5222
170890,Llagostera,959,1001,252,663,0,134,3104
170926,Llançà,855,626,215,250,0,0,2063
251207,Lleida,19450,19602,2120,11774,1021,1824,55792
170932,Llers,147,131,41,47,0,0,420
081075,Lliçà d'Amunt,1375,2865,188,190,0,189,4935
081081,Lliçà de Vall,786,987,127,0,0,0,2166
081069,Llinars del Vallès,889,1409,129,756,0,157,3374
170947,Llívia,191,227,55,155,0,0,700
430748,Llorenç del Penedès,289,352,73,0,0,0,830
170950,Lloret de Mar,3503,5754,367,5146,364,408,15541
171030,Maçanet de la Selva,810,1259,188,304,0,0,2660
081108,Malgrat de Mar,2392,2709,470,871,193,335,6969
081120,Manlleu,2823,2540,423,1095,176,296,7353
081136,Manresa,10374,8686,1861,6565,514,1073,29072
081141,Martorell,3171,4305,263,1884,0,252,9987
081154,Martorelles,661,709,183,214,0,0,1854
430786,Masdenverge,112,91,85,68,0,52,427
081173,Masies de Voltregà les,503,399,108,62,0,0,1138
081189,Masnou el,2755,3092,293,2158,0,400,8837
081192,Masquefa,704,1863,0,331,0,0,3133
081206,Matadepera,954,1032,116,488,0,185,2796
081213,Mataró,16585,16750,1984,9050,773,1939,47081
081228,Mediona,170,385,149,135,0,0,886
251351,Miralcamp,163,199,102,0,0,0,525
081385,Moià,528,812,167,517,0,0,2144
081234,Molins de Rei,3056,3969,382,1796,279,190,9672
251370,Mollerussa,1636,2496,212,718,0,210,5352
081249,Mollet del Vallès,7380,8273,535,2388,218,512,19307
081271,Monistrol de Montserrat,408,354,130,204,0,127,1278
430862,Montblanc,962,1004,334,568,0,98,3012
430884,Montbrió del Camp,247,429,125,0,0,0,966
081252,Montcada i Reixac,4596,5661,376,1603,227,542,13007
251403,Montferrer i Castellbò,109,159,102,0,0,0,429
081265,Montgat,1120,2092,112,828,0,134,4351
430901,Montmell el,216,311,0,0,0,0,615
081350,Montmeló,1322,1128,100,543,0,124,3252
081363,Montornès del Vallès,1774,2867,201,759,0,216,5895
171100,Mont-ras,318,130,61,0,0,53,634
430923,Mont-roig del Camp,1547,2378,306,597,0,388,5241
430939,Móra d'Ebre,650,776,261,282,0,0,2051
430944,Móra la Nova,387,297,146,315,0,110,1276
430957,Morell el,343,667,97,123,0,97,1377
250254,Naut Aran,0,0,0,0,0,0,743
081402,Navarcles,1005,686,162,301,0,163,2362
081419,Navàs,861,727,177,461,0,132,2371
171117,Navata,130,231,0,62,0,0,497
081430,Òdena,445,552,0,172,0,0,1292
081458,Olèrdola,338,601,104,161,0,81,1300
081461,Olesa de Bonesvalls,164,315,0,0,0,45,646
081477,Olesa de Montserrat,2860,4347,323,1120,0,346,9093
251497,Oliana,354,103,106,0,0,0,712
081483,Olivella,246,997,0,0,0,0,1445
081496,Olost,156,57,95,66,0,47,445
171143,Olot,4784,3301,900,3146,284,394,12810
081555,Palafolls,1028,1894,0,235,0,163,3438
171175,Palafrugell,2625,2751,603,1821,187,361,8349
171181,Palamós,2575,2326,410,1423,0,482,7358
251581,Palau d'Anglesola el,259,301,154,0,0,45,801
171208,Palau-saverdera,143,218,95,93,0,0,576
081568,Palau-solità i Plegamans,1555,2371,0,586,0,156,4897
431009,Pallaresos els,446,948,0,0,0,0,1516
081574,Pallejà,1302,2167,150,327,0,0,4147
089058,Palma de Cervelló la,336,413,56,214,0,0,1087
171241,Pals,375,267,120,155,0,75,1043
081580,Papiol el,453,573,73,287,0,73,1470
081593,Parets del Vallès,2201,3296,294,692,0,215,6888
431037,Perafort,72,294,53,0,0,0,473
171328,Peralada,213,175,118,114,0,0,685
431042,Perelló el,264,394,363,0,0,0,1271
081614,Piera,1609,2805,255,474,0,138,5368
081635,Pineda de Mar,3861,3378,455,1966,240,490,10390
431068,Pinell de Brai el,116,59,183,0,0,0,400
431080,Pla de Santa Maria el,218,369,134,95,0,73,928
081640,Pla del Penedès el,104,167,84,77,0,34,472
171334,Planes d'Hostoles les,273,166,81,95,0,0,679
081653,Pobla de Claramunt la,274,354,80,67,0,0,816
081666,Pobla de Lillet la,205,61,86,99,0,51,529
431093,Pobla de Mafumet la,196,607,0,0,0,0,1050
431114,Pobla de Montornès la,328,657,0,0,0,0,1184
251713,Pobla de Segur la,452,296,185,385,0,0,1387
081672,Polinyà,749,1847,0,247,0,0,3002
251734,Pont de Suert el,379,356,111,144,0,0,1056
081825,Pont de Vilomara i Rocafort el,400,627,84,160,0,0,1381
251728,Ponts,376,277,137,152,0,86,1055
171371,Porqueres,588,606,101,134,0,101,1561
171387,Portbou,250,97,0,137,0,0,594
081691,Prat de Llobregat el,9303,9600,934,3172,342,902,24253
081712,Prats de Lluçanès,307,198,135,193,0,105,972
082303,Premià de Dalt,1378,1617,154,330,160,116,3755
081727,Premià de Mar,3728,4175,587,1736,280,385,10891
171390,Preses les,230,204,107,80,0,50,671
171411,Puigcerdà,964,616,181,1268,114,153,3296
431191,Puigpelat,79,210,33,0,0,0,381
081751,Puig-reig,554,421,153,398,101,0,1678
251826,Puigverd de Lleida,170,191,102,0,0,0,500
171426,Quart,338,601,0,117,0,78,1197
431233,Reus,14002,15738,1504,7107,874,1362,40586
431251,Riba-roja d'Ebre,187,104,130,0,0,0,499
171450,Ribes de Freser,314,187,65,163,0,0,795
171463,Riells i Viabrea,315,933,0,0,0,0,1458
431264,Riera de Gaià la,134,309,93,96,0,0,700
171479,Ripoll,1660,1224,233,1080,0,140,4479
081803,Ripollet,4526,7180,467,1193,0,562,14033
171485,Riudarenes,279,291,74,0,0,0,767
431270,Riudecanyes,83,229,106,0,0,0,467
431286,Riudecols,117,171,91,98,0,0,512
171501,Riudellots de la Selva,249,239,71,101,0,0,696
431299,Riudoms,723,625,235,601,0,120,2383
081810,Roca del Vallès la,979,1784,263,383,0,190,3622
431310,Roda de Berà,639,1327,0,282,0,155,2482
081831,Roda de Ter,808,788,116,411,0,86,2266
431331,Roquetes,1012,992,366,506,0,120,3050
171523,Roses,2581,2659,375,1775,0,314,7849
251898,Rosselló,312,568,113,0,0,0,1211
081846,Rubí,8907,13348,929,3603,195,1132,28114
081878,Sabadell,31803,31512,3107,11314,1168,2692,81596
081918,Sallent,1164,646,278,354,112,165,2718
439057,Salou,2243,4881,331,2341,0,607,10793
171557,Salt,2680,4301,369,2546,0,313,10276
081944,Sant Adrià de Besòs,5458,5076,483,1515,0,387,13034
081960,Sant Andreu de la Barca,3074,4975,189,1242,259,238,9977
081976,Sant Andreu de Llavaneres,1214,1614,155,503,0,198,3785
081982,Sant Antoni de Vilamajor,590,1014,0,308,0,0,2084
082009,Sant Boi de Llobregat,12856,11728,942,3402,465,1189,30582
431362,Sant Carles de la Ràpita,1732,2115,846,653,0,349,5857
082037,Sant Cebrià de Vallalta,348,754,0,0,0,0,1296
082021,Sant Celoni,1975,2434,541,1052,0,365,6474
082042,Sant Climent de Llobregat,405,561,176,111,0,92,1364
082055,Sant Cugat del Vallès,8451,11179,1028,7421,601,961,29641
082074,Sant Esteve de Palautordera,173,367,0,220,0,107,939
082080,Sant Esteve Sesrovires,782,939,0,322,0,91,2232
082107,Sant Feliu de Codines,519,988,190,607,0,152,2533
171609,Sant Feliu de Guíxols,2968,2938,393,1471,274,340,8383
082114,Sant Feliu de Llobregat,6383,6394,494,2472,0,467,16329
171616,Sant Feliu de Pallerols,214,95,85,89,0,0,515
082093,Sant Fost de Campsentelles,1102,1332,163,166,0,116,2926
082135,Sant Fruitós de Bages,904,1663,168,273,0,0,3088
171637,Sant Gregori,386,375,87,168,0,0,1100
251924,Sant Guim de Freixenet,204,143,0,0,0,0,485
171642,Sant Hilari Sacalm,881,577,201,455,0,164,2303
082153,Sant Hipòlit de Voltregà,467,475,133,225,0,0,1362
081939,Sant Iscle de Vallalta,101,265,0,0,0,0,476
439023,Sant Jaume d'Enveja,254,561,302,0,0,110,1292
431378,Sant Jaume dels Domenys,244,423,132,90,0,0,971
171674,Sant Joan de les Abadesses,550,302,128,357,0,0,1446
082188,Sant Joan de Vilatorrada,1454,1556,225,668,0,201,4119
082172,Sant Joan Despí,4968,4553,305,1875,0,418,12237
171851,Sant Joan les Fonts,564,308,86,250,0,0,1242
171693,Sant Julià de Ramis,313,687,60,137,0,0,1232
082205,Sant Julià de Vilatorta,393,337,104,151,0,65,1060
179032,Sant Julià del Llor i Bonmatí,195,188,0,0,0,0,477
082212,Sant Just Desvern,2023,1921,315,1126,0,415,5851
082227,Sant Llorenç d'Hortons,194,440,105,155,0,0,946
251930,Sant Llorenç de Morunys,110,64,37,126,0,46,414
082233,Sant Llorenç Savall,281,399,99,77,0,0,923
082248,Sant Martí de Centelles,104,170,0,114,0,0,442
082264,Sant Martí de Tous,129,139,46,0,0,63,404
082270,Sant Martí Sarroca,296,428,208,152,0,0,1178
082310,Sant Pere de Ribes,3369,5443,320,1209,212,498,11051
082325,Sant Pere de Riudebitlles,337,273,123,122,0,58,925
082331,Sant Pere de Torelló,264,361,149,154,0,0,992
082346,Sant Pere de Vilamajor,461,881,0,141,0,0,1564
171788,Sant Pere Pescador,191,181,84,266,0,49,790
082359,Sant Pol de Mar,595,737,160,283,0,153,1986
082362,Sant Quintí de Mediona,205,303,88,163,0,73,841
082378,Sant Quirze de Besora,429,235,65,116,0,0,909
082384,Sant Quirze del Vallès,2301,3564,0,609,0,167,6809
082401,Sant Sadurní d'Anoia,1857,1594,339,771,0,162,4782
080983,Sant Salvador de Guardiola,325,604,0,0,0,0,1056
082628,Sant Vicenç de Castellet,1083,1453,218,702,0,154,3646
082649,Sant Vicenç de Montalt,612,810,0,421,0,79,2079
082652,Sant Vicenç de Torelló,343,272,51,75,0,0,791
082634,Sant Vicenç dels Horts,3440,4397,408,972,219,433,9869
431384,Santa Bàrbara,451,455,351,240,0,76,1592
082444,Santa Coloma de Cervelló,735,1584,0,267,0,0,2738
171805,Santa Coloma de Farners,1622,1571,321,1020,0,129,4700
082457,Santa Coloma de Gramenet,19561,14465,1394,8075,537,1614,45646
431397,Santa Coloma de Queralt,368,268,133,188,0,89,1082
171812,Santa Cristina d'Aro,655,987,108,201,0,0,2062
082460,Santa Eugènia de Berga,369,210,72,144,0,0,839
082476,Santa Eulàlia de Riuprimer,144,171,37,50,0,0,428
082482,Santa Eulàlia de Ronçana,776,1176,0,194,0,174,2437
082508,Santa Margarida de Montbui,1397,1469,175,331,0,257,3657
082515,Santa Margarida i els Monjos,710,1210,188,407,0,125,2651
082589,Santa Maria d'Oló,137,94,88,36,0,0,376
082592,Santa Maria de Palautordera,1069,1308,242,541,0,197,3376
431401,Santa Oliva,374,563,113,128,0,0,1251
171848,Santa Pau,241,127,91,66,0,0,589
082606,Santa Perpètua de Mogoda,2731,4619,339,1054,0,392,9255
082613,Santa Susanna,339,681,0,134,0,0,1225
081923,Santpedor,803,1112,127,422,0,158,2663
431423,Sarral,202,190,121,0,0,0,621
171864,Sarrià de Ter,684,902,124,0,0,0,1925
431444,Secuita la,225,257,79,0,0,0,634
431457,Selva del Camp la,631,843,188,218,0,96,2008
430445,Sénia la,567,760,311,574,0,97,2368
082671,Sentmenat,859,1503,256,353,0,189,3247
171903,Serinyà,172,135,0,74,0,0,425
252043,Seròs,183,112,234,122,0,0,695
