,Codi,Literal,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Any,Habitatges familiars principals
121,430287,"Bisbal del Penedès, la",1441,171,0.0,2001,815
122,172348,Biure,65,16,0.0,2001,99
123,430290,Blancafort,87,69,0.0,2001,150
124,170237,Blanes,9356,2335,110.0,2001,11186
125,170293,Boadella i les Escaules,54,27,2.0,2001,81
126,170242,Bolvir,338,2,0.0,2001,110
127,430304,Bonastre,211,31,0.0,2001,154
128,250576,"Bòrdes, Es",50,0,1.0,2001,77
129,170255,Bordils,38,89,0.0,2001,463
130,250582,"Borges Blanques, les",97,931,4.0,2001,1831
131,430311,"Borges del Camp, les",39,183,0.0,2001,587
132,170268,Borrassà,0,14,1.0,2001,178
133,080240,Borredà,218,3,1.0,2001,181
134,250595,Bossòst,16,145,0.0,2001,348
135,430326,Bot,83,83,2.0,2001,275
136,430332,Botarell,72,76,2.0,2001,256
137,250560,Bovera,37,37,4.0,2001,137
138,430347,Bràfim,67,69,1.0,2001,225
139,170274,Breda,181,180,2.0,2001,1200
140,080253,"Bruc, el",0,257,0.0,2001,461
141,080266,"Brull, el",0,44,0.0,2001,57
142,170280,Brunyola i Sant Martí Sapresa,1,10,0.0,2001,109
143,430350,Cabacés,73,23,0.0,2001,118
144,250609,Cabanabona,17,27,0.0,2001,35
145,170314,Cabanelles,12,3,0.0,2001,87
146,170307,Cabanes,46,30,0.0,2001,273
147,080272,"Cabanyes, les",18,31,0.0,2001,183
148,250616,Cabó,6,0,0.0,2001,42
149,430363,Cabra del Camp,448,6,1.0,2001,259
150,080288,Cabrera d'Anoia,360,0,0.0,2001,253
151,080291,Cabrera de Mar,617,60,1.0,2001,1243
152,080305,Cabrils,759,88,0.0,2001,1653
153,170329,Cadaqués,1722,74,0.0,2001,826
154,080312,Calaf,260,446,2.0,2001,1050
155,430379,Calafell,16478,2001,86.0,2001,5418
156,080348,Calders,202,30,1.0,2001,288
157,080327,Caldes d'Estrac,545,405,2.0,2001,765
158,170335,Caldes de Malavella,477,125,3.0,2001,1473
159,080333,Caldes de Montbui,970,836,23.0,2001,4778
160,080351,Calella,2502,1135,142.0,2001,5187
161,080370,Calldetenes,1,75,1.0,2001,620
162,080386,Callús,67,65,0.0,2001,471
163,080364,Calonge de Segarra,86,0,0.0,2001,58
164,170340,Calonge i Sant Antoni,6637,303,18.0,2001,4025
165,250621,Camarasa,185,66,14.0,2001,314
166,439039,Camarles,49,140,14.0,2001,997
167,430385,Cambrils,14987,2474,243.0,2001,7671
168,170353,Camós,34,32,0.0,2001,190
169,170366,Campdevànol,66,199,3.0,2001,1255
170,170372,Campelles,101,4,0.0,2001,47
171,080399,Campins,1,21,0.0,2001,118
172,170388,Campllong,21,13,0.0,2001,106
173,170391,Camprodon,1085,275,4.0,2001,899
174,250637,Canejan,11,41,5.0,2001,46
175,170405,Canet d'Adri,19,5,0.0,2001,189
176,080403,Canet de Mar,1353,840,1.0,2001,3908
177,080410,Canovelles,39,921,0.0,2001,4214
178,080425,Cànoves i Samalús,474,12,0.0,2001,651
179,170412,Cantallops,73,50,0.0,2001,103
180,080431,Canyelles,1236,2,84.0,2001,803
181,430398,Capafonts,77,9,0.0,2001,55
182,430402,Capçanes,63,46,0.0,2001,154
183,080446,Capellades,131,100,3.0,2001,1639
184,170427,Capmany,0,101,0.0,2001,179
