,Codi,Literal,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Any,Habitatges familiars principals
529,431016,Passanant i Belltall,151,49,0.0,2001,86
530,171289,Pau,96,0,1.0,2001,161
531,431021,Paüls,31,0,0.0,2001,200
532,171292,Pedret i Marzà,13,0,0.0,2001,49
533,251641,Penelles,39,24,1.0,2001,159
534,171306,"Pera, la",40,36,0.0,2001,136
535,081607,Perafita,68,28,0.0,2001,134
536,431037,Perafort,6,101,2.0,2001,218
537,171328,Peralada,125,153,1.0,2001,503
538,251654,Peramola,107,43,0.0,2001,120
539,431042,"Perelló, el",51,278,16.0,2001,817
540,081614,Piera,3443,1682,9.0,2001,3469
541,431055,"Piles, les",79,15,0.0,2001,67
542,081635,Pineda de Mar,3538,3265,84.0,2001,7603
543,431068,"Pinell de Brai, el",38,128,3.0,2001,348
544,251667,Pinell de Solsonès,16,28,4.0,2001,61
545,251673,Pinós,61,7,7.0,2001,88
546,431074,Pira,54,13,0.0,2001,167
547,431080,"Pla de Santa Maria, el",100,132,1.0,2001,587
548,081640,"Pla del Penedès, el",45,55,0.0,2001,313
549,171334,"Planes d'Hostoles, les",112,129,0.0,2001,599
550,171349,Planoles,347,51,10.0,2001,118
551,259118,"Plans de Sió, els",174,3,0.0,2001,182
552,251689,"Poal, el",25,12,0.0,2001,217
553,251692,"Pobla de Cérvoles, la",121,23,0.0,2001,97
554,081653,"Pobla de Claramunt, la",71,224,0.0,2001,648
555,081666,"Pobla de Lillet, la",164,286,3.0,2001,552
556,431093,"Pobla de Mafumet, la",2,93,0.0,2001,390
557,431107,"Pobla de Massaluca, la",41,55,0.0,2001,141
558,431114,"Pobla de Montornès, la",355,0,0.0,2001,599
559,251713,"Pobla de Segur, la",541,357,23.0,2001,1123
560,431129,Poboleda,223,4,0.0,2001,138
561,081672,Polinyà,66,263,5.0,2001,1740
562,431135,"Pont d'Armentera, el",39,106,0.0,2001,205
563,250306,"Pont de Bar, el",22,6,0.0,2001,66
564,171352,Pont de Molins,9,10,0.0,2001,161
565,251734,"Pont de Suert, el",373,193,17.0,2001,793
566,081825,"Pont de Vilomara i Rocafort, el",53,185,0.0,2001,952
567,431418,Pontils,64,10,0.0,2001,48
568,081688,Pontons,300,51,0.0,2001,161
569,171365,Pontós,18,21,0.0,2001,85
570,251728,Ponts,248,263,1.0,2001,846
571,171371,Porqueres,40,101,0.0,2001,1145
572,431140,Porrera,122,6,2.0,2001,183
573,171404,"Port de la Selva, el",1223,7,2.0,2001,328
574,171387,Portbou,252,44,33.0,2001,596
575,251749,"Portella, la",34,28,0.0,2001,229
576,431153,Pradell de la Teixeta,56,8,0.0,2001,75
577,431166,Prades,421,68,1.0,2001,234
578,431172,Prat de Comte,32,67,0.0,2001,75
579,081691,"Prat de Llobregat, el",201,2294,205.0,2001,21315
580,431188,Pratdip,394,41,2.0,2001,220
581,081712,Prats de Lluçanès,10,275,1.0,2001,900
582,081705,"Prats de Rei, els",26,52,2.0,2001,199
583,251752,Prats i Sansor,345,6,0.0,2001,81
584,251765,Preixana,16,43,0.0,2001,145
585,251771,Preixens,85,42,0.0,2001,174
586,082303,Premià de Dalt,596,111,1.0,2001,2930
587,081727,Premià de Mar,1627,887,44.0,2001,9155
588,171390,"Preses, les",45,65,1.0,2001,506
589,251790,Prullans,121,0,0.0,2001,81
590,171411,Puigcerdà,1591,614,55.0,2001,2661
591,081748,Puigdàlber,21,6,0.0,2001,118
592,251804,Puiggròs,28,18,1.0,2001,107
593,431191,Puigpelat,139,36,3.0,2001,216
594,081751,Puig-reig,45,304,2.0,2001,1524
595,251811,Puigverd d'Agramunt,14,13,0.0,2001,95
596,251826,Puigverd de Lleida,123,54,2.0,2001,381
597,081764,Pujalt,10,46,0.0,2001,60
598,081770,"Quar, la",3,0,0.0,2001,21
599,171426,Quart,46,141,6.0,2001,769
600,170433,Queralbs,260,1,0.0,2001,79
601,431205,Querol,449,18,1.0,2001,133
602,171432,Rabós,11,37,0.0,2001,69
603,081786,Rajadell,16,12,0.0,2001,141
604,431212,Rasquera,112,79,1.0,2001,273
605,171447,Regencós,57,19,0.0,2001,104
606,081799,Rellinars,262,31,1.0,2001,148
607,431227,Renau,17,3,0.0,2001,26
608,431233,Reus,2439,6825,367.0,2001,31244
609,251832,Rialp,247,53,5.0,2001,205
610,431248,"Riba, la",0,183,0.0,2001,269
611,431251,Riba-roja d'Ebre,0,349,0.0,2001,494
612,259059,Ribera d'Ondara,7,41,0.0,2001,148
613,251850,Ribera d'Urgellet,306,2,0.0,2001,292
614,171450,Ribes de Freser,302,232,0.0,2001,790
615,171463,Riells i Viabrea,1072,29,5.0,2001,816
616,431264,"Riera de Gaià, la",122,101,10.0,2001,377
617,251863,Riner,0,46,2.0,2001,78
618,171479,Ripoll,178,973,7.0,2001,4002
619,081803,Ripollet,255,2325,44.0,2001,10613
620,259139,Riu de Cerdanya,42,2,0.0,2001,32
621,171485,Riudarenes,179,78,0.0,2001,502
622,171498,Riudaura,15,37,0.0,2001,140
623,431270,Riudecanyes,146,16,0.0,2001,303
624,431286,Riudecols,105,92,1.0,2001,366
625,171501,Riudellots de la Selva,0,21,0.0,2001,505
626,431299,Riudoms,127,247,11.0,2001,1810
627,171518,Riumors,1,43,0.0,2001,78
628,081810,"Roca del Vallès, la",406,127,2.0,2001,2630
629,431303,Rocafort de Queralt,80,26,0.0,2001,116
630,431310,Roda de Berà,4555,400,125.0,2001,1513
631,081831,Roda de Ter,27,333,5.0,2001,1747
632,431325,Rodonyà,177,38,0.0,2001,162
633,431331,Roquetes,657,526,14.0,2001,2312
634,171523,Roses,17122,707,7.0,2001,4831
635,251898,Rosselló,60,155,2.0,2001,614
636,431346,"Rourell, el",7,46,1.0,2001,103
637,081846,Rubí,2955,4089,137.0,2001,21044
638,081859,Rubió,39,11,1.0,2001,35
639,171539,Rupià,97,1,0.0,2001,69
640,089019,Rupit i Pruit,93,16,0.0,2001,123
641,081878,Sabadell,2158,11852,314.0,2001,65708
642,081884,Sagàs,0,4,0.0,2001,42
643,251902,Salàs de Pallars,127,78,0.0,2001,134
644,081901,Saldes,16,0,0.0,2001,106
645,171544,Sales de Llierca,14,6,0.0,2001,34
646,081918,Sallent,69,821,1.0,2001,2552
647,431359,Salomó,9,107,1.0,2001,152
648,439057,Salou,13358,6102,3819.0,2001,5601
649,171557,Salt,301,1724,18.0,2001,7651
650,251919,Sanaüja,116,46,0.0,2001,180
651,081944,Sant Adrià de Besòs,60,1757,0.0,2001,11119
652,081957,Sant Agustí de Lluçanès,34,11,3.0,2001,27
653,081960,Sant Andreu de la Barca,132,1236,0.0,2001,7718
654,081976,Sant Andreu de Llavaneres,948,1343,17.0,2001,2666
655,171576,Sant Andreu Salou,20,11,0.0,2001,47
656,171833,Sant Aniol de Finestres,20,45,0.0,2001,107
657,081982,Sant Antoni de Vilamajor,57,271,0.0,2001,1317
658,081995,Sant Bartomeu del Grau,58,47,1.0,2001,318
659,082009,Sant Boi de Llobregat,1000,3696,43.0,2001,26809
660,082016,Sant Boi de Lluçanès,76,49,2.0,2001,169
661,431362,Sant Carles de la Ràpita,2162,1156,3.0,2001,4184
662,082037,Sant Cebrià de Vallalta,307,190,0.0,2001,763
663,082021,Sant Celoni,512,1165,1.0,2001,4338
664,082042,Sant Climent de Llobregat,64,167,0.0,2001,1071
665,171582,Sant Climent Sescebes,25,68,2.0,2001,158
666,082055,Sant Cugat del Vallès,2792,5911,227.0,2001,19806
667,082068,Sant Cugat Sesgarrigues,52,45,0.0,2001,236
668,251961,Sant Esteve de la Sarga,69,0,0.0,2001,48
669,082074,Sant Esteve de Palautordera,187,0,0.0,2001,523
670,082080,Sant Esteve Sesrovires,624,80,23.0,2001,1734
671,171595,Sant Feliu de Buixalleu,250,29,43.0,2001,267
672,082107,Sant Feliu de Codines,527,370,10.0,2001,1644
673,171609,Sant Feliu de Guíxols,4691,1301,1220.0,2001,6609
674,082114,Sant Feliu de Llobregat,514,2056,43.0,2001,13979
675,171616,Sant Feliu de Pallerols,118,164,0.0,2001,439
676,082129,Sant Feliu Sasserra,55,54,0.0,2001,218
677,171621,Sant Ferriol,12,19,0.0,2001,66
678,082093,Sant Fost de Campsentelles,269,74,1.0,2001,2172
679,082135,Sant Fruitós de Bages,84,331,10.0,2001,2017
680,171637,Sant Gregori,30,48,3.0,2001,798
681,251924,Sant Guim de Freixenet,125,46,0.0,2001,348
682,251977,Sant Guim de la Plana,25,20,0.0,2001,55
683,171642,Sant Hilari Sacalm,295,361,16.0,2001,1778
684,082153,Sant Hipòlit de Voltregà,16,329,5.0,2001,1067
685,081939,Sant Iscle de Vallalta,0,136,0.0,2001,353
686,439023,Sant Jaume d'Enveja,188,181,0.0,2001,1091
687,082166,Sant Jaume de Frontanyà,16,5,1.0,2001,10
688,171655,Sant Jaume de Llierca,34,42,0.0,2001,268
689,431378,Sant Jaume dels Domenys,489,73,1.0,2001,564
690,171674,Sant Joan de les Abadesses,317,257,7.0,2001,1341
691,171680,Sant Joan de Mollet,22,2,0.0,2001,142
692,082188,Sant Joan de Vilatorrada,56,536,10.0,2001,3178
693,082172,Sant Joan Despí,594,1331,64.0,2001,10012
694,171851,Sant Joan les Fonts,25,189,9.0,2001,989
695,171668,Sant Jordi Desvalls,82,38,0.0,2001,220
696,089030,Sant Julià de Cerdanyola,148,6,0.0,2001,97
697,171693,Sant Julià de Ramis,8,71,0.0,2001,677
698,082205,Sant Julià de Vilatorta,112,153,0.0,2001,808
699,179032,Sant Julià del Llor i Bonmatí,129,9,0.0,2001,379
700,082212,Sant Just Desvern,279,855,11.0,2001,4660
701,082227,Sant Llorenç d'Hortons,328,37,0.0,2001,610
702,171714,Sant Llorenç de la Muga,86,0,0.0,2001,84
703,251930,Sant Llorenç de Morunys,429,85,10.0,2001,324
704,082233,Sant Llorenç Savall,454,21,2.0,2001,690
705,082251,Sant Martí d'Albars,23,12,0.0,2001,33
706,082248,Sant Martí de Centelles,63,21,0.0,2001,281
707,171729,Sant Martí de Llémena,74,40,0.0,2001,175
708,259025,Sant Martí de Riucorb,164,83,0.0,2001,262
709,082264,Sant Martí de Tous,66,70,4.0,2001,356
710,082270,Sant Martí Sarroca,134,93,0.0,2001,803
711,082286,Sant Martí Sesgueioles,55,36,0.0,2001,120
712,171735,Sant Martí Vell,2,0,0.0,2001,77
713,082299,Sant Mateu de Bages,21,84,0.0,2001,231
714,171740,Sant Miquel de Campmajor,26,24,0.0,2001,66
715,171753,Sant Miquel de Fluvià,75,15,0.0,2001,212
716,171766,Sant Mori,56,16,0.0,2001,51
717,171772,Sant Pau de Segúries,101,76,0.0,2001,243
718,082310,Sant Pere de Ribes,2583,986,41.0,2001,8073
719,082325,Sant Pere de Riudebitlles,39,155,20.0,2001,731
720,082331,Sant Pere de Torelló,34,117,0.0,2001,761
721,082346,Sant Pere de Vilamajor,0,553,1.0,2001,1006
722,171788,Sant Pere Pescador,364,19,0.0,2001,522
723,081897,Sant Pere Sallavinera,25,22,0.0,2001,46
724,082359,Sant Pol de Mar,1356,571,2.0,2001,1506
725,082362,Sant Quintí de Mediona,242,191,0.0,2001,645
726,082378,Sant Quirze de Besora,150,175,0.0,2001,753
727,082384,Sant Quirze del Vallès,779,197,8.0,2001,4314
728,082397,Sant Quirze Safaja,113,0,0.0,2001,156
729,251945,Sant Ramon,45,6,0.0,2001,178
730,082401,Sant Sadurní d'Anoia,83,573,28.0,2001,3274
731,082418,Sant Sadurní d'Osormort,0,0,0.0,2001,28
732,080983,Sant Salvador de Guardiola,487,31,4.0,2001,773
733,082628,Sant Vicenç de Castellet,0,593,0.0,2001,2532
734,082649,Sant Vicenç de Montalt,1174,46,0.0,2001,1392
735,082652,Sant Vicenç de Torelló,38,74,6.0,2001,651
736,082634,Sant Vicenç dels Horts,940,1709,13.0,2001,8174
737,431384,Santa Bàrbara,70,351,5.0,2001,1248
738,082439,Santa Cecília de Voltregà,2,0,0.0,2001,58
739,082444,Santa Coloma de Cervelló,299,279,9.0,2001,1966
740,171805,Santa Coloma de Farners,635,459,9.0,2001,3269
741,082457,Santa Coloma de Gramenet,734,5405,173.0,2001,39429
742,431397,Santa Coloma de Queralt,142,232,3.0,2001,963
743,171812,Santa Cristina d'Aro,2061,149,2.0,2001,1894
744,082460,Santa Eugènia de Berga,20,64,0.0,2001,622
745,082476,Santa Eulàlia de Riuprimer,13,64,0.0,2001,287
746,082482,Santa Eulàlia de Ronçana,883,107,5.0,2001,1678
747,082495,Santa Fe del Penedès,13,5,0.0,2001,98
748,171827,Santa Llogaia d'Àlguema,1,32,0.0,2001,99
749,082508,Santa Margarida de Montbui,53,793,2.0,2001,3047
750,082515,Santa Margarida i els Monjos,12,264,0.0,2001,1687
751,082589,Santa Maria d'Oló,103,92,3.0,2001,329
752,082536,Santa Maria de Besora,27,9,2.0,2001,60
753,082567,Santa Maria de Martorelles,77,16,0.0,2001,249
754,082554,Santa Maria de Merlès,15,63,3.0,2001,43
755,082573,Santa Maria de Miralles,2,0,0.0,2001,41
756,082592,Santa Maria de Palautordera,980,169,1.0,2001,2336
757,431401,Santa Oliva,476,77,0.0,2001,792
758,171848,Santa Pau,28,87,0.0,2001,479
759,082606,Santa Perpètua de Mogoda,267,1073,55.0,2001,6928
760,082613,Santa Susanna,891,52,0.0,2001,729
761,081923,Santpedor,101,283,0.0,2001,1802
762,431423,Sarral,251,88,12.0,2001,510
763,171864,Sarrià de Ter,115,108,1.0,2001,1307
764,252017,Sarroca de Bellera,58,0,0.0,2001,66
765,252000,Sarroca de Lleida,37,3,27.0,2001,159
766,171870,"Saus, Camallera i Llampaies",60,42,0.0,2001,262
767,431439,Savallà del Comtat,65,9,0.0,2001,27
768,431444,"Secuita, la",193,124,5.0,2001,405
769,171886,"Selva de Mar, la",163,5,0.0,2001,82
770,431457,"Selva del Camp, la",81,359,3.0,2001,1443
771,431460,Senan,40,6,0.0,2001,17
772,430445,"Sénia, la",401,1274,54.0,2001,1832
773,252022,Senterada,75,1,0.0,2001,44
774,250352,"Sentiu de Sió, la",56,24,0.0,2001,154
775,082671,Sentmenat,319,414,9.0,2001,2016
776,171903,Serinyà,25,77,1.0,2001,302
777,252043,Seròs,117,144,6.0,2001,617
778,171910,Serra de Daró,46,2,0.0,2001,67
779,171925,Setcases,281,10,0.0,2001,71
780,252038,"Seu d'Urgell, la",553,974,10.0,2001,4045
781,082690,Seva,474,85,2.0,2001,909
782,252056,Sidamon,10,30,0.0,2001,204
783,171931,Sils,823,1,3.0,2001,1123
784,082704,Sitges,5371,1961,1152.0,2001,8100
785,170524,Siurana,4,12,0.0,2001,55
786,082711,Sobremunt,26,3,0.0,2001,25
787,252069,"Soleràs, el",25,66,1.0,2001,138
788,431476,Solivella,146,37,1.0,2001,247
789,252075,Solsona,365,851,13.0,2001,2548
790,082726,Sora,45,15,0.0,2001,64
791,252081,Soriguera,148,36,0.0,2001,126
792,252094,Sort,704,95,1.0,2001,751
793,252108,Soses,67,92,2.0,2001,465
794,082732,Subirats,357,114,2.0,2001,907
795,252115,Sudanell,13,80,0.0,2001,243
796,252120,Sunyer,10,22,0.0,2001,94
797,082747,Súria,164,524,0.0,2001,2105
798,171946,Susqueda,28,1,0.0,2001,41
799,082763,Tagamanent,0,3,0.0,2001,80
800,082779,Talamanca,175,13,0.0,2001,39
801,252154,Talarn,63,70,3.0,2001,134
802,252167,Talavera,11,9,0.0,2001,96
803,171959,"Tallada d'Empordà, la",59,24,0.0,2001,114
804,082785,Taradell,531,176,2.0,2001,1718
805,431482,Tarragona,6911,10136,851.0,2001,41116
806,252173,Tàrrega,501,1386,2.0,2001,4594
807,252189,Tarrés,27,9,1.0,2001,47
808,252192,Tarroja de Segarra,8,32,0.0,2001,62
809,082750,Tavèrnoles,7,33,0.0,2001,74
810,082802,Tavertet,88,22,1.0,2001,57
811,082819,Teià,156,156,1.0,2001,1773
812,252206,Térmens,41,108,0.0,2001,457
813,171962,Terrades,44,9,4.0,2001,82
814,082798,Terrassa,1842,13760,212.0,2001,63059
815,082824,Tiana,349,188,4.0,2001,1955
816,252213,Tírvia,74,7,0.0,2001,51
817,252228,Tiurana,5,1,0.0,2001,7
818,431495,Tivenys,148,40,3.0,2001,327
819,431508,Tivissa,316,117,9.0,2001,636
820,082830,Tona,371,456,13.0,2001,2050
821,252234,Torà,78,100,0.0,2001,416
822,082845,Tordera,682,1248,1.0,2001,3813
823,082858,Torelló,139,792,20.0,2001,4299
824,252249,"Torms, els",26,17,1.0,2001,71
825,252252,Tornabous,78,20,1.0,2001,282
826,252271,"Torre de Cabdella, la",0,173,0.0,2001,274
827,082861,"Torre de Claramunt, la",125,79,23.0,2001,821
828,431515,"Torre de Fontaubella, la",29,7,0.0,2001,56
829,431520,"Torre de l'Espanyol, la",104,0,0.0,2001,237
830,252265,Torrebesses,56,36,1.0,2001,122
831,431536,Torredembarra,7635,319,96.0,2001,4178
832,252287,Torrefarrera,5,267,0.0,2001,652
833,259078,Torrefeta i Florejacs,25,1,10.0,2001,228
834,252304,Torregrossa,48,160,0.0,2001,739
835,252311,Torrelameu,14,33,0.0,2001,187
836,082877,Torrelavit,68,101,5.0,2001,377
837,082883,Torrelles de Foix,144,157,0.0,2001,665
838,082896,Torrelles de Llobregat,312,125,1.0,2001,1284
839,171978,Torrent,21,11,0.0,2001,60
840,252326,Torres de Segre,50,134,2.0,2001,638
841,252332,Torre-serona,3,12,0.0,2001,115
842,171984,Torroella de Fluvià,5,34,0.0,2001,148
843,171997,Torroella de Montgrí,5530,656,1943.0,2001,2963
844,431541,Torroja del Priorat,125,0,0.0,2001,60
845,172001,Tortellà,26,61,1.0,2001,280
846,431554,Tortosa,1421,3469,98.0,2001,10227
847,172018,Toses,120,13,0.0,2001,62
848,172023,Tossa de Mar,4441,296,24.0,2001,1773
849,252347,Tremp,1026,1232,16.0,2001,2023
850,172044,Ullà,52,38,0.0,2001,265
851,082900,Ullastrell,103,91,0.0,2001,405
852,172057,Ullastret,0,51,0.0,2001,80
853,431567,Ulldecona,291,809,2.0,2001,2027
854,431573,Ulldemolins,199,10,10.0,2001,201
855,172039,Ultramort,8,6,0.0,2001,70
856,172060,Urús,238,3,0.0,2001,71
857,082917,Vacarisses,1753,93,30.0,2001,1168
858,170144,"Vajol, la",16,12,1.0,2001,40
859,172076,"Vall d'en Bas, la",263,199,1.0,2001,884
860,172082,"Vall de Bianya, la",93,83,3.0,2001,420
861,250432,"Vall de Boí, la",356,69,1.0,2001,350
862,259010,Vall de Cardós,236,11,9.0,2001,144
863,082922,Vallbona d'Anoia,3,101,0.0,2001,360
864,252385,Vallbona de les Monges,170,9,1.0,2001,101
865,082938,Vallcebre,100,9,0.0,2001,95
866,431589,Vallclara,96,1,0.0,2001,49
867,252402,Vallfogona de Balaguer,19,25,1.0,2001,478
868,171707,Vallfogona de Ripollès,64,40,0.0,2001,80
869,431592,Vallfogona de Riucorb,135,0,0.0,2001,49
870,082943,Vallgorguina,491,3,0.0,2001,540
871,082956,Vallirana,1434,537,8.0,2001,3268
872,172095,Vall-llobrega,141,15,12.0,2001,179
873,431606,Vallmoll,61,273,0.0,2001,447
874,082969,Vallromanes,16,255,1.0,2001,572
875,431613,Valls,872,1772,11.0,2001,7044
876,259062,"Valls d'Aguilar, les",19,10,0.0,2001,124
877,252398,"Valls de Valira, les",87,64,19.0,2001,257
878,431628,Vandellòs i l'Hospitalet de l'Infant,1204,914,17.0,2001,1478
879,259097,"Vansa i Fórnols, la",0,42,0.0,2001,74
880,082975,Veciana,31,13,0.0,2001,49
881,431634,"Vendrell, el",15601,2246,56.0,2001,8847
882,172109,Ventalló,188,61,0.0,2001,248
883,252424,Verdú,206,6,4.0,2001,329
884,172116,Verges,37,64,28.0,2001,395
885,431649,Vespella de Gaià,169,1,0.0,2001,97
886,082981,Vic,1415,2483,56.0,2001,11456
887,172121,Vidrà,43,6,0.0,2001,53
888,172137,Vidreres,1020,190,4.0,2001,1799
889,252430,Vielha e Mijaran,1719,187,7.0,2001,1501
890,431652,Vilabella,54,60,0.0,2001,264
891,172142,Vilabertran,18,42,0.0,2001,281
892,172155,Vilablareix,9,51,1.0,2001,598
893,082994,Vilada,34,10,0.0,2001,193
894,172174,Viladamat,57,29,0.0,2001,143
895,172168,Viladasens,18,7,0.0,2001,60
896,083015,Viladecans,386,2718,67.0,2001,19366
897,083008,Viladecavalls,353,140,18.0,2001,1946
898,172180,Vilademuls,16,207,0.0,2001,226
899,172207,Viladrau,471,1,0.0,2001,311
900,172214,Vilafant,49,139,12.0,2001,1355
901,083054,Vilafranca del Penedès,870,2451,108.0,2001,11053
902,252445,Vilagrassa,23,38,0.0,2001,144
903,172235,Vilajuïga,26,66,4.0,2001,364
904,431750,Vilalba dels Arcs,107,32,2.0,2001,246
905,083067,Vilalba Sasserra,46,12,0.0,2001,184
906,252458,Vilaller,165,28,1.0,2001,224
907,172240,Vilallonga de Ter,232,29,6.0,2001,171
908,431665,Vilallonga del Camp,45,52,0.0,2001,429
909,172253,Vilamacolum,9,1,0.0,2001,91
910,172266,Vilamalla,49,61,2.0,2001,281
911,172272,Vilamaniscle,72,0,0.0,2001,54
912,252477,Vilamòs,34,9,0.0,2001,47
913,172288,Vilanant,35,14,3.0,2001,109
914,431671,Vilanova d'Escornalbou,59,28,0.0,2001,159
915,252483,Vilanova de Bellpuig,14,97,0.0,2001,378
916,252496,Vilanova de l'Aguda,33,28,0.0,2001,75
917,252542,Vilanova de la Barca,54,42,1.0,2001,315
918,252509,Vilanova de Meià,271,20,0.0,2001,164
919,431687,Vilanova de Prades,62,19,1.0,2001,51
920,083036,Vilanova de Sau,76,48,4.0,2001,124
921,252516,Vilanova de Segrià,1,65,0.0,2001,269
922,083020,Vilanova del Camí,1,981,0.0,2001,3393
923,089024,Vilanova del Vallès,357,179,1.0,2001,885
924,083073,Vilanova i la Geltrú,4920,3572,237.0,2001,20154
925,431690,Vilaplana,30,37,1.0,2001,196
926,431704,Vila-rodona,159,100,0.0,2001,400
927,172305,Vila-sacra,12,33,1.0,2001,140
928,252521,Vila-sana,2,34,0.0,2001,178
929,431711,Vila-seca,7837,1003,142.0,2001,4555
930,082140,Vilassar de Dalt,331,340,7.0,2001,2623
931,082191,Vilassar de Mar,2143,617,110.0,2001,6160
932,172229,Vilaür,30,7,0.0,2001,46
933,431726,Vilaverd,58,52,0.0,2001,154
934,431732,"Vilella Alta, la",44,22,0.0,2001,51
935,431747,"Vilella Baixa, la",111,25,1.0,2001,80
936,172333,Vilobí d'Onyar,100,159,0.0,2001,745
937,083041,Vilobí del Penedès,25,15,0.0,2001,290
938,172327,Vilopriu,78,2,0.0,2001,67
939,252537,"Vilosell, el",107,20,3.0,2001,89
940,431763,Vimbodí i Poblet,169,103,1.0,2001,382
941,252555,Vinaixa,40,64,0.0,2001,229
942,431779,Vinebre,1,111,0.0,2001,164
943,431785,Vinyols i els Arcs,625,49,0.0,2001,463
944,083089,Viver i Serrateix,4,46,0.0,2001,49
945,430521,Xerta,1,328,1.0,2001,438
0,250019,Abella de la Conca,28,0,,2011,62
1,080018,Abrera,503,269,,2011,4450
2,250024,Àger,0,0,,2011,259
3,250030,Agramunt,0,671,,2011,2040
4,080023,Aguilar de Segarra,0,0,,2011,163
5,170010,Agullana,146,0,,2011,324
6,080142,Aiguafreda,0,390,,2011,930
7,430017,Aiguamúrcia,380,119,,2011,355
8,170025,Aiguaviva,0,0,,2011,256
9,250387,Aitona,129,108,,2011,832
10,250045,"Alamús, els",0,130,,2011,281
11,250058,Alàs i Cerc,120,47,,2011,132
12,250061,"Albagés, l'",53,35,,2011,152
13,170031,Albanyà,37,13,,2011,49
14,250077,Albatàrrec,0,79,,2011,816
15,250083,Albesa,0,0,,2011,639
16,250096,"Albi, l'",97,80,,2011,313
17,430022,Albinyana,617,254,,2011,899
18,430038,"Albiol, l'",76,0,,2011,160
19,170046,Albons,156,35,,2011,273
20,430043,Alcanar,2099,1180,,2011,4084
21,250100,Alcanó,28,0,,2011,89
22,250117,Alcarràs,0,977,,2011,3318
23,250122,Alcoletge,222,0,,2011,1224
24,430056,Alcover,220,271,,2011,1988
25,439044,"Aldea, l'",111,151,,2011,1631
26,430069,Aldover,123,64,,2011,342
27,430075,"Aleixar, l'",231,54,,2011,352
28,080039,Alella,178,370,,2011,3324
29,430081,Alfara de Carles,43,30,,2011,161
30,250138,Alfarràs,0,154,,2011,1205
31,250143,Alfés,41,31,,2011,124
32,430094,Alforja,309,135,,2011,707
33,250156,Algerri,48,62,,2011,175
34,250169,Alguaire,0,266,,2011,1106
35,250175,Alins,122,62,,2011,117
36,430108,Alió,42,41,,2011,150
37,250194,Almacelles,171,497,,2011,2432
38,250208,Almatret,112,64,,2011,152
39,250215,Almenar,0,548,,2011,1284
40,430115,Almoster,0,126,,2011,480
41,250220,Alòs de Balaguer,65,32,,2011,64
42,170062,Alp,2620,220,,2011,768
43,080044,Alpens,117,0,,2011,122
44,250236,Alpicat,199,272,,2011,2129
45,250241,Alt Àneu,461,58,,2011,199
46,430120,Altafulla,2131,593,,2011,1861
47,170078,Amer,181,197,,2011,949
48,430136,"Ametlla de Mar, l'",3729,1266,,2011,2979
49,080057,"Ametlla del Vallès, l'",452,208,,2011,2726
50,439060,"Ampolla, l'",1103,1106,,2011,1422
51,430141,Amposta,328,2381,,2011,8170
52,170084,Anglès,0,313,,2011,2152
53,250273,Anglesola,110,120,,2011,538
54,250292,Arbeca,150,233,,2011,956
55,430167,"Arboç, l'",0,388,,2011,1991
56,430154,Arbolí,61,0,,2011,49
57,170097,Arbúcies,260,476,,2011,2503
58,080060,Arenys de Mar,1128,1352,,2011,5995
59,080076,Arenys de Munt,242,898,,2011,3192
60,170101,Argelaguer,47,33,,2011,173
61,080082,Argençola,63,0,,2011,93
62,430173,"Argentera, l'",42,26,,2011,64
63,080095,Argentona,549,760,,2011,4102
64,170118,"Armentera, l'",284,119,,2011,351
65,430189,Arnes,106,163,,2011,201
66,250313,Arres,16,0,,2011,37
67,250328,Arsèguel,62,25,,2011,41
68,080109,Artés,0,497,,2011,2093
69,250334,Artesa de Lleida,0,0,,2011,547
70,250349,Artesa de Segre,572,613,,2011,1418
71,430192,Ascó,0,270,,2011,613
72,250365,Aspa,74,0,,2011,89
73,250371,"Avellanes i Santa Linya, les",176,0,,2011,195
74,080116,Avià,0,247,,2011,862
75,080121,Avinyó,0,210,,2011,873
76,170123,Avinyonet de Puigventós,0,0,,2011,483
77,080137,Avinyonet del Penedès,192,98,,2011,648
78,080155,Badalona,2199,8881,,2011,81793
79,089045,Badia del Vallès,0,0,,2011,5277
80,080168,Bagà,552,222,,2011,988
81,250390,Baix Pallars,181,37,,2011,151
82,250404,Balaguer,371,1586,,2011,6304
83,080174,Balenyà,0,191,,2011,1392
84,080180,Balsareny,0,333,,2011,1374
85,430206,Banyeres del Penedès,298,174,,2011,1128
86,170157,Banyoles,362,2231,,2011,7003
87,250411,Barbens,0,56,,2011,298
88,430213,Barberà de la Conca,199,48,,2011,221
89,082520,Barberà del Vallès,0,906,,2011,12147
90,080193,Barcelona,38769,88259,,2011,684078
91,250426,"Baronia de Rialb, la",58,21,,2011,95
92,170160,Bàscara,83,64,,2011,362
93,250447,Bassella,5,11,,2011,91
94,430228,Batea,158,237,,2011,765
95,250450,Bausen,17,9,,2011,37
96,080207,Begues,382,261,,2011,2263
97,170139,Begur,3327,218,,2011,1680
98,250463,Belianes,168,0,,2011,240
99,251706,Bellaguarda,76,0,,2011,137
100,170182,Bellcaire d'Empordà,175,0,,2011,274
101,250479,Bellcaire d'Urgell,0,121,,2011,549
102,250485,Bell-lloc d'Urgell,0,71,,2011,873
103,250498,Bellmunt d'Urgell,34,40,,2011,68
