,Any,Serveis,Literal,Codi,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Riscos
75,2012,0.0,Bellprat,080214,1.0822,0.0,15.6782,0.7772,,
76,2012,0.0,Callús,080386,15.881,6.4568,8.318,6.9633,,
77,2012,0.5266,Cabrils,080305,103.6562,41.9404,11.4201,49.6327,,
78,2012,0.532,Montgat,081265,116.6988,34.7622,14.6341,53.9055,,
79,2012,2.9598,Montmeló,081350,91.8254,30.6264,12.9557,47.0021,,
80,2012,0.0,Figaró-Montmany,081347,14.1559,1.5612,11.065,10.0035,,
81,2012,1.1568,Montmaneu,081332,9.1309,1.1027,63.659,6.8289,,
82,2012,0.0,Montmajor,081326,8.0642,1.3996,39.7674,4.7837,,
83,2012,0.0,Montesquiu,081311,10.6709,2.7155,21.2095,6.1535,,
84,2012,0.0,Montclar,081304,0.4855,0.128,6.6015,0.2752,,
85,2012,0.0,Muntanyola,081290,41.9804,15.2835,152.6985,12.077499999999999,,
86,2012,3.3589,"Masnou, el",081189,146.1498,17.6602,7.6093,71.5419,,
87,2012,0.9341,Monistrol de Montserrat,081271,42.5496,11.0788,48.138,17.8054,,
88,2012,8.3169,Moià,081385,54.4366,11.5127,13.905,34.0916,,
89,2012,0.6727,Montcada i Reixac,081252,322.7265,71.5138,16.9091,185.2849,,
90,2012,13.1303,Mollet del Vallès,081249,317.3279,105.6881,12.7342,143.461,,
91,2012,2.2236,Molins de Rei,081234,162.5908,41.4666,13.6077,89.41329999999999,,
92,2012,0.0,Mediona,081228,58.1383,16.7978,36.4913,32.0858,,
93,2012,0.0,Mataró,081213,386.7198,94.1444,7.2255,188.2808,,
94,2012,0.6509,Matadepera,081206,362.2086,220.9325,41.3416,101.1007,,
95,2012,0.0,Esparreguera,080765,156.9665,46.7688,11.7307,84.0283,,
96,2012,0.0,Monistrol de Calders,081287,13.4266,5.5979,11.7755,7.0044,,
97,2012,0.0,Olesa de Bonesvalls,081461,19.2708,5.8757,2.1993,10.5815,,
98,2012,0.0,Palafolls,081555,94.6251,16.7317,13.9226,47.7416,,
99,2012,0.0,Pacs del Penedès,081542,17.5177,2.7355,36.1876,11.6012,,
100,2012,0.0,Òrrius,081537,16.4171,4.3472,38.8205,7.0118,,
101,2012,0.0,Orpí,081521,3.1026,1.0723,23.2123,1.6566,,
102,2012,0.0,Oristà,081516,10.7961,2.8413,39.7552,5.448,,
103,2012,0.9736,Orís,081509,13.4474,9.0393,37.5026,3.1044,,
104,2012,0.7071,Olost,081496,24.1149,5.5059,44.4509,12.991599999999998,,
105,2012,0.0,Montornès del Vallès,081363,65.3125,19.8259,8.014,32.424,,
106,2012,2.1654,Olesa de Montserrat,081477,69.7903,10.1851,7.3293,42.940799999999996,,
107,2012,0.0,Montseny,081379,1.5558,0.1909,15.0031,0.9103,,
108,2012,0.0,Olèrdola,081458,115.1649,48.0419,50.3456,46.798300000000005,,
109,2012,0.0,Olvan,081445,16.3251,4.3289,29.8894,8.8442,,
110,2012,2.7694,Òdena,081430,64.5332,16.8614,27.9553,33.8532,,
111,2012,0.0,"Nou de Berguedà, la",081424,2.8441,0.5119,49.4121,1.5742,,
112,2012,0.0,Navàs,081419,41.8123,3.9279,15.0609,28.6117,,
113,2012,0.0,Navarcles,081402,60.6289,19.1052,12.9815,30.5422,,
114,2012,0.3934,Mura,081398,8.7608,2.3068,51.8907,5.2761000000000005,,
115,2012,0.0,"Masies de Voltregà, les",081173,41.7546,14.0445,24.117,20.003,,
116,2012,0.0,Olivella,081483,135.4328,57.3636,53.5884,56.64,,
117,2012,3.5847,Font-rubí,080850,21.5341,7.3131,20.7905,11.1917,,
