,Codi,Literal,1,2,3,4,5,6 i més,Any
115,170209,Bescanó,185,297,292,255,80,36,2001
116,170216,Beuda,8,15,11,7,4,2,2001
117,080235,Bigues i Riells del Fai,271,535,474,482,133,85,2001
118,250557,Biosca,22,14,11,18,13,3,2001
119,170221,"Bisbal d'Empordà, la",535,811,643,585,201,105,2001
120,430271,"Bisbal de Falset, la",13,22,14,18,7,7,2001
121,430287,"Bisbal del Penedès, la",196,246,157,141,42,33,2001
122,172348,Biure,34,26,20,12,5,2,2001
123,430290,Blancafort,42,35,37,18,12,6,2001
124,170237,Blanes,2384,3069,2400,2341,660,332,2001
125,170293,Boadella i les Escaules,18,26,15,13,6,3,2001
126,170242,Bolvir,45,18,19,17,6,5,2001
127,430304,Bonastre,49,44,31,21,6,3,2001
128,250576,"Bòrdes, Es",22,21,12,11,7,4,2001
129,170255,Bordils,83,113,107,110,34,16,2001
130,250582,"Borges Blanques, les",344,520,385,389,136,57,2001
131,430311,"Borges del Camp, les",134,164,119,105,40,25,2001
132,170268,Borrassà,30,47,32,36,21,12,2001
133,080240,Borredà,47,47,33,37,8,9,2001
134,250595,Bossòst,86,76,82,66,26,12,2001
135,430326,Bot,44,84,57,48,26,16,2001
136,430332,Botarell,54,63,56,45,27,11,2001
137,250560,Bovera,35,35,25,21,10,11,2001
138,430347,Bràfim,68,56,38,40,16,7,2001
139,170274,Breda,213,331,294,249,76,37,2001
140,080253,"Bruc, el",115,129,95,75,32,15,2001
141,080266,"Brull, el",11,11,14,8,7,6,2001
142,170280,Brunyola i Sant Martí Sapresa,13,29,30,14,7,16,2001
143,430350,Cabacés,28,24,24,21,15,6,2001
144,250609,Cabanabona,12,8,4,6,2,3,2001
145,170314,Cabanelles,26,26,8,18,7,2,2001
146,170307,Cabanes,57,84,49,47,25,11,2001
147,080272,"Cabanyes, les",20,56,42,42,13,10,2001
148,250616,Cabó,13,9,7,5,5,3,2001
149,430363,Cabra del Camp,63,79,41,50,20,6,2001
150,080288,Cabrera d'Anoia,62,79,47,41,13,11,2001
151,080291,Cabrera de Mar,219,270,276,295,125,58,2001
152,080305,Cabrils,242,382,348,429,169,83,2001
153,170329,Cadaqués,263,224,140,151,30,18,2001
154,080312,Calaf,195,280,242,220,86,27,2001
155,430379,Calafell,1463,1710,972,867,282,124,2001
156,080348,Calders,62,70,70,61,19,6,2001
157,080327,Caldes d'Estrac,212,225,155,117,32,24,2001
158,170335,Caldes de Malavella,288,393,339,298,96,59,2001
159,080333,Caldes de Montbui,795,1273,1164,1094,311,141,2001
160,080351,Calella,1335,1440,1108,857,272,175,2001
161,080370,Calldetenes,84,129,141,190,48,28,2001
162,080386,Callús,76,145,108,94,30,18,2001
163,080364,Calonge de Segarra,10,12,12,9,4,11,2001
164,170340,Calonge i Sant Antoni,2722,613,290,255,97,48,2001
165,250621,Camarasa,78,83,60,49,23,21,2001
166,439039,Camarles,133,316,218,211,84,35,2001
167,430385,Cambrils,1733,2030,1684,1508,492,224,2001
168,170353,Camós,20,41,43,47,23,16,2001
169,170366,Campdevànol,246,383,309,240,55,22,2001
170,170372,Campelles,17,11,8,4,3,4,2001
171,080399,Campins,38,29,21,19,7,4,2001
172,170388,Campllong,18,32,17,23,11,5,2001
173,170391,Camprodon,281,226,196,140,35,21,2001
174,250637,Canejan,20,10,5,7,0,4,2001
175,170405,Canet d'Adri,49,47,32,34,15,12,2001
176,080403,Canet de Mar,816,1131,836,797,236,92,2001
177,080410,Canovelles,548,1051,1019,1077,359,160,2001
178,080425,Cànoves i Samalús,99,182,130,150,64,26,2001
179,170412,Cantallops,31,25,27,9,8,3,2001
180,080431,Canyelles,176,235,165,155,44,28,2001
181,430398,Capafonts,18,21,12,2,1,1,2001
182,430402,Capçanes,51,28,24,31,13,7,2001
183,080446,Capellades,246,437,365,396,140,55,2001
184,170427,Capmany,32,59,40,30,13,5,2001
185,080459,Capolat,6,4,7,4,3,0,2001
186,080462,Cardedeu,674,1230,1041,1033,314,121,2001
187,080478,Cardona,416,552,407,377,115,79,2001
188,080484,Carme,53,60,32,52,17,17,2001
189,430419,Caseres,29,31,23,18,7,8,2001
190,170448,Cassà de la Selva,543,760,552,607,200,77,2001
191,080497,Casserres,118,163,125,104,38,16,2001
192,080575,Castell de l'Areny,8,10,4,2,2,0,2001
193,259046,Castell de Mur,27,18,9,8,3,2,2001
194,250642,Castellar de la Ribera,9,6,5,4,3,12,2001
195,080522,Castellar de n'Hug,18,14,14,9,2,4,2001
196,080500,Castellar del Riu,15,14,5,12,1,1,2001
197,080517,Castellar del Vallès,823,1698,1511,1549,417,173,2001
198,080538,Castellbell i el Vilar,226,293,235,198,78,31,2001
199,080543,Castellbisbal,386,874,767,746,206,101,2001
200,080556,Castellcir,29,39,27,32,13,4,2001
201,250674,Castelldans,76,115,70,63,21,10,2001
202,080569,Castelldefels,3210,4470,3892,3521,1021,471,2001
203,080581,Castellet i la Gornal,143,164,107,111,31,15,2001
204,170464,Castellfollit de la Roca,100,114,77,65,17,9,2001
205,080608,Castellfollit de Riubregós,17,13,13,11,13,5,2001
206,080594,Castellfollit del Boix,34,28,24,24,11,11,2001
207,080615,Castellgalí,66,84,89,62,22,17,2001
208,080620,Castellnou de Bages,36,53,50,50,14,6,2001
209,250680,Castellnou de Seana,67,58,55,43,15,15,2001
210,170470,Castelló d'Empúries,706,696,389,401,109,70,2001
211,250693,Castelló de Farfanya,54,54,28,35,25,10,2001
212,080636,Castellolí,32,29,31,29,16,8,2001
213,170486,Castell-Platja d'Aro,962,750,511,428,134,64,2001
214,250707,Castellserà,80,95,78,78,36,17,2001
215,080641,Castellterçol,174,205,148,140,47,22,2001
216,430424,Castellvell del Camp,67,102,102,140,52,21,2001
217,080654,Castellví de la Marca,82,111,114,93,44,30,2001
218,080667,Castellví de Rosanes,59,102,99,115,26,6,2001
219,430430,"Catllar, el",145,239,210,211,63,27,2001
220,250714,Cava,10,6,4,2,1,1,2001
221,171899,"Cellera de Ter, la",131,162,152,145,59,28,2001
222,170499,Celrà,161,249,234,202,75,28,2001
223,080673,Centelles,380,571,454,458,131,62,2001
224,082687,Cercs,163,160,113,94,24,7,2001
225,082665,Cerdanyola del Vallès,2776,4850,4466,4567,1186,433,2001
226,080689,Cervelló,293,509,521,494,158,75,2001
227,250729,Cervera,507,719,618,558,202,106,2001
228,250735,Cervià de les Garrigues,86,90,69,44,30,9,2001
229,170502,Cervià de Ter,52,59,53,54,18,4,2001
230,170519,Cistella,16,18,18,19,7,4,2001
231,250740,Ciutadilla,17,27,10,13,7,5,2001
232,250753,Clariana de Cardener,7,8,5,8,9,6,2001
233,250766,"Cogul, el",30,19,14,8,6,10,2001
234,170545,Colera,78,70,30,31,6,6,2001
235,250772,Coll de Nargó,60,56,46,39,12,9,2001
236,080692,Collbató,219,254,210,165,56,21,2001
237,430458,Colldejou,14,12,6,12,6,8,2001
238,080706,Collsuspina,19,21,20,24,9,1,2001
239,170558,Colomers,18,17,23,9,5,3,2001
240,251636,"Coma i la Pedra, la",45,17,16,10,4,7,2001
241,251615,Conca de Dalt,55,39,25,18,11,14,2001
242,430461,Conesa,21,17,11,7,2,1,2001
243,430477,Constantí,277,400,403,390,152,70,2001
244,080713,Copons,39,35,17,20,5,2,2001
245,430483,Corbera d'Ebre,64,71,66,81,34,24,2001
246,080728,Corbera de Llobregat,531,886,824,702,245,97,2001
247,250788,Corbins,73,99,91,75,33,16,2001
248,170577,Corçà,86,72,73,97,47,11,2001
249,080734,Cornellà de Llobregat,5054,8389,7232,6017,1532,667,2001
250,170561,Cornellà del Terri,97,138,150,125,55,42,2001
251,430496,Cornudella de Montsant,117,98,58,46,21,13,2001
252,430509,Creixell,232,277,136,107,41,35,2001
253,170583,Crespià,19,26,12,14,4,4,2001
254,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",95,62,80,70,31,29,2001
255,080749,Cubelles,739,930,577,432,149,70,2001
256,250791,Cubells,27,34,23,19,11,9,2001
257,430516,Cunit,790,863,451,375,123,56,2001
258,170600,Darnius,61,76,50,23,7,4,2001
259,170617,Das,22,8,8,10,4,4,2001
260,439018,Deltebre,417,776,829,744,332,216,2001
261,080752,Dosrius,178,261,236,245,83,40,2001
262,430537,Duesaigües,29,22,19,11,3,2,2001
263,170622,"Escala, l'",701,649,443,369,115,70,2001
264,080765,Esparreguera,1091,1806,1593,1411,406,163,2001
265,170638,Espinelves,24,20,9,8,4,4,2001
266,250812,"Espluga Calba, l'",35,40,28,26,17,7,2001
267,430542,"Espluga de Francolí, l'",224,313,276,279,93,40,2001
268,080771,Esplugues de Llobregat,2389,4113,3873,3828,1046,326,2001
269,170643,Espolla,36,34,20,24,12,7,2001
270,170656,Esponellà,13,20,32,28,9,9,2001
271,250827,Espot,39,20,22,14,12,7,2001
272,080787,"Espunyola, l'",8,16,15,11,13,11,2001
273,082541,"Esquirol, l'",141,190,144,149,53,39,2001
274,250886,Estamariu,11,7,10,7,4,4,2001
275,080790,"Estany, l'",42,37,33,24,6,6,2001
276,250851,Estaràs,14,14,15,11,4,5,2001
277,250864,Esterri d'Àneu,71,55,57,43,15,6,2001
