,Codi,Literal,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions
90,080193,Barcelona,2000,1496266,699645,796621,170861,994656,330749,190.0,11.0,,,
91,250426,"Baronia de Rialb, la",2000,266,139,127,32,162,72,,,,,
92,170160,Bàscara,2000,822,422,400,86,562,174,,,,,
93,250447,Bassella,2000,308,156,152,38,167,103,,,,,
94,430228,Batea,2000,1964,987,977,218,1200,546,,,,,
95,250450,Bausen,2000,62,36,26,2,30,30,,,,,
96,080207,Begues,2000,4189,2108,2081,844,2943,402,,,,,
97,170139,Begur,2000,3411,1729,1682,516,2386,509,,,,,
98,250463,Belianes,2000,550,260,290,56,312,182,,,,,
99,251706,Bellaguarda,2000,354,174,180,43,188,123,,,,,
100,170182,Bellcaire d'Empordà,2000,535,274,261,66,343,126,,,,,
101,250479,Bellcaire d'Urgell,2000,1307,626,681,123,805,379,,,,,
102,250485,Bell-lloc d'Urgell,2000,2124,1050,1074,282,1353,489,,,,,
103,250498,Bellmunt d'Urgell,2000,231,113,118,28,138,65,,,,,
104,430234,Bellmunt del Priorat,2000,310,151,159,21,170,119,,,,,
105,080214,Bellprat,2000,95,55,40,10,62,23,,,,,
106,250501,Bellpuig,2000,4041,2009,2032,523,2697,821,,,,,
107,430249,Bellvei,2000,1368,722,646,219,929,220,,,,,
108,250518,Bellver de Cerdanya,2000,1614,861,753,177,1091,346,,,,,
109,250523,Bellvís,2000,2173,1067,1106,236,1295,642,,,,,
110,250539,Benavent de Segrià,2000,904,469,435,126,632,146,,,,,
111,430252,Benifallet,2000,883,441,442,98,504,281,,,,,
112,430265,Benissanet,2000,1022,523,499,121,632,269,,,,,
113,080229,Berga,2000,14305,6929,7376,1663,9279,3363,,,,,
114,170195,Besalú,2000,1996,971,1025,226,1294,476,,,,,
115,170209,Bescanó,2000,3187,1603,1584,453,2155,579,,,,,
116,170216,Beuda,2000,133,73,60,16,92,25,,,,,
117,080235,Bigues i Riells del Fai,2000,5436,2848,2588,924,3968,544,,,,,
118,250557,Biosca,2000,247,126,121,24,146,77,,,,,
119,170221,"Bisbal d'Empordà, la",2000,8264,4070,4194,1238,5442,1584,,,,,
120,430271,"Bisbal de Falset, la",2000,242,120,122,25,148,69,,,,,
121,430287,"Bisbal del Penedès, la",2000,1943,1023,920,263,1309,371,,,,,
122,172348,Biure,2000,217,107,110,21,142,54,,,,,
123,430290,Blancafort,2000,379,196,183,47,198,134,,,,,
124,170237,Blanes,2000,30441,15272,15169,4725,21428,4288,,,,,
125,170293,Boadella i les Escaules,2000,219,110,109,24,142,53,,,,,
126,170242,Bolvir,2000,284,144,140,29,206,49,,,,,
127,430304,Bonastre,2000,319,166,153,35,191,93,,,,,
128,250576,"Bòrdes, Es",2000,212,111,101,21,160,31,,,,,
129,170255,Bordils,2000,1383,697,686,208,919,256,,,,,
130,250582,"Borges Blanques, les",2000,5212,2601,2611,666,3365,1181,,,,,
131,430311,"Borges del Camp, les",2000,1577,797,780,206,1043,328,,,,,
132,170268,Borrassà,2000,533,268,265,67,329,137,,,,,
133,080240,Borredà,2000,485,243,242,59,305,121,,,,,
134,250595,Bossòst,2000,866,434,432,132,570,164,,,,,
135,430326,Bot,2000,830,419,411,67,477,286,,,,,
136,430332,Botarell,2000,624,318,306,90,428,106,,,,,
137,250560,Bovera,2000,396,202,194,26,227,143,,,,,
138,430347,Bràfim,2000,573,279,294,45,363,165,,,,,
139,170274,Breda,2000,3345,1717,1628,476,2277,592,,,,,
140,080253,"Bruc, el",2000,1029,544,485,153,680,196,,,,,
141,080266,"Brull, el",2000,197,109,88,23,138,36,,,,,
142,170280,Brunyola i Sant Martí Sapresa,2000,383,195,188,28,228,127,,,,,
143,430350,Cabacés,2000,339,178,161,28,206,105,,,,,
144,250609,Cabanabona,2000,98,49,49,7,53,38,,,,,
145,170314,Cabanelles,2000,226,129,97,22,142,62,,,,,
146,170307,Cabanes,2000,798,409,389,95,539,164,,,,,
147,080272,"Cabanyes, les",2000,544,290,254,70,374,100,,,,,
148,250616,Cabó,2000,123,71,52,10,74,39,,,,,
149,430363,Cabra del Camp,2000,601,315,286,67,399,135,,,,,
150,080288,Cabrera d'Anoia,2000,528,291,237,63,382,83,,,,,
151,080291,Cabrera de Mar,2000,3716,1899,1817,631,2662,423,,,,,
152,080305,Cabrils,2000,4693,2293,2400,884,3361,448,,,,,
153,170329,Cadaqués,2000,2301,1117,1184,333,1576,392,,,,,
154,080312,Calaf,2000,3016,1500,1516,385,2036,595,,,,,
155,430379,Calafell,2000,12219,6160,6059,1669,8746,1804,,,,,
156,080348,Calders,2000,763,395,368,135,489,139,,,,,
157,080327,Caldes d'Estrac,2000,1973,951,1022,240,1314,419,,,,,
158,170335,Caldes de Malavella,2000,4031,2038,1993,534,2739,758,,,,,
159,080333,Caldes de Montbui,2000,12464,6149,6315,1590,8748,2126,,,,,
160,080351,Calella,2000,13055,6319,6736,1839,8866,2350,,,,,
161,080370,Calldetenes,2000,2006,1036,970,314,1406,286,,,,,
162,080386,Callús,2000,1329,661,668,157,855,317,,,,,
163,080364,Calonge de Segarra,2000,196,101,95,24,104,68,,,,,
164,170340,Calonge i Sant Antoni,2000,6783,3398,3385,925,4719,1139,,,,,
165,250621,Camarasa,2000,885,449,436,73,514,298,,,,,
166,439039,Camarles,2000,2887,1428,1459,388,1861,638,,,,,
167,430385,Cambrils,2000,19942,9911,10031,3221,14278,2443,,,,,
168,170353,Camós,2000,637,327,310,72,434,131,,,,,
169,170366,Campdevànol,2000,3370,1652,1718,370,2181,819,,,,,
170,170372,Campelles,2000,125,67,58,6,89,30,,,,,
171,080399,Campins,2000,292,150,142,51,195,46,,,,,
172,170388,Campllong,2000,307,158,149,49,201,57,,,,,
173,170391,Camprodon,2000,2319,1138,1181,226,1525,568,,,,,
174,250637,Canejan,2000,108,52,56,9,70,29,,,,,
175,170405,Canet d'Adri,2000,519,270,249,70,355,94,,,,,
176,080403,Canet de Mar,2000,10138,4946,5192,1339,6881,1918,,,,,
177,080410,Canovelles,2000,13016,6566,6450,1933,9420,1663,,,,,
178,080425,Cànoves i Samalús,2000,1870,968,902,270,1357,243,,,,,
179,170412,Cantallops,2000,267,136,131,24,161,82,,,,,
180,080431,Canyelles,2000,1838,983,855,241,1355,242,,,,,
181,430398,Capafonts,2000,124,65,59,3,92,29,,,,,
182,430402,Capçanes,2000,401,184,217,40,249,112,,,,,
183,080446,Capellades,2000,4881,2390,2491,673,3358,850,,,,,
184,170427,Capmany,2000,409,203,206,34,261,114,,,,,
185,080459,Capolat,2000,63,38,25,1,40,22,,,,,
186,080462,Cardedeu,2000,12078,6005,6073,2093,8510,1475,,,,,
187,080478,Cardona,2000,5567,2707,2860,633,3561,1373,,,,,
188,080484,Carme,2000,686,350,336,61,452,173,,,,,
189,430419,Caseres,2000,325,161,164,41,178,106,,,,,
190,170448,Cassà de la Selva,2000,7692,3834,3858,1162,4999,1531,,,,,
191,080497,Casserres,2000,1634,778,856,177,1003,454,,,,,
192,080575,Castell de l'Areny,2000,48,30,18,2,33,13,,,,,
193,259046,Castell de Mur,2000,149,78,71,17,82,50,,,,,
194,250642,Castellar de la Ribera,2000,153,70,83,17,92,44,,,,,
195,080522,Castellar de n'Hug,2000,188,97,91,19,120,49,,,,,
196,080500,Castellar del Riu,2000,114,66,48,16,81,17,,,,,
197,080517,Castellar del Vallès,2000,17444,8714,8730,2945,12291,2208,,,,,
198,080538,Castellbell i el Vilar,2000,2753,1379,1374,332,1826,595,,,,,
199,080543,Castellbisbal,2000,7887,4073,3814,1433,5666,788,,,,,
200,080556,Castellcir,2000,366,204,162,53,259,54,,,,,
201,250674,Castelldans,2000,959,483,476,118,552,289,,,,,
202,080569,Castelldefels,2000,45091,22538,22553,7143,33536,4412,,,,,
203,080581,Castellet i la Gornal,2000,1404,705,699,161,947,296,,,,,
204,170464,Castellfollit de la Roca,2000,963,478,485,108,585,270,,,,,
205,080608,Castellfollit de Riubregós,2000,233,117,116,28,142,63,,,,,
206,080594,Castellfollit del Boix,2000,384,186,198,67,219,98,,,,,
207,080615,Castellgalí,2000,928,477,451,122,615,191,,,,,
208,080620,Castellnou de Bages,2000,526,276,250,73,409,44,,,,,
209,250680,Castellnou de Seana,2000,701,362,339,67,451,183,,,,,
210,170470,Castelló d'Empúries,2000,6266,3202,3064,1018,4239,1009,,,,,
211,250693,Castelló de Farfanya,2000,587,298,289,69,343,175,,,,,
212,080636,Castellolí,2000,427,219,208,62,273,92,,,,,
213,170486,Castell-Platja d'Aro,2000,6688,3382,3306,994,4920,774,,,,,
214,250707,Castellserà,2000,1107,541,566,119,696,292,,,,,
215,080641,Castellterçol,2000,2000,983,1017,257,1288,455,,,,,
216,430424,Castellvell del Camp,2000,1062,543,519,140,749,173,,,,,
217,080654,Castellví de la Marca,2000,1445,730,715,187,947,311,,,,,
218,080667,Castellví de Rosanes,2000,1096,563,533,162,801,133,,,,,
219,430430,"Catllar, el",2000,2363,1243,1120,358,1700,305,,,,,
220,250714,Cava,2000,57,34,23,6,34,17,,,,,
221,171899,"Cellera de Ter, la",2000,2019,1002,1017,272,1349,398,,,,,
222,170499,Celrà,2000,2635,1293,1342,447,1759,429,,,,,
