,Literal,Codi,Any,Aturats,Evolucio atur,Poblacio activa,Renda
1707,Santa Perpètua de Mogoda,082606,2013,2447.5,45.0,,17.4
1708,Santa Susanna,082613,2013,262.3,-1.3000000000000114,,14.3
1709,Santpedor,081923,2013,520.3,-5.7000000000000455,,10.6
1710,Sarral,431423,2013,118.9,-8.599999999999994,,15.2
1711,Sarrià de Ter,171864,2013,349.0,26.80000000000001,,14.3
1712,Sarroca de Bellera,252017,2013,4.1,1.2999999999999998,,
1713,Sarroca de Lleida,252000,2013,20.7,3.0,,
1714,"Saus, Camallera i Llampaies",171870,2013,42.4,2.3999999999999986,,
1715,Savallà del Comtat,431439,2013,0.7,0.1999999999999999,,
1716,"Secuita, la",431444,2013,97.2,-0.0999999999999943,,12.9
1717,"Selva de Mar, la",171886,2013,10.0,-1.1999999999999993,,
1718,"Selva del Camp, la",431457,2013,384.0,14.600000000000025,,12.6
1719,Senan,431460,2013,3.8,-0.5,,
1720,"Sénia, la",430445,2013,724.0,31.100000000000023,,15.9
1721,Senterada,252022,2013,12.0,-3.8000000000000007,,
1722,"Sentiu de Sió, la",250352,2013,27.3,6.800000000000001,,
1723,Sentmenat,082671,2013,769.9,11.899999999999975,,13.9
1724,Serinyà,171903,2013,58.0,-1.1000000000000014,,16.8
1725,Seròs,252043,2013,83.1,-9.900000000000006,,13.6
1726,Serra de Daró,171910,2013,6.2,2.4000000000000004,,
1727,Setcases,171925,2013,4.8,2.1,,
1728,"Seu d'Urgell, la",252038,2013,918.7,52.200000000000045,,13.8
1729,Seva,082690,2013,218.3,-29.5,,13.3
1730,Sidamon,252056,2013,43.6,-2.199999999999996,,
1731,Sils,171931,2013,503.6,17.30000000000001,,15.3
1732,Sitges,082704,2013,1651.7,27.0,,16.2
1733,Siurana,170524,2013,5.0,-0.0999999999999996,,
1734,Sobremunt,082711,2013,2.6,0.0,,
1735,"Soleràs, el",252069,2013,6.5,-2.8000000000000007,,
1736,Solivella,431476,2013,28.5,3.899999999999999,,
1737,Solsona,252075,2013,761.4,70.79999999999995,,16.1
1738,Sora,082726,2013,2.6,-2.6,,
1739,Soriguera,252081,2013,14.7,-3.8000000000000007,,
1740,Sort,252094,2013,154.5,-1.8000000000000114,,15.1
1741,Soses,252108,2013,108.5,-3.4000000000000057,,12.9
1742,Subirats,082732,2013,179.7,6.5,,21.2
1743,Sudanell,252115,2013,31.9,-4.100000000000001,,
1744,Sunyer,252120,2013,8.2,2.1,,
1745,Súria,082747,2013,445.6,-42.0,,12.3
1746,Susqueda,171946,2013,2.7,-2.6,,
1747,Tagamanent,082763,2013,24.3,1.5,,
1748,Talamanca,082779,2013,6.4,-0.5,,
1749,Talarn,252154,2013,19.6,-1.6999999999999993,,
1750,Talavera,252167,2013,7.2,-2.1000000000000005,,
1751,"Tallada d'Empordà, la",171959,2013,19.1,-3.3999999999999986,,
1752,Taradell,082785,2013,460.3,-14.5,,14.9
1753,Tarragona,431482,2013,11451.2,-31.39999999999964,,20.9
1754,Tàrrega,252173,2013,1466.5,-0.7000000000000455,,12.7
1755,Tarrés,252189,2013,4.6,1.0999999999999996,,
1756,Tarroja de Segarra,252192,2013,7.1,-0.1000000000000005,,
1757,Tavèrnoles,082750,2013,8.7,-0.200000000000001,,
1758,Tavertet,082802,2013,5.3,-3.500000000000001,,
1759,Teià,082819,2013,305.8,6.0,,15.7
1760,Térmens,252206,2013,76.9,-0.7999999999999972,,14.6
1761,Terrades,171962,2013,13.3,1.3000000000000007,,
1762,Terrassa,082798,2013,23756.5,697.2000000000007,,12.4
1763,Tiana,082824,2013,443.4,6.399999999999977,,15.4
1764,Tírvia,252213,2013,8.5,-0.5,,
1765,Tiurana,252228,2013,0.0,0.0,,
1766,Tivenys,431495,2013,59.2,-2.5999999999999943,,
1767,Tivissa,431508,2013,116.9,-13.299999999999985,,14.0
1768,Tona,082830,2013,602.6,-24.5,,13.4
1769,Torà,252234,2013,71.5,3.200000000000003,,15.1
1770,Tordera,082845,2013,1768.3,1.2999999999999543,,13.4
1771,Torelló,082858,2013,1327.5,62.700000000000045,,16.3
1772,"Torms, els",252249,2013,7.5,2.9000000000000004,,
1773,Tornabous,252252,2013,51.1,-5.5,,
1774,"Torre de Cabdella, la",252271,2013,18.3,2.8000000000000007,,
1775,"Torre de Claramunt, la",082861,2013,411.5,20.899999999999977,,11.6
1776,"Torre de Fontaubella, la",431515,2013,9.7,-1.9000000000000004,,
1777,"Torre de l'Espanyol, la",431520,2013,47.4,9.699999999999996,,
1778,Torrebesses,252265,2013,9.5,1.1999999999999993,,
1779,Torredembarra,431536,2013,1524.4,2.900000000000091,,17.2
1780,Torrefarrera,252287,2013,255.6,3.0999999999999943,,12.5
1781,Torrefeta i Florejacs,259078,2013,19.1,1.3000000000000007,,
1782,Torregrossa,252304,2013,124.2,9.400000000000006,,12.5
1783,Torrelameu,252311,2013,29.1,-3.6000000000000014,,
1784,Torrelavit,082877,2013,72.5,3.5,,13.3
1785,Torrelles de Foix,082883,2013,285.0,0.1999999999999886,,12.4
1786,Torrelles de Llobregat,082896,2013,406.0,-1.5,,14.4
1787,Torrent,171978,2013,8.9,-1.4000000000000004,,
1788,Torres de Segre,252326,2013,152.9,23.40000000000001,,12.0
1789,Torre-serona,252332,2013,18.3,2.4000000000000004,,
1790,Torroella de Fluvià,171984,2013,39.8,-9.200000000000005,,
1791,Torroella de Montgrí,171997,2013,802.8,-0.4000000000000909,,16.1
1792,Torroja del Priorat,431541,2013,12.3,1.5,,
1793,Tortellà,172001,2013,37.9,2.3999999999999986,,
1794,Tortosa,431554,2013,3377.5,25.199999999999815,,10.1
1795,Toses,172018,2013,7.2,2.9000000000000004,,
1796,Tossa de Mar,172023,2013,273.7,-1.1000000000000227,,14.8
1797,Tremp,252347,2013,464.9,1.5,,16.4
1798,Ullà,172044,2013,102.4,-5.199999999999989,,17.9
1799,Ullastrell,082900,2013,139.3,20.700000000000017,,15.3
1800,Ullastret,172057,2013,15.3,2.700000000000001,,
1801,Ulldecona,431567,2013,573.7,-6.2999999999999545,,15.2
1802,Ulldemolins,431573,2013,26.2,5.899999999999999,,
1803,Ultramort,172039,2013,8.0,-1.3000000000000007,,
1804,Urús,172060,2013,6.5,0.0,,
1805,Vacarisses,082917,2013,559.2,24.600000000000023,,14.3
1806,"Vajol, la",170144,2013,7.5,0.2999999999999998,,
1807,"Vall d'en Bas, la",172076,2013,139.8,10.800000000000011,,15.5
1808,"Vall de Bianya, la",172082,2013,54.7,4.0,,16.0
1809,"Vall de Boí, la",250432,2013,21.8,1.1999999999999993,,14.9
1810,Vall de Cardós,259010,2013,16.3,-0.8999999999999986,,
1811,Vallbona d'Anoia,082922,2013,119.9,6.200000000000003,,19.2
1812,Vallbona de les Monges,252385,2013,7.2,1.0,,
1813,Vallcebre,082938,2013,16.0,1.6999999999999993,,
1814,Vallclara,431589,2013,7.2,1.0,,
1815,Vallfogona de Balaguer,252402,2013,100.9,-15.199999999999989,,14.3
1816,Vallfogona de Ripollès,171707,2013,10.1,0.2999999999999989,,
1817,Vallfogona de Riucorb,431592,2013,3.5,-2.1,,
1818,Vallgorguina,082943,2013,225.2,16.5,,14.1
1819,Vallirana,082956,2013,1218.6,-24.90000000000009,,13.4
1820,Vall-llobrega,172095,2013,67.9,-1.7999999999999972,,
1821,Vallmoll,431606,2013,143.4,-7.199999999999989,,14.2
1822,Vallromanes,082969,2013,132.5,-0.5999999999999943,,15.1
1823,Valls,431613,2013,2345.9,13.599999999999907,,14.1
1824,"Valls d'Aguilar, les",259062,2013,6.9,0.1000000000000005,,
1825,"Valls de Valira, les",252398,2013,30.6,2.3000000000000007,,
1826,Vandellòs i l'Hospitalet de l'Infant,431628,2013,429.9,8.799999999999955,,13.3
1827,"Vansa i Fórnols, la",259097,2013,15.6,5.0,,
1828,Veciana,082975,2013,3.8,-2.6000000000000005,,
1829,"Vendrell, el",431634,2013,4564.3,112.69999999999982,,17.9
1830,Ventalló,172109,2013,40.8,3.5999999999999943,,
1831,Verdú,252424,2013,50.2,-0.2999999999999971,,16.0
1832,Verges,172116,2013,75.8,3.3999999999999915,,17.1
1833,Vespella de Gaià,431649,2013,41.0,-7.799999999999997,,
1834,Vic,082981,2013,4119.5,96.69999999999982,,15.9
1835,Vidrà,172121,2013,5.1,-3.4000000000000004,,
1836,Vidreres,172137,2013,634.4,59.69999999999993,,14.3
1837,Vielha e Mijaran,252430,2013,286.2,-16.900000000000034,,15.0
1838,Vilabella,431652,2013,51.3,14.199999999999996,,
1839,Vilabertran,172142,2013,54.4,-0.8000000000000043,,
1840,Vilablareix,172155,2013,125.8,15.899999999999991,,12.5
1841,Vilada,082994,2013,55.7,3.0,,
1842,Viladamat,172174,2013,24.8,4.100000000000001,,
1843,Viladasens,172168,2013,4.4,-1.6999999999999993,,
1844,Viladecans,083015,2013,6459.3,173.40000000000057,,13.9
1845,Viladecavalls,083008,2013,623.3,27.899999999999977,,15.4
1846,Vilademuls,172180,2013,46.2,1.4000000000000057,,
1847,Viladrau,172207,2013,35.6,-5.199999999999996,,13.3
1848,Vilafant,172214,2013,340.2,-26.0,,13.9
1849,Vilafranca del Penedès,083054,2013,3912.1,66.09999999999991,,12.3
1850,Vilagrassa,252445,2013,27.8,-2.6999999999999997,,
1851,Vilajuïga,172235,2013,80.9,4.900000000000006,,17.7
1852,Vilalba dels Arcs,431750,2013,24.6,-0.1999999999999993,,
1853,Vilalba Sasserra,083067,2013,59.1,-16.1,,
1854,Vilaller,252458,2013,28.7,-1.0,,
1855,Vilallonga de Ter,172240,2013,21.8,0.8000000000000007,,
1856,Vilallonga del Camp,431665,2013,152.0,-27.599999999999994,,14.7
1857,Vilamacolum,172253,2013,19.0,-1.6000000000000014,,
1858,Vilamalla,172266,2013,72.4,-7.799999999999997,,12.9
1859,Vilamaniscle,172272,2013,8.7,0.8999999999999995,,
1860,Vilamòs,252477,2013,6.1,-2.4000000000000004,,
1861,Vilanant,172288,2013,14.8,-1.3999999999999986,,
1862,Vilanova d'Escornalbou,431671,2013,48.9,8.100000000000001,,
1863,Vilanova de Bellpuig,252483,2013,42.8,-5.5,,12.9
1864,Vilanova de l'Aguda,252496,2013,6.3,2.7,,
1865,Vilanova de la Barca,252542,2013,63.0,-5.799999999999997,,18.4
1866,Vilanova de Meià,252509,2013,14.2,0.5,,
1867,Vilanova de Prades,431687,2013,8.5,0.7000000000000002,,
1868,Vilanova de Sau,083036,2013,14.5,3.4000000000000004,,
1869,Vilanova de Segrià,252516,2013,59.7,4.0,,
1870,Vilanova del Camí,083020,2013,1678.2,43.100000000000136,,18.5
1871,Vilanova del Vallès,089024,2013,354.4,17.0,,16.3
1872,Vilanova i la Geltrú,083073,2013,6777.7,42.19999999999982,,15.9
1873,Vilaplana,431690,2013,23.8,-4.0,,
1874,Vila-rodona,431704,2013,99.3,-4.400000000000006,,14.2
1875,Vila-sacra,172305,2013,37.7,-7.599999999999994,,
1876,Vila-sana,252521,2013,40.9,0.7999999999999972,,
1877,Vila-seca,431711,2013,1905.6,1.5,,12.9
1878,Vilassar de Dalt,082140,2013,599.6,2.8999999999999773,,15.8
1879,Vilassar de Mar,082191,2013,1280.9,15.5,,
1880,Vilaür,172229,2013,10.8,1.700000000000001,,
1881,Vilaverd,431726,2013,37.1,-2.699999999999996,,
1882,"Vilella Alta, la",431732,2013,4.6,-1.4000000000000004,,
1883,"Vilella Baixa, la",431747,2013,12.7,-1.700000000000001,,
1884,Vilobí d'Onyar,172333,2013,173.0,9.300000000000011,,
1885,Vilobí del Penedès,083041,2013,60.8,8.5,,
1886,Vilopriu,172327,2013,12.6,1.0999999999999996,,
1887,"Vilosell, el",252537,2013,9.4,-0.4000000000000003,,
1888,Vimbodí i Poblet,431763,2013,49.9,-5.800000000000004,,
1889,Vinaixa,252555,2013,35.4,1.1000000000000014,,
1890,Vinebre,431779,2013,40.3,1.0,,
1891,Vinyols i els Arcs,431785,2013,130.9,-6.0,,
1892,Viver i Serrateix,083089,2013,10.5,1.4000000000000004,,
1893,Xerta,430521,2013,111.8,4.200000000000003,,
1894,Abella de la Conca,250019,2014,12.2,1.5,,
1895,Abrera,080018,2014,934.1,-95.39999999999998,,16.9
1896,Àger,250024,2014,17.3,-1.3999999999999986,,
1897,Agramunt,250030,2014,331.3,-37.599999999999966,,13.7
1898,Aguilar de Segarra,080023,2014,10.4,-4.199999999999999,,
1899,Agullana,170010,2014,41.5,0.7000000000000028,,
1900,Aiguafreda,080142,2014,166.3,-37.0,,15.8
1901,Aiguamúrcia,430017,2014,81.0,1.4000000000000057,,
1902,Aiguaviva,170025,2014,24.8,-7.4999999999999964,,
1903,Aitona,250387,2014,157.0,0.1999999999999886,,12.3
1904,"Alamús, els",250045,2014,31.7,-5.300000000000001,,
1905,Alàs i Cerc,250058,2014,12.8,2.8000000000000007,,
1906,"Albagés, l'",250061,2014,15.7,-6.300000000000001,,
1907,Albanyà,170031,2014,12.8,0.6000000000000014,,
1908,Albatàrrec,250077,2014,119.1,-13.800000000000011,,11.5
1909,Albesa,250083,2014,69.7,-18.099999999999994,,13.6
1910,"Albi, l'",250096,2014,59.3,-11.0,,
1911,Albinyana,430022,2014,271.2,-3.1000000000000227,,12.7
1912,"Albiol, l'",430038,2014,26.9,-1.400000000000002,,
1913,Albons,170046,2014,39.6,-1.3999999999999986,,
1914,Alcanar,430043,2014,662.2,-46.39999999999998,,11.3
1915,Alcanó,250100,2014,6.3,-1.2000000000000002,,
1916,Alcarràs,250117,2014,805.2,13.5,,12.0
1917,Alcoletge,250122,2014,215.5,-20.80000000000001,,13.0
1918,Alcover,430056,2014,443.5,1.8999999999999773,,14.4
1919,"Aldea, l'",439044,2014,311.7,-16.30000000000001,,11.5
1920,Aldover,430069,2014,57.6,-4.299999999999997,,
1921,"Aleixar, l'",430075,2014,46.1,-7.199999999999996,,
1922,Alella,080039,2014,442.6,-12.599999999999966,,21.4
1923,Alfara de Carles,430081,2014,29.6,-0.6999999999999993,,
1924,Alfarràs,250138,2014,240.2,1.1999999999999886,,12.4
1925,Alfés,250143,2014,13.2,-2.6000000000000014,,
1926,Alforja,430094,2014,142.6,-11.099999999999994,,12.0
1927,Algerri,250156,2014,19.7,-3.0,,
1928,Alguaire,250169,2014,223.8,-23.5,,13.9
1929,Alins,250175,2014,7.6,-0.9000000000000004,,
1930,Alió,430108,2014,36.1,-1.7999999999999972,,
1931,Almacelles,250194,2014,316.6,-40.19999999999999,,12.6
1932,Almatret,250208,2014,8.6,-1.5999999999999996,,
1933,Almenar,250215,2014,242.1,-22.799999999999983,,13.0
1934,Almoster,430115,2014,61.5,4.200000000000003,,17.5
1935,Alòs de Balaguer,250220,2014,5.4,-2.6999999999999997,,
1936,Alp,170062,2014,54.9,-16.1,,12.9
1937,Alpens,080044,2014,18.6,-0.5,,
1938,Alpicat,250236,2014,276.7,-35.0,,16.5
1939,Alt Àneu,250241,2014,12.7,-0.6000000000000014,,
1940,Altafulla,430120,2014,313.9,-2.900000000000034,,16.3
1941,Amer,170078,2014,118.3,-16.10000000000001,,15.5
1942,"Ametlla de Mar, l'",430136,2014,513.2,-16.59999999999991,,10.6
1943,"Ametlla del Vallès, l'",080057,2014,430.0,-53.5,,19.1
1944,"Ampolla, l'",439060,2014,209.1,-22.700000000000017,,11.2
1945,Amposta,430141,2014,2102.3,-126.89999999999964,,11.5
1946,Anglès,170084,2014,394.3,-33.89999999999998,,13.8
1947,Anglesola,250273,2014,86.8,1.0,,13.8
1948,Arbeca,250292,2014,113.8,-18.50000000000001,,12.5
1949,"Arboç, l'",430167,2014,604.3,-49.700000000000045,,12.2
1950,Arbolí,430154,2014,3.6,-0.8999999999999999,,
1951,Arbúcies,170097,2014,449.5,-43.80000000000001,,12.9
1952,Arenys de Mar,080060,2014,1120.1,-61.90000000000009,,15.1
1953,Arenys de Munt,080076,2014,648.0,-32.60000000000002,,15.2
1954,Argelaguer,170101,2014,24.4,-1.0,,
1955,Argençola,080082,2014,9.8,2.000000000000001,,
1956,"Argentera, l'",430173,2014,4.9,-1.7999999999999998,,
1957,Argentona,080095,2014,854.2,-81.59999999999991,,16.7
1958,"Armentera, l'",170118,2014,38.9,-9.9,,
1959,Arnes,430189,2014,16.8,-1.3000000000000007,,
1960,Arres,250313,2014,2.1,-1.9,,
1961,Arsèguel,250328,2014,4.3,0.5,,
1962,Artés,080109,2014,410.8,-42.39999999999998,,14.8
1963,Artesa de Lleida,250334,2014,79.1,-3.200000000000003,,14.2
1964,Artesa de Segre,250349,2014,173.8,-17.5,,12.5
1965,Ascó,430192,2014,81.8,-3.200000000000003,,15.7
1966,Aspa,250365,2014,11.8,0.0,,
1967,"Avellanes i Santa Linya, les",250371,2014,10.8,-4.5,,
1968,Avià,080116,2014,116.7,-23.10000000000001,,15.9
1969,Avinyó,080121,2014,126.8,-20.60000000000001,,15.3
1970,Avinyonet de Puigventós,170123,2014,79.1,-13.200000000000005,,15.1
1971,Avinyonet del Penedès,080137,2014,106.8,-6.0,,16.0
1972,Badalona,080155,2014,21275.7,-1814.5999999999983,,15.3
1973,Badia del Vallès,089045,2014,1694.8,-147.4000000000001,,11.9
1974,Bagà,080168,2014,165.1,-28.80000000000001,,15.8
1975,Baix Pallars,250390,2014,24.2,1.3000000000000007,,
1976,Balaguer,250404,2014,1551.3,-111.20000000000005,,12.4
1977,Balenyà,080174,2014,366.0,-45.39999999999998,,14.9
1978,Balsareny,080180,2014,250.9,-43.400000000000006,,15.7
1979,Banyeres del Penedès,430206,2014,270.4,-25.0,,14.5
1980,Banyoles,170157,2014,1220.7,-5.099999999999909,,14.8
1981,Barbens,250411,2014,42.3,-0.5,,
1982,Barberà de la Conca,430213,2014,29.4,-7.100000000000001,,
1983,Barberà del Vallès,082520,2014,2877.6,-265.0999999999999,,16.3
1984,Barcelona,080193,2014,103465.9,-7468.5,,19.5
1985,"Baronia de Rialb, la",250426,2014,7.0,0.2000000000000001,,
1986,Bàscara,170160,2014,56.6,-11.199999999999996,,
1987,Bassella,250447,2014,5.6,-0.2000000000000001,,
1988,Batea,430228,2014,75.8,5.399999999999992,,11.9
1989,Bausen,250450,2014,3.4,-0.6000000000000001,,
1990,Begues,080207,2014,346.8,-32.5,,19.6
1991,Begur,170139,2014,223.7,-19.200000000000017,,14.0
1992,Belianes,250463,2014,27.3,-0.8999999999999986,,
1993,Bellaguarda,251706,2014,8.4,0.7000000000000002,,
1994,Bellcaire d'Empordà,170182,2014,36.8,-4.400000000000006,,
1995,Bellcaire d'Urgell,250479,2014,58.7,-12.200000000000005,,13.9
1996,Bell-lloc d'Urgell,250485,2014,131.0,8.700000000000003,,13.9
1997,Bellmunt d'Urgell,250498,2014,4.9,-2.6999999999999997,,
1998,Bellmunt del Priorat,430234,2014,22.6,1.400000000000002,,
1999,Bellprat,080214,2014,3.3,-1.5,,
2000,Bellpuig,250501,2014,316.1,-20.799999999999955,,12.8
2001,Bellvei,430249,2014,200.6,-25.5,,11.7
2002,Bellver de Cerdanya,250518,2014,66.2,-9.899999999999991,,14.4
2003,Bellvís,250523,2014,123.4,-7.799999999999983,,13.3
2004,Benavent de Segrià,250539,2014,66.7,-10.399999999999991,,15.6
2005,Benifallet,430252,2014,37.6,-0.3999999999999986,,
2006,Benissanet,430265,2014,62.8,-3.4000000000000057,,11.5
2007,Berga,080229,2014,1431.8,-185.4000000000001,,15.5
2008,Besalú,170195,2014,128.9,-8.799999999999983,,15.4
2009,Bescanó,170209,2014,251.9,-15.400000000000006,,16.0
2010,Beuda,170216,2014,7.5,1.0,,
2011,Bigues i Riells del Fai,080235,2014,664.9,-67.5,,
2012,Biosca,250557,2014,5.6,2.0,,
2013,"Bisbal d'Empordà, la",170221,2014,1064.4,-87.39999999999986,,12.1
2014,"Bisbal de Falset, la",430271,2014,11.7,2.299999999999999,,
2015,"Bisbal del Penedès, la",430287,2014,399.8,-32.5,,12.4
2016,Biure,172348,2014,20.6,3.200000000000003,,
2017,Blancafort,430290,2014,20.7,-1.5,,
2018,Blanes,170237,2014,3648.7,-216.80000000000015,,12.9
2019,Boadella i les Escaules,170293,2014,15.2,1.799999999999999,,
2020,Bolvir,170242,2014,11.6,0.0999999999999996,,
2021,Bonastre,430304,2014,62.2,0.0,,
2022,"Bòrdes, Es",250576,2014,7.8,1.2999999999999998,,
2023,Bordils,170255,2014,87.7,-8.599999999999994,,16.3
2024,"Borges Blanques, les",250582,2014,427.5,2.5,,13.6
2025,"Borges del Camp, les",430311,2014,138.5,0.9000000000000057,,13.8
2026,Borrassà,170268,2014,26.8,-8.7,,
2027,Borredà,080240,2014,29.3,-5.199999999999999,,
2028,Bossòst,250595,2014,40.2,-8.899999999999999,,14.6
2029,Bot,430326,2014,19.3,-1.5,,
2030,Botarell,430332,2014,86.5,-8.200000000000003,,14.5
2031,Bovera,250560,2014,6.8,0.7999999999999998,,
2032,Bràfim,430347,2014,30.4,-3.1000000000000014,,
2033,Breda,170274,2014,286.2,-25.5,,14.2
2034,"Bruc, el",080253,2014,119.3,-27.39999999999999,,16.5
2035,"Brull, el",080266,2014,8.5,1.5999999999999996,,
2036,Brunyola i Sant Martí Sapresa,170280,2014,12.2,-0.6000000000000014,,
2037,Cabacés,430350,2014,22.4,-0.8000000000000007,,
2038,Cabanabona,250609,2014,1.7,-1.1,,
2039,Cabanelles,170314,2014,14.3,-0.5,,
2040,Cabanes,170307,2014,57.0,3.299999999999997,,
2041,"Cabanyes, les",080272,2014,52.2,-2.0999999999999943,,
2042,Cabó,250616,2014,6.0,2.2,,
2043,Cabra del Camp,430363,2014,118.2,-9.999999999999986,,12.6
2044,Cabrera d'Anoia,080288,2014,149.8,-20.0,,13.3
2045,Cabrera de Mar,080291,2014,202.9,-23.5,,19.0
2046,Cabrils,080305,2014,347.9,-9.0,,21.7
2047,Cadaqués,170329,2014,107.7,-2.8999999999999915,,10.9
2048,Calaf,080312,2014,345.5,-16.30000000000001,,13.9
2049,Calafell,430379,2014,2470.3,-136.5999999999999,,13.2
2050,Calders,080348,2014,57.2,-5.299999999999997,,
2051,Caldes d'Estrac,080327,2014,187.3,-2.1999999999999886,,16.5
2052,Caldes de Malavella,170335,2014,509.1,-62.39999999999998,,15.0
2053,Caldes de Montbui,080333,2014,1304.9,-103.29999999999995,,16.4
2054,Calella,080351,2014,1578.4,-128.89999999999986,,13.3
2055,Calldetenes,080370,2014,150.2,-29.90000000000001,,15.5
2056,Callús,080386,2014,156.7,-5.400000000000006,,14.3
2057,Calonge de Segarra,080364,2014,6.8,-0.7999999999999998,,
2058,Calonge i Sant Antoni,170340,2014,787.8,-39.30000000000007,,
2059,Camarasa,250621,2014,36.6,-3.199999999999996,,
2060,Camarles,439039,2014,282.3,-21.80000000000001,,10.4
2061,Cambrils,430385,2014,2636.8,-91.29999999999971,,14.0
2062,Camós,170353,2014,26.3,-0.3000000000000007,,
2063,Campdevànol,170366,2014,179.1,-34.099999999999994,,16.5
2064,Campelles,170372,2014,2.6,-0.6000000000000001,,
2065,Campins,080399,2014,32.5,-7.799999999999997,,
2066,Campllong,170388,2014,16.8,-3.0,,
2067,Camprodon,170391,2014,125.7,-2.0999999999999943,,15.0
2068,Canejan,250637,2014,3.3,1.2999999999999998,,
2069,Canet d'Adri,170405,2014,24.1,3.400000000000002,,
2070,Canet de Mar,080403,2014,1148.8,-81.70000000000005,,14.9
2071,"Canonja, la",439076,2014,493.8,9.199999999999989,,12.8
2072,Canovelles,080410,2014,1925.8,-99.29999999999995,,13.7
2073,Cànoves i Samalús,080425,2014,238.7,-15.700000000000015,,16.3
2074,Cantallops,170412,2014,13.7,-2.200000000000001,,
2075,Canyelles,080431,2014,391.1,-50.599999999999966,,15.4
2076,Capafonts,430398,2014,5.3,0.3999999999999994,,
2077,Capçanes,430402,2014,15.6,-3.4000000000000004,,
2078,Capellades,080446,2014,440.0,-24.19999999999999,,15.6
2079,Capmany,170427,2014,33.3,1.6999999999999955,,
2080,Capolat,080459,2014,4.8,0.5,,
2081,Cardedeu,080462,2014,1257.3,-117.5,,16.0
2082,Cardona,080478,2014,309.3,-20.59999999999997,,15.4
2083,Carme,080484,2014,58.6,-7.199999999999996,,
2084,Caseres,430419,2014,13.1,-5.1,,
2085,Cassà de la Selva,170448,2014,594.0,-78.5,,15.0
2086,Casserres,080497,2014,98.3,-9.5,,15.9
2087,Castell de l'Areny,080575,2014,2.8,-1.2000000000000002,,
2088,Castell de Mur,259046,2014,8.7,1.4999999999999991,,
2089,Castellar de la Ribera,250642,2014,1.9,-0.2000000000000001,,
2090,Castellar de n'Hug,080522,2014,7.4,-1.4000000000000004,,
2091,Castellar del Riu,080500,2014,4.6,-0.6000000000000005,,
2092,Castellar del Vallès,080517,2014,1831.9,-204.39999999999984,,16.2
2093,Castellbell i el Vilar,080538,2014,324.6,-22.0,,14.5
2094,Castellbisbal,080543,2014,913.8,-89.10000000000002,,16.3
2095,Castellcir,080556,2014,39.8,3.0,,
2096,Castelldans,250674,2014,49.2,-0.5999999999999943,,17.3
2097,Castelldefels,080569,2014,4337.9,-306.8000000000002,,14.5
2098,Castellet i la Gornal,080581,2014,166.4,-24.299999999999983,,14.3
2099,Castellfollit de la Roca,170464,2014,63.9,2.5,,
2100,Castellfollit de Riubregós,080608,2014,8.6,-2.700000000000001,,
2101,Castellfollit del Boix,080594,2014,15.4,-2.1,,
2102,Castellgalí,080615,2014,175.3,-15.5,,16.3
2103,Castellnou de Bages,080620,2014,61.4,-17.699999999999996,,9.7
2104,Castellnou de Seana,250680,2014,28.6,-9.199999999999996,,
2105,Castelló d'Empúries,170470,2014,836.8,-52.700000000000045,,11.8
2106,Castelló de Farfanya,250693,2014,24.8,-1.599999999999998,,
2107,Castellolí,080636,2014,22.3,-4.0,,
2108,Castell-Platja d'Aro,170486,2014,585.1,-97.79999999999995,,15.4
2109,Castellserà,250707,2014,61.5,0.5,,
2110,Castellterçol,080641,2014,127.4,-20.099999999999994,,17.4
2111,Castellvell del Camp,430424,2014,158.9,7.599999999999994,,15.1
2112,Castellví de la Marca,080654,2014,111.7,-0.8999999999999915,,17.4
2113,Castellví de Rosanes,080667,2014,105.2,-4.599999999999994,,16.6
2114,"Catllar, el",430430,2014,265.6,-9.799999999999956,,14.5
2115,Cava,250714,2014,3.1,0.8999999999999999,,
2116,"Cellera de Ter, la",171899,2014,109.7,-14.099999999999994,,15.0
2117,Celrà,170499,2014,270.4,-20.400000000000038,,15.6
2118,Centelles,080673,2014,567.2,-57.29999999999996,,16.6
2119,Cercs,082687,2014,89.5,-22.0,,17.4
2120,Cerdanyola del Vallès,082665,2014,4425.0,-405.1999999999998,,17.8
2121,Cervelló,080689,2014,632.2,-64.09999999999991,,13.1
2122,Cervera,250729,2014,717.1,-56.10000000000002,,18.5
2123,Cervià de les Garrigues,250735,2014,52.5,-3.299999999999997,,
2124,Cervià de Ter,170502,2014,48.9,-3.800000000000004,,
2125,Cistella,170519,2014,16.6,0.6000000000000014,,
2126,Ciutadilla,250740,2014,11.1,-0.7000000000000011,,
2127,Clariana de Cardener,250753,2014,5.7,-2.0,,
2128,"Cogul, el",250766,2014,8.8,-0.3999999999999986,,
2129,Colera,170545,2014,29.7,-3.000000000000004,,
2130,Coll de Nargó,250772,2014,29.7,0.0999999999999978,,
2131,Collbató,080692,2014,230.8,-33.39999999999998,,11.3
2132,Colldejou,430458,2014,13.2,0.0,,
2133,Collsuspina,080706,2014,19.6,-1.099999999999998,,
2134,Colomers,170558,2014,6.8,1.5,,
2135,"Coma i la Pedra, la",251636,2014,7.6,-0.3000000000000007,,
2136,Conca de Dalt,251615,2014,14.4,-2.4000000000000004,,
2137,Conesa,430461,2014,7.5,1.9000000000000004,,
2138,Constantí,430477,2014,708.4,-34.39999999999998,,12.5
