,Literal,Codi,Any,Aturats,Evolucio atur,Poblacio activa,Renda
131,"Borges del Camp, les",430311,2012,145.8,,,13.8
132,Borrassà,170268,2012,28.8,,,
133,Borredà,080240,2012,30.9,,,
134,Bossòst,250595,2012,54.7,,,13.8
135,Bot,430326,2012,26.8,,,
136,Botarell,430332,2012,91.6,,,14.0
137,Bovera,250560,2012,5.2,,,
138,Bràfim,430347,2012,38.9,,,
139,Breda,170274,2012,300.3,,,14.2
140,"Bruc, el",080253,2012,139.8,,,16.9
141,"Brull, el",080266,2012,4.9,,,
142,Brunyola i Sant Martí Sapresa,170280,2012,14.9,,,
143,Cabacés,430350,2012,21.9,,,
144,Cabanabona,250609,2012,3.3,,,
145,Cabanelles,170314,2012,14.1,,,
146,Cabanes,170307,2012,61.7,,,
147,"Cabanyes, les",080272,2012,54.0,,,
148,Cabó,250616,2012,2.7,,,
149,Cabra del Camp,430363,2012,129.0,,,12.2
150,Cabrera d'Anoia,080288,2012,162.3,,,14.1
151,Cabrera de Mar,080291,2012,214.5,,,19.8
152,Cabrils,080305,2012,360.1,,,20.8
153,Cadaqués,170329,2012,98.3,,,10.6
154,Calaf,080312,2012,308.7,,,14.1
155,Calafell,430379,2012,2569.9,,,13.3
156,Calders,080348,2012,57.3,,,
157,Caldes d'Estrac,080327,2012,171.8,,,16.7
158,Caldes de Malavella,170335,2012,569.6,,,14.5
159,Caldes de Montbui,080333,2012,1376.4,,,16.4
160,Calella,080351,2012,1757.3,,,13.2
161,Calldetenes,080370,2012,171.1,,,15.7
162,Callús,080386,2012,153.4,,,15.0
163,Calonge de Segarra,080364,2012,9.7,,,
164,Calonge i Sant Antoni,170340,2012,846.1,,,
165,Camarasa,250621,2012,40.6,,,
166,Camarles,439039,2012,306.9,,,10.5
167,Cambrils,430385,2012,2690.4,,,13.8
168,Camós,170353,2012,27.1,,,
169,Campdevànol,170366,2012,207.6,,,16.2
170,Campelles,170372,2012,5.1,,,
171,Campins,080399,2012,34.8,,,
172,Campllong,170388,2012,26.0,,,
173,Camprodon,170391,2012,138.7,,,15.0
174,Canejan,250637,2012,3.2,,,
175,Canet d'Adri,170405,2012,23.3,,,
176,Canet de Mar,080403,2012,1250.8,,,14.9
177,"Canonja, la",439076,2012,440.6,,,12.6
178,Canovelles,080410,2012,1972.2,,,13.0
179,Cànoves i Samalús,080425,2012,219.1,,,16.4
180,Cantallops,170412,2012,18.1,,,
181,Canyelles,080431,2012,433.3,,,15.8
182,Capafonts,430398,2012,7.0,,,
183,Capçanes,430402,2012,19.3,,,
184,Capellades,080446,2012,445.8,,,16.0
185,Capmany,170427,2012,29.8,,,
186,Capolat,080459,2012,3.8,,,
187,Cardedeu,080462,2012,1370.5,,,16.2
188,Cardona,080478,2012,324.3,,,16.0
189,Carme,080484,2012,71.1,,,
190,Caseres,430419,2012,20.2,,,
191,Cassà de la Selva,170448,2012,711.3,,,14.8
192,Casserres,080497,2012,99.4,,,15.7
193,Castell de l'Areny,080575,2012,5.2,,,
194,Castell de Mur,259046,2012,9.7,,,
195,Castellar de la Ribera,250642,2012,4.3,,,
196,Castellar de n'Hug,080522,2012,8.9,,,
197,Castellar del Riu,080500,2012,5.2,,,
198,Castellar del Vallès,080517,2012,2010.7,,,16.4
199,Castellbell i el Vilar,080538,2012,324.2,,,14.5
200,Castellbisbal,080543,2012,946.5,,,16.3
201,Castellcir,080556,2012,30.9,,,
202,Castelldans,250674,2012,45.4,,,17.1
203,Castelldefels,080569,2012,4697.8,,,14.3
204,Castellet i la Gornal,080581,2012,182.9,,,14.1
205,Castellfollit de la Roca,170464,2012,53.8,,,
206,Castellfollit de Riubregós,080608,2012,11.4,,,
207,Castellfollit del Boix,080594,2012,15.1,,,
208,Castellgalí,080615,2012,184.7,,,16.4
209,Castellnou de Bages,080620,2012,82.0,,,9.1
210,Castellnou de Seana,250680,2012,38.2,,,
211,Castelló d'Empúries,170470,2012,880.1,,,11.9
212,Castelló de Farfanya,250693,2012,22.2,,,
213,Castellolí,080636,2012,27.1,,,
214,Castell-Platja d'Aro,170486,2012,696.3,,,16.5
215,Castellserà,250707,2012,52.9,,,
216,Castellterçol,080641,2012,148.0,,,18.1
217,Castellvell del Camp,430424,2012,144.8,,,15.2
218,Castellví de la Marca,080654,2012,112.8,,,17.2
219,Castellví de Rosanes,080667,2012,113.6,,,16.9
220,"Catllar, el",430430,2012,275.8,,,14.6
221,Cava,250714,2012,1.8,,,
222,"Cellera de Ter, la",171899,2012,125.5,,,14.7
223,Celrà,170499,2012,288.6,,,15.6
224,Centelles,080673,2012,618.0,,,16.7
225,Cercs,082687,2012,104.5,,,17.2
226,Cerdanyola del Vallès,082665,2012,4896.3,,,18.5
227,Cervelló,080689,2012,679.3,,,13.8
228,Cervera,250729,2012,797.5,,,18.5
229,Cervià de les Garrigues,250735,2012,50.3,,,
230,Cervià de Ter,170502,2012,51.8,,,
231,Cistella,170519,2012,16.3,,,
232,Ciutadilla,250740,2012,11.9,,,
233,Clariana de Cardener,250753,2012,5.3,,,
234,"Cogul, el",250766,2012,7.8,,,
235,Colera,170545,2012,30.8,,,
236,Coll de Nargó,250772,2012,28.5,,,
237,Collbató,080692,2012,246.0,,,11.1
238,Colldejou,430458,2012,16.5,,,
239,Collsuspina,080706,2012,17.2,,,
240,Colomers,170558,2012,4.5,,,
241,"Coma i la Pedra, la",251636,2012,10.8,,,
242,Conca de Dalt,251615,2012,20.2,,,
243,Conesa,430461,2012,4.4,,,
244,Constantí,430477,2012,715.7,,,12.2
245,Copons,080713,2012,27.0,,,
246,Corbera d'Ebre,430483,2012,52.5,,,16.9
247,Corbera de Llobregat,080728,2012,979.7,,,13.1
248,Corbins,250788,2012,67.7,,,14.6
249,Corçà,170577,2012,80.5,,,15.3
250,Cornellà de Llobregat,080734,2012,8407.2,,,16.1
251,Cornellà del Terri,170561,2012,113.9,,,14.0
252,Cornudella de Montsant,430496,2012,60.9,,,
253,Creixell,430509,2012,354.7,,,15.4
254,Crespià,170583,2012,12.2,,,
255,"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,2012,70.3,,,
256,Cubelles,080749,2012,1325.8,,,13.3
257,Cubells,250791,2012,14.2,,,
258,Cunit,430516,2012,1201.1,,,10.5
259,Darnius,170600,2012,33.8,,,
260,Das,170617,2012,6.0,,,
261,Deltebre,439018,2012,1221.4,,,16.1
262,Dosrius,080752,2012,452.5,,,11.8
263,Duesaigües,430537,2012,19.6,,,
264,"Escala, l'",170622,2012,693.2,,,15.5
265,Esparreguera,080765,2012,2112.7,,,14.0
266,Espinelves,170638,2012,5.2,,,
267,"Espluga Calba, l'",250812,2012,16.8,,,
268,"Espluga de Francolí, l'",430542,2012,256.9,,,18.2
269,Esplugues de Llobregat,080771,2012,3549.7,,,16.4
270,Espolla,170643,2012,16.2,,,
271,Esponellà,170656,2012,24.3,,,
272,Espot,250827,2012,10.8,,,
273,"Espunyola, l'",080787,2012,18.6,,,
274,"Esquirol, l'",082541,2012,131.3,,,13.4
275,Estamariu,250886,2012,3.5,,,
276,"Estany, l'",080790,2012,21.3,,,
277,Estaràs,250851,2012,3.9,,,
278,Esterri d'Àneu,250864,2012,45.1,,,
279,Esterri de Cardós,250870,2012,2.8,,,
280,Falset,430555,2012,243.8,,,13.7
281,"Far d'Empordà, el",170059,2012,39.8,,,
282,Farrera,250899,2012,5.5,,,
283,"Fatarella, la",430568,2012,54.8,,,
284,"Febró, la",430574,2012,3.0,,,
285,Figaró-Montmany,081347,2012,99.5,,,12.0
286,Fígols,080804,2012,1.8,,,
287,Fígols i Alinyà,259084,2012,6.5,,,
288,"Figuera, la",430580,2012,6.0,,,
289,Figueres,170669,2012,4490.8,,,16.1
290,Figuerola del Camp,430593,2012,22.7,,,
291,Flaçà,170675,2012,78.6,,,16.6
292,Flix,430607,2012,173.1,,,14.9
293,"Floresta, la",250925,2012,8.5,,,
294,Fogars de la Selva,080826,2012,175.8,,,17.1
295,Fogars de Montclús,080811,2012,29.4,,,
296,Foixà,170681,2012,6.9,,,
297,Folgueroles,080832,2012,114.0,,,18.4
298,Fondarella,250931,2012,39.3,,,
299,Fonollosa,080847,2012,111.1,,,15.0
300,Fontanals de Cerdanya,170694,2012,15.4,,,
301,Fontanilles,170708,2012,6.5,,,
302,Fontcoberta,170715,2012,52.4,,,18.9
303,Font-rubí,080850,2012,101.2,,,15.1
304,Foradada,250946,2012,10.5,,,
305,Forallac,179026,2012,108.3,,,17.6
306,Forès,430614,2012,1.9,,,
