,Literal,Codi,Any,Demanda,1,2,3,4,5,6 i més,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat
99,Constantí,430477,2020,18.0,,,,,,,,,,,,
100,Corbera de Llobregat,080728,2020,16.0,,,,,,,,,,,,
101,Corbera d'Ebre,430483,2020,2.0,,,,,,,,,,,,
102,Cornellà de Llobregat,080734,2020,656.0,,,,,,,,,,,,
103,Creixell,430509,2020,2.0,,,,,,,,,,,,
104,Cubelles,080749,2020,12.0,,,,,,,,,,,,
105,Cunit,430516,2020,8.0,,,,,,,,,,,,
106,Deltebre,439018,2020,6.0,,,,,,,,,,,,
107,Dosrius,080752,2020,1.0,,,,,,,,,,,,
108,"Escala, l'",170622,2020,6.0,,,,,,,,,,,,
109,Esparreguera,080765,2020,13.0,,,,,,,,,,,,
110,"Espluga de Francolí, l'",430542,2020,3.0,,,,,,,,,,,,
111,Esplugues de Llobregat,080771,2020,178.0,,,,,,,,,,,,
112,"Esquirol, l'",082541,2020,2.0,,,,,,,,,,,,
113,Esterri d'Àneu,250864,2020,1.0,,,,,,,,,,,,
114,Falset,430555,2020,3.0,,,,,,,,,,,,
115,Figueres,170669,2020,145.0,,,,,,,,,,,,
116,Flaçà,170675,2020,2.0,,,,,,,,,,,,
117,"Floresta, la",250925,2020,1.0,,,,,,,,,,,,
118,Folgueroles,080832,2020,4.0,,,,,,,,,,,,
119,Fontanals de Cerdanya,170694,2020,1.0,,,,,,,,,,,,
120,Fontcoberta,170715,2020,1.0,,,,,,,,,,,,
121,Font-rubí,080850,2020,1.0,,,,,,,,,,,,
122,Forallac,179026,2020,1.0,,,,,,,,,,,,
123,Fornells de la Selva,170736,2020,1.0,,,,,,,,,,,,
124,"Franqueses del Vallès, les",080863,2020,44.0,,,,,,,,,,,,
125,"Galera, la",430635,2020,1.0,,,,,,,,,,,,
126,Gandesa,430640,2020,1.0,,,,,,,,,,,,
127,"Garriga, la",080885,2020,23.0,,,,,,,,,,,,
128,Gavà,080898,2020,303.0,,,,,,,,,,,,
129,Gelida,080919,2020,6.0,,,,,,,,,,,,
130,Girona,170792,2020,149.0,,,,,,,,,,,,
131,Gironella,080924,2020,4.0,,,,,,,,,,,,
132,Golmés,250997,2020,1.0,,,,,,,,,,,,
133,"Granada, la",080945,2020,5.0,,,,,,,,,,,,
134,Granollers,080961,2020,240.0,,,,,,,,,,,,
135,"Guingueta d'Àneu, la",259031,2020,1.0,,,,,,,,,,,,
136,Guissona,251109,2020,24.0,,,,,,,,,,,,
137,Horta de Sant Joan,430712,2020,2.0,,,,,,,,,,,,
138,"Hospitalet de Llobregat, l'",081017,2020,805.0,,,,,,,,,,,,
139,"Hostalets de Pierola, els",081629,2020,1.0,,,,,,,,,,,,
140,Hostalric,170834,2020,2.0,,,,,,,,,,,,
141,Igualada,081022,2020,96.0,,,,,,,,,,,,
142,Isona i Conca Dellà,251155,2020,1.0,,,,,,,,,,,,
143,"Jonquera, la",170865,2020,1.0,,,,,,,,,,,,
144,Jorba,081038,2020,1.0,,,,,,,,,,,,
145,Les,251214,2020,2.0,,,,,,,,,,,,
146,Linyola,251229,2020,1.0,,,,,,,,,,,,
147,"Llagosta, la",081056,2020,6.0,,,,,,,,,,,,
148,Llagostera,170890,2020,34.0,,,,,,,,,,,,
149,Llançà,170926,2020,8.0,,,,,,,,,,,,
150,Lleida,251207,2020,356.0,,,,,,,,,,,,
151,Lliçà d'Amunt,081075,2020,7.0,,,,,,,,,,,,
152,Llinars del Vallès,081069,2020,5.0,,,,,,,,,,,,
153,Llívia,170947,2020,5.0,,,,,,,,,,,,
154,Llorenç del Penedès,430748,2020,3.0,,,,,,,,,,,,
155,Lloret de Mar,170950,2020,15.0,,,,,,,,,,,,
156,Maçanet de la Selva,171030,2020,4.0,,,,,,,,,,,,
157,Maials,251333,2020,1.0,,,,,,,,,,,,
158,Malgrat de Mar,081108,2020,23.0,,,,,,,,,,,,
159,Manlleu,081120,2020,26.0,,,,,,,,,,,,
160,Manresa,081136,2020,237.0,,,,,,,,,,,,
161,Martorell,081141,2020,45.0,,,,,,,,,,,,
162,Martorelles,081154,2020,2.0,,,,,,,,,,,,
163,"Masies de Roda, les",081167,2020,1.0,,,,,,,,,,,,
164,"Masies de Voltregà, les",081173,2020,1.0,,,,,,,,,,,,
165,"Masnou, el",081189,2020,81.0,,,,,,,,,,,,
166,Masquefa,081192,2020,3.0,,,,,,,,,,,,
167,Matadepera,081206,2020,24.0,,,,,,,,,,,,
168,Mataró,081213,2020,393.0,,,,,,,,,,,,
169,Mediona,081228,2020,3.0,,,,,,,,,,,,
170,Miralcamp,251351,2020,1.0,,,,,,,,,,,,
171,Moià,081385,2020,3.0,,,,,,,,,,,,
172,"Molar, el",430859,2020,1.0,,,,,,,,,,,,
173,Molins de Rei,081234,2020,125.0,,,,,,,,,,,,
174,Mollerussa,251370,2020,52.0,,,,,,,,,,,,
175,Mollet del Vallès,081249,2020,173.0,,,,,,,,,,,,
176,Monistrol de Montserrat,081271,2020,3.0,,,,,,,,,,,,
177,Montblanc,430862,2020,16.0,,,,,,,,,,,,
178,Montbrió del Camp,430884,2020,1.0,,,,,,,,,,,,
179,Montcada i Reixac,081252,2020,95.0,,,,,,,,,,,,
180,Montellà i Martinet,251399,2020,1.0,,,,,,,,,,,,
181,Montferri,430897,2020,1.0,,,,,,,,,,,,
182,Montgat,081265,2020,170.0,,,,,,,,,,,,
183,Montmeló,081350,2020,34.0,,,,,,,,,,,,
184,Montornès del Vallès,081363,2020,15.0,,,,,,,,,,,,
185,Mont-roig del Camp,430923,2020,5.0,,,,,,,,,,,,
186,Móra d'Ebre,430939,2020,17.0,,,,,,,,,,,,
187,Móra la Nova,430944,2020,3.0,,,,,,,,,,,,
188,"Morell, el",430957,2020,1.0,,,,,,,,,,,,
189,Navarcles,081402,2020,4.0,,,,,,,,,,,,
190,Navàs,081419,2020,7.0,,,,,,,,,,,,
191,Òdena,081430,2020,4.0,,,,,,,,,,,,
192,Olesa de Montserrat,081477,2020,178.0,,,,,,,,,,,,
193,Olivella,081483,2020,4.0,,,,,,,,,,,,
194,Olot,171143,2020,157.0,,,,,,,,,,,,
195,Palafolls,081555,2020,4.0,,,,,,,,,,,,
196,Palafrugell,171175,2020,83.0,,,,,,,,,,,,
197,Palamós,171181,2020,17.0,,,,,,,,,,,,
198,Palau-saverdera,171208,2020,2.0,,,,,,,,,,,,
199,Palau-solità i Plegamans,081568,2020,11.0,,,,,,,,,,,,
200,"Pallaresos, els",431009,2020,1.0,,,,,,,,,,,,
201,Pallejà,081574,2020,14.0,,,,,,,,,,,,
202,"Palma de Cervelló, la",089058,2020,1.0,,,,,,,,,,,,
203,"Papiol, el",081580,2020,1.0,,,,,,,,,,,,
204,Parets del Vallès,081593,2020,24.0,,,,,,,,,,,,
205,Perafort,431037,2020,2.0,,,,,,,,,,,,
206,Peralada,171328,2020,1.0,,,,,,,,,,,,
207,Piera,081614,2020,10.0,,,,,,,,,,,,
208,Pineda de Mar,081635,2020,10.0,,,,,,,,,,,,
209,"Pla de Santa Maria, el",431080,2020,3.0,,,,,,,,,,,,
210,"Pla del Penedès, el",081640,2020,2.0,,,,,,,,,,,,
211,"Planes d'Hostoles, les",171334,2020,1.0,,,,,,,,,,,,
212,Planoles,171349,2020,5.0,,,,,,,,,,,,
213,"Pobla de Claramunt, la",081653,2020,1.0,,,,,,,,,,,,
214,"Pobla de Segur, la",251713,2020,19.0,,,,,,,,,,,,
215,Polinyà,081672,2020,31.0,,,,,,,,,,,,
216,"Pont de Suert, el",251734,2020,8.0,,,,,,,,,,,,
217,"Pont de Vilomara i Rocafort, el",081825,2020,9.0,,,,,,,,,,,,
218,Ponts,251728,2020,1.0,,,,,,,,,,,,
219,Porqueres,171371,2020,1.0,,,,,,,,,,,,
220,"Prat de Llobregat, el",081691,2020,342.0,,,,,,,,,,,,
221,"Prats de Rei, els",081705,2020,1.0,,,,,,,,,,,,
222,Premià de Dalt,082303,2020,25.0,,,,,,,,,,,,
223,Premià de Mar,081727,2020,16.0,,,,,,,,,,,,
224,"Preses, les",171390,2020,11.0,,,,,,,,,,,,
225,Puigcerdà,171411,2020,6.0,,,,,,,,,,,,
226,Puig-reig,081751,2020,2.0,,,,,,,,,,,,
227,Quart,171426,2020,6.0,,,,,,,,,,,,
228,Reus,431233,2020,165.0,,,,,,,,,,,,
229,Rialp,251832,2020,2.0,,,,,,,,,,,,
230,Riba-roja d'Ebre,431251,2020,1.0,,,,,,,,,,,,
231,Riells i Viabrea,171463,2020,1.0,,,,,,,,,,,,
232,Ripoll,171479,2020,33.0,,,,,,,,,,,,
233,Ripollet,081803,2020,87.0,,,,,,,,,,,,
234,Riudarenes,171485,2020,2.0,,,,,,,,,,,,
235,Riudellots de la Selva,171501,2020,1.0,,,,,,,,,,,,
236,Riudoms,431299,2020,2.0,,,,,,,,,,,,
237,"Roca del Vallès, la",081810,2020,5.0,,,,,,,,,,,,
238,Roda de Berà,431310,2020,3.0,,,,,,,,,,,,
239,Roda de Ter,081831,2020,6.0,,,,,,,,,,,,
240,Roses,171523,2020,18.0,,,,,,,,,,,,
241,Rubí,081846,2020,46.0,,,,,,,,,,,,
242,Sabadell,081878,2020,870.0,,,,,,,,,,,,
243,Sallent,081918,2020,10.0,,,,,,,,,,,,
244,Salomó,431359,2020,1.0,,,,,,,,,,,,
245,Salou,439057,2020,46.0,,,,,,,,,,,,
246,Salt,171557,2020,176.0,,,,,,,,,,,,
247,Sant Adrià de Besòs,081944,2020,150.0,,,,,,,,,,,,
248,Sant Andreu de la Barca,081960,2020,62.0,,,,,,,,,,,,
249,Sant Andreu de Llavaneres,081976,2020,5.0,,,,,,,,,,,,
250,Sant Antoni de Vilamajor,081982,2020,2.0,,,,,,,,,,,,
251,Sant Boi de Llobregat,082009,2020,219.0,,,,,,,,,,,,
252,Sant Carles de la Ràpita,431362,2020,52.0,,,,,,,,,,,,
253,Sant Celoni,082021,2020,7.0,,,,,,,,,,,,
254,Sant Climent de Llobregat,082042,2020,4.0,,,,,,,,,,,,
255,Sant Cugat del Vallès,082055,2020,229.0,,,,,,,,,,,,
256,Sant Cugat Sesgarrigues,082068,2020,2.0,,,,,,,,,,,,
257,Sant Esteve de Palautordera,082074,2020,1.0,,,,,,,,,,,,
258,Sant Esteve Sesrovires,082080,2020,6.0,,,,,,,,,,,,
259,Sant Feliu de Codines,082107,2020,4.0,,,,,,,,,,,,
260,Sant Feliu de Guíxols,171609,2020,20.0,,,,,,,,,,,,
261,Sant Feliu de Llobregat,082114,2020,225.0,,,,,,,,,,,,
262,Sant Fost de Campsentelles,082093,2020,2.0,,,,,,,,,,,,
263,Sant Fruitós de Bages,082135,2020,24.0,,,,,,,,,,,,
264,Sant Gregori,171637,2020,8.0,,,,,,,,,,,,
265,Sant Hilari Sacalm,171642,2020,3.0,,,,,,,,,,,,
266,Sant Hipòlit de Voltregà,082153,2020,3.0,,,,,,,,,,,,
267,Sant Iscle de Vallalta,081939,2020,1.0,,,,,,,,,,,,
268,Sant Jaume de Llierca,171655,2020,1.0,,,,,,,,,,,,
269,Sant Jaume d'Enveja,439023,2020,2.0,,,,,,,,,,,,
270,Sant Joan de les Abadesses,171674,2020,4.0,,,,,,,,,,,,
271,Sant Joan de Vilatorrada,082188,2020,12.0,,,,,,,,,,,,
272,Sant Joan Despí,082172,2020,104.0,,,,,,,,,,,,
273,Sant Joan les Fonts,171851,2020,9.0,,,,,,,,,,,,
274,Sant Julià de Ramis,171693,2020,2.0,,,,,,,,,,,,
275,Sant Julià de Vilatorta,082205,2020,5.0,,,,,,,,,,,,
276,Sant Julià del Llor i Bonmatí,179032,2020,1.0,,,,,,,,,,,,
277,Sant Just Desvern,082212,2020,61.0,,,,,,,,,,,,
278,Sant Llorenç Savall,082233,2020,4.0,,,,,,,,,,,,
279,Sant Martí de Centelles,082248,2020,1.0,,,,,,,,,,,,
280,Sant Martí Sarroca,082270,2020,2.0,,,,,,,,,,,,
281,Sant Mateu de Bages,082299,2020,1.0,,,,,,,,,,,,
282,Sant Miquel de Fluvià,171753,2020,1.0,,,,,,,,,,,,
283,Sant Pere de Ribes,082310,2020,139.0,,,,,,,,,,,,
284,Sant Pere de Riudebitlles,082325,2020,4.0,,,,,,,,,,,,
285,Sant Pere de Torelló,082331,2020,1.0,,,,,,,,,,,,
286,Sant Pol de Mar,082359,2020,3.0,,,,,,,,,,,,
287,Sant Quintí de Mediona,082362,2020,7.0,,,,,,,,,,,,
288,Sant Quirze de Besora,082378,2020,2.0,,,,,,,,,,,,
289,Sant Quirze del Vallès,082384,2020,59.0,,,,,,,,,,,,
290,Sant Sadurní d'Anoia,082401,2020,31.0,,,,,,,,,,,,
291,Sant Vicenç de Castellet,082628,2020,19.0,,,,,,,,,,,,
292,Sant Vicenç de Montalt,082649,2020,7.0,,,,,,,,,,,,
293,Sant Vicenç de Torelló,082652,2020,6.0,,,,,,,,,,,,
294,Sant Vicenç dels Horts,082634,2020,74.0,,,,,,,,,,,,
295,Santa Bàrbara,431384,2020,1.0,,,,,,,,,,,,
296,Santa Coloma de Cervelló,082444,2020,4.0,,,,,,,,,,,,
297,Santa Coloma de Farners,171805,2020,15.0,,,,,,,,,,,,
298,Santa Coloma de Gramenet,082457,2020,180.0,,,,,,,,,,,,
299,Santa Coloma de Queralt,431397,2020,2.0,,,,,,,,,,,,
300,Santa Cristina d'Aro,171812,2020,4.0,,,,,,,,,,,,
301,Santa Eugènia de Berga,082460,2020,2.0,,,,,,,,,,,,
302,Santa Eulàlia de Ronçana,082482,2020,5.0,,,,,,,,,,,,
303,Santa Fe del Penedès,082495,2020,1.0,,,,,,,,,,,,
304,Santa Margarida de Montbui,082508,2020,15.0,,,,,,,,,,,,
