,Literal,Codi,Any,Demanda,1,2,3,4,5,6 i més,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat
1487,Vilafant,172214,2017,3.0,,,,,,,,,,,,
1488,Vilafranca del Penedès,083054,2017,219.0,,,,,,,,,,,,
1489,Vilallonga del Camp,431665,2017,3.0,,,,,,,,,,,,
1490,Vilanova de Segrià,252516,2017,1.0,,,,,,,,,,,,
1491,Vilanova del Camí,083020,2017,11.0,,,,,,,,,,,,
1492,Vilanova i la Geltrú,083073,2017,277.0,,,,,,,,,,,,
1493,Vila-rodona,431704,2017,1.0,,,,,,,,,,,,
1494,Vila-seca,431711,2017,61.0,,,,,,,,,,,,
1495,Vilassar de Dalt,082140,2017,6.0,,,,,,,,,,,,
1496,Vilassar de Mar,082191,2017,59.0,,,,,,,,,,,,
1497,Vilobí d'Onyar,172333,2017,1.0,,,,,,,,,,,,
1498,Vimbodí i Poblet,431763,2017,1.0,,,,,,,,,,,,
1499,Vinyols i els Arcs,431785,2017,4.0,,,,,,,,,,,,
1500,Abrera,080018,2016,55.0,,,,,,,,,,,,
1501,Agramunt,250030,2016,8.0,,,,,,,,,,,,
1502,Agullana,170010,2016,1.0,,,,,,,,,,,,
1503,Aiguamúrcia,430017,2016,2.0,,,,,,,,,,,,
1504,Aiguaviva,170025,2016,1.0,,,,,,,,,,,,
1505,"Alamús, els",250045,2016,1.0,,,,,,,,,,,,
1506,Albatàrrec,250077,2016,2.0,,,,,,,,,,,,
1507,Albinyana,430022,2016,1.0,,,,,,,,,,,,
1508,Alcarràs,250117,2016,18.0,,,,,,,,,,,,
1509,Alcoletge,250122,2016,22.0,,,,,,,,,,,,
1510,Alcover,430056,2016,2.0,,,,,,,,,,,,
1511,"Aldea, l'",439044,2016,1.0,,,,,,,,,,,,
1512,Alella,080039,2016,16.0,,,,,,,,,,,,
1513,Alfarràs,250138,2016,3.0,,,,,,,,,,,,
1514,Alforja,430094,2016,1.0,,,,,,,,,,,,
1515,Alguaire,250169,2016,2.0,,,,,,,,,,,,
1516,Almacelles,250194,2016,1.0,,,,,,,,,,,,
1517,Almenar,250215,2016,1.0,,,,,,,,,,,,
1518,Alpicat,250236,2016,4.0,,,,,,,,,,,,
1519,Altafulla,430120,2016,11.0,,,,,,,,,,,,
1520,"Ametlla del Vallès, l'",080057,2016,2.0,,,,,,,,,,,,
1521,"Ampolla, l'",439060,2016,6.0,,,,,,,,,,,,
1522,Amposta,430141,2016,34.0,,,,,,,,,,,,
1523,Anglès,170084,2016,3.0,,,,,,,,,,,,
1524,"Arboç, l'",430167,2016,12.0,,,,,,,,,,,,
1525,Arbúcies,170097,2016,4.0,,,,,,,,,,,,
1526,Arenys de Mar,080060,2016,25.0,,,,,,,,,,,,
1527,Arenys de Munt,080076,2016,2.0,,,,,,,,,,,,
1528,Argentona,080095,2016,5.0,,,,,,,,,,,,
1529,"Armentera, l'",170118,2016,2.0,,,,,,,,,,,,
1530,Artés,080109,2016,18.0,,,,,,,,,,,,
1531,Avinyó,080121,2016,3.0,,,,,,,,,,,,
1532,Badalona,080155,2016,791.0,,,,,,,,,,,,
1533,Badia del Vallès,089045,2016,51.0,,,,,,,,,,,,
1534,Balaguer,250404,2016,103.0,,,,,,,,,,,,
1535,Balenyà,080174,2016,4.0,,,,,,,,,,,,
1536,Balsareny,080180,2016,6.0,,,,,,,,,,,,
1537,Banyeres del Penedès,430206,2016,8.0,,,,,,,,,,,,
1538,Banyoles,170157,2016,69.0,,,,,,,,,,,,
1539,Barberà del Vallès,082520,2016,134.0,,,,,,,,,,,,
1540,Barcelona,080193,2016,8343.0,,,,,,,,,,,,
1541,Batea,430228,2016,2.0,,,,,,,,,,,,
1542,Begues,080207,2016,12.0,,,,,,,,,,,,
1543,Begur,170139,2016,7.0,,,,,,,,,,,,
1544,Bell-lloc d'Urgell,250485,2016,2.0,,,,,,,,,,,,
1545,Bellpuig,250501,2016,23.0,,,,,,,,,,,,
1546,Bellvei,430249,2016,1.0,,,,,,,,,,,,
1547,Bellver de Cerdanya,250518,2016,2.0,,,,,,,,,,,,
1548,Berga,080229,2016,40.0,,,,,,,,,,,,
1549,Besalú,170195,2016,2.0,,,,,,,,,,,,
1550,Bescanó,170209,2016,2.0,,,,,,,,,,,,
1551,Bigues i Riells,080235,2016,6.0,,,,,,,,,,,,
1552,"Bisbal del Penedès, la",430287,2016,3.0,,,,,,,,,,,,
1553,"Bisbal d'Empordà, la",170221,2016,25.0,,,,,,,,,,,,
1554,Blanes,170237,2016,137.0,,,,,,,,,,,,
1555,Bolvir,170242,2016,1.0,,,,,,,,,,,,
1556,"Borges Blanques, les",250582,2016,5.0,,,,,,,,,,,,
1557,Borrassà,170268,2016,1.0,,,,,,,,,,,,
1558,Breda,170274,2016,1.0,,,,,,,,,,,,
1559,"Cabanyes, les",080272,2016,1.0,,,,,,,,,,,,
1560,Cabrera de Mar,080291,2016,5.0,,,,,,,,,,,,
1561,Cadaqués,170329,2016,4.0,,,,,,,,,,,,
1562,Calaf,080312,2016,11.0,,,,,,,,,,,,
1563,Calafell,430379,2016,27.0,,,,,,,,,,,,
1564,Caldes de Malavella,170335,2016,5.0,,,,,,,,,,,,
1565,Caldes de Montbui,080333,2016,23.0,,,,,,,,,,,,
1566,Caldes d'Estrac,080327,2016,3.0,,,,,,,,,,,,
1567,Calella,080351,2016,5.0,,,,,,,,,,,,
1568,Calldetenes,080370,2016,2.0,,,,,,,,,,,,
1569,Callús,080386,2016,8.0,,,,,,,,,,,,
1570,Cambrils,430385,2016,177.0,,,,,,,,,,,,
1571,Campdevànol,170366,2016,6.0,,,,,,,,,,,,
1572,Canet de Mar,080403,2016,8.0,,,,,,,,,,,,
1573,"Canonja, la",439076,2016,8.0,,,,,,,,,,,,
1574,Canovelles,080410,2016,71.0,,,,,,,,,,,,
1575,Canyelles,080431,2016,1.0,,,,,,,,,,,,
1576,Capellades,080446,2016,7.0,,,,,,,,,,,,
1577,Cardedeu,080462,2016,14.0,,,,,,,,,,,,
1578,Cardona,080478,2016,4.0,,,,,,,,,,,,
1579,Caseres,430419,2016,1.0,,,,,,,,,,,,
1580,Cassà de la Selva,170448,2016,4.0,,,,,,,,,,,,
1581,Castellar del Vallès,080517,2016,56.0,,,,,,,,,,,,
1582,Castellbell i el Vilar,080538,2016,3.0,,,,,,,,,,,,
1583,Castellbisbal,080543,2016,56.0,,,,,,,,,,,,
1584,Castelldefels,080569,2016,105.0,,,,,,,,,,,,
1585,Castellet i la Gornal,080581,2016,2.0,,,,,,,,,,,,
1586,Castellfollit de la Roca,170464,2016,6.0,,,,,,,,,,,,
1587,Castellfollit de Riubregós,080608,2016,1.0,,,,,,,,,,,,
1588,Castellnou de Seana,250680,2016,1.0,,,,,,,,,,,,
1589,Castelló d'Empúries,170470,2016,6.0,,,,,,,,,,,,
1590,Castell-Platja d'Aro,170486,2016,14.0,,,,,,,,,,,,
1591,Castellterçol,080641,2016,2.0,,,,,,,,,,,,
1592,"Cellera de Ter, la",171899,2016,1.0,,,,,,,,,,,,
1593,Celrà,170499,2016,4.0,,,,,,,,,,,,
1594,Centelles,080673,2016,20.0,,,,,,,,,,,,
1595,Cerdanyola del Vallès,082665,2016,135.0,,,,,,,,,,,,
1596,Cervelló,080689,2016,5.0,,,,,,,,,,,,
1597,Cervera,250729,2016,14.0,,,,,,,,,,,,
1598,Collbató,080692,2016,1.0,,,,,,,,,,,,
1599,Constantí,430477,2016,16.0,,,,,,,,,,,,
1600,Corbera de Llobregat,080728,2016,12.0,,,,,,,,,,,,
1601,Corbera d'Ebre,430483,2016,1.0,,,,,,,,,,,,
1602,Corbins,250788,2016,1.0,,,,,,,,,,,,
1603,Cornellà de Llobregat,080734,2016,459.0,,,,,,,,,,,,
1604,Cornellà del Terri,170561,2016,1.0,,,,,,,,,,,,
1605,Creixell,430509,2016,5.0,,,,,,,,,,,,
1606,Cubelles,080749,2016,19.0,,,,,,,,,,,,
1607,Cunit,430516,2016,19.0,,,,,,,,,,,,
1608,Deltebre,439018,2016,1.0,,,,,,,,,,,,
1609,Duesaigües,430537,2016,1.0,,,,,,,,,,,,
1610,"Escala, l'",170622,2016,30.0,,,,,,,,,,,,
1611,Esparreguera,080765,2016,6.0,,,,,,,,,,,,
1612,"Espluga de Francolí, l'",430542,2016,1.0,,,,,,,,,,,,
1613,Esplugues de Llobregat,080771,2016,138.0,,,,,,,,,,,,
1614,Esterri d'Àneu,250864,2016,1.0,,,,,,,,,,,,
1615,Falset,430555,2016,4.0,,,,,,,,,,,,
1616,"Far d'Empordà, el",170059,2016,1.0,,,,,,,,,,,,
1617,Figaró-Montmany,081347,2016,1.0,,,,,,,,,,,,
1618,Figueres,170669,2016,104.0,,,,,,,,,,,,
1619,Flix,430607,2016,2.0,,,,,,,,,,,,
1620,"Floresta, la",250925,2016,1.0,,,,,,,,,,,,
1621,Folgueroles,080832,2016,2.0,,,,,,,,,,,,
1622,Fondarella,250931,2016,1.0,,,,,,,,,,,,
1623,Fonollosa,080847,2016,1.0,,,,,,,,,,,,
1624,Fontcoberta,170715,2016,1.0,,,,,,,,,,,,
1625,Font-rubí,080850,2016,2.0,,,,,,,,,,,,
1626,Forallac,179026,2016,1.0,,,,,,,,,,,,
1627,Fornells de la Selva,170736,2016,1.0,,,,,,,,,,,,
1628,Fortià,170741,2016,1.0,,,,,,,,,,,,
1629,"Franqueses del Vallès, les",080863,2016,72.0,,,,,,,,,,,,
1630,"Fuliola, la",250962,2016,1.0,,,,,,,,,,,,
1631,Gandesa,430640,2016,5.0,,,,,,,,,,,,
1632,"Garriga, la",080885,2016,5.0,,,,,,,,,,,,
1633,Gavà,080898,2016,260.0,,,,,,,,,,,,
1634,Gelida,080919,2016,22.0,,,,,,,,,,,,
1635,Ginestar,430672,2016,1.0,,,,,,,,,,,,
1636,Girona,170792,2016,174.0,,,,,,,,,,,,
1637,Gironella,080924,2016,4.0,,,,,,,,,,,,
1638,Golmés,250997,2016,1.0,,,,,,,,,,,,
1639,"Granada, la",080945,2016,8.0,,,,,,,,,,,,
1640,Granollers,080961,2016,329.0,,,,,,,,,,,,
1641,Guissona,251109,2016,32.0,,,,,,,,,,,,
1642,Horta de Sant Joan,430712,2016,4.0,,,,,,,,,,,,
1643,"Hospitalet de Llobregat, l'",081017,2016,1794.0,,,,,,,,,,,,
1644,Hostalric,170834,2016,1.0,,,,,,,,,,,,
1645,Igualada,081022,2016,133.0,,,,,,,,,,,,
1646,"Jonquera, la",170865,2016,1.0,,,,,,,,,,,,
1647,Jorba,081038,2016,1.0,,,,,,,,,,,,
1648,"Llagosta, la",081056,2016,8.0,,,,,,,,,,,,
1649,Llagostera,170890,2016,16.0,,,,,,,,,,,,
1650,Llançà,170926,2016,6.0,,,,,,,,,,,,
1651,Llavorsí,251266,2016,1.0,,,,,,,,,,,,
1652,Lleida,251207,2016,762.0,,,,,,,,,,,,
1653,Lliçà d'Amunt,081075,2016,6.0,,,,,,,,,,,,
1654,Lliçà de Vall,081081,2016,2.0,,,,,,,,,,,,
1655,Llinars del Vallès,081069,2016,2.0,,,,,,,,,,,,
1656,Llívia,170947,2016,1.0,,,,,,,,,,,,
1657,Llorenç del Penedès,430748,2016,2.0,,,,,,,,,,,,
1658,Lloret de Mar,170950,2016,11.0,,,,,,,,,,,,
1659,Maçanet de la Selva,171030,2016,2.0,,,,,,,,,,,,
1660,Malgrat de Mar,081108,2016,29.0,,,,,,,,,,,,
1661,Manlleu,081120,2016,32.0,,,,,,,,,,,,
1662,Manresa,081136,2016,212.0,,,,,,,,,,,,
1663,Marçà,430764,2016,1.0,,,,,,,,,,,,
1664,Martorell,081141,2016,76.0,,,,,,,,,,,,
1665,Martorelles,081154,2016,1.0,,,,,,,,,,,,
1666,Masdenverge,430786,2016,1.0,,,,,,,,,,,,
1667,"Masies de Voltregà, les",081173,2016,2.0,,,,,,,,,,,,
1668,"Masnou, el",081189,2016,84.0,,,,,,,,,,,,
1669,Masquefa,081192,2016,2.0,,,,,,,,,,,,
1670,Matadepera,081206,2016,12.0,,,,,,,,,,,,
1671,Mataró,081213,2016,500.0,,,,,,,,,,,,
1672,Mediona,081228,2016,3.0,,,,,,,,,,,,
1673,Miralcamp,251351,2016,1.0,,,,,,,,,,,,
1674,Moià,081385,2016,4.0,,,,,,,,,,,,
1675,Molins de Rei,081234,2016,112.0,,,,,,,,,,,,
1676,Mollerussa,251370,2016,79.0,,,,,,,,,,,,
1677,Mollet del Vallès,081249,2016,68.0,,,,,,,,,,,,
1678,Monistrol de Montserrat,081271,2016,16.0,,,,,,,,,,,,
1679,Montblanc,430862,2016,18.0,,,,,,,,,,,,
1680,Montbrió del Camp,430884,2016,2.0,,,,,,,,,,,,
1681,Montcada i Reixac,081252,2016,84.0,,,,,,,,,,,,
1682,Montellà i Martinet,251399,2016,2.0,,,,,,,,,,,,
1683,Montesquiu,081311,2016,1.0,,,,,,,,,,,,
1684,Montgat,081265,2016,58.0,,,,,,,,,,,,
1685,Montmeló,081350,2016,18.0,,,,,,,,,,,,
1686,Montornès del Vallès,081363,2016,31.0,,,,,,,,,,,,
1687,Mont-ras,171100,2016,1.0,,,,,,,,,,,,
1688,Mont-roig del Camp,430923,2016,6.0,,,,,,,,,,,,
1689,Móra d'Ebre,430939,2016,23.0,,,,,,,,,,,,
1690,Móra la Nova,430944,2016,6.0,,,,,,,,,,,,
1691,Navarcles,081402,2016,3.0,,,,,,,,,,,,
1692,Navàs,081419,2016,1.0,,,,,,,,,,,,
1693,Òdena,081430,2016,3.0,,,,,,,,,,,,
1694,Olèrdola,081458,2016,2.0,,,,,,,,,,,,
1695,Olesa de Montserrat,081477,2016,23.0,,,,,,,,,,,,
1696,Olivella,081483,2016,1.0,,,,,,,,,,,,
1697,Olot,171143,2016,194.0,,,,,,,,,,,,
1698,Olvan,081445,2016,2.0,,,,,,,,,,,,
1699,Palafolls,081555,2016,7.0,,,,,,,,,,,,
1700,Palafrugell,171175,2016,131.0,,,,,,,,,,,,
1701,Palamós,171181,2016,18.0,,,,,,,,,,,,
1702,Palau-sator,171215,2016,1.0,,,,,,,,,,,,
1703,Palau-saverdera,171208,2016,1.0,,,,,,,,,,,,
1704,Palau-solità i Plegamans,081568,2016,6.0,,,,,,,,,,,,
1705,Pallejà,081574,2016,4.0,,,,,,,,,,,,
1706,Parets del Vallès,081593,2016,34.0,,,,,,,,,,,,
1707,Penelles,251641,2016,1.0,,,,,,,,,,,,
1708,Piera,081614,2016,12.0,,,,,,,,,,,,
1709,Pineda de Mar,081635,2016,27.0,,,,,,,,,,,,
1710,"Pla de Santa Maria, el",431080,2016,2.0,,,,,,,,,,,,
1711,"Pla del Penedès, el",081640,2016,8.0,,,,,,,,,,,,
1712,Planoles,171349,2016,1.0,,,,,,,,,,,,
1713,"Pobla de Claramunt, la",081653,2016,3.0,,,,,,,,,,,,
1714,"Pobla de Mafumet, la",431093,2016,4.0,,,,,,,,,,,,
1715,"Pobla de Segur, la",251713,2016,12.0,,,,,,,,,,,,
1716,Polinyà,081672,2016,48.0,,,,,,,,,,,,
1717,Pont de Molins,171352,2016,1.0,,,,,,,,,,,,
1718,"Pont de Suert, el",251734,2016,11.0,,,,,,,,,,,,
1719,"Pont de Vilomara i Rocafort, el",081825,2016,11.0,,,,,,,,,,,,
1720,Porqueres,171371,2016,2.0,,,,,,,,,,,,
1721,Prades,431166,2016,1.0,,,,,,,,,,,,
1722,"Prat de Llobregat, el",081691,2016,368.0,,,,,,,,,,,,
1723,"Prats de Rei, els",081705,2016,5.0,,,,,,,,,,,,
1724,Premià de Dalt,082303,2016,18.0,,,,,,,,,,,,
1725,Premià de Mar,081727,2016,22.0,,,,,,,,,,,,
1726,"Preses, les",171390,2016,7.0,,,,,,,,,,,,
1727,Puigcerdà,171411,2016,17.0,,,,,,,,,,,,
1728,Puig-reig,081751,2016,1.0,,,,,,,,,,,,
1729,Quart,171426,2016,2.0,,,,,,,,,,,,
1730,Rellinars,081799,2016,1.0,,,,,,,,,,,,
1731,Reus,431233,2016,350.0,,,,,,,,,,,,
1732,Rialp,251832,2016,1.0,,,,,,,,,,,,
1733,Ribes de Freser,171450,2016,3.0,,,,,,,,,,,,
1734,Riells i Viabrea,171463,2016,3.0,,,,,,,,,,,,
1735,Ripoll,171479,2016,26.0,,,,,,,,,,,,
1736,Ripollet,081803,2016,428.0,,,,,,,,,,,,
1737,Riudarenes,171485,2016,1.0,,,,,,,,,,,,
1738,Riudecols,431286,2016,1.0,,,,,,,,,,,,
1739,Riudellots de la Selva,171501,2016,1.0,,,,,,,,,,,,
1740,Riudoms,431299,2016,2.0,,,,,,,,,,,,
1741,"Roca del Vallès, la",081810,2016,2.0,,,,,,,,,,,,
1742,Roda de Berà,431310,2016,3.0,,,,,,,,,,,,
1743,Roda de Ter,081831,2016,4.0,,,,,,,,,,,,
1744,Roquetes,431331,2016,5.0,,,,,,,,,,,,
1745,Roses,171523,2016,30.0,,,,,,,,,,,,
1746,Rosselló,251898,2016,2.0,,,,,,,,,,,,
1747,Rubí,081846,2016,143.0,,,,,,,,,,,,
1748,Rupià,171539,2016,2.0,,,,,,,,,,,,
1749,Sabadell,081878,2016,691.0,,,,,,,,,,,,
1750,Sallent,081918,2016,9.0,,,,,,,,,,,,
1751,Salou,439057,2016,35.0,,,,,,,,,,,,
1752,Salt,171557,2016,139.0,,,,,,,,,,,,
1753,Sant Adrià de Besòs,081944,2016,269.0,,,,,,,,,,,,
1754,Sant Andreu de la Barca,081960,2016,152.0,,,,,,,,,,,,
1755,Sant Andreu de Llavaneres,081976,2016,1.0,,,,,,,,,,,,
1756,Sant Boi de Llobregat,082009,2016,136.0,,,,,,,,,,,,
1757,Sant Carles de la Ràpita,431362,2016,38.0,,,,,,,,,,,,
1758,Sant Celoni,082021,2016,5.0,,,,,,,,,,,,
1759,Sant Climent de Llobregat,082042,2016,2.0,,,,,,,,,,,,
1760,Sant Cugat del Vallès,082055,2016,770.0,,,,,,,,,,,,
1761,Sant Esteve Sesrovires,082080,2016,17.0,,,,,,,,,,,,
1762,Sant Feliu de Codines,082107,2016,1.0,,,,,,,,,,,,
1763,Sant Feliu de Guíxols,171609,2016,71.0,,,,,,,,,,,,
1764,Sant Feliu de Llobregat,082114,2016,203.0,,,,,,,,,,,,
1765,Sant Fost de Campsentelles,082093,2016,12.0,,,,,,,,,,,,
1766,Sant Fruitós de Bages,082135,2016,10.0,,,,,,,,,,,,
1767,Sant Gregori,171637,2016,16.0,,,,,,,,,,,,
1768,Sant Hilari Sacalm,171642,2016,4.0,,,,,,,,,,,,
1769,Sant Jaume dels Domenys,431378,2016,1.0,,,,,,,,,,,,
1770,Sant Jaume d'Enveja,439023,2016,1.0,,,,,,,,,,,,
1771,Sant Joan de les Abadesses,171674,2016,9.0,,,,,,,,,,,,
1772,Sant Joan de Vilatorrada,082188,2016,8.0,,,,,,,,,,,,
1773,Sant Joan Despí,082172,2016,131.0,,,,,,,,,,,,
1774,Sant Joan les Fonts,171851,2016,11.0,,,,,,,,,,,,
1775,Sant Julià de Ramis,171693,2016,2.0,,,,,,,,,,,,
1776,Sant Julià de Vilatorta,082205,2016,4.0,,,,,,,,,,,,
1777,Sant Just Desvern,082212,2016,130.0,,,,,,,,,,,,
1778,Sant Llorenç Savall,082233,2016,8.0,,,,,,,,,,,,
1779,Sant Martí de Centelles,082248,2016,1.0,,,,,,,,,,,,
1780,Sant Martí de Tous,082264,2016,1.0,,,,,,,,,,,,
1781,Sant Martí Sarroca,082270,2016,7.0,,,,,,,,,,,,
1782,Sant Pere de Ribes,082310,2016,164.0,,,,,,,,,,,,
1783,Sant Pere de Riudebitlles,082325,2016,2.0,,,,,,,,,,,,
1784,Sant Pere de Torelló,082331,2016,9.0,,,,,,,,,,,,
1785,Sant Pere de Vilamajor,082346,2016,1.0,,,,,,,,,,,,
1786,Sant Pere Pescador,171788,2016,3.0,,,,,,,,,,,,
1787,Sant Pol de Mar,082359,2016,2.0,,,,,,,,,,,,
1788,Sant Quintí de Mediona,082362,2016,5.0,,,,,,,,,,,,
1789,Sant Quirze de Besora,082378,2016,3.0,,,,,,,,,,,,
1790,Sant Quirze del Vallès,082384,2016,49.0,,,,,,,,,,,,
1791,Sant Sadurní d'Anoia,082401,2016,42.0,,,,,,,,,,,,
1792,Sant Vicenç de Castellet,082628,2016,14.0,,,,,,,,,,,,
1793,Sant Vicenç de Montalt,082649,2016,2.0,,,,,,,,,,,,
1794,Sant Vicenç de Torelló,082652,2016,4.0,,,,,,,,,,,,
1795,Sant Vicenç dels Horts,082634,2016,61.0,,,,,,,,,,,,
1796,Santa Bàrbara,431384,2016,2.0,,,,,,,,,,,,
1797,Santa Coloma de Cervelló,082444,2016,6.0,,,,,,,,,,,,
1798,Santa Coloma de Farners,171805,2016,28.0,,,,,,,,,,,,
1799,Santa Coloma de Gramenet,082457,2016,367.0,,,,,,,,,,,,
1800,Santa Coloma de Queralt,431397,2016,1.0,,,,,,,,,,,,
1801,Santa Cristina d'Aro,171812,2016,14.0,,,,,,,,,,,,
1802,Santa Eugènia de Berga,082460,2016,3.0,,,,,,,,,,,,
1803,Santa Eulàlia de Ronçana,082482,2016,3.0,,,,,,,,,,,,
1804,Santa Margarida de Montbui,082508,2016,20.0,,,,,,,,,,,,
1805,Santa Margarida i els Monjos,082515,2016,46.0,,,,,,,,,,,,
1806,Santa Maria de Palautordera,082592,2016,2.0,,,,,,,,,,,,
1807,Santa Maria d'Oló,082589,2016,1.0,,,,,,,,,,,,
1808,Santa Perpètua de Mogoda,082606,2016,79.0,,,,,,,,,,,,
1809,Santpedor,081923,2016,7.0,,,,,,,,,,,,
1810,Sarral,431423,2016,1.0,,,,,,,,,,,,
1811,"Selva del Camp, la",431457,2016,3.0,,,,,,,,,,,,
1812,Sentmenat,082671,2016,17.0,,,,,,,,,,,,
1813,Serinyà,171903,2016,1.0,,,,,,,,,,,,
1814,"Seu d'Urgell, la",252038,2016,37.0,,,,,,,,,,,,
1815,Sils,171931,2016,4.0,,,,,,,,,,,,
1816,Sitges,082704,2016,58.0,,,,,,,,,,,,
1817,Solsona,252075,2016,45.0,,,,,,,,,,,,
1818,Soriguera,252081,2016,1.0,,,,,,,,,,,,
1819,Sort,252094,2016,24.0,,,,,,,,,,,,
1820,Subirats,082732,2016,1.0,,,,,,,,,,,,
1821,Sudanell,252115,2016,1.0,,,,,,,,,,,,
1822,Súria,082747,2016,3.0,,,,,,,,,,,,
1823,Taradell,082785,2016,4.0,,,,,,,,,,,,
1824,Tarragona,431482,2016,359.0,,,,,,,,,,,,
1825,Tàrrega,252173,2016,70.0,,,,,,,,,,,,
1826,Teià,082819,2016,16.0,,,,,,,,,,,,
1827,Térmens,252206,2016,1.0,,,,,,,,,,,,
1828,Terrassa,082798,2016,1878.0,,,,,,,,,,,,
1829,Tiana,082824,2016,21.0,,,,,,,,,,,,
1830,Tona,082830,2016,2.0,,,,,,,,,,,,
1831,Torà,252234,2016,1.0,,,,,,,,,,,,
1832,Tordera,082845,2016,52.0,,,,,,,,,,,,
1833,Torelló,082858,2016,41.0,,,,,,,,,,,,
1834,"Torre de Cabdella, la",252271,2016,6.0,,,,,,,,,,,,
1835,"Torre de Claramunt, la",082861,2016,1.0,,,,,,,,,,,,
1836,"Torre de l'Espanyol, la",431520,2016,5.0,,,,,,,,,,,,
1837,Torredembarra,431536,2016,13.0,,,,,,,,,,,,
1838,Torrelavit,082877,2016,2.0,,,,,,,,,,,,
1839,Torrelles de Foix,082883,2016,4.0,,,,,,,,,,,,
1840,Torrelles de Llobregat,082896,2016,6.0,,,,,,,,,,,,
1841,Torres de Segre,252326,2016,3.0,,,,,,,,,,,,
1842,Torroella de Montgrí,171997,2016,14.0,,,,,,,,,,,,
1843,Tortosa,431554,2016,40.0,,,,,,,,,,,,
1844,Tossa de Mar,172023,2016,2.0,,,,,,,,,,,,
1845,Tremp,252347,2016,52.0,,,,,,,,,,,,
1846,Ullà,172044,2016,2.0,,,,,,,,,,,,
1847,Vacarisses,082917,2016,3.0,,,,,,,,,,,,
1848,Vall de Cardós,259010,2016,1.0,,,,,,,,,,,,
1849,"Vall d'en Bas, la",172076,2016,1.0,,,,,,,,,,,,
1850,Vallbona d'Anoia,082922,2016,1.0,,,,,,,,,,,,
1851,Vallcebre,082938,2016,1.0,,,,,,,,,,,,
1852,Vallirana,082956,2016,3.0,,,,,,,,,,,,
1853,Valls,431613,2016,75.0,,,,,,,,,,,,
1854,Vandellòs i l'Hospitalet de l'Infant,431628,2016,10.0,,,,,,,,,,,,
1855,"Vendrell, el",431634,2016,97.0,,,,,,,,,,,,
1856,Vic,082981,2016,226.0,,,,,,,,,,,,
1857,Vidreres,172137,2016,1.0,,,,,,,,,,,,
1858,Vielha e Mijaran,252430,2016,19.0,,,,,,,,,,,,
1859,Vilablareix,172155,2016,5.0,,,,,,,,,,,,
1860,Viladecans,083015,2016,343.0,,,,,,,,,,,,
1861,Viladecavalls,083008,2016,1.0,,,,,,,,,,,,
1862,Vilafant,172214,2016,1.0,,,,,,,,,,,,
1863,Vilafranca del Penedès,083054,2016,220.0,,,,,,,,,,,,
1864,Vilallonga del Camp,431665,2016,3.0,,,,,,,,,,,,
1865,Vilanova de la Barca,252542,2016,1.0,,,,,,,,,,,,
1866,Vilanova del Camí,083020,2016,17.0,,,,,,,,,,,,
1867,Vilanova del Vallès,089024,2016,1.0,,,,,,,,,,,,
1868,Vilanova d'Escornalbou,431671,2016,1.0,,,,,,,,,,,,
1869,Vilanova i la Geltrú,083073,2016,258.0,,,,,,,,,,,,
1870,Vila-seca,431711,2016,73.0,,,,,,,,,,,,
1871,Vilassar de Dalt,082140,2016,4.0,,,,,,,,,,,,
1872,Vilassar de Mar,082191,2016,32.0,,,,,,,,,,,,
1873,Vilobí d'Onyar,172333,2016,1.0,,,,,,,,,,,,
1874,Vinyols i els Arcs,431785,2016,2.0,,,,,,,,,,,,
1875,Abrera,080018,2015,29.0,,,,,,,,,,,,
1876,Agramunt,250030,2015,3.0,,,,,,,,,,,,
1877,Agullana,170010,2015,14.0,,,,,,,,,,,,
1878,Aitona,250387,2015,3.0,,,,,,,,,,,,
1879,Albinyana,430022,2015,2.0,,,,,,,,,,,,
1880,Alcanar,430043,2015,4.0,,,,,,,,,,,,
1881,Alcarràs,250117,2015,12.0,,,,,,,,,,,,
1882,Alcoletge,250122,2015,11.0,,,,,,,,,,,,
1883,Alcover,430056,2015,3.0,,,,,,,,,,,,
1884,"Aldea, l'",439044,2015,3.0,,,,,,,,,,,,
1885,Alella,080039,2015,12.0,,,,,,,,,,,,
1886,Alfarràs,250138,2015,2.0,,,,,,,,,,,,
1887,Alforja,430094,2015,2.0,,,,,,,,,,,,
1888,Alguaire,250169,2015,3.0,,,,,,,,,,,,
1889,Almacelles,250194,2015,2.0,,,,,,,,,,,,
1890,Almenar,250215,2015,1.0,,,,,,,,,,,,
1891,Altafulla,430120,2015,9.0,,,,,,,,,,,,
1892,"Ametlla de Mar, l'",430136,2015,1.0,,,,,,,,,,,,
1893,"Ametlla del Vallès, l'",080057,2015,1.0,,,,,,,,,,,,
1894,"Ampolla, l'",439060,2015,34.0,,,,,,,,,,,,
1895,Amposta,430141,2015,31.0,,,,,,,,,,,,
1896,Anglès,170084,2015,3.0,,,,,,,,,,,,
1897,"Arboç, l'",430167,2015,6.0,,,,,,,,,,,,
1898,Arbúcies,170097,2015,6.0,,,,,,,,,,,,
1899,Arenys de Mar,080060,2015,8.0,,,,,,,,,,,,
1900,Arenys de Munt,080076,2015,3.0,,,,,,,,,,,,
1901,Argelaguer,170101,2015,1.0,,,,,,,,,,,,
1902,Argentona,080095,2015,2.0,,,,,,,,,,,,
