,Literal,Codi,Any,Evolucio atur
136,Botarell,430332,2013,3.1000000000000085
137,Bovera,250560,2013,0.7999999999999998
138,Bràfim,430347,2013,-5.399999999999999
139,Breda,170274,2013,11.399999999999975
140,"Bruc, el",080253,2013,6.899999999999977
141,"Brull, el",080266,2013,2.0
142,Brunyola i Sant Martí Sapresa,170280,2013,-2.1
143,Cabacés,430350,2013,1.3000000000000007
144,Cabanabona,250609,2013,-0.5
145,Cabanelles,170314,2013,0.7000000000000011
146,Cabanes,170307,2013,-8.0
147,"Cabanyes, les",080272,2013,0.2999999999999971
148,Cabó,250616,2013,1.0999999999999996
149,Cabra del Camp,430363,2013,-0.8000000000000114
150,Cabrera d'Anoia,080288,2013,7.5
151,Cabrera de Mar,080291,2013,11.900000000000006
152,Cabrils,080305,2013,-3.200000000000045
153,Cadaqués,170329,2013,12.299999999999995
154,Calaf,080312,2013,53.10000000000002
155,Calafell,430379,2013,37.0
156,Calders,080348,2013,5.200000000000003
157,Caldes d'Estrac,080327,2013,17.69999999999999
158,Caldes de Malavella,170335,2013,1.8999999999999773
159,Caldes de Montbui,080333,2013,31.799999999999955
160,Calella,080351,2013,-50.0
161,Calldetenes,080370,2013,9.0
162,Callús,080386,2013,8.699999999999989
163,Calonge de Segarra,080364,2013,-2.1
164,Calonge i Sant Antoni,170340,2013,-19.0
165,Camarasa,250621,2013,-0.8000000000000043
166,Camarles,439039,2013,-2.7999999999999545
167,Cambrils,430385,2013,37.69999999999982
168,Camós,170353,2013,-0.5
169,Campdevànol,170366,2013,5.599999999999994
170,Campelles,170372,2013,-1.8999999999999997
171,Campins,080399,2013,5.5
172,Campllong,170388,2013,-6.199999999999999
173,Camprodon,170391,2013,-10.899999999999991
174,Canejan,250637,2013,-1.2000000000000002
175,Canet d'Adri,170405,2013,-2.6000000000000014
176,Canet de Mar,080403,2013,-20.299999999999955
177,"Canonja, la",439076,2013,44.0
178,Canovelles,080410,2013,52.89999999999986
179,Cànoves i Samalús,080425,2013,35.30000000000001
180,Cantallops,170412,2013,-2.200000000000001
181,Canyelles,080431,2013,8.399999999999977
182,Capafonts,430398,2013,-2.1
183,Capçanes,430402,2013,-0.3000000000000007
184,Capellades,080446,2013,18.399999999999977
185,Capmany,170427,2013,1.8000000000000007
186,Capolat,080459,2013,0.5
187,Cardedeu,080462,2013,4.2999999999999545
188,Cardona,080478,2013,5.599999999999966
189,Carme,080484,2013,-5.299999999999997
190,Caseres,430419,2013,-2.0
191,Cassà de la Selva,170448,2013,-38.79999999999996
192,Casserres,080497,2013,8.399999999999991
193,Castell de l'Areny,080575,2013,-1.2000000000000002
194,Castell de Mur,259046,2013,-2.499999999999999
195,Castellar de la Ribera,250642,2013,-2.2
196,Castellar de n'Hug,080522,2013,-0.0999999999999996
197,Castellar del Riu,080500,2013,0.0
198,Castellar del Vallès,080517,2013,25.59999999999991
199,Castellbell i el Vilar,080538,2013,22.400000000000038
200,Castellbisbal,080543,2013,56.39999999999998
201,Castellcir,080556,2013,5.899999999999999
202,Castelldans,250674,2013,4.399999999999999
203,Castelldefels,080569,2013,-53.10000000000037
204,Castellet i la Gornal,080581,2013,7.799999999999983
205,Castellfollit de la Roca,170464,2013,7.600000000000001
206,Castellfollit de Riubregós,080608,2013,-0.0999999999999996
207,Castellfollit del Boix,080594,2013,2.4000000000000004
208,Castellgalí,080615,2013,6.100000000000023
209,Castellnou de Bages,080620,2013,-2.9000000000000057
210,Castellnou de Seana,250680,2013,-0.4000000000000057
211,Castelló d'Empúries,170470,2013,9.399999999999975
212,Castelló de Farfanya,250693,2013,4.199999999999999
213,Castellolí,080636,2013,-0.8000000000000007
214,Castell-Platja d'Aro,170486,2013,-13.399999999999975
215,Castellserà,250707,2013,8.100000000000001
216,Castellterçol,080641,2013,-0.5
217,Castellvell del Camp,430424,2013,6.5
218,Castellví de la Marca,080654,2013,-0.2000000000000028
219,Castellví de Rosanes,080667,2013,-3.799999999999997
220,"Catllar, el",430430,2013,-0.4000000000000341
221,Cava,250714,2013,0.4000000000000001
222,"Cellera de Ter, la",171899,2013,-1.7000000000000028
223,Celrà,170499,2013,2.1999999999999886
224,Centelles,080673,2013,6.5
225,Cercs,082687,2013,7.0
226,Cerdanyola del Vallès,082665,2013,-66.10000000000036
227,Cervelló,080689,2013,17.0
228,Cervera,250729,2013,-24.299999999999955
229,Cervià de les Garrigues,250735,2013,5.5
230,Cervià de Ter,170502,2013,0.9000000000000057
231,Cistella,170519,2013,-0.3000000000000007
232,Ciutadilla,250740,2013,-0.0999999999999996
233,Clariana de Cardener,250753,2013,2.4000000000000004
234,"Cogul, el",250766,2013,1.3999999999999997
235,Colera,170545,2013,1.900000000000002
236,Coll de Nargó,250772,2013,1.1000000000000014
237,Collbató,080692,2013,18.19999999999999
238,Colldejou,430458,2013,-3.3000000000000007
239,Collsuspina,080706,2013,3.5
240,Colomers,170558,2013,0.7999999999999998
241,"Coma i la Pedra, la",251636,2013,-2.9000000000000004
242,Conca de Dalt,251615,2013,-3.3999999999999986
243,Conesa,430461,2013,1.1999999999999993
244,Constantí,430477,2013,27.09999999999991
245,Copons,080713,2013,-7.0
246,Corbera d'Ebre,430483,2013,-0.5
247,Corbera de Llobregat,080728,2013,-11.300000000000068
248,Corbins,250788,2013,-5.700000000000003
249,Corçà,170577,2013,9.400000000000006
