,Literal,Codi,Any,Aturats
1696,Santa Fe del Penedès,082495,2013,24.4
1697,Santa Llogaia d'Àlguema,171827,2013,28.8
1698,Santa Margarida de Montbui,082508,2013,1348.4
1699,Santa Margarida i els Monjos,082515,2013,742.3
1700,Santa Maria d'Oló,082589,2013,46.7
1701,Santa Maria de Besora,082536,2013,11.3
1702,Santa Maria de Martorelles,082567,2013,64.5
1703,Santa Maria de Merlès,082554,2013,5.7
1704,Santa Maria de Miralles,082573,2013,13.0
1705,Santa Maria de Palautordera,082592,2013,837.1
1706,Santa Oliva,431401,2013,470.2
1707,Santa Pau,171848,2013,72.2
1708,Santa Perpètua de Mogoda,082606,2013,2447.5
1709,Santa Susanna,082613,2013,262.3
1710,Santpedor,081923,2013,520.3
1711,Sarral,431423,2013,118.9
1712,Sarrià de Ter,171864,2013,349.0
1713,Sarroca de Bellera,252017,2013,4.1
1714,Sarroca de Lleida,252000,2013,20.7
1715,"Saus, Camallera i Llampaies",171870,2013,42.4
1716,Savallà del Comtat,431439,2013,0.7
1717,"Secuita, la",431444,2013,97.2
1718,"Selva de Mar, la",171886,2013,10.0
1719,"Selva del Camp, la",431457,2013,384.0
1720,Senan,431460,2013,3.8
1721,"Sénia, la",430445,2013,724.0
1722,Senterada,252022,2013,12.0
1723,"Sentiu de Sió, la",250352,2013,27.3
1724,Sentmenat,082671,2013,769.9
1725,Serinyà,171903,2013,58.0
1726,Seròs,252043,2013,83.1
1727,Serra de Daró,171910,2013,6.2
1728,Setcases,171925,2013,4.8
1729,"Seu d'Urgell, la",252038,2013,918.7
1730,Seva,082690,2013,218.3
1731,Sidamon,252056,2013,43.6
1732,Sils,171931,2013,503.6
1733,Sitges,082704,2013,1651.7
1734,Siurana,170524,2013,5.0
1735,Sobremunt,082711,2013,2.6
1736,"Soleràs, el",252069,2013,6.5
1737,Solivella,431476,2013,28.5
1738,Solsona,252075,2013,761.4
1739,Sora,082726,2013,2.6
1740,Soriguera,252081,2013,14.7
1741,Sort,252094,2013,154.5
1742,Soses,252108,2013,108.5
1743,Subirats,082732,2013,179.7
1744,Sudanell,252115,2013,31.9
1745,Sunyer,252120,2013,8.2
1746,Súria,082747,2013,445.6
1747,Susqueda,171946,2013,2.7
1748,Tagamanent,082763,2013,24.3
1749,Talamanca,082779,2013,6.4
1750,Talarn,252154,2013,19.6
1751,Talavera,252167,2013,7.2
1752,"Tallada d'Empordà, la",171959,2013,19.1
1753,Taradell,082785,2013,460.3
1754,Tarragona,431482,2013,11451.2
1755,Tàrrega,252173,2013,1466.5
1756,Tarrés,252189,2013,4.6
1757,Tarroja de Segarra,252192,2013,7.1
1758,Tavèrnoles,082750,2013,8.7
1759,Tavertet,082802,2013,5.3
1760,Teià,082819,2013,305.8
1761,Térmens,252206,2013,76.9
1762,Terrades,171962,2013,13.3
1763,Terrassa,082798,2013,23756.5
1764,Tiana,082824,2013,443.4
1765,Tírvia,252213,2013,8.5
1766,Tiurana,252228,2013,0.0
1767,Tivenys,431495,2013,59.2
1768,Tivissa,431508,2013,116.9
1769,Tona,082830,2013,602.6
1770,Torà,252234,2013,71.5
1771,Tordera,082845,2013,1768.3
1772,Torelló,082858,2013,1327.5
1773,"Torms, els",252249,2013,7.5
1774,Tornabous,252252,2013,51.1
1775,"Torre de Cabdella, la",252271,2013,18.3
1776,"Torre de Claramunt, la",082861,2013,411.5
1777,"Torre de Fontaubella, la",431515,2013,9.7
1778,"Torre de l'Espanyol, la",431520,2013,47.4
1779,Torrebesses,252265,2013,9.5
1780,Torredembarra,431536,2013,1524.4
1781,Torrefarrera,252287,2013,255.6
1782,Torrefeta i Florejacs,259078,2013,19.1
1783,Torregrossa,252304,2013,124.2
1784,Torrelameu,252311,2013,29.1
1785,Torrelavit,082877,2013,72.5
1786,Torrelles de Foix,082883,2013,285.0
1787,Torrelles de Llobregat,082896,2013,406.0
1788,Torrent,171978,2013,8.9
1789,Torres de Segre,252326,2013,152.9
1790,Torre-serona,252332,2013,18.3
1791,Torroella de Fluvià,171984,2013,39.8
1792,Torroella de Montgrí,171997,2013,802.8
1793,Torroja del Priorat,431541,2013,12.3
1794,Tortellà,172001,2013,37.9
1795,Tortosa,431554,2013,3377.5
1796,Toses,172018,2013,7.2
1797,Tossa de Mar,172023,2013,273.7
1798,Tremp,252347,2013,464.9
1799,Ullà,172044,2013,102.4
1800,Ullastrell,082900,2013,139.3
1801,Ullastret,172057,2013,15.3
1802,Ulldecona,431567,2013,573.7
1803,Ulldemolins,431573,2013,26.2
1804,Ultramort,172039,2013,8.0
1805,Urús,172060,2013,6.5
1806,Vacarisses,082917,2013,559.2
1807,"Vajol, la",170144,2013,7.5
1808,"Vall d'en Bas, la",172076,2013,139.8
1809,"Vall de Bianya, la",172082,2013,54.7
1810,"Vall de Boí, la",250432,2013,21.8
1811,Vall de Cardós,259010,2013,16.3
1812,Vallbona d'Anoia,082922,2013,119.9
1813,Vallbona de les Monges,252385,2013,7.2
1814,Vallcebre,082938,2013,16.0
1815,Vallclara,431589,2013,7.2
1816,Vallfogona de Balaguer,252402,2013,100.9
1817,Vallfogona de Ripollès,171707,2013,10.1
1818,Vallfogona de Riucorb,431592,2013,3.5
1819,Vallgorguina,082943,2013,225.2
1820,Vallirana,082956,2013,1218.6
1821,Vall-llobrega,172095,2013,67.9
1822,Vallmoll,431606,2013,143.4
1823,Vallromanes,082969,2013,132.5
1824,Valls,431613,2013,2345.9
1825,"Valls d'Aguilar, les",259062,2013,6.9
1826,"Valls de Valira, les",252398,2013,30.6
1827,Vandellòs i l'Hospitalet de l'Infant,431628,2013,429.9
1828,"Vansa i Fórnols, la",259097,2013,15.6
1829,Veciana,082975,2013,3.8
1830,"Vendrell, el",431634,2013,4564.3
1831,Ventalló,172109,2013,40.8
1832,Verdú,252424,2013,50.2
1833,Verges,172116,2013,75.8
1834,Vespella de Gaià,431649,2013,41.0
1835,Vic,082981,2013,4119.5
1836,Vidrà,172121,2013,5.1
1837,Vidreres,172137,2013,634.4
1838,Vielha e Mijaran,252430,2013,286.2
1839,Vilabella,431652,2013,51.3
1840,Vilabertran,172142,2013,54.4
1841,Vilablareix,172155,2013,125.8
1842,Vilada,082994,2013,55.7
1843,Viladamat,172174,2013,24.8
1844,Viladasens,172168,2013,4.4
1845,Viladecans,083015,2013,6459.3
1846,Viladecavalls,083008,2013,623.3
1847,Vilademuls,172180,2013,46.2
1848,Viladrau,172207,2013,35.6
1849,Vilafant,172214,2013,340.2
1850,Vilafranca del Penedès,083054,2013,3912.1
1851,Vilagrassa,252445,2013,27.8
1852,Vilajuïga,172235,2013,80.9
1853,Vilalba dels Arcs,431750,2013,24.6
1854,Vilalba Sasserra,083067,2013,59.1
1855,Vilaller,252458,2013,28.7
1856,Vilallonga de Ter,172240,2013,21.8
1857,Vilallonga del Camp,431665,2013,152.0
1858,Vilamacolum,172253,2013,19.0
1859,Vilamalla,172266,2013,72.4
1860,Vilamaniscle,172272,2013,8.7
1861,Vilamòs,252477,2013,6.1
1862,Vilanant,172288,2013,14.8
1863,Vilanova d'Escornalbou,431671,2013,48.9
1864,Vilanova de Bellpuig,252483,2013,42.8
1865,Vilanova de l'Aguda,252496,2013,6.3
1866,Vilanova de la Barca,252542,2013,63.0
1867,Vilanova de Meià,252509,2013,14.2
1868,Vilanova de Prades,431687,2013,8.5
1869,Vilanova de Sau,083036,2013,14.5
1870,Vilanova de Segrià,252516,2013,59.7
1871,Vilanova del Camí,083020,2013,1678.2
1872,Vilanova del Vallès,089024,2013,354.4
1873,Vilanova i la Geltrú,083073,2013,6777.7
1874,Vilaplana,431690,2013,23.8
1875,Vila-rodona,431704,2013,99.3
1876,Vila-sacra,172305,2013,37.7
1877,Vila-sana,252521,2013,40.9
1878,Vila-seca,431711,2013,1905.6
1879,Vilassar de Dalt,082140,2013,599.6
1880,Vilassar de Mar,082191,2013,1280.9
1881,Vilaür,172229,2013,10.8
1882,Vilaverd,431726,2013,37.1
1883,"Vilella Alta, la",431732,2013,4.6
1884,"Vilella Baixa, la",431747,2013,12.7
1885,Vilobí d'Onyar,172333,2013,173.0
1886,Vilobí del Penedès,083041,2013,60.8
1887,Vilopriu,172327,2013,12.6
1888,"Vilosell, el",252537,2013,9.4
1889,Vimbodí i Poblet,431763,2013,49.9
1890,Vinaixa,252555,2013,35.4
1891,Vinebre,431779,2013,40.3
1892,Vinyols i els Arcs,431785,2013,130.9
1893,Viver i Serrateix,083089,2013,10.5
1894,Xerta,430521,2013,111.8
1896,Abella de la Conca,250019,2014,12.2
1897,Abrera,080018,2014,934.1
1898,Àger,250024,2014,17.3
1899,Agramunt,250030,2014,331.3
1900,Aguilar de Segarra,080023,2014,10.4
1901,Agullana,170010,2014,41.5
1902,Aiguafreda,080142,2014,166.3
1903,Aiguamúrcia,430017,2014,81.0
1904,Aiguaviva,170025,2014,24.8
1905,Aitona,250387,2014,157.0
1906,"Alamús, els",250045,2014,31.7
1907,Alàs i Cerc,250058,2014,12.8
1908,"Albagés, l'",250061,2014,15.7
1909,Albanyà,170031,2014,12.8
1910,Albatàrrec,250077,2014,119.1
1911,Albesa,250083,2014,69.7
1912,"Albi, l'",250096,2014,59.3
1913,Albinyana,430022,2014,271.2
1914,"Albiol, l'",430038,2014,26.9
1915,Albons,170046,2014,39.6
1916,Alcanar,430043,2014,662.2
1917,Alcanó,250100,2014,6.3
1918,Alcarràs,250117,2014,805.2
1919,Alcoletge,250122,2014,215.5
1920,Alcover,430056,2014,443.5
1921,"Aldea, l'",439044,2014,311.7
1922,Aldover,430069,2014,57.6
1923,"Aleixar, l'",430075,2014,46.1
1924,Alella,080039,2014,442.6
1925,Alfara de Carles,430081,2014,29.6
1926,Alfarràs,250138,2014,240.2
1927,Alfés,250143,2014,13.2
1928,Alforja,430094,2014,142.6
1929,Algerri,250156,2014,19.7
1930,Alguaire,250169,2014,223.8
1931,Alins,250175,2014,7.6
1932,Alió,430108,2014,36.1
1933,Almacelles,250194,2014,316.6
1934,Almatret,250208,2014,8.6
1935,Almenar,250215,2014,242.1
1936,Almoster,430115,2014,61.5
1937,Alòs de Balaguer,250220,2014,5.4
1938,Alp,170062,2014,54.9
1939,Alpens,080044,2014,18.6
1940,Alpicat,250236,2014,276.7
1941,Alt Àneu,250241,2014,12.7
1942,Altafulla,430120,2014,313.9
1943,Amer,170078,2014,118.3
1944,"Ametlla de Mar, l'",430136,2014,513.2
1945,"Ametlla del Vallès, l'",080057,2014,430.0
1946,"Ampolla, l'",439060,2014,209.1
1947,Amposta,430141,2014,2102.3
1948,Anglès,170084,2014,394.3
1949,Anglesola,250273,2014,86.8
1950,Arbeca,250292,2014,113.8
1951,"Arboç, l'",430167,2014,604.3
1952,Arbolí,430154,2014,3.6
1953,Arbúcies,170097,2014,449.5
1954,Arenys de Mar,080060,2014,1120.1
1955,Arenys de Munt,080076,2014,648.0
1956,Argelaguer,170101,2014,24.4
1957,Argençola,080082,2014,9.8
1958,"Argentera, l'",430173,2014,4.9
1959,Argentona,080095,2014,854.2
1960,"Armentera, l'",170118,2014,38.9
1961,Arnes,430189,2014,16.8
1962,Arres,250313,2014,2.1
1963,Arsèguel,250328,2014,4.3
1964,Artés,080109,2014,410.8
1965,Artesa de Lleida,250334,2014,79.1
1966,Artesa de Segre,250349,2014,173.8
1967,Ascó,430192,2014,81.8
1968,Aspa,250365,2014,11.8
1969,"Avellanes i Santa Linya, les",250371,2014,10.8
1970,Avià,080116,2014,116.7
1971,Avinyó,080121,2014,126.8
1972,Avinyonet de Puigventós,170123,2014,79.1
1973,Avinyonet del Penedès,080137,2014,106.8
1974,Badalona,080155,2014,21275.7
1975,Badia del Vallès,089045,2014,1694.8
1976,Bagà,080168,2014,165.1
1977,Baix Pallars,250390,2014,24.2
1978,Balaguer,250404,2014,1551.3
1979,Balenyà,080174,2014,366.0
1980,Balsareny,080180,2014,250.9
1981,Banyeres del Penedès,430206,2014,270.4
1982,Banyoles,170157,2014,1220.7
1983,Barbens,250411,2014,42.3
1984,Barberà de la Conca,430213,2014,29.4
1985,Barberà del Vallès,082520,2014,2877.6
1986,Barcelona,080193,2014,103465.9
1987,"Baronia de Rialb, la",250426,2014,7.0
1988,Bàscara,170160,2014,56.6
1989,Bassella,250447,2014,5.6
1990,Batea,430228,2014,75.8
1991,Bausen,250450,2014,3.4
1992,Begues,080207,2014,346.8
1993,Begur,170139,2014,223.7
1994,Belianes,250463,2014,27.3
1995,Bellaguarda,251706,2014,8.4
1996,Bellcaire d'Empordà,170182,2014,36.8
1997,Bellcaire d'Urgell,250479,2014,58.7
1998,Bell-lloc d'Urgell,250485,2014,131.0
1999,Bellmunt d'Urgell,250498,2014,4.9
2000,Bellmunt del Priorat,430234,2014,22.6
2001,Bellprat,080214,2014,3.3
2002,Bellpuig,250501,2014,316.1
2003,Bellvei,430249,2014,200.6
2004,Bellver de Cerdanya,250518,2014,66.2
2005,Bellvís,250523,2014,123.4
2006,Benavent de Segrià,250539,2014,66.7
2007,Benifallet,430252,2014,37.6
2008,Benissanet,430265,2014,62.8
2009,Berga,080229,2014,1431.8
2010,Besalú,170195,2014,128.9
2011,Bescanó,170209,2014,251.9
2012,Beuda,170216,2014,7.5
2013,Bigues i Riells del Fai,080235,2014,664.9
2014,Biosca,250557,2014,5.6
2015,"Bisbal d'Empordà, la",170221,2014,1064.4
2016,"Bisbal de Falset, la",430271,2014,11.7
2017,"Bisbal del Penedès, la",430287,2014,399.8
2018,Biure,172348,2014,20.6
2019,Blancafort,430290,2014,20.7
2020,Blanes,170237,2014,3648.7
2021,Boadella i les Escaules,170293,2014,15.2
2022,Bolvir,170242,2014,11.6
2023,Bonastre,430304,2014,62.2
2024,"Bòrdes, Es",250576,2014,7.8
2025,Bordils,170255,2014,87.7
2026,"Borges Blanques, les",250582,2014,427.5
2027,"Borges del Camp, les",430311,2014,138.5
2028,Borrassà,170268,2014,26.8
2029,Borredà,080240,2014,29.3
2030,Bossòst,250595,2014,40.2
2031,Bot,430326,2014,19.3
2032,Botarell,430332,2014,86.5
2033,Bovera,250560,2014,6.8
2034,Bràfim,430347,2014,30.4
2035,Breda,170274,2014,286.2
2036,"Bruc, el",080253,2014,119.3
2037,"Brull, el",080266,2014,8.5
2038,Brunyola i Sant Martí Sapresa,170280,2014,12.2
2039,Cabacés,430350,2014,22.4
2040,Cabanabona,250609,2014,1.7
2041,Cabanelles,170314,2014,14.3
2042,Cabanes,170307,2014,57.0
2043,"Cabanyes, les",080272,2014,52.2
2044,Cabó,250616,2014,6.0
2045,Cabra del Camp,430363,2014,118.2
2046,Cabrera d'Anoia,080288,2014,149.8
2047,Cabrera de Mar,080291,2014,202.9
2048,Cabrils,080305,2014,347.9
2049,Cadaqués,170329,2014,107.7
2050,Calaf,080312,2014,345.5
2051,Calafell,430379,2014,2470.3
2052,Calders,080348,2014,57.2
2053,Caldes d'Estrac,080327,2014,187.3
2054,Caldes de Malavella,170335,2014,509.1
2055,Caldes de Montbui,080333,2014,1304.9
2056,Calella,080351,2014,1578.4
2057,Calldetenes,080370,2014,150.2
2058,Callús,080386,2014,156.7
2059,Calonge de Segarra,080364,2014,6.8
2060,Calonge i Sant Antoni,170340,2014,787.8
2061,Camarasa,250621,2014,36.6
2062,Camarles,439039,2014,282.3
2063,Cambrils,430385,2014,2636.8
2064,Camós,170353,2014,26.3
2065,Campdevànol,170366,2014,179.1
2066,Campelles,170372,2014,2.6
2067,Campins,080399,2014,32.5
2068,Campllong,170388,2014,16.8
2069,Camprodon,170391,2014,125.7
2070,Canejan,250637,2014,3.3
2071,Canet d'Adri,170405,2014,24.1
2072,Canet de Mar,080403,2014,1148.8
2073,"Canonja, la",439076,2014,493.8
2074,Canovelles,080410,2014,1925.8
2075,Cànoves i Samalús,080425,2014,238.7
2076,Cantallops,170412,2014,13.7
2077,Canyelles,080431,2014,391.1
2078,Capafonts,430398,2014,5.3
2079,Capçanes,430402,2014,15.6
2080,Capellades,080446,2014,440.0
2081,Capmany,170427,2014,33.3
2082,Capolat,080459,2014,4.8
2083,Cardedeu,080462,2014,1257.3
2084,Cardona,080478,2014,309.3
2085,Carme,080484,2014,58.6
2086,Caseres,430419,2014,13.1
2087,Cassà de la Selva,170448,2014,594.0
2088,Casserres,080497,2014,98.3
2089,Castell de l'Areny,080575,2014,2.8
2090,Castell de Mur,259046,2014,8.7
2091,Castellar de la Ribera,250642,2014,1.9
2092,Castellar de n'Hug,080522,2014,7.4
2093,Castellar del Riu,080500,2014,4.6
2094,Castellar del Vallès,080517,2014,1831.9
2095,Castellbell i el Vilar,080538,2014,324.6
2096,Castellbisbal,080543,2014,913.8
2097,Castellcir,080556,2014,39.8
2098,Castelldans,250674,2014,49.2
2099,Castelldefels,080569,2014,4337.9
2100,Castellet i la Gornal,080581,2014,166.4
2101,Castellfollit de la Roca,170464,2014,63.9
2102,Castellfollit de Riubregós,080608,2014,8.6
2103,Castellfollit del Boix,080594,2014,15.4
2104,Castellgalí,080615,2014,175.3
2105,Castellnou de Bages,080620,2014,61.4
2106,Castellnou de Seana,250680,2014,28.6
2107,Castelló d'Empúries,170470,2014,836.8
2108,Castelló de Farfanya,250693,2014,24.8
2109,Castellolí,080636,2014,22.3
2110,Castell-Platja d'Aro,170486,2014,585.1
2111,Castellserà,250707,2014,61.5
2112,Castellterçol,080641,2014,127.4
2113,Castellvell del Camp,430424,2014,158.9
2114,Castellví de la Marca,080654,2014,111.7
2115,Castellví de Rosanes,080667,2014,105.2
2116,"Catllar, el",430430,2014,265.6
2117,Cava,250714,2014,3.1
2118,"Cellera de Ter, la",171899,2014,109.7
2119,Celrà,170499,2014,270.4
2120,Centelles,080673,2014,567.2
2121,Cercs,082687,2014,89.5
2122,Cerdanyola del Vallès,082665,2014,4425.0
2123,Cervelló,080689,2014,632.2
2124,Cervera,250729,2014,717.1
2125,Cervià de les Garrigues,250735,2014,52.5
2126,Cervià de Ter,170502,2014,48.9
2127,Cistella,170519,2014,16.6
2128,Ciutadilla,250740,2014,11.1
2129,Clariana de Cardener,250753,2014,5.7
2130,"Cogul, el",250766,2014,8.8
2131,Colera,170545,2014,29.7
2132,Coll de Nargó,250772,2014,29.7
2133,Collbató,080692,2014,230.8
2134,Colldejou,430458,2014,13.2
2135,Collsuspina,080706,2014,19.6
2136,Colomers,170558,2014,6.8
2137,"Coma i la Pedra, la",251636,2014,7.6
2138,Conca de Dalt,251615,2014,14.4
2139,Conesa,430461,2014,7.5
2140,Constantí,430477,2014,708.4
2141,Copons,080713,2014,15.1
2142,Corbera d'Ebre,430483,2014,50.6
2143,Corbera de Llobregat,080728,2014,888.3
2144,Corbins,250788,2014,53.8
2145,Corçà,170577,2014,78.3
2146,Cornellà de Llobregat,080734,2014,7572.8
2147,Cornellà del Terri,170561,2014,79.5
2148,Cornudella de Montsant,430496,2014,49.7
2149,Creixell,430509,2014,377.1
2150,Crespià,170583,2014,12.9
2151,"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,2014,64.2
2152,Cubelles,080749,2014,1242.0
2153,Cubells,250791,2014,15.7
2154,Cunit,430516,2014,1107.8
2155,Darnius,170600,2014,34.8
2156,Das,170617,2014,3.8
2157,Deltebre,439018,2014,1147.7
2158,Dosrius,080752,2014,407.5
2159,Duesaigües,430537,2014,18.9
2160,"Escala, l'",170622,2014,643.6
2161,Esparreguera,080765,2014,2037.2
2162,Espinelves,170638,2014,5.7
2163,"Espluga Calba, l'",250812,2014,19.5
2164,"Espluga de Francolí, l'",430542,2014,258.0
2165,Esplugues de Llobregat,080771,2014,3275.7
2166,Espolla,170643,2014,13.6
2167,Esponellà,170656,2014,17.8
2168,Espot,250827,2014,11.0
2169,"Espunyola, l'",080787,2014,15.5
2170,"Esquirol, l'",082541,2014,105.8
2171,Estamariu,250886,2014,4.5
2172,"Estany, l'",080790,2014,22.4
2173,Estaràs,250851,2014,6.1
2174,Esterri d'Àneu,250864,2014,34.3
2175,Esterri de Cardós,250870,2014,3.1
2176,Falset,430555,2014,228.2
2177,"Far d'Empordà, el",170059,2014,36.3
2178,Farrera,250899,2014,7.3
2179,"Fatarella, la",430568,2014,54.8
2180,"Febró, la",430574,2014,3.5
2181,Figaró-Montmany,081347,2014,110.7
2182,Fígols,080804,2014,2.1
2183,Fígols i Alinyà,259084,2014,5.6
2184,"Figuera, la",430580,2014,4.6
2185,Figueres,170669,2014,4439.5
2186,Figuerola del Camp,430593,2014,24.3
2187,Flaçà,170675,2014,64.8
2188,Flix,430607,2014,220.9
2189,"Floresta, la",250925,2014,6.7
2190,Fogars de la Selva,080826,2014,153.7
2191,Fogars de Montclús,080811,2014,24.9
2192,Foixà,170681,2014,8.3
2193,Folgueroles,080832,2014,97.3
2194,Fondarella,250931,2014,29.7
2195,Fonollosa,080847,2014,93.8
2196,Fontanals de Cerdanya,170694,2014,14.6
2197,Fontanilles,170708,2014,7.5
2198,Fontcoberta,170715,2014,46.8
2199,Font-rubí,080850,2014,91.2
2200,Foradada,250946,2014,7.1
2201,Forallac,179026,2014,93.0
2202,Forès,430614,2014,1.3
2203,Fornells de la Selva,170736,2014,83.4
2204,Fortià,170741,2014,34.1
2205,"Franqueses del Vallès, les",080863,2014,1673.7
2206,Freginals,430629,2014,25.6
2207,"Fuliola, la",250962,2014,88.5
2208,Fulleda,250978,2014,3.1
2209,Gaià,080902,2014,12.5
2210,"Galera, la",430635,2014,54.4
2211,Gallifa,080879,2014,11.7
2212,Gandesa,430640,2014,210.0
2213,Garcia,430653,2014,30.6
2214,"Garidells, els",430666,2014,6.3
2215,"Garriga, la",080885,2014,1089.3
2216,Garrigàs,170754,2014,18.7
2217,Garrigoles,170767,2014,6.8
2218,Garriguella,170773,2014,44.9
2219,Gavà,080898,2014,3691.0
2220,Gavet de la Conca,250984,2014,7.6
2221,Gelida,080919,2014,549.0
2222,Ger,170789,2014,5.8
2223,Gimenells i el Pla de la Font,259123,2014,38.1
2224,Ginestar,430672,2014,58.9
2225,Girona,170792,2014,7237.8
2226,Gironella,080924,2014,372.8
2227,Gisclareny,080930,2014,0.0
2228,Godall,430688,2014,42.8
2229,Golmés,250997,2014,101.0
2230,Gombrèn,170806,2014,13.7
2231,Gósol,251001,2014,7.5
2232,"Granada, la",080945,2014,149.8
2233,"Granadella, la",251018,2014,25.3
2234,Granera,080958,2014,3.5
2235,"Granja d'Escarp, la",251023,2014,52.2
2236,Granollers,080961,2014,5686.2
2237,Granyanella,251039,2014,7.4
2238,Granyena de les Garrigues,251057,2014,8.8
2239,Granyena de Segarra,251044,2014,3.2
2240,Gratallops,430691,2014,10.2
2241,Gualba,080977,2014,82.0
2242,Gualta,170813,2014,20.8
2243,Guardiola de Berguedà,080996,2014,84.1
2244,"Guiamets, els",430705,2014,18.9
2245,Guils de Cerdanya,170828,2014,16.7
2246,Guimerà,251095,2014,13.0
2247,"Guingueta d'Àneu, la",259031,2014,10.3
2248,Guissona,251109,2014,249.1
2249,Guixers,251116,2014,4.1
2250,Gurb,081000,2014,84.9
2251,Horta de Sant Joan,430712,2014,64.0
2252,"Hospitalet de Llobregat, l'",081017,2014,22300.3
2253,"Hostalets de Pierola, els",081629,2014,227.6
2254,Hostalric,170834,2014,334.3
2255,Igualada,081022,2014,3640.2
2256,Isona i Conca Dellà,251155,2014,43.8
2257,Isòvol,170849,2014,5.7
2258,Ivars d'Urgell,251137,2014,60.2
2259,Ivars de Noguera,251121,2014,18.9
2260,Ivorra,251142,2014,2.4
2261,Jafre,170852,2014,16.2
2262,"Jonquera, la",170865,2014,255.3
2263,Jorba,081038,2014,52.6
2264,Josa i Tuixén,259101,2014,2.3
2265,Juià,170871,2014,12.8
2266,Juncosa,251180,2014,11.2
2267,Juneda,251193,2014,166.2
2268,Les,251214,2014,41.9
2269,Linyola,251229,2014,146.3
2270,"Llacuna, la",081043,2014,59.8
2271,Lladó,170887,2014,34.4
2272,Lladorre,251235,2014,3.9
2273,Lladurs,251240,2014,5.1
2274,"Llagosta, la",081056,2014,1344.6
2275,Llagostera,170890,2014,620.6
2276,Llambilles,170904,2014,24.3
2277,Llanars,170911,2014,19.8
2278,Llançà,170926,2014,306.5
2279,Llardecans,251253,2014,10.1
2280,Llavorsí,251266,2014,16.2
2281,Lleida,251207,2014,11243.3
2282,Llers,170932,2014,56.7
2283,Lles de Cerdanya,251272,2014,7.8
2284,Lliçà d'Amunt,081075,2014,1157.0
2285,Lliçà de Vall,081081,2014,478.7
2286,Llimiana,251288,2014,9.4
2287,Llinars del Vallès,081069,2014,805.7
2288,Llívia,170947,2014,41.8
2289,"Lloar, el",430727,2014,5.9
2290,Llobera,251291,2014,6.6
2291,Llorac,430733,2014,6.9
2292,Llorenç del Penedès,430748,2014,172.2
2293,Lloret de Mar,170950,2014,2602.7
2294,"Llosses, les",170963,2014,12.0
2295,Lluçà,081094,2014,12.0
2296,Maçanet de Cabrenys,171024,2014,32.3
2297,Maçanet de la Selva,171030,2014,738.5
2298,Madremanya,170979,2014,9.0
2299,Maià de Montcal,170985,2014,23.2
2300,Maials,251333,2014,33.7
2301,Maldà,251305,2014,14.1
2302,Malgrat de Mar,081108,2014,1576.3
2303,Malla,081115,2014,4.7
2304,Manlleu,081120,2014,2126.2
2305,Manresa,081136,2014,6812.3
2306,Marçà,430764,2014,34.7
2307,Margalef,430751,2014,6.6
2308,Marganell,082423,2014,19.8
2309,Martorell,081141,2014,2668.6
2310,Martorelles,081154,2014,430.1
2311,Mas de Barberans,430770,2014,28.9
2312,Masarac,171002,2014,14.7
2313,Masdenverge,430786,2014,95.9
2314,"Masies de Roda, les",081167,2014,42.0
2315,"Masies de Voltregà, les",081173,2014,222.3
2316,Masllorenç,430799,2014,52.2
2317,"Masnou, el",081189,2014,1493.8
2318,"Masó, la",430803,2014,15.8
2319,Maspujols,430810,2014,35.3
2320,Masquefa,081192,2014,762.9
2321,"Masroig, el",430825,2014,30.3
2322,Massalcoreig,251312,2014,16.9
2323,Massanes,171019,2014,79.3
2324,Massoteres,251327,2014,7.8
2325,Matadepera,081206,2014,270.4
2326,Mataró,081213,2014,13641.1
2327,Mediona,081228,2014,173.9
2328,Menàrguens,251348,2014,58.1
2329,Meranges,170998,2014,2.2
2330,Mieres,171058,2014,14.7
2331,"Milà, el",430831,2014,5.8
2332,Miralcamp,251351,2014,72.8
2333,Miravet,430846,2014,35.9
2334,Moià,081385,2014,343.0
2335,"Molar, el",430859,2014,10.8
2336,Molins de Rei,081234,2014,1664.2
2337,Mollerussa,251370,2014,1083.6
2338,Mollet de Peralada,171061,2014,7.3
2339,Mollet del Vallès,081249,2014,5372.9
2340,Molló,171077,2014,11.1
2341,"Molsosa, la",251364,2014,4.3
2342,Monistrol de Calders,081287,2014,49.8
2343,Monistrol de Montserrat,081271,2014,245.4
2344,Montagut i Oix,171096,2014,47.1
2345,Montblanc,430862,2014,500.2
2346,Montbrió del Camp,430884,2014,210.8
2347,Montcada i Reixac,081252,2014,3177.1
2348,Montclar,081304,2014,3.4
2349,Montellà i Martinet,251399,2014,32.1
2350,Montesquiu,081311,2014,59.4
2351,Montferrer i Castellbò,251403,2014,36.5
2352,Montferri,430897,2014,41.9
2353,Montgai,251386,2014,19.6
2354,Montgat,081265,2014,815.5
2355,Montmajor,081326,2014,20.2
2356,Montmaneu,081332,2014,2.8
2357,"Montmell, el",430901,2014,182.8
2358,Montmeló,081350,2014,728.8
2359,Montoliu de Lleida,251425,2014,24.2
2360,Montoliu de Segarra,251410,2014,8.7
2361,Montornès de Segarra,251431,2014,3.9
2362,Montornès del Vallès,081363,2014,1744.6
2363,Mont-ral,430918,2014,9.4
2364,Mont-ras,171100,2014,97.5
2365,Mont-roig del Camp,430923,2014,1094.4
2366,Montseny,081379,2014,15.3
2367,Móra d'Ebre,430939,2014,481.9
