,Literal,Codi,Any,Renda
687,Olesa de Montserrat,081477,2011,16.0
688,Oliana,251497,2011,15.6
689,Olivella,081483,2011,14.2
690,Olost,081496,2011,12.8
691,Olot,171143,2011,14.3
692,Os de Balaguer,251569,2011,14.7
693,Palafolls,081555,2011,11.4
694,Palafrugell,171175,2011,17.0
695,Palamós,171181,2011,17.8
696,"Palau d'Anglesola, el",251581,2011,18.7
697,Palau-saverdera,171208,2011,17.7
698,Palau-solità i Plegamans,081568,2011,15.0
699,"Pallaresos, els",431009,2011,16.9
700,Pallejà,081574,2011,16.9
701,"Palma de Cervelló, la",089058,2011,14.9
702,Pals,171241,2011,16.9
703,"Papiol, el",081580,2011,9.6
704,Parets del Vallès,081593,2011,14.1
705,Perafort,431037,2011,13.6
706,Peralada,171328,2011,13.8
707,"Perelló, el",431042,2011,15.1
708,Piera,081614,2011,16.1
709,Pineda de Mar,081635,2011,15.2
710,"Pla de Santa Maria, el",431080,2011,17.2
711,"Pla del Penedès, el",081640,2011,12.2
712,"Planes d'Hostoles, les",171334,2011,14.1
713,"Pobla de Claramunt, la",081653,2011,15.1
714,"Pobla de Lillet, la",081666,2011,15.9
715,"Pobla de Mafumet, la",431093,2011,14.9
716,"Pobla de Montornès, la",431114,2011,13.4
717,"Pobla de Segur, la",251713,2011,14.5
718,Polinyà,081672,2011,15.6
719,"Pont de Suert, el",251734,2011,15.2
720,"Pont de Vilomara i Rocafort, el",081825,2011,16.6
721,Ponts,251728,2011,15.7
722,Porqueres,171371,2011,20.4
723,Portbou,171387,2011,17.3
724,"Prat de Llobregat, el",081691,2011,16.3
725,Prats de Lluçanès,081712,2011,13.0
726,Premià de Dalt,082303,2011,14.2
727,Premià de Mar,081727,2011,16.5
728,"Preses, les",171390,2011,13.6
729,Puigcerdà,171411,2011,17.1
730,Puigpelat,431191,2011,14.2
731,Puig-reig,081751,2011,14.6
732,Puigverd de Lleida,251826,2011,17.0
733,Quart,171426,2011,14.8
734,Reus,431233,2011,15.0
735,Riba-roja d'Ebre,431251,2011,16.3
736,Ribes de Freser,171450,2011,15.6
737,Riells i Viabrea,171463,2011,15.0
738,"Riera de Gaià, la",431264,2011,15.0
739,Ripoll,171479,2011,13.4
740,Ripollet,081803,2011,17.8
741,Riudarenes,171485,2011,13.0
742,Riudecanyes,431270,2011,17.9
743,Riudecols,431286,2011,14.8
744,Riudellots de la Selva,171501,2011,15.3
745,Riudoms,431299,2011,13.0
746,"Roca del Vallès, la",081810,2011,11.0
747,Roda de Berà,431310,2011,14.1
748,Roda de Ter,081831,2011,15.6
749,Roquetes,431331,2011,16.7
750,Roses,171523,2011,16.5
751,Rosselló,251898,2011,12.1
752,Rubí,081846,2011,11.3
753,Sabadell,081878,2011,15.3
754,Sallent,081918,2011,15.9
755,Salou,439057,2011,19.1
756,Salt,171557,2011,17.4
757,Sant Adrià de Besòs,081944,2011,16.2
758,Sant Andreu de la Barca,081960,2011,12.0
759,Sant Andreu de Llavaneres,081976,2011,16.7
760,Sant Antoni de Vilamajor,081982,2011,15.6
761,Sant Bartomeu del Grau,081995,2011,17.1
762,Sant Boi de Llobregat,082009,2011,22.4
763,Sant Carles de la Ràpita,431362,2011,16.0
764,Sant Cebrià de Vallalta,082037,2011,17.8
765,Sant Celoni,082021,2011,15.1
766,Sant Climent de Llobregat,082042,2011,13.6
767,Sant Cugat del Vallès,082055,2011,18.1
768,Sant Esteve de Palautordera,082074,2011,15.7
769,Sant Esteve Sesrovires,082080,2011,17.8
770,Sant Feliu de Codines,082107,2011,19.3
771,Sant Feliu de Guíxols,171609,2011,17.7
772,Sant Feliu de Llobregat,082114,2011,14.0
773,Sant Feliu de Pallerols,171616,2011,14.4
774,Sant Fost de Campsentelles,082093,2011,16.2
775,Sant Fruitós de Bages,082135,2011,15.0
776,Sant Gregori,171637,2011,11.5
777,Sant Guim de Freixenet,251924,2011,13.7
778,Sant Hilari Sacalm,171642,2011,17.4
779,Sant Hipòlit de Voltregà,082153,2011,15.5
780,Sant Iscle de Vallalta,081939,2011,19.1
781,Sant Jaume d'Enveja,439023,2011,16.4
782,Sant Jaume dels Domenys,431378,2011,16.7
783,Sant Joan de les Abadesses,171674,2011,17.7
784,Sant Joan de Vilatorrada,082188,2011,16.3
785,Sant Joan Despí,082172,2011,24.2
786,Sant Joan les Fonts,171851,2011,16.9
787,Sant Julià de Ramis,171693,2011,15.1
788,Sant Julià de Vilatorta,082205,2011,13.7
789,Sant Julià del Llor i Bonmatí,179032,2011,15.3
790,Sant Just Desvern,082212,2011,14.8
791,Sant Llorenç d'Hortons,082227,2011,15.8
792,Sant Llorenç Savall,082233,2011,16.2
793,Sant Martí de Centelles,082248,2011,16.0
794,Sant Martí de Tous,082264,2011,17.5
795,Sant Martí Sarroca,082270,2011,11.1
796,Sant Pere de Ribes,082310,2011,18.7
797,Sant Pere de Riudebitlles,082325,2011,14.5
798,Sant Pere de Torelló,082331,2011,15.9
799,Sant Pere de Vilamajor,082346,2011,21.7
800,Sant Pere Pescador,171788,2011,17.3
801,Sant Pol de Mar,082359,2011,15.1
802,Sant Quintí de Mediona,082362,2011,14.2
803,Sant Quirze de Besora,082378,2011,21.1
804,Sant Quirze del Vallès,082384,2011,17.0
805,Sant Sadurní d'Anoia,082401,2011,15.2
806,Sant Salvador de Guardiola,080983,2011,12.0
807,Sant Vicenç de Castellet,082628,2011,18.2
808,Sant Vicenç de Montalt,082649,2011,14.1
809,Sant Vicenç de Torelló,082652,2011,13.9
810,Sant Vicenç dels Horts,082634,2011,14.5
811,Santa Bàrbara,431384,2011,14.0
812,Santa Coloma de Cervelló,082444,2011,16.0
813,Santa Coloma de Farners,171805,2011,16.7
814,Santa Coloma de Gramenet,082457,2011,17.0
815,Santa Coloma de Queralt,431397,2011,11.9
816,Santa Cristina d'Aro,171812,2011,15.9
817,Santa Eugènia de Berga,082460,2011,17.4
818,Santa Eulàlia de Riuprimer,082476,2011,15.2
819,Santa Eulàlia de Ronçana,082482,2011,12.9
820,Santa Margarida de Montbui,082508,2011,17.7
821,Santa Margarida i els Monjos,082515,2011,16.1
822,Santa Maria d'Oló,082589,2011,15.5
823,Santa Maria de Palautordera,082592,2011,17.7
824,Santa Oliva,431401,2011,13.0
825,Santa Pau,171848,2011,17.0
826,Santa Perpètua de Mogoda,082606,2011,-51.3
827,Santa Susanna,082613,2011,14.7
828,Santpedor,081923,2011,11.7
829,Sarral,431423,2011,16.1
830,Sarrià de Ter,171864,2011,15.3
831,"Secuita, la",431444,2011,11.9
832,"Selva del Camp, la",431457,2011,13.6
833,"Sénia, la",430445,2011,16.4
834,Sentmenat,082671,2011,14.7
835,Serinyà,171903,2011,17.7
836,Seròs,252043,2011,13.8
837,"Seu d'Urgell, la",252038,2011,14.7
838,Seva,082690,2011,12.8
839,Sils,171931,2011,16.1
840,Sitges,082704,2011,16.5
841,Solsona,252075,2011,16.6
842,Sort,252094,2011,16.1
843,Soses,252108,2011,13.6
844,Subirats,082732,2011,23.4
845,Súria,082747,2011,12.3
846,Taradell,082785,2011,16.1
847,Tarragona,431482,2011,22.0
848,Tàrrega,252173,2011,13.3
849,Teià,082819,2011,13.7
850,Térmens,252206,2011,13.9
851,Terrassa,082798,2011,13.1
852,Tiana,082824,2011,15.8
853,Tivissa,431508,2011,15.1
854,Tona,082830,2011,14.4
855,Torà,252234,2011,15.3
856,Tordera,082845,2011,12.8
857,Torelló,082858,2011,17.4
858,"Torre de Claramunt, la",082861,2011,11.9
859,Torredembarra,431536,2011,17.5
860,Torrefarrera,252287,2011,12.4
861,Torregrossa,252304,2011,13.0
862,Torrelavit,082877,2011,13.9
863,Torrelles de Foix,082883,2011,13.3
864,Torrelles de Llobregat,082896,2011,14.4
865,Torres de Segre,252326,2011,11.9
866,Torroella de Montgrí,171997,2011,17.3
867,Tortosa,431554,2011,10.2
868,Tossa de Mar,172023,2011,15.2
869,Tremp,252347,2011,17.0
870,Ullà,172044,2011,17.4
871,Ullastrell,082900,2011,14.5
872,Ulldecona,431567,2011,16.1
873,Vacarisses,082917,2011,13.8
874,"Vall d'en Bas, la",172076,2011,16.1
875,"Vall de Bianya, la",172082,2011,17.0
876,"Vall de Boí, la",250432,2011,16.3
877,Vallbona d'Anoia,082922,2011,20.9
878,Vallfogona de Balaguer,252402,2011,15.1
879,Vallgorguina,082943,2011,14.5
880,Vallirana,082956,2011,14.3
881,Vallmoll,431606,2011,14.3
882,Vallromanes,082969,2011,16.0
883,Valls,431613,2011,14.3
884,Vandellòs i l'Hospitalet de l'Infant,431628,2011,13.9
885,"Vendrell, el",431634,2011,18.8
886,Verdú,252424,2011,16.7
887,Verges,172116,2011,17.7
888,Vic,082981,2011,16.3
889,Vidreres,172137,2011,14.4
890,Vielha e Mijaran,252430,2011,16.2
891,Vilablareix,172155,2011,13.2
892,Viladecans,083015,2011,15.0
893,Viladecavalls,083008,2011,15.3
894,Viladrau,172207,2011,12.8
895,Vilafant,172214,2011,13.5
896,Vilafranca del Penedès,083054,2011,13.1
897,Vilajuïga,172235,2011,18.6
898,Vilallonga del Camp,431665,2011,15.7
899,Vilamalla,172266,2011,13.2
900,Vilanova de Bellpuig,252483,2011,13.3
901,Vilanova de la Barca,252542,2011,19.6
902,Vilanova del Camí,083020,2011,19.6
903,Vilanova del Vallès,089024,2011,17.4
904,Vilanova i la Geltrú,083073,2011,17.4
905,Vila-rodona,431704,2011,14.9
906,Vila-seca,431711,2011,12.9
907,Vilassar de Dalt,082140,2011,16.7
908,Abrera,080018,2012,16.8
909,Agramunt,250030,2012,13.3
910,Aiguafreda,080142,2012,15.8
911,Aitona,250387,2012,11.2
912,Albatàrrec,250077,2012,11.9
913,Albesa,250083,2012,12.7
914,Albinyana,430022,2012,12.7
915,Alcanar,430043,2012,11.4
916,Alcarràs,250117,2012,11.9
917,Alcoletge,250122,2012,13.2
918,Alcover,430056,2012,13.7
919,"Aldea, l'",439044,2012,11.3
920,Alella,080039,2012,21.2
921,Alfarràs,250138,2012,12.4
922,Alforja,430094,2012,12.3
923,Alguaire,250169,2012,13.9
924,Almacelles,250194,2012,12.3
925,Almenar,250215,2012,12.6
926,Almoster,430115,2012,17.7
927,Alp,170062,2012,12.9
928,Alpicat,250236,2012,16.5
929,Altafulla,430120,2012,17.2
930,Amer,170078,2012,15.2
931,"Ametlla de Mar, l'",430136,2012,10.2
932,"Ametlla del Vallès, l'",080057,2012,19.2
933,"Ampolla, l'",439060,2012,11.0
934,Amposta,430141,2012,11.7
935,Anglès,170084,2012,13.8
936,Anglesola,250273,2012,13.7
937,Arbeca,250292,2012,11.9
938,"Arboç, l'",430167,2012,12.5
939,Arbúcies,170097,2012,12.7
940,Arenys de Mar,080060,2012,15.2
941,Arenys de Munt,080076,2012,15.7
942,Argentona,080095,2012,16.4
943,Artés,080109,2012,14.8
944,Artesa de Lleida,250334,2012,13.9
945,Artesa de Segre,250349,2012,12.3
946,Ascó,430192,2012,15.8
947,Avià,080116,2012,16.1
948,Avinyó,080121,2012,14.8
949,Avinyonet de Puigventós,170123,2012,15.3
950,Avinyonet del Penedès,080137,2012,16.9
951,Badalona,080155,2012,15.0
952,Badia del Vallès,089045,2012,11.9
953,Bagà,080168,2012,15.8
954,Balaguer,250404,2012,12.5
955,Balenyà,080174,2012,14.9
956,Balsareny,080180,2012,15.1
957,Banyeres del Penedès,430206,2012,14.6
958,Banyoles,170157,2012,14.7
959,Barberà del Vallès,082520,2012,16.1
960,Barcelona,080193,2012,19.0
961,Batea,430228,2012,11.7
962,Begues,080207,2012,19.9
963,Begur,170139,2012,14.1
964,Bellcaire d'Urgell,250479,2012,13.3
965,Bell-lloc d'Urgell,250485,2012,13.5
966,Bellpuig,250501,2012,13.0
967,Bellvei,430249,2012,12.0
968,Bellver de Cerdanya,250518,2012,14.0
969,Bellvís,250523,2012,13.0
970,Benavent de Segrià,250539,2012,15.2
971,Benissanet,430265,2012,11.3
972,Berga,080229,2012,15.3
973,Besalú,170195,2012,15.4
974,Bescanó,170209,2012,15.7
975,"Bisbal d'Empordà, la",170221,2012,12.4
976,"Bisbal del Penedès, la",430287,2012,12.7
977,Blanes,170237,2012,12.7
978,Bordils,170255,2012,15.4
979,"Borges Blanques, les",250582,2012,13.7
980,"Borges del Camp, les",430311,2012,13.8
981,Bossòst,250595,2012,13.8
982,Botarell,430332,2012,14.0
983,Breda,170274,2012,14.2
984,"Bruc, el",080253,2012,16.9
985,Cabra del Camp,430363,2012,12.2
986,Cabrera d'Anoia,080288,2012,14.1
987,Cabrera de Mar,080291,2012,19.8
988,Cabrils,080305,2012,20.8
989,Cadaqués,170329,2012,10.6
990,Calaf,080312,2012,14.1
991,Calafell,430379,2012,13.3
992,Caldes d'Estrac,080327,2012,16.7
993,Caldes de Malavella,170335,2012,14.5
994,Caldes de Montbui,080333,2012,16.4
995,Calella,080351,2012,13.2
996,Calldetenes,080370,2012,15.7
997,Callús,080386,2012,15.0
998,Camarles,439039,2012,10.5
999,Cambrils,430385,2012,13.8
1000,Campdevànol,170366,2012,16.2
1001,Camprodon,170391,2012,15.0
1002,Canet de Mar,080403,2012,14.9
1003,"Canonja, la",439076,2012,12.6
1004,Canovelles,080410,2012,13.0
1005,Cànoves i Samalús,080425,2012,16.4
1006,Canyelles,080431,2012,15.8
1007,Capellades,080446,2012,16.0
1008,Cardedeu,080462,2012,16.2
1009,Cardona,080478,2012,16.0
1010,Cassà de la Selva,170448,2012,14.8
1011,Casserres,080497,2012,15.7
1012,Castellar del Vallès,080517,2012,16.4
1013,Castellbell i el Vilar,080538,2012,14.5
1014,Castellbisbal,080543,2012,16.3
1015,Castelldans,250674,2012,17.1
1016,Castelldefels,080569,2012,14.3
1017,Castellet i la Gornal,080581,2012,14.1
1018,Castellgalí,080615,2012,16.4
1019,Castellnou de Bages,080620,2012,9.1
1020,Castelló d'Empúries,170470,2012,11.9
1021,Castell-Platja d'Aro,170486,2012,16.5
1022,Castellterçol,080641,2012,18.1
1023,Castellvell del Camp,430424,2012,15.2
1024,Castellví de la Marca,080654,2012,17.2
1025,Castellví de Rosanes,080667,2012,16.9
1026,"Catllar, el",430430,2012,14.6
1027,"Cellera de Ter, la",171899,2012,14.7
1028,Celrà,170499,2012,15.6
1029,Centelles,080673,2012,16.7
1030,Cercs,082687,2012,17.2
1031,Cerdanyola del Vallès,082665,2012,18.5
1032,Cervelló,080689,2012,13.8
1033,Cervera,250729,2012,18.5
1034,Collbató,080692,2012,11.1
1035,Constantí,430477,2012,12.2
1036,Corbera d'Ebre,430483,2012,16.9
1037,Corbera de Llobregat,080728,2012,13.1
1038,Corbins,250788,2012,14.6
1039,Corçà,170577,2012,15.3
1040,Cornellà de Llobregat,080734,2012,16.1
1041,Cornellà del Terri,170561,2012,14.0
1042,Creixell,430509,2012,15.4
1043,Cubelles,080749,2012,13.3
1044,Cunit,430516,2012,10.5
1045,Deltebre,439018,2012,16.1
1046,Dosrius,080752,2012,11.8
1047,"Escala, l'",170622,2012,15.5
1048,Esparreguera,080765,2012,14.0
1049,"Espluga de Francolí, l'",430542,2012,18.2
1050,Esplugues de Llobregat,080771,2012,16.4
1051,"Esquirol, l'",082541,2012,13.4
1052,Falset,430555,2012,13.7
1053,Figaró-Montmany,081347,2012,12.0
1054,Figueres,170669,2012,16.1
1055,Flaçà,170675,2012,16.6
1056,Flix,430607,2012,14.9
1057,Fogars de la Selva,080826,2012,17.1
1058,Folgueroles,080832,2012,18.4
1059,Fonollosa,080847,2012,15.0
1060,Fontcoberta,170715,2012,18.9
1061,Font-rubí,080850,2012,15.1
1062,Forallac,179026,2012,17.6
1063,Fornells de la Selva,170736,2012,15.0
1064,"Franqueses del Vallès, les",080863,2012,12.0
1065,"Fuliola, la",250962,2012,12.7
1066,Gandesa,430640,2012,16.6
1067,"Garriga, la",080885,2012,16.7
1068,Gavà,080898,2012,14.4
1069,Gelida,080919,2012,12.4
1070,Gimenells i el Pla de la Font,259123,2012,15.5
1071,Ginestar,430672,2012,15.5
1072,Girona,170792,2012,13.3
1073,Gironella,080924,2012,16.1
1074,Golmés,250997,2012,15.6
1075,"Granada, la",080945,2012,15.6
1076,"Granja d'Escarp, la",251023,2012,13.8
1077,Granollers,080961,2012,16.8
1078,Gualba,080977,2012,12.3
1079,Guissona,251109,2012,14.9
1080,Gurb,081000,2012,13.9
1081,Horta de Sant Joan,430712,2012,14.1
1082,"Hospitalet de Llobregat, l'",081017,2012,15.1
1083,"Hostalets de Pierola, els",081629,2012,13.5
1084,Hostalric,170834,2012,13.3
1085,Igualada,081022,2012,10.9
1086,Isona i Conca Dellà,251155,2012,12.9
1087,Ivars d'Urgell,251137,2012,13.1
1088,"Jonquera, la",170865,2012,14.5
1089,Juneda,251193,2012,13.3
1090,Linyola,251229,2012,13.2
1091,"Llagosta, la",081056,2012,14.4
1092,Llagostera,170890,2012,14.7
1093,Llançà,170926,2012,16.8
1094,Lleida,251207,2012,18.1
1095,Llers,170932,2012,15.1
1096,Lliçà d'Amunt,081075,2012,12.5
1097,Lliçà de Vall,081081,2012,14.0
1098,Llinars del Vallès,081069,2012,9.4
1099,Llívia,170947,2012,12.3
1100,Llorenç del Penedès,430748,2012,13.5
1101,Lloret de Mar,170950,2012,13.8
1102,Maçanet de la Selva,171030,2012,15.1
1103,Malgrat de Mar,081108,2012,14.5
1104,Manlleu,081120,2012,16.7
1105,Manresa,081136,2012,11.6
1106,Martorell,081141,2012,15.7
1107,Martorelles,081154,2012,18.2
1108,Masdenverge,430786,2012,15.1
1109,"Masies de Voltregà, les",081173,2012,21.8
1110,"Masnou, el",081189,2012,13.9
1111,Masquefa,081192,2012,13.0
1112,Matadepera,081206,2012,13.6
1113,Mataró,081213,2012,14.8
1114,Mediona,081228,2012,18.3
1115,Miralcamp,251351,2012,12.7
1116,Moià,081385,2012,15.1
1117,Molins de Rei,081234,2012,14.4
1118,Mollerussa,251370,2012,14.8
1119,Mollet del Vallès,081249,2012,14.0
1120,Monistrol de Montserrat,081271,2012,15.3
1121,Montblanc,430862,2012,12.0
1122,Montbrió del Camp,430884,2012,18.1
1123,Montcada i Reixac,081252,2012,11.4
1124,Montferrer i Castellbò,251403,2012,15.8
1125,Montgat,081265,2012,14.8
1126,"Montmell, el",430901,2012,14.9
1127,Montmeló,081350,2012,11.4
1128,Montornès del Vallès,081363,2012,14.6
1129,Mont-ras,171100,2012,12.7
1130,Mont-roig del Camp,430923,2012,14.6
1131,Móra d'Ebre,430939,2012,12.9
1132,Móra la Nova,430944,2012,15.4
1133,"Morell, el",430957,2012,15.6
1134,Naut Aran,250254,2012,14.4
1135,Navarcles,081402,2012,15.0
1136,Navàs,081419,2012,15.0
1137,Navata,171117,2012,15.9
1138,Òdena,081430,2012,15.4
1139,Olèrdola,081458,2012,14.6
1140,Olesa de Bonesvalls,081461,2012,14.9
1141,Olesa de Montserrat,081477,2012,16.0
1142,Oliana,251497,2012,14.8
1143,Olivella,081483,2012,13.6
1144,Olost,081496,2012,11.7
1145,Olot,171143,2012,13.4
1146,Os de Balaguer,251569,2012,14.5
1147,Palafolls,081555,2012,10.5
1148,Palafrugell,171175,2012,16.7
1149,Palamós,171181,2012,16.7
1150,"Palau d'Anglesola, el",251581,2012,17.9
1151,Palau-saverdera,171208,2012,17.2
1152,Palau-solità i Plegamans,081568,2012,13.8
1153,"Pallaresos, els",431009,2012,16.0
1154,Pallejà,081574,2012,16.2
1155,"Palma de Cervelló, la",089058,2012,14.0
1156,Pals,171241,2012,15.3
1157,"Papiol, el",081580,2012,10.2
1158,Parets del Vallès,081593,2012,14.0
1159,Perafort,431037,2012,12.9
1160,Peralada,171328,2012,13.5
1161,"Perelló, el",431042,2012,14.6
1162,Piera,081614,2012,15.5
1163,Pineda de Mar,081635,2012,14.7
1164,"Pla de Santa Maria, el",431080,2012,16.7
1165,"Pla del Penedès, el",081640,2012,11.4
1166,"Planes d'Hostoles, les",171334,2012,13.3
1167,"Pobla de Claramunt, la",081653,2012,15.0
1168,"Pobla de Lillet, la",081666,2012,15.5
1169,"Pobla de Mafumet, la",431093,2012,14.3
1170,"Pobla de Montornès, la",431114,2012,12.9
1171,"Pobla de Segur, la",251713,2012,14.0
1172,Polinyà,081672,2012,14.6
1173,"Pont de Suert, el",251734,2012,14.5
1174,"Pont de Vilomara i Rocafort, el",081825,2012,16.1
1175,Ponts,251728,2012,15.0
1176,Porqueres,171371,2012,19.4
1177,Portbou,171387,2012,16.5
1178,"Prat de Llobregat, el",081691,2012,15.7
1179,Prats de Lluçanès,081712,2012,12.0
1180,Premià de Dalt,082303,2012,13.8
1181,Premià de Mar,081727,2012,16.1
1182,"Preses, les",171390,2012,13.6
1183,Puigcerdà,171411,2012,16.0
1184,Puigpelat,431191,2012,13.5
1185,Puig-reig,081751,2012,13.6
1186,Puigverd de Lleida,251826,2012,16.1
1187,Quart,171426,2012,14.7
1188,Reus,431233,2012,14.9
1189,Riba-roja d'Ebre,431251,2012,15.7
1190,Ribes de Freser,171450,2012,15.0
1191,Riells i Viabrea,171463,2012,14.4
1192,"Riera de Gaià, la",431264,2012,14.3
1193,Ripoll,171479,2012,13.6
1194,Ripollet,081803,2012,16.8
1195,Riudarenes,171485,2012,12.9
1196,Riudecanyes,431270,2012,17.3
1197,Riudecols,431286,2012,14.0
1198,Riudellots de la Selva,171501,2012,14.8
1199,Riudoms,431299,2012,12.7
1200,"Roca del Vallès, la",081810,2012,10.5
1201,Roda de Berà,431310,2012,13.5
1202,Roda de Ter,081831,2012,14.9
1203,Roquetes,431331,2012,15.9
1204,Roses,171523,2012,16.1
1205,Rosselló,251898,2012,11.4
1206,Rubí,081846,2012,10.8
1207,Sabadell,081878,2012,14.7
1208,Sallent,081918,2012,15.3
1209,Salou,439057,2012,17.8
1210,Salt,171557,2012,16.9
1211,Sant Adrià de Besòs,081944,2012,15.5
1212,Sant Andreu de la Barca,081960,2012,11.6
1213,Sant Andreu de Llavaneres,081976,2012,16.6
1214,Sant Antoni de Vilamajor,081982,2012,14.9
1215,Sant Bartomeu del Grau,081995,2012,16.6
1216,Sant Boi de Llobregat,082009,2012,20.6
1217,Sant Carles de la Ràpita,431362,2012,15.6
1218,Sant Cebrià de Vallalta,082037,2012,17.2
1219,Sant Celoni,082021,2012,14.7
1220,Sant Climent de Llobregat,082042,2012,12.7
1221,Sant Cugat del Vallès,082055,2012,17.4
1222,Sant Esteve de Palautordera,082074,2012,15.0
1223,Sant Esteve Sesrovires,082080,2012,17.5
1224,Sant Feliu de Codines,082107,2012,16.8
1225,Sant Feliu de Guíxols,171609,2012,16.8
1226,Sant Feliu de Llobregat,082114,2012,13.5
1227,Sant Feliu de Pallerols,171616,2012,13.9
1228,Sant Fost de Campsentelles,082093,2012,15.4
1229,Sant Fruitós de Bages,082135,2012,14.9
1230,Sant Gregori,171637,2012,11.1
1231,Sant Guim de Freixenet,251924,2012,13.3
1232,Sant Hilari Sacalm,171642,2012,16.2
1233,Sant Hipòlit de Voltregà,082153,2012,15.1
1234,Sant Iscle de Vallalta,081939,2012,18.4
1235,Sant Jaume d'Enveja,439023,2012,16.0
1236,Sant Jaume dels Domenys,431378,2012,16.0
1237,Sant Joan de les Abadesses,171674,2012,17.0
1238,Sant Joan de Vilatorrada,082188,2012,16.3
1239,Sant Joan Despí,082172,2012,21.4
1240,Sant Joan les Fonts,171851,2012,16.2
1241,Sant Julià de Ramis,171693,2012,15.0
1242,Sant Julià de Vilatorta,082205,2012,13.1
1243,Sant Julià del Llor i Bonmatí,179032,2012,14.8
1244,Sant Just Desvern,082212,2012,14.1
1245,Sant Llorenç d'Hortons,082227,2012,15.0
1246,Sant Llorenç Savall,082233,2012,16.2
1247,Sant Martí de Centelles,082248,2012,16.0
1248,Sant Martí de Tous,082264,2012,16.5
1249,Sant Martí Sarroca,082270,2012,10.6
1250,Sant Pere de Ribes,082310,2012,17.5
1251,Sant Pere de Riudebitlles,082325,2012,13.6
1252,Sant Pere de Torelló,082331,2012,15.5
1253,Sant Pere de Vilamajor,082346,2012,20.6
1254,Sant Pere Pescador,171788,2012,16.7
1255,Sant Pol de Mar,082359,2012,14.5
1256,Sant Quintí de Mediona,082362,2012,13.6
1257,Sant Quirze de Besora,082378,2012,20.3
1258,Sant Quirze del Vallès,082384,2012,16.9
1259,Sant Sadurní d'Anoia,082401,2012,14.7
1260,Sant Salvador de Guardiola,080983,2012,11.7
1261,Sant Vicenç de Castellet,082628,2012,17.7
1262,Sant Vicenç de Montalt,082649,2012,13.6
1263,Sant Vicenç de Torelló,082652,2012,13.4
1264,Sant Vicenç dels Horts,082634,2012,14.0
1265,Santa Bàrbara,431384,2012,13.1
1266,Santa Coloma de Cervelló,082444,2012,15.7
1267,Santa Coloma de Farners,171805,2012,17.2
1268,Santa Coloma de Gramenet,082457,2012,16.4
1269,Santa Coloma de Queralt,431397,2012,11.4
1270,Santa Cristina d'Aro,171812,2012,15.3
1271,Santa Eugènia de Berga,082460,2012,17.7
1272,Santa Eulàlia de Riuprimer,082476,2012,14.8
1273,Santa Eulàlia de Ronçana,082482,2012,12.4
1274,Santa Margarida de Montbui,082508,2012,16.3
1275,Santa Margarida i els Monjos,082515,2012,15.8
1276,Santa Maria d'Oló,082589,2012,14.5
1277,Santa Maria de Palautordera,082592,2012,17.0
1278,Santa Oliva,431401,2012,12.9
1279,Santa Pau,171848,2012,16.3
1280,Santa Perpètua de Mogoda,082606,2012,17.0
1281,Santa Susanna,082613,2012,14.3
1282,Santpedor,081923,2012,11.0
1283,Sarral,431423,2012,15.1
1284,Sarrià de Ter,171864,2012,14.5
1285,"Secuita, la",431444,2012,11.8
1286,"Selva del Camp, la",431457,2012,12.9
1287,"Sénia, la",430445,2012,15.8
1288,Sentmenat,082671,2012,14.4
1289,Serinyà,171903,2012,16.3
1290,Seròs,252043,2012,13.3
1291,"Seu d'Urgell, la",252038,2012,14.3
1292,Seva,082690,2012,13.0
1293,Sils,171931,2012,15.7
1294,Sitges,082704,2012,16.2
1295,Solsona,252075,2012,16.2
1296,Sort,252094,2012,15.1
1297,Soses,252108,2012,13.1
1298,Subirats,082732,2012,21.7
1299,Súria,082747,2012,11.8
1300,Taradell,082785,2012,15.4
1301,Tarragona,431482,2012,20.4
1302,Tàrrega,252173,2012,12.7
1303,Teià,082819,2012,15.7
1304,Térmens,252206,2012,14.3
1305,Terrassa,082798,2012,12.6
1306,Tiana,082824,2012,15.6
1307,Tivissa,431508,2012,14.4
1308,Tona,082830,2012,13.7
1309,Torà,252234,2012,15.2
1310,Tordera,082845,2012,12.8
1311,Torelló,082858,2012,16.7
1312,"Torre de Claramunt, la",082861,2012,11.8
1313,Torredembarra,431536,2012,17.3
1314,Torrefarrera,252287,2012,12.1
1315,Torregrossa,252304,2012,12.5
1316,Torrelavit,082877,2012,13.4
1317,Torrelles de Foix,082883,2012,12.3
1318,Torrelles de Llobregat,082896,2012,14.2
1319,Torres de Segre,252326,2012,12.0
1320,Torroella de Montgrí,171997,2012,16.5
1321,Tortosa,431554,2012,10.0
1322,Tossa de Mar,172023,2012,14.9
1323,Tremp,252347,2012,16.3
1324,Ullà,172044,2012,17.3
1325,Ullastrell,082900,2012,15.5
1326,Ulldecona,431567,2012,15.3
1327,Vacarisses,082917,2012,14.1
1328,"Vall d'en Bas, la",172076,2012,15.7
1329,"Vall de Bianya, la",172082,2012,16.4
1330,"Vall de Boí, la",250432,2012,15.4
1331,Vallbona d'Anoia,082922,2012,18.7
1332,Vallfogona de Balaguer,252402,2012,14.4
1333,Vallgorguina,082943,2012,14.2
1334,Vallirana,082956,2012,13.5
1335,Vallmoll,431606,2012,14.1
1336,Vallromanes,082969,2012,15.2
1337,Valls,431613,2012,14.0
1338,Vandellòs i l'Hospitalet de l'Infant,431628,2012,13.6
