,Literal,Codi,Any,Renda
163,Ginestar,430672,2010,0.0
164,Girona,170792,2010,17.1
165,Gironella,080924,2010,15.2
166,Golmés,250997,2010,14.1
167,"Granada, la",080945,2010,17.3
168,"Granja d'Escarp, la",251023,2010,0.0
169,Granollers,080961,2010,16.3
170,Gualba,080977,2010,16.7
171,Guissona,251109,2010,14.1
172,Gurb,081000,2010,17.7
173,Horta de Sant Joan,430712,2010,12.1
174,"Hospitalet de Llobregat, l'",081017,2010,15.2
175,"Hostalets de Pierola, els",081629,2010,14.4
176,Hostalric,170834,2010,14.4
177,Igualada,081022,2010,15.6
178,Isona i Conca Dellà,251155,2010,14.3
179,Ivars d'Urgell,251137,2010,13.9
180,"Jonquera, la",170865,2010,12.4
181,Juneda,251193,2010,13.5
182,Linyola,251229,2010,13.3
183,"Llagosta, la",081056,2010,14.4
184,Llagostera,170890,2010,14.3
185,Llançà,170926,2010,14.4
186,Lleida,251207,2010,15.7
187,Llers,170932,2010,21.1
188,Lliçà d'Amunt,081075,2010,16.8
189,Lliçà de Vall,081081,2010,18.1
190,Llinars del Vallès,081069,2010,16.3
191,Llívia,170947,2010,13.1
192,Llorenç del Penedès,430748,2010,15.1
193,Lloret de Mar,170950,2010,9.9
194,Maçanet de la Selva,171030,2010,12.8
195,Malgrat de Mar,081108,2010,13.8
196,Manlleu,081120,2010,14.0
197,Manresa,081136,2010,16.0
198,Martorell,081141,2010,15.3
199,Martorelles,081154,2010,16.9
200,Masdenverge,430786,2010,11.8
201,"Masies de Voltregà, les",081173,2010,15.6
202,"Masnou, el",081189,2010,19.5
203,Masquefa,081192,2010,15.2
204,Matadepera,081206,2010,25.1
205,Mataró,081213,2010,14.8
206,Mediona,081228,2010,14.0
207,Miralcamp,251351,2010,13.5
208,Moià,081385,2010,15.3
209,Molins de Rei,081234,2010,19.7
210,Mollerussa,251370,2010,13.7
211,Mollet del Vallès,081249,2010,15.5
212,Monistrol de Montserrat,081271,2010,15.1
213,Montblanc,430862,2010,15.4
214,Montbrió del Camp,430884,2010,15.5
215,Montcada i Reixac,081252,2010,15.9
216,Montferrer i Castellbò,251403,2010,12.1
217,Montgat,081265,2010,18.9
218,"Montmell, el",430901,2010,12.1
219,Montmeló,081350,2010,16.1
220,Montornès del Vallès,081363,2010,15.3
221,Mont-ras,171100,2010,14.6
222,Mont-roig del Camp,430923,2010,12.8
223,Móra d'Ebre,430939,2010,14.7
224,Móra la Nova,430944,2010,13.3
225,"Morell, el",430957,2010,15.2
226,Naut Aran,250254,2010,13.2
227,Navarcles,081402,2010,15.6
228,Navàs,081419,2010,15.4
229,Navata,171117,2010,15.8
230,Òdena,081430,2010,15.8
231,Olèrdola,081458,2010,16.2
232,Olesa de Bonesvalls,081461,2010,16.0
233,Olesa de Montserrat,081477,2010,15.6
234,Oliana,251497,2010,14.7
235,Olivella,081483,2010,15.7
236,Olost,081496,2010,15.7
237,Olot,171143,2010,15.3
238,Os de Balaguer,251569,2010,0.0
239,Palafolls,081555,2010,14.2
240,Palafrugell,171175,2010,12.9
241,Palamós,171181,2010,14.2
242,"Palau d'Anglesola, el",251581,2010,15.3
243,Palau-saverdera,171208,2010,11.8
244,Palau-solità i Plegamans,081568,2010,16.8
245,"Pallaresos, els",431009,2010,18.2
246,Pallejà,081574,2010,18.3
247,"Palma de Cervelló, la",089058,2010,17.8
248,Pals,171241,2010,16.0
249,"Papiol, el",081580,2010,17.5
250,Parets del Vallès,081593,2010,17.0
251,Perafort,431037,2010,15.5
252,Peralada,171328,2010,16.6
253,"Perelló, el",431042,2010,9.9
254,Piera,081614,2010,14.3
255,Pineda de Mar,081635,2010,13.6
256,"Pla de Santa Maria, el",431080,2010,13.4
257,"Pla del Penedès, el",081640,2010,16.1
258,"Planes d'Hostoles, les",171334,2010,15.7
259,"Pobla de Claramunt, la",081653,2010,15.0
260,"Pobla de Lillet, la",081666,2010,16.6
261,"Pobla de Mafumet, la",431093,2010,12.5
262,"Pobla de Montornès, la",431114,2010,14.5
263,"Pobla de Segur, la",251713,2010,15.4
264,Polinyà,081672,2010,15.9
265,"Pont de Suert, el",251734,2010,15.6
266,"Pont de Vilomara i Rocafort, el",081825,2010,13.3
267,Ponts,251728,2010,14.5
268,Porqueres,171371,2010,15.7
269,Portbou,171387,2010,15.7
270,"Prat de Llobregat, el",081691,2010,16.3
271,Prats de Lluçanès,081712,2010,15.1
272,Premià de Dalt,082303,2010,21.0
273,Premià de Mar,081727,2010,17.5
274,"Preses, les",171390,2010,15.5
275,Puigcerdà,171411,2010,13.5
276,Puigpelat,431191,2010,14.4
277,Puig-reig,081751,2010,16.1
278,Puigverd de Lleida,251826,2010,14.1
279,Quart,171426,2010,18.4
280,Reus,431233,2010,14.4
281,Riba-roja d'Ebre,431251,2010,14.0
282,Ribes de Freser,171450,2010,16.9
283,Riells i Viabrea,171463,2010,15.4
284,"Riera de Gaià, la",431264,2010,15.4
285,Ripoll,171479,2010,15.9
286,Ripollet,081803,2010,15.5
287,Riudarenes,171485,2010,14.6
288,Riudecanyes,431270,2010,15.7
289,Riudecols,431286,2010,13.4
290,Riudellots de la Selva,171501,2010,17.5
291,Riudoms,431299,2010,13.2
292,"Roca del Vallès, la",081810,2010,17.9
293,Roda de Berà,431310,2010,15.2
294,Roda de Ter,081831,2010,15.1
295,Roquetes,431331,2010,13.8
296,Roses,171523,2010,11.0
297,Rosselló,251898,2010,15.0
298,Rubí,081846,2010,15.6
299,Sabadell,081878,2010,16.6
300,Sallent,081918,2010,15.8
301,Salou,439057,2010,11.9
302,Salt,171557,2010,11.5
303,Sant Adrià de Besòs,081944,2010,15.3
304,Sant Andreu de la Barca,081960,2010,15.9
305,Sant Andreu de Llavaneres,081976,2010,19.5
306,Sant Antoni de Vilamajor,081982,2010,18.0
307,Sant Bartomeu del Grau,081995,2010,0.0
308,Sant Boi de Llobregat,082009,2010,16.0
309,Sant Carles de la Ràpita,431362,2010,11.9
310,Sant Cebrià de Vallalta,082037,2010,17.1
311,Sant Celoni,082021,2010,15.6
312,Sant Climent de Llobregat,082042,2010,17.4
313,Sant Cugat del Vallès,082055,2010,23.4
314,Sant Esteve de Palautordera,082074,2010,17.0
315,Sant Esteve Sesrovires,082080,2010,17.7
316,Sant Feliu de Codines,082107,2010,15.7
317,Sant Feliu de Guíxols,171609,2010,14.1
318,Sant Feliu de Llobregat,082114,2010,18.0
319,Sant Feliu de Pallerols,171616,2010,15.6
320,Sant Fost de Campsentelles,082093,2010,17.7
321,Sant Fruitós de Bages,082135,2010,17.6
322,Sant Gregori,171637,2010,17.7
323,Sant Guim de Freixenet,251924,2010,14.4
324,Sant Hilari Sacalm,171642,2010,14.3
325,Sant Hipòlit de Voltregà,082153,2010,15.7
326,Sant Iscle de Vallalta,081939,2010,15.3
327,Sant Jaume d'Enveja,439023,2010,11.9
328,Sant Jaume dels Domenys,431378,2010,14.1
