,Any,Literal,Codi,Connectivitat
153,2012,Sant Salvador de Guardiola,080983,19.4815
154,2012,Esplugues de Llobregat,080771,93.0514
155,2012,Lluçà,081094,2.3242
156,2012,Meranges,170998,1.7513
157,2012,Mont-ras,171100,10.0052
158,2012,Masarac,171002,2.8207
159,2012,Montagut i Oix,171096,4.2795000000000005
160,2012,Maçanet de Cabrenys,171024,9.0829
161,2012,Mollet de Peralada,171061,1.5584
162,2012,Maçanet de la Selva,171030,76.3723
163,2012,Molló,171077,4.789
164,2012,Llívia,170947,11.2575
165,2012,Mieres,171058,2.573
166,2012,Massanes,171019,2.4757000000000002
167,2012,Maià de Montcal,170985,4.9286
168,2012,Madremanya,170979,1.2002000000000002
169,2012,Llanars,170911,5.890499999999999
170,2012,Lloret de Mar,170950,168.9807
171,2012,Llers,170932,11.8416
172,2012,Llançà,170926,66.955
173,2012,Navata,171117,5.745
174,2012,les Planes d'Hostoles,171334,13.5129
175,2012,Llambilles,170904,4.5093
176,2012,Llagostera,170890,27.785500000000003
177,2012,les Llosses,170963,0.38539999999999996
178,2012,Pardines,171254,1.0909
179,2012,Castelló d'Empúries,170470,94.19460000000001
180,2012,Lladó,170887,4.6345
181,2012,les Preses,171390,13.7239
182,2012,Portbou,171387,31.6924
183,2012,Porqueres,171371,28.175399999999996
184,2012,Pontós,171365,2.0771
185,2012,Pont de Molins,171352,2.3185
186,2012,Planoles,171349,7.9181
187,2012,Peralada,171328,22.6466
188,2012,Pedret i Marzà,171292,1.7108
189,2012,la Pera,171306,3.4797000000000002
190,2012,Parlavà,171267,6.3032
191,2012,Ogassa,171122,2.976
192,2012,Pals,171241,52.4279
193,2012,Palol de Revardit,171236,2.1559
194,2012,Palau-sator,171215,4.1065
195,2012,Palau-saverdera,171208,6.5097000000000005
196,2012,Palau de Santa Eulàlia,171194,1.413
197,2012,Palamós,171181,63.543400000000005
198,2012,Palafrugell,171175,125.1824
199,2012,Osor,171169,2.9609
200,2012,Ordis,171156,2.7514
201,2012,Olot,171143,146.62869999999998
202,2012,Pau,171289,4.535
203,2012,Castellfollit de la Roca,170464,3.6621
204,2012,Das,170617,8.024799999999999
205,2012,Darnius,170600,3.1942
206,2012,Crespià,170583,2.2075
207,2012,Corçà,170577,5.457000000000001
208,2012,Cornellà del Terri,170561,18.487499999999997
209,2012,Colomers,170558,1.9705000000000001
210,2012,Colera,170545,6.9418
211,2012,Siurana,170524,2.8937999999999997
212,2012,Cistella,170519,2.2485
213,2012,Celrà,170499,24.3815
214,2012,Castell-Platja d'Aro,170486,150.215
215,2012,Espolla,170643,3.4695
216,2012,Cassà de la Selva,170448,39.059799999999996
217,2012,Queralbs,170433,2.8837
218,2012,Capmany,170427,5.8164
219,2012,Cantallops,170412,4.868
220,2012,Canet d'Adri,170405,3.2077
221,2012,Camprodon,170391,24.210900000000002
222,2012,Campllong,170388,7.5828
223,2012,el Port de la Selva,171404,19.9467
224,2012,Torroella de Fluvià,171984,7.2288
225,2012,Cervià de Ter,170502,8.6375
226,2012,Garrigàs,170754,2.9802999999999997
227,2012,la Jonquera,170865,33.2482
228,2012,Jafre,170852,3.8704
229,2012,Isòvol,170849,3.7083
230,2012,Hostalric,170834,20.7903
231,2012,Guils de Cerdanya,170828,12.422
232,2012,Gualta,170813,2.2256
233,2012,Gombrèn,170806,2.7388000000000003
234,2012,Girona,170792,292.1911
235,2012,Ger,170789,9.2707
236,2012,l'Escala,170622,123.1422
237,2012,Garrigoles,170767,1.3144
238,2012,Espinelves,170638,3.4284999999999997
239,2012,Fortià,170741,6.1336
240,2012,Fornells de la Selva,170736,17.3021
241,2012,Fontcoberta,170715,8.838899999999999
242,2012,Fontanilles,170708,3.26
243,2012,Fontanals de Cerdanya,170694,14.8613
244,2012,Foixà,170681,5.1508
245,2012,Flaçà,170675,9.5488
246,2012,Figueres,170669,107.38730000000001
247,2012,Esponellà,170656,2.4923
248,2012,Juià,170871,2.404
249,2012,Garriguella,170773,7.8848
250,2012,Tortellà,172001,3.9130000000000003
251,2012,Verges,172116,8.2665
252,2012,Ventalló,172109,9.5473
253,2012,Vall-llobrega,172095,2.5579
254,2012,la Vall de Bianya,172082,8.1021
255,2012,la Vall d'en Bas,172076,22.3663
256,2012,Urús,172060,4.238099999999999
257,2012,Ullastret,172057,2.5722
258,2012,Ullà,172044,10.5632
259,2012,Ultramort,172039,2.5257
260,2012,Serinyà,171903,6.8225999999999996
261,2012,Toses,172018,3.6692
262,2012,Vilabertran,172142,3.535
263,2012,Torroella de Montgrí,171997,79.6309
264,2012,Vallcebre,082938,2.8235
265,2012,Torrent,171978,1.6291
266,2012,Campelles,170372,6.2054
267,2012,la Tallada d'Empordà,171959,10.2571
268,2012,Susqueda,171946,0.1328
269,2012,Sils,171931,23.029400000000003
270,2012,Setcases,171925,2.7362
271,2012,Terrades,171962,1.5528
272,2012,Tossa de Mar,172023,45.22280000000001
273,2012,Vilamacolum,172253,2.9254
274,2012,Abella de la Conca,250019,0.9672
275,2012,Sant Julià del Llor i Bonmatí,179032,7.1808
276,2012,Forallac,179026,10.604800000000001
277,2012,"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,6.8087
278,2012,Biure,172348,1.686
279,2012,Vilobí d'Onyar,172333,12.363100000000001
280,2012,Vilopriu,172327,2.9273
281,2012,Vila-sacra,172305,10.2309
282,2012,Vilanant,172288,2.0281
283,2012,Vidrà,172121,2.9118
284,2012,Vilamalla,172266,31.7003
285,2012,Vidreres,172137,56.0509
286,2012,Vilallonga de Ter,172240,7.0576
287,2012,Vilajuïga,172235,7.9334
288,2012,Vilaür,172229,2.9913
289,2012,Vilafant,172214,25.648899999999998
290,2012,Viladrau,172207,18.3161
291,2012,Vilademuls,172180,3.5149999999999997
292,2012,Viladamat,172174,8.67
293,2012,Viladasens,172168,1.4687
294,2012,Vilablareix,172155,16.656
295,2012,la Cellera de Ter,171899,8.7675
296,2012,Vilamaniscle,172272,2.3857
297,2012,Riumors,171518,2.3491
298,2012,Sant Gregori,171637,27.8052
299,2012,Sant Ferriol,171621,2.5693
300,2012,Sant Feliu de Pallerols,171616,12.5607
301,2012,Sant Feliu de Guíxols,171609,86.8788
302,2012,Sant Feliu de Buixalleu,171595,14.332799999999999
303,2012,Sant Climent Sescebes,171582,5.2038
304,2012,Sant Andreu Salou,171576,0.5213
305,2012,Salt,171557,41.6298
306,2012,Sales de Llierca,171544,1.2199
307,2012,Serra de Daró,171910,4.5998
308,2012,Roses,171523,125.2718
309,2012,Sant Jordi Desvalls,171668,7.205
310,2012,Riudellots de la Selva,171501,24.7905
311,2012,Riudaura,171498,2.5494
312,2012,Riudarenes,171485,31.7315
313,2012,Ripoll,171479,63.850699999999996
314,2012,Riells i Viabrea,171463,7.3486
315,2012,Ribes de Freser,171450,11.6506
316,2012,Regencós,171447,2.1765
317,2012,Rabós,171432,1.2929
318,2012,Quart,171426,12.695599999999999
319,2012,Rupià,171539,1.4489
320,2012,Sant Mori,171766,1.3784
321,2012,la Selva de Mar,171886,1.8071000000000002
322,2012,"Saus, Camallera i Llampaies",171870,8.030100000000001
323,2012,Sarrià de Ter,171864,28.3226
324,2012,Sant Joan les Fonts,171851,21.1874
325,2012,Santa Pau,171848,10.4626
326,2012,Sant Aniol de Finestres,171833,1.8293
327,2012,Santa Llogaia d'Àlguema,171827,1.6974
328,2012,Santa Cristina d'Aro,171812,60.2583
329,2012,Santa Coloma de Farners,171805,54.726200000000006
330,2012,Sant Hilari Sacalm,171642,26.3485
331,2012,Sant Pau de Segúries,171772,7.5136
332,2012,Sant Jaume de Llierca,171655,8.1713
333,2012,Sant Miquel de Fluvià,171753,6.7294
334,2012,Sant Miquel de Campmajor,171740,0.3832
335,2012,Sant Martí Vell,171735,2.1858
336,2012,Sant Martí de Llémena,171729,3.7347
337,2012,Sant Llorenç de la Muga,171714,2.9873000000000003
338,2012,Vallfogona de Ripollès,171707,1.4955
339,2012,Sant Julià de Ramis,171693,27.3722
340,2012,Sant Joan de Mollet,171680,4.1754
341,2012,Sant Joan de les Abadesses,171674,16.716700000000003
342,2012,Puigcerdà,171411,58.57640000000001
343,2012,Sant Pere Pescador,171788,19.3549
344,2012,Sant Jaume de Frontanyà,082166,0.7732
345,2012,Sant Martí Sarroca,082270,13.2783
346,2012,Sant Martí de Tous,082264,5.550800000000001
347,2012,Sant Martí d'Albars,082251,0.9129
348,2012,Sant Martí de Centelles,082248,11.941699999999999
349,2012,Sant Llorenç Savall,082233,10.5403
350,2012,Sant Llorenç d'Hortons,082227,17.6077
351,2012,Sant Just Desvern,082212,73.0659
