,Literal,Codi,Any,Demanda
755,Viladecavalls,083008,2019,3
756,Vilafant,172214,2019,3
757,Vilafranca del Penedès,083054,2019,160
758,Vilagrassa,252445,2019,1
759,Vilallonga del Camp,431665,2019,1
760,Vilamalla,172266,2019,2
761,Vilanova de la Barca,252542,2019,1
762,Vilanova del Camí,083020,2019,22
763,Vilanova i la Geltrú,083073,2019,168
764,Vila-seca,431711,2019,56
765,Vilassar de Dalt,082140,2019,6
766,Vilassar de Mar,082191,2019,63
767,Vilobí d'Onyar,172333,2019,1
768,Vinebre,431779,2019,1
769,Abrera,080018,2018,41
770,Agramunt,250030,2018,4
771,Aiguamúrcia,430017,2018,2
772,Albatàrrec,250077,2018,1
773,Albinyana,430022,2018,1
774,Alcanar,430043,2018,3
775,Alcarràs,250117,2018,19
776,Alcoletge,250122,2018,6
777,Alcover,430056,2018,3
778,"Aldea, l'",439044,2018,2
779,Alella,080039,2018,26
780,Alfarràs,250138,2018,1
781,Alforja,430094,2018,1
782,Alguaire,250169,2018,2
783,Alió,430108,2018,1
784,Almacelles,250194,2018,3
785,Almenar,250215,2018,1
786,Almoster,430115,2018,1
787,Altafulla,430120,2018,15
788,"Ametlla del Vallès, l'",080057,2018,2
789,"Ampolla, l'",439060,2018,2
790,Amposta,430141,2018,63
791,Anglès,170084,2018,4
792,"Arboç, l'",430167,2018,8
793,Arbúcies,170097,2018,3
794,Arenys de Mar,080060,2018,17
795,Arenys de Munt,080076,2018,4
796,Argentona,080095,2018,13
797,"Armentera, l'",170118,2018,10
798,Artés,080109,2018,14
799,Avinyó,080121,2018,6
800,Avinyonet del Penedès,080137,2018,2
801,Badalona,080155,2018,733
802,Badia del Vallès,089045,2018,34
803,Baix Pallars,250390,2018,4
804,Balaguer,250404,2018,54
805,Balenyà,080174,2018,1
806,Balsareny,080180,2018,3
807,Banyeres del Penedès,430206,2018,4
808,Banyoles,170157,2018,30
809,Barbens,250411,2018,1
810,Barberà del Vallès,082520,2018,138
811,Barcelona,080193,2018,7406
812,Batea,430228,2018,2
813,Begues,080207,2018,15
814,Begur,170139,2018,1
815,Bellpuig,250501,2018,8
816,Bellvei,430249,2018,1
817,Bellvís,250523,2018,1
818,Berga,080229,2018,10
819,Besalú,170195,2018,2
820,Bescanó,170209,2018,2
821,Bigues i Riells,080235,2018,4
822,"Bisbal del Penedès, la",430287,2018,1
823,"Bisbal d'Empordà, la",170221,2018,17
824,Blanes,170237,2018,80
825,Bolvir,170242,2018,2
826,"Borges Blanques, les",250582,2018,6
827,Bot,430326,2018,1
828,Cabra del Camp,430363,2018,1
829,Cabrera d'Anoia,080288,2018,1
830,Cabrera de Mar,080291,2018,14
831,Cabrils,080305,2018,1
832,Cadaqués,170329,2018,9
833,Calaf,080312,2018,10
834,Calafell,430379,2018,32
835,Caldes de Malavella,170335,2018,2
836,Caldes de Montbui,080333,2018,23
837,Calella,080351,2018,16
838,Calldetenes,080370,2018,3
839,Callús,080386,2018,9
840,Cambrils,430385,2018,115
841,Campdevànol,170366,2018,5
842,Campllong,170388,2018,1
843,Canet de Mar,080403,2018,7
844,"Canonja, la",439076,2018,11
845,Canovelles,080410,2018,47
846,Capellades,080446,2018,4
847,Cardedeu,080462,2018,15
848,Cardona,080478,2018,1
849,Cassà de la Selva,170448,2018,10
850,Castellar del Vallès,080517,2018,68
851,Castellbell i el Vilar,080538,2018,2
852,Castellbisbal,080543,2018,54
853,Castellcir,080556,2018,1
854,Castelldefels,080569,2018,178
855,Castellet i la Gornal,080581,2018,2
856,Castellfollit de la Roca,170464,2018,4
857,Castellgalí,080615,2018,2
858,Castelló d'Empúries,170470,2018,7
859,Castell-Platja d'Aro,170486,2018,9
860,Castellterçol,080641,2018,6
861,Castellví de la Marca,080654,2018,1
862,"Cellera de Ter, la",171899,2018,1
863,Celrà,170499,2018,4
864,Centelles,080673,2018,17
865,Cerdanyola del Vallès,082665,2018,188
866,Cervelló,080689,2018,6
867,Cervera,250729,2018,10
868,Constantí,430477,2018,20
869,Corbera de Llobregat,080728,2018,10
870,Corbera d'Ebre,430483,2018,1
871,Cornellà de Llobregat,080734,2018,643
872,Cubelles,080749,2018,19
873,Cunit,430516,2018,31
874,Deltebre,439018,2018,2
875,Esparreguera,080765,2018,10
876,"Espluga Calba, l'",250812,2018,1
877,"Espluga de Francolí, l'",430542,2018,5
878,Esplugues de Llobregat,080771,2018,274
879,Esterri d'Àneu,250864,2018,1
880,Falset,430555,2018,4
881,Figueres,170669,2018,99
882,Flix,430607,2018,1
883,Font-rubí,080850,2018,1
884,Forallac,179026,2018,3
885,Fornells de la Selva,170736,2018,3
886,"Franqueses del Vallès, les",080863,2018,103
887,"Fuliola, la",250962,2018,1
888,Gandesa,430640,2018,9
889,"Garriga, la",080885,2018,6
890,Garriguella,170773,2018,1
891,Gavà,080898,2018,229
892,Gelida,080919,2018,8
893,Ginestar,430672,2018,1
894,Girona,170792,2018,215
895,Golmés,250997,2018,1
896,"Granada, la",080945,2018,5
897,Granollers,080961,2018,226
898,"Guiamets, els",430705,2018,1
899,Guissona,251109,2018,20
900,Horta de Sant Joan,430712,2018,1
901,"Hospitalet de Llobregat, l'",081017,2018,1328
902,"Hostalets de Pierola, els",081629,2018,1
903,Igualada,081022,2018,109
904,Isona i Conca Dellà,251155,2018,2
905,Jafre,170852,2018,2
906,Juneda,251193,2018,1
907,Linyola,251229,2018,4
908,"Llagosta, la",081056,2018,6
909,Llagostera,170890,2018,10
910,Llançà,170926,2018,8
911,Lleida,251207,2018,667
912,Lliçà d'Amunt,081075,2018,5
913,Lliçà de Vall,081081,2018,1
914,Llinars del Vallès,081069,2018,3
915,Llívia,170947,2018,2
916,Llorenç del Penedès,430748,2018,2
917,Lloret de Mar,170950,2018,17
918,Maçanet de la Selva,171030,2018,5
919,Malgrat de Mar,081108,2018,25
920,Manlleu,081120,2018,13
921,Manresa,081136,2018,270
922,Martorell,081141,2018,117
923,Masdenverge,430786,2018,1
924,"Masnou, el",081189,2018,181
925,Masquefa,081192,2018,3
926,Massalcoreig,251312,2018,1
927,Matadepera,081206,2018,4
928,Mataró,081213,2018,444
929,Mieres,171058,2018,5
930,Moià,081385,2018,3
931,Molins de Rei,081234,2018,117
932,Mollerussa,251370,2018,87
933,Mollet del Vallès,081249,2018,212
934,Monistrol de Montserrat,081271,2018,11
935,Montblanc,430862,2018,20
936,Montbrió del Camp,430884,2018,1
937,Montcada i Reixac,081252,2018,95
938,Montellà i Martinet,251399,2018,4
939,Montesquiu,081311,2018,1
940,Montgat,081265,2018,92
941,"Montmell, el",430901,2018,1
942,Montmeló,081350,2018,22
943,Montornès del Vallès,081363,2018,21
944,Mont-ras,171100,2018,2
945,Mont-roig del Camp,430923,2018,10
946,Móra d'Ebre,430939,2018,13
947,Móra la Nova,430944,2018,6
948,"Morell, el",430957,2018,3
949,Navarcles,081402,2018,2
950,Navàs,081419,2018,8
951,Olèrdola,081458,2018,2
952,Olesa de Montserrat,081477,2018,16
953,Oliana,251497,2018,1
954,Olivella,081483,2018,2
955,Olost,081496,2018,2
956,Olot,171143,2018,203
957,Pacs del Penedès,081542,2018,1
958,Palafolls,081555,2018,8
959,Palafrugell,171175,2018,121
960,Palamós,171181,2018,6
961,Palau-solità i Plegamans,081568,2018,5
962,"Pallaresos, els",431009,2018,2
963,Pallejà,081574,2018,6
964,"Papiol, el",081580,2018,2
965,Parets del Vallès,081593,2018,27
966,Perafort,431037,2018,1
967,Piera,081614,2018,6
968,Pineda de Mar,081635,2018,11
969,"Pla de Santa Maria, el",431080,2018,3
970,"Pla del Penedès, el",081640,2018,5
971,Planoles,171349,2018,3
972,"Pobla de Mafumet, la",431093,2018,3
973,"Pobla de Segur, la",251713,2018,28
974,Polinyà,081672,2018,42
975,"Pont de Suert, el",251734,2018,12
976,"Pont de Vilomara i Rocafort, el",081825,2018,10
977,"Port de la Selva, el",171404,2018,1
978,Portbou,171387,2018,1
979,Prades,431166,2018,1
980,"Prat de Llobregat, el",081691,2018,351
981,Pratdip,431188,2018,1
982,"Prats de Rei, els",081705,2018,1
983,Prats i Sansor,251752,2018,1
984,Premià de Dalt,082303,2018,29
985,Premià de Mar,081727,2018,19
986,"Preses, les",171390,2018,12
987,Puigcerdà,171411,2018,15
988,Puigpelat,431191,2018,1
989,Quart,171426,2018,5
990,Rasquera,431212,2018,1
991,Reus,431233,2018,277
992,Rialp,251832,2018,10
993,Riells i Viabrea,171463,2018,1
994,"Riera de Gaià, la",431264,2018,1
995,Ripoll,171479,2018,34
996,Ripollet,081803,2018,75
997,Riudecols,431286,2018,1
998,Riudellots de la Selva,171501,2018,1
999,Riudoms,431299,2018,5
1000,"Roca del Vallès, la",081810,2018,2
1001,Roda de Berà,431310,2018,5
1002,Roda de Ter,081831,2018,11
1003,Roses,171523,2018,26
1004,Rubí,081846,2018,43
1005,Sabadell,081878,2018,925
1006,Sallent,081918,2018,9
1007,Salou,439057,2018,77
1008,Salt,171557,2018,180
1009,Sant Adrià de Besòs,081944,2018,194
1010,Sant Andreu de la Barca,081960,2018,102
1011,Sant Andreu de Llavaneres,081976,2018,2
1012,Sant Antoni de Vilamajor,081982,2018,2
1013,Sant Boi de Llobregat,082009,2018,279
1014,Sant Carles de la Ràpita,431362,2018,35
1015,Sant Celoni,082021,2018,11
1016,Sant Climent de Llobregat,082042,2018,1
1017,Sant Cugat del Vallès,082055,2018,1411
1018,Sant Esteve Sesrovires,082080,2018,1
1019,Sant Feliu de Codines,082107,2018,1
1020,Sant Feliu de Guíxols,171609,2018,34
1021,Sant Feliu de Llobregat,082114,2018,261
1022,Sant Fost de Campsentelles,082093,2018,8
1023,Sant Fruitós de Bages,082135,2018,10
1024,Sant Gregori,171637,2018,24
1025,Sant Hilari Sacalm,171642,2018,10
1026,Sant Hipòlit de Voltregà,082153,2018,1
1027,Sant Jaume de Llierca,171655,2018,1
1028,Sant Joan de les Abadesses,171674,2018,14
1029,Sant Joan de Vilatorrada,082188,2018,7
1030,Sant Joan Despí,082172,2018,197
1031,Sant Joan les Fonts,171851,2018,5
1032,Sant Julià de Vilatorta,082205,2018,9
1033,Sant Just Desvern,082212,2018,216
1034,Sant Llorenç Savall,082233,2018,4
1035,Sant Martí Sarroca,082270,2018,6
1036,Sant Pere de Ribes,082310,2018,77
1037,Sant Pere de Riudebitlles,082325,2018,2
1038,Sant Pere de Torelló,082331,2018,4
1039,Sant Pere de Vilamajor,082346,2018,1
1040,Sant Pere Sallavinera,081897,2018,1
1041,Sant Pol de Mar,082359,2018,27
1042,Sant Quintí de Mediona,082362,2018,9
1043,Sant Quirze de Besora,082378,2018,1
1044,Sant Quirze del Vallès,082384,2018,74
1045,Sant Sadurní d'Anoia,082401,2018,30
1046,Sant Vicenç de Castellet,082628,2018,10
1047,Sant Vicenç de Montalt,082649,2018,5
1048,Sant Vicenç de Torelló,082652,2018,4
1049,Sant Vicenç dels Horts,082634,2018,58
1050,Santa Bàrbara,431384,2018,1
1051,Santa Coloma de Cervelló,082444,2018,6
1052,Santa Coloma de Farners,171805,2018,33
1053,Santa Coloma de Gramenet,082457,2018,297
1054,Santa Coloma de Queralt,431397,2018,8
1055,Santa Cristina d'Aro,171812,2018,4
1056,Santa Eugènia de Berga,082460,2018,1
1057,Santa Eulàlia de Riuprimer,082476,2018,4
1058,Santa Eulàlia de Ronçana,082482,2018,2
1059,Santa Margarida de Montbui,082508,2018,10
1060,Santa Margarida i els Monjos,082515,2018,41
1061,Santa Maria de Palautordera,082592,2018,1
1062,Santa Perpètua de Mogoda,082606,2018,97
1063,Santa Susanna,082613,2018,1
1064,Santpedor,081923,2018,9
1065,Sarral,431423,2018,2
1066,Sarrià de Ter,171864,2018,6
1067,"Selva del Camp, la",431457,2018,7
1068,Sentmenat,082671,2018,18
1069,"Seu d'Urgell, la",252038,2018,24
1070,Sidamon,252056,2018,2
1071,Sils,171931,2018,3
1072,Sitges,082704,2018,212
1073,Solsona,252075,2018,55
1074,Soriguera,252081,2018,1
1075,Sort,252094,2018,27
1076,Subirats,082732,2018,2
1077,Sudanell,252115,2018,1
1078,Súria,082747,2018,12
1079,Talamanca,082779,2018,1
1080,Talarn,252154,2018,1
1081,Taradell,082785,2018,6
1082,Tarragona,431482,2018,389
1083,Tàrrega,252173,2018,94
1084,Teià,082819,2018,9
1085,Terrassa,082798,2018,1493
1086,Tiana,082824,2018,151
1087,Tivissa,431508,2018,1
1088,Tona,082830,2018,3
1089,Torà,252234,2018,1
1090,Tordera,082845,2018,40
1091,Torelló,082858,2018,45
1092,"Torre de Cabdella, la",252271,2018,2
1093,Torredembarra,431536,2018,18
1094,Torrefarrera,252287,2018,2
1095,Torrelavit,082877,2018,2
1096,Torrelles de Foix,082883,2018,4
1097,Torrelles de Llobregat,082896,2018,12
1098,Torres de Segre,252326,2018,2
1099,Torroella de Montgrí,171997,2018,5
1100,Tortosa,431554,2018,29
1101,Tossa de Mar,172023,2018,2
1102,Tremp,252347,2018,46
1103,Ullastrell,082900,2018,1
1104,Vacarisses,082917,2018,1
1105,Vall de Cardós,259010,2018,1
1106,Vallbona d'Anoia,082922,2018,1
1107,Vallirana,082956,2018,6
1108,Valls,431613,2018,68
1109,"Valls d'Aguilar, les",259062,2018,1
1110,"Valls de Valira, les",252398,2018,1
1111,Vandellòs i l'Hospitalet de l'Infant,431628,2018,8
1112,"Vendrell, el",431634,2018,102
1113,Verdú,252424,2018,1
1114,Verges,172116,2018,1
1115,Vic,082981,2018,205
1116,Vidrà,172121,2018,1
1117,Vidreres,172137,2018,2
1118,Vielha e Mijaran,252430,2018,27
1119,Vilablareix,172155,2018,2
1120,Viladasens,172168,2018,1
1121,Viladecans,083015,2018,376
1122,Viladecavalls,083008,2018,1
1123,Vilafant,172214,2018,2
1124,Vilafranca del Penedès,083054,2018,186
1125,Vilanova de Bellpuig,252483,2018,1
1126,Vilanova del Camí,083020,2018,16
1127,Vilanova del Vallès,089024,2018,1
1128,Vilanova i la Geltrú,083073,2018,174
1129,Vila-rodona,431704,2018,2
1130,Vila-seca,431711,2018,58
1131,Vilassar de Dalt,082140,2018,7
1132,Vilassar de Mar,082191,2018,61
1133,Vilobí d'Onyar,172333,2018,1
1134,Vinyols i els Arcs,431785,2018,2
1135,Abrera,080018,2017,50
1136,Agramunt,250030,2017,9
1137,Agullana,170010,2017,2
1138,Albatàrrec,250077,2017,1
1139,Albesa,250083,2017,1
1140,Albinyana,430022,2017,1
1141,"Albiol, l'",430038,2017,1
1142,Alcanar,430043,2017,2
1143,Alcarràs,250117,2017,14
1144,Alcoletge,250122,2017,17
1145,Alcover,430056,2017,4
1146,"Aldea, l'",439044,2017,2
1147,"Aleixar, l'",430075,2017,1
1148,Alella,080039,2017,32
1149,Alfarràs,250138,2017,2
1150,Alguaire,250169,2017,3
1151,Almacelles,250194,2017,3
1152,Alpicat,250236,2017,5
1153,Alt Àneu,250241,2017,1
1154,Altafulla,430120,2017,18
1155,"Ametlla del Vallès, l'",080057,2017,2
1156,"Ampolla, l'",439060,2017,7
1157,Amposta,430141,2017,28
1158,Anglès,170084,2017,10
1159,Arbeca,250292,2017,1
1160,"Arboç, l'",430167,2017,8
1161,Arenys de Mar,080060,2017,22
1162,Arenys de Munt,080076,2017,2
1163,Argentona,080095,2017,6
1164,"Armentera, l'",170118,2017,9
1165,Artés,080109,2017,15
1166,Avinyó,080121,2017,5
1167,Badalona,080155,2017,762
1168,Badia del Vallès,089045,2017,44
1169,Balaguer,250404,2017,70
1170,Balenyà,080174,2017,2
1171,Balsareny,080180,2017,1
1172,Banyeres del Penedès,430206,2017,2
1173,Banyoles,170157,2017,53
1174,Barberà del Vallès,082520,2017,132
1175,Barcelona,080193,2017,10481
1176,Begues,080207,2017,7
1177,Begur,170139,2017,1
1178,Bell-lloc d'Urgell,250485,2017,2
1179,Bellpuig,250501,2017,11
1180,Bellvei,430249,2017,1
1181,Berga,080229,2017,20
1182,Besalú,170195,2017,2
1183,Bescanó,170209,2017,1
1184,Bigues i Riells,080235,2017,8
1185,"Bisbal del Penedès, la",430287,2017,2
1186,"Bisbal d'Empordà, la",170221,2017,18
1187,Blanes,170237,2017,78
1188,Bolvir,170242,2017,1
1189,"Borges Blanques, les",250582,2017,7
1190,"Borges del Camp, les",430311,2017,1
1191,Bot,430326,2017,2
1192,Botarell,430332,2017,3
1193,Cabrera de Mar,080291,2017,21
1194,Cabrils,080305,2017,3
1195,Calaf,080312,2017,16
1196,Calafell,430379,2017,25
1197,Caldes de Malavella,170335,2017,1
1198,Caldes de Montbui,080333,2017,17
1199,Caldes d'Estrac,080327,2017,1
1200,Calella,080351,2017,18
1201,Calldetenes,080370,2017,2
1202,Callús,080386,2017,15
1203,Camarles,439039,2017,1
1204,Cambrils,430385,2017,135
1205,Campdevànol,170366,2017,4
1206,Canet de Mar,080403,2017,22
1207,"Canonja, la",439076,2017,7
1208,Canovelles,080410,2017,61
1209,Cànoves i Samalús,080425,2017,1
1210,Canyelles,080431,2017,1
1211,Capellades,080446,2017,5
1212,Cardedeu,080462,2017,17
1213,Cardona,080478,2017,3
1214,Carme,080484,2017,2
1215,Cassà de la Selva,170448,2017,20
1216,Castellar del Vallès,080517,2017,52
1217,Castellbisbal,080543,2017,45
1218,Castelldefels,080569,2017,175
1219,Castellfollit de la Roca,170464,2017,4
1220,Castelló d'Empúries,170470,2017,3
1221,Castell-Platja d'Aro,170486,2017,3
1222,"Catllar, el",430430,2017,1
1223,Celrà,170499,2017,2
1224,Centelles,080673,2017,29
1225,Cerdanyola del Vallès,082665,2017,224
1226,Cervelló,080689,2017,5
1227,Cervera,250729,2017,19
1228,Constantí,430477,2017,27
1229,Corbera de Llobregat,080728,2017,20
1230,Cornellà de Llobregat,080734,2017,693
1231,Cornellà del Terri,170561,2017,1
1232,Cubelles,080749,2017,25
1233,Cunit,430516,2017,11
1234,Deltebre,439018,2017,1
1235,Dosrius,080752,2017,2
1236,"Escala, l'",170622,2017,9
1237,Esparreguera,080765,2017,4
1238,"Espluga de Francolí, l'",430542,2017,3
1239,Esplugues de Llobregat,080771,2017,125
1240,Esponellà,170656,2017,1
1241,Espot,250827,2017,1
1242,Esterri d'Àneu,250864,2017,2
1243,Falset,430555,2017,2
1244,Figaró-Montmany,081347,2017,1
1245,Figueres,170669,2017,63
1246,Figuerola del Camp,430593,2017,1
1247,Flix,430607,2017,4
1248,"Floresta, la",250925,2017,1
1249,Fontcoberta,170715,2017,1
1250,Font-rubí,080850,2017,1
1251,"Franqueses del Vallès, les",080863,2017,61
1252,Gandesa,430640,2017,9
1253,"Garriga, la",080885,2017,2
1254,Gavà,080898,2017,294
1255,Gelida,080919,2017,13
1256,Girona,170792,2017,172
1257,Gironella,080924,2017,4
1258,Golmés,250997,2017,1
1259,"Granada, la",080945,2017,5
1260,Granollers,080961,2017,297
1261,"Guingueta d'Àneu, la",259031,2017,1
1262,Guissona,251109,2017,29
1263,Horta de Sant Joan,430712,2017,2
1264,"Hospitalet de Llobregat, l'",081017,2017,1611
1265,Hostalric,170834,2017,5
1266,Igualada,081022,2017,128
1267,"Jonquera, la",170865,2017,1
1268,Les,251214,2017,2
1269,"Llagosta, la",081056,2017,10
1270,Llagostera,170890,2017,8
1271,Llançà,170926,2017,8
1272,Lleida,251207,2017,630
1273,Lliçà d'Amunt,081075,2017,6
1274,Lliçà de Vall,081081,2017,3
1275,Llinars del Vallès,081069,2017,3
1276,Llívia,170947,2017,3
1277,Llorenç del Penedès,430748,2017,1
1278,Lloret de Mar,170950,2017,20
1279,Maçanet de la Selva,171030,2017,6
1280,Malgrat de Mar,081108,2017,43
1281,Manlleu,081120,2017,26
1282,Manresa,081136,2017,264
1283,Martorell,081141,2017,74
1284,Martorelles,081154,2017,2
1285,Masdenverge,430786,2017,1
1286,"Masies de Voltregà, les",081173,2017,3
1287,"Masnou, el",081189,2017,139
1288,Masquefa,081192,2017,2
1289,Matadepera,081206,2017,1
1290,Mataró,081213,2017,506
1291,Mediona,081228,2017,1
1292,Meranges,170998,2017,1
1293,Moià,081385,2017,2
1294,Molins de Rei,081234,2017,178
1295,Mollerussa,251370,2017,94
1296,Mollet del Vallès,081249,2017,271
1297,Monistrol de Calders,081287,2017,1
1298,Monistrol de Montserrat,081271,2017,7
1299,Montblanc,430862,2017,12
1300,Montbrió del Camp,430884,2017,4
1301,Montcada i Reixac,081252,2017,84
1302,Montellà i Martinet,251399,2017,3
1303,Montgat,081265,2017,75
1304,Montmeló,081350,2017,28
1305,Montoliu de Lleida,251425,2017,1
1306,Montornès del Vallès,081363,2017,10
1307,Mont-ras,171100,2017,1
1308,Mont-roig del Camp,430923,2017,9
1309,Móra d'Ebre,430939,2017,17
1310,Móra la Nova,430944,2017,3
1311,Navarcles,081402,2017,7
1312,Navàs,081419,2017,3
1313,Nulles,430982,2017,1
1314,Òdena,081430,2017,1
1315,Olèrdola,081458,2017,2
1316,Olesa de Bonesvalls,081461,2017,1
1317,Olesa de Montserrat,081477,2017,24
1318,Olius,251517,2017,1
1319,Olivella,081483,2017,2
1320,Olost,081496,2017,1
1321,Olot,171143,2017,148
1322,Olvan,081445,2017,1
1323,Os de Balaguer,251569,2017,1
1324,Palafolls,081555,2017,10
1325,Palafrugell,171175,2017,88
1326,Palamós,171181,2017,12
1327,"Palau d'Anglesola, el",251581,2017,1
1328,Palau-solità i Plegamans,081568,2017,7
1329,Pallejà,081574,2017,7
1330,"Palma de Cervelló, la",089058,2017,1
1331,"Papiol, el",081580,2017,2
1332,Parets del Vallès,081593,2017,34
1333,Penelles,251641,2017,2
1334,Perafort,431037,2017,1
1335,"Perelló, el",431042,2017,1
1336,Piera,081614,2017,12
1337,"Piles, les",431055,2017,1
1338,Pineda de Mar,081635,2017,20
1339,"Pla de Santa Maria, el",431080,2017,3
1340,"Pla del Penedès, el",081640,2017,6
1341,Planoles,171349,2017,1
1342,"Pobla de Claramunt, la",081653,2017,1
1343,"Pobla de Mafumet, la",431093,2017,5
1344,"Pobla de Montornès, la",431114,2017,1
1345,"Pobla de Segur, la",251713,2017,20
1346,Polinyà,081672,2017,67
1347,"Pont de Suert, el",251734,2017,6
1348,"Pont de Vilomara i Rocafort, el",081825,2017,5
1349,Porqueres,171371,2017,4
1350,Portbou,171387,2017,1
1351,"Prat de Llobregat, el",081691,2017,405
1352,"Prats de Rei, els",081705,2017,2
1353,Premià de Dalt,082303,2017,20
1354,Premià de Mar,081727,2017,27
1355,"Preses, les",171390,2017,14
1356,Prullans,251790,2017,1
1357,Puigcerdà,171411,2017,19
1358,Puigverd de Lleida,251826,2017,1
1359,Quart,171426,2017,1
1360,Reus,431233,2017,304
1361,Rialp,251832,2017,4
1362,Ribes de Freser,171450,2017,1
1363,Ripoll,171479,2017,21
1364,Ripollet,081803,2017,95
1365,Riudarenes,171485,2017,1
1366,Riudoms,431299,2017,2
1367,Roda de Ter,081831,2017,9
1368,Roquetes,431331,2017,1
1369,Roses,171523,2017,27
1370,Rosselló,251898,2017,2
1371,Rubí,081846,2017,84
1372,Sabadell,081878,2017,853
1373,Sallent,081918,2017,14
1374,Salou,439057,2017,76
1375,Salt,171557,2017,225
1376,Sant Adrià de Besòs,081944,2017,220
1377,Sant Andreu de la Barca,081960,2017,109
1378,Sant Andreu de Llavaneres,081976,2017,1
1379,Sant Aniol de Finestres,171833,2017,1
1380,Sant Antoni de Vilamajor,081982,2017,1
1381,Sant Boi de Llobregat,082009,2017,171
1382,Sant Carles de la Ràpita,431362,2017,41
1383,Sant Celoni,082021,2017,7
1384,Sant Cugat del Vallès,082055,2017,709
1385,Sant Cugat Sesgarrigues,082068,2017,2
1386,Sant Esteve Sesrovires,082080,2017,20
1387,Sant Feliu de Guíxols,171609,2017,57
1388,Sant Feliu de Llobregat,082114,2017,202
1389,Sant Fost de Campsentelles,082093,2017,27
1390,Sant Fruitós de Bages,082135,2017,16
1391,Sant Gregori,171637,2017,8
1392,Sant Hilari Sacalm,171642,2017,7
1393,Sant Hipòlit de Voltregà,082153,2017,3
1394,Sant Joan de les Abadesses,171674,2017,13
1395,Sant Joan de Vilatorrada,082188,2017,11
1396,Sant Joan Despí,082172,2017,337
1397,Sant Joan les Fonts,171851,2017,8
1398,Sant Jordi Desvalls,171668,2017,1
1399,Sant Julià de Vilatorta,082205,2017,7
1400,Sant Just Desvern,082212,2017,111
1401,Sant Llorenç d'Hortons,082227,2017,3
1402,Sant Llorenç Savall,082233,2017,4
1403,Sant Martí de Tous,082264,2017,1
1404,Sant Martí Sarroca,082270,2017,6
1405,Sant Mateu de Bages,082299,2017,1
1406,Sant Pere de Ribes,082310,2017,120
1407,Sant Pere de Riudebitlles,082325,2017,1
1408,Sant Pere de Torelló,082331,2017,5
1409,Sant Pere de Vilamajor,082346,2017,1
1410,Sant Pere Pescador,171788,2017,1
1411,Sant Pol de Mar,082359,2017,8
1412,Sant Quintí de Mediona,082362,2017,9
1413,Sant Quirze de Besora,082378,2017,1
1414,Sant Quirze del Vallès,082384,2017,77
1415,Sant Sadurní d'Anoia,082401,2017,39
1416,Sant Vicenç de Castellet,082628,2017,20
1417,Sant Vicenç de Montalt,082649,2017,1
1418,Sant Vicenç de Torelló,082652,2017,5
1419,Sant Vicenç dels Horts,082634,2017,69
1420,Santa Bàrbara,431384,2017,2
1421,Santa Coloma de Cervelló,082444,2017,11
1422,Santa Coloma de Farners,171805,2017,9
1423,Santa Coloma de Gramenet,082457,2017,295
1424,Santa Coloma de Queralt,431397,2017,2
1425,Santa Cristina d'Aro,171812,2017,2
1426,Santa Eugènia de Berga,082460,2017,7
1427,Santa Eulàlia de Riuprimer,082476,2017,1
1428,Santa Eulàlia de Ronçana,082482,2017,2
1429,Santa Margarida de Montbui,082508,2017,23
1430,Santa Margarida i els Monjos,082515,2017,34
1431,Santa Maria de Palautordera,082592,2017,2
1432,Santa Maria d'Oló,082589,2017,1
1433,Santa Perpètua de Mogoda,082606,2017,122
1434,Santa Susanna,082613,2017,1
1435,Santpedor,081923,2017,11
1436,Sarrià de Ter,171864,2017,3
1437,"Selva del Camp, la",431457,2017,7
1438,Sentmenat,082671,2017,26
1439,Seròs,252043,2017,1
1440,"Seu d'Urgell, la",252038,2017,25
1441,Sitges,082704,2017,35
1442,Solsona,252075,2017,38
1443,Sort,252094,2017,22
1444,Subirats,082732,2017,2
1445,Súria,082747,2017,4
1446,Taradell,082785,2017,5
1447,Tarragona,431482,2017,348
1448,Tàrrega,252173,2017,68
1449,Teià,082819,2017,18
1450,Terrassa,082798,2017,1633
1451,Tiana,082824,2017,39
1452,Tírvia,252213,2017,1
1453,Tordera,082845,2017,57
1454,Torelló,082858,2017,62
1455,"Torre de Cabdella, la",252271,2017,2
1456,"Torre de l'Espanyol, la",431520,2017,5
1457,Torredembarra,431536,2017,18
1458,Torrefarrera,252287,2017,1
1459,Torregrossa,252304,2017,1
1460,Torrelles de Foix,082883,2017,4
1461,Torrelles de Llobregat,082896,2017,11
1462,Torre-serona,252332,2017,1
1463,Torroella de Montgrí,171997,2017,4
1464,Torroja del Priorat,431541,2017,1
1465,Tortosa,431554,2017,34
1466,Tossa de Mar,172023,2017,1
1467,Tremp,252347,2017,68
1468,Ullà,172044,2017,1
1469,Ullastrell,082900,2017,1
1470,Vacarisses,082917,2017,3
1471,"Vall d'en Bas, la",172076,2017,1
1472,Vallfogona de Balaguer,252402,2017,1
1473,Vallirana,082956,2017,6
1474,Valls,431613,2017,98
1475,Vandellòs i l'Hospitalet de l'Infant,431628,2017,3
1476,"Vendrell, el",431634,2017,133
1477,Ventalló,172109,2017,1
1478,Verdú,252424,2017,1
1479,Verges,172116,2017,1
1480,Vic,082981,2017,330
1481,Vidrà,172121,2017,1
1482,Vidreres,172137,2017,4
1483,Vielha e Mijaran,252430,2017,20
