,Codi,Municipi,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
0,250019.0,Abella de la Conca,-1.200000000000001,1.5,-1.1999999999999993,-1.5,-1.0,1.8000000000000007,-0.3000000000000007,0.09999999999999964
1,80018.0,Abrera,68.29999999999995,-95.39999999999998,-102.30000000000007,-118.0,-109.0,-41.19999999999993,-45.30000000000007,131.9000000000001
2,250024.0,Àger,5.899999999999999,-1.3999999999999986,-0.6000000000000014,2.1000000000000014,-5.0,-3.1000000000000014,-0.5,5.300000000000001
3,250030.0,Agramunt,-3.1000000000000227,-37.599999999999966,-33.19999999999999,-19.200000000000045,-41.69999999999999,-10.199999999999989,-10.099999999999994,39.900000000000006
4,80023.0,Aguilar de Segarra,5.5,-4.199999999999999,-2.3000000000000007,0.3000000000000007,1.0,0.7999999999999989,-1.3999999999999986,3.0999999999999996
5,170010.0,Agullana,-0.20000000000000284,0.7000000000000028,-1.7000000000000028,-2.299999999999997,-4.100000000000001,-1.7999999999999972,-3.5,7.100000000000001
6,80142.0,Aiguafreda,13.5,-37.0,-25.30000000000001,-14.0,-6.400000000000006,-7.599999999999994,-10.599999999999994,10.399999999999991
7,430017.0,Aiguamúrcia,6.799999999999997,1.4000000000000057,-9.5,-2.700000000000003,0.5,-10.299999999999997,-3.5,14.799999999999997
8,170025.0,Aiguaviva,1.9999999999999964,-7.4999999999999964,-6.900000000000002,0.3000000000000007,-4.899999999999999,0.0,3.599999999999998,1.8000000000000007
9,250387.0,Aitona,-1.6999999999999886,0.19999999999998863,2.8000000000000114,-15.5,-4.800000000000011,20.599999999999994,-13.799999999999983,38.29999999999998
10,250045.0,"Alamús, els",0.3999999999999986,-5.300000000000001,-5.5,-5.099999999999998,0.5999999999999979,2.5,-2.3000000000000007,-0.09999999999999787
11,250058.0,Alàs i Cerc,-1.6999999999999993,2.8000000000000007,-1.9000000000000004,-1.5,-1.0999999999999996,-0.6000000000000005,1.6000000000000005,-0.3000000000000007
12,250061.0,"Albagés, l'",-0.3000000000000007,-6.300000000000001,-0.7999999999999989,-1.4000000000000004,-3.0,1.3000000000000007,0.1999999999999993,-1.1999999999999993
13,170031.0,Albanyà,1.8999999999999986,0.6000000000000014,0.3999999999999986,-2.3999999999999986,-4.1000000000000005,3.8999999999999995,-2.0,2.9000000000000004
14,250077.0,Albatàrrec,7.6000000000000085,-13.800000000000011,-10.899999999999991,-16.400000000000006,-0.7000000000000028,-4.099999999999994,-1.0999999999999943,6.699999999999989
15,250083.0,Albesa,-2.799999999999997,-18.099999999999994,6.099999999999994,-13.0,-7.0,-9.599999999999994,-6.400000000000006,16.200000000000003
