Codi,Municipi,2012,2013,2014,2015,2016,2017,2018,2019,2020
430189.0,Arnes,17.8,18.1,16.8,16.0,15.1,13.5,15.0,10.3,11.3
250313.0,Arres,1.3,4.0,2.1,0.2,0.6,0.3,1.1,1.6,0.3
250328.0,Arsèguel,3.3,3.8,4.3,1.7,2.0,0.9,0.8,1.3,1.8
80109.0,Artés,451.8,453.2,410.8,352.2,303.8,257.3,252.5,243.3,278.1
250334.0,Artesa de Lleida,90.8,82.3,79.1,72.9,73.6,64.3,57.1,48.2,54.9
250349.0,Artesa de Segre,199.7,191.3,173.8,158.5,142.8,127.3,106.5,113.3,133.3
430192.0,Ascó,78.6,85.0,81.8,93.9,97.8,81.5,74.2,78.7,85.1
250365.0,Aspa,7.2,11.8,11.8,11.7,7.6,4.8,3.3,2.2,3.9
250371.0,"Avellanes i Santa Linya, les",13.0,15.3,10.8,11.2,10.9,8.2,8.6,7.9,9.7
80116.0,Avià,136.8,139.8,116.7,102.3,89.7,81.8,79.8,61.6,74.9
80121.0,Avinyó,159.8,147.4,126.8,99.8,91.1,82.9,71.0,68.6,99.3
170123.0,Avinyonet de Puigventós,100.4,92.3,79.1,69.3,63.7,56.2,47.3,48.9,63.2
80137.0,Avinyonet del Penedès,112.0,112.8,106.8,94.9,87.0,76.1,69.8,71.1,87.2
80155.0,Badalona,23186.9,23090.3,21275.7,19121.6,16639.8,14753.8,14165.9,13600.2,15726.3
89045.0,Badia del Vallès,1863.0,1842.2,1694.8,1549.2,1390.4,1227.6,1124.3,1105.6,1282.4
80168.0,Bagà,189.4,193.9,165.1,135.4,103.4,89.2,84.0,82.3,95.8
250390.0,Baix Pallars,21.8,22.9,24.2,24.4,22.3,20.6,14.1,13.6,17.7
250404.0,Balaguer,1705.6,1662.5,1551.3,1430.1,1315.9,1180.3,1233.0,1157.2,1283.5
80174.0,Balenyà,401.2,411.4,366.0,327.0,271.3,224.7,219.1,210.1,233.4
80180.0,Balsareny,290.2,294.3,250.9,214.3,172.1,152.7,132.4,135.4,160.8
430206.0,Banyeres del Penedès,281.5,295.4,270.4,243.8,214.8,190.1,187.1,180.7,232.2
170157.0,Banyoles,1188.2,1225.8,1220.7,1085.8,948.8,847.2,772.0,731.2,911.3
250411.0,Barbens,45.8,42.8,42.3,36.0,27.3,27.5,31.3,25.3,42.8
430213.0,Barberà de la Conca,29.3,36.5,29.4,24.7,21.1,19.7,15.7,12.8,18.3
82520.0,Barberà del Vallès,3092.1,3142.7,2877.6,2565.5,2229.7,1899.9,1729.3,1687.2,1946.4
80193.0,Barcelona,112471.1,110934.4,103465.9,93714.4,82597.1,74824.5,70774.2,68792.5,86826.5
250426.0,"Baronia de Rialb, la",6.6,6.8,7.0,3.9,3.8,3.6,4.1,4.9,5.2
170160.0,Bàscara,53.7,67.8,56.6,49.1,41.8,39.1,33.3,34.8,47.6
250447.0,Bassella,3.8,5.8,5.6,3.2,5.1,4.6,2.3,1.7,4.0
430228.0,Batea,86.6,70.4,75.8,65.0,53.8,44.0,47.7,47.3,50.4
250450.0,Bausen,3.2,4.0,3.4,2.5,4.0,1.9,2.3,1.4,3.1
80207.0,Begues,342.8,379.3,346.8,300.8,250.8,218.2,203.3,209.6,274.8
170139.0,Begur,265.5,242.9,223.7,201.5,163.7,138.7,123.2,123.4,139.1
250463.0,Belianes,29.4,28.2,27.3,28.5,22.4,14.4,20.2,15.3,16.1
251706.0,Bellaguarda,6.7,7.7,8.4,5.0,3.4,1.8,3.8,1.7,3.1
170182.0,Bellcaire d'Empordà,42.4,41.2,36.8,31.0,32.6,31.0,29.8,21.8,21.2
250479.0,Bellcaire d'Urgell,71.5,70.9,58.7,47.0,36.7,31.8,29.7,23.8,39.1
250485.0,Bell-lloc d'Urgell,118.6,122.3,131.0,123.0,104.8,90.6,94.5,90.4,105.9
250498.0,Bellmunt d'Urgell,8.8,7.6,4.9,3.8,3.9,2.7,3.7,3.9,5.2
430234.0,Bellmunt del Priorat,25.6,21.2,22.6,22.9,21.8,23.7,20.5,16.8,16.7
80214.0,Bellprat,2.6,4.8,3.3,0.4,0.2,0.0,0.0,0.5,2.6
250501.0,Bellpuig,320.2,336.9,316.1,291.9,255.1,245.3,228.9,222.3,267.5
430249.0,Bellvei,212.0,226.1,200.6,196.1,171.9,164.5,156.3,157.6,185.0
250518.0,Bellver de Cerdanya,89.3,76.1,66.2,62.4,50.5,46.7,38.6,42.9,66.9
250523.0,Bellvís,134.3,131.2,123.4,114.8,106.7,86.1,82.3,81.8,97.3
250539.0,Benavent de Segrià,79.0,77.1,66.7,56.8,41.3,44.3,45.2,42.3,45.8
430252.0,Benifallet,38.2,38.0,37.6,35.0,34.3,34.6,29.4,28.5,28.1
430265.0,Benissanet,68.1,66.2,62.8,50.8,48.3,44.3,39.0,37.2,42.5
80229.0,Berga,1571.0,1617.2,1431.8,1270.3,1107.3,1011.8,961.9,906.2,1051.5
170195.0,Besalú,134.7,137.7,128.9,98.2,75.4,63.1,59.4,70.9,78.6
170209.0,Bescanó,258.3,267.3,251.9,230.4,200.8,181.6,164.1,153.3,186.0
170216.0,Beuda,5.9,6.5,7.5,9.3,5.4,7.5,10.6,6.0,10.1
80235.0,Bigues i Riells del Fai,705.4,732.4,664.9,618.6,552.4,478.1,427.4,424.3,504.7
250557.0,Biosca,4.8,3.6,5.6,5.9,5.9,4.5,4.7,2.8,3.0
170221.0,"Bisbal d'Empordà, la",1166.8,1151.8,1064.4,991.6,835.9,739.1,665.9,633.5,750.0
430271.0,"Bisbal de Falset, la",7.9,9.4,11.7,11.4,7.0,6.2,5.6,6.9,8.2
430287.0,"Bisbal del Penedès, la",421.1,432.3,399.8,371.5,352.4,300.2,278.3,270.2,328.2
172348.0,Biure,17.7,17.4,20.6,13.8,14.7,11.7,10.5,12.3,9.7
430290.0,Blancafort,26.7,22.2,20.7,18.8,17.7,11.9,7.8,8.0,12.7
170237.0,Blanes,3888.3,3865.5,3648.7,3401.4,3060.1,2743.7,2636.1,2555.6,3302.2
170293.0,Boadella i les Escaules,17.8,13.4,15.2,14.5,14.5,11.6,6.7,6.6,9.4
170242.0,Bolvir,11.3,11.5,11.6,12.2,12.3,11.9,11.2,7.5,7.9
430304.0,Bonastre,72.8,62.2,62.2,55.5,54.5,51.9,53.7,46.9,58.3
250576.0,"Bòrdes, Es",7.4,6.5,7.8,7.9,7.3,8.4,9.3,6.6,12.8
170255.0,Bordils,100.2,96.3,87.7,88.8,74.3,69.6,57.9,65.9,78.1
250582.0,"Borges Blanques, les",424.6,425.0,427.5,377.8,350.2,331.9,316.7,276.9,316.7
430311.0,"Borges del Camp, les",145.8,137.6,138.5,128.6,121.3,114.3,109.5,104.7,128.3
170268.0,Borrassà,28.8,35.5,26.8,25.8,20.3,20.3,22.6,20.2,24.2
80240.0,Borredà,30.9,34.5,29.3,21.7,22.3,20.7,19.5,18.2,23.6
250595.0,Bossòst,54.7,49.1,40.2,40.7,31.7,25.3,28.2,27.3,42.7
430326.0,Bot,26.8,20.8,19.3,19.8,20.4,16.9,17.8,11.2,10.8
430332.0,Botarell,91.6,94.7,86.5,83.1,63.8,59.3,46.7,45.2,64.7
250560.0,Bovera,5.2,6.0,6.8,5.2,6.4,6.1,5.4,4.9,7.4
430347.0,Bràfim,38.9,33.5,30.4,36.8,34.2,28.1,22.1,17.9,24.4
170274.0,Breda,300.3,311.7,286.2,246.7,214.9,201.3,183.1,187.8,208.4
