Any,Codi_ine_5_txt,Codi_ine_6_txt,NomMun,Comarca,AFT,Costa,Muntanya,Poblacio_padro,Superficie_ha,05_SU,05_perce_SU,05_SUC,05_perce_SUC,05_SNC,05_perce_SNC,05_SURB,05_perce_SUR,05_SUD,05_perce_SUD,05_SND,05_perce_SND,05_SNU,05_perce_SNU,06_Class_no_SNU,06_perce_Class_no_snu,07_densitat_pob_km2,08_densitat_pob_urba_Km2,09_Perce_SNC_SU,10_Perce_SUD_SU,11_Perce_SND_SU,012_Qual_SUC_AE,12_A1_SUC,12_A2_SUC,12_A3_SUC,13_Qual_SUC_R,13_R1_SUC,13_R2_SUC,13_R3_SUC,13_R4_SUC,13_R5_SUC,13_R6_SUC,14_Qual_SUC_Altres,14_M1_SUC,14_M2_SUC,14_M3_SUC,15_Qual_SUC_SISTEMES,15_SA_SUC,15_SC_SUC,15_SD_SUC,15_SE_SUC,15_SF_SUC,15_SH_SUC,15_SP_SUC,15_SS_SUC,15_ST_SUC,15_SV_SUC,15_SX0_SUC,15_SX1_SUC,15_SX2_SUC,16_QUAL_snu,16_N1_SNU,16_N2_SNU,16_N3_SNU,16_N4_SNU,17_Sol_resid_habt,18_Sol_AE_habt,19_Zverdes_habt,20_Equip_habt
2013,8304,83041,Vilobí del Penedès,Alt Penedès,PE,0,,1099,926.6900,71.1977,7.6830,71.1977,7.6830,0.0000,0.0000,23.3500,2.5197,23.3500,2.5197,0.0000,0.0000,832.1468,89.7973,94.5478,10.2027,117.7852,1543.5884,0.0000,32.7960,0.0000,18.4700,18.4167,0.0533,0,37.5050,1.2005,13.9804,0.3603,0.7841,1.1839,19.9959,0.0000,0.0000,0.0000,0,15.2579,0.0000,0.0000,0.0000,2.3748,0.0000,0.0000,0.0000,0.0000,0.0175,3.6962,0.0000,2.5952,6.5742,824.9731,30.2871,783.5558,0.0000,11.1301,29.3028,59.5018,33.6323,21.6084
2013,8303,83036,Vilanova de Sau,Osona,CC,0,Zona de muntanya,330,5793.7500,20.5770,0.3552,20.5770,0.3552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5773.1742,99.6448,20.5770,0.3552,5.6081,1603.7299,0.0000,0.0000,0.0000,1.0499,1.0499,0.0000,0,13.3217,1.6406,0.0000,0.0000,0.0928,0.0000,11.5884,0.0000,0.0000,0.0000,0,6.2206,0.0000,0.0000,0.0000,2.7218,0.0000,0.0000,0.0000,0.0000,0.0000,0.8587,0.0000,0.5521,2.0880,5418.7543,5250.4132,124.2200,0.0000,44.1211,24.7716,314.3177,26.0213,82.4792
2013,8302,83020,Vilanova del Camí,Anoia,PE,0,,12533,1051.1900,165.5063,15.7446,149.0480,14.1790,16.4583,1.5657,65.0727,6.1904,65.0727,6.1904,0.0000,0.0000,820.6130,78.0650,230.5790,21.9350,1216.6263,7572.5216,9.9442,39.3173,0.0000,26.7079,26.7079,0.0000,0,46.7609,3.2682,0.0000,40.3250,1.1152,2.0525,0.0000,0.2781,0.0000,0.2781,0,75.2296,0.0000,0.0000,0.0000,18.7925,0.1440,0.1048,0.0000,1.7703,5.6468,12.3803,0.0000,14.2348,22.3002,747.3903,266.0288,477.5699,0.0000,3.7916,268.0230,469.2618,9.8782,14.9944
2013,8301,83015,Viladecans,Baix Llobregat,MB,1,,65444,2033.8300,595.4617,29.2779,595.4617,29.2779,0.0000,0.0000,430.0857,21.1466,55.2678,2.7174,374.8179,18.4292,1008.2823,49.5756,1025.5474,50.4244,3209.0010,10990.4640,0.0000,9.2815,62.9458,106.9548,96.4780,10.4768,0,185.6538,12.5734,63.4032,0.0000,47.7947,5.5123,56.3702,1.3614,1.1138,0.2476,0,298.0121,0.0000,0.0000,0.3617,59.4120,3.8570,0.0000,0.0000,12.2705,0.8944,68.1851,0.0000,76.8639,80.0245,560.3227,8.7796,551.5432,0.0000,0.0000,352.5056,611.8848,10.4188,9.0783
2013,8300,83008,Viladecavalls,Vallès Occidental,MB,0,,7397,1993.3900,294.2380,14.7607,294.2380,14.7607,0.0000,0.0000,127.2872,6.3855,127.2872,6.3855,0.0000,0.0000,1571.8609,78.8538,421.5252,21.1462,368.2385,2513.9517,0.0000,43.2600,0.0000,61.9010,57.0885,4.8125,0,119.0321,11.2808,0.0000,0.0000,7.3585,5.2943,95.0985,0.0000,0.0000,0.0000,0,111.9365,0.0000,0.0000,0.0000,12.9377,1.5501,0.0000,0.0000,0.1179,0.1872,57.4048,0.0000,18.3324,22.9564,1503.1223,1498.3696,0.0000,0.0000,4.7526,62.1429,119.4973,77.6056,17.4904
2013,8299,82994,Vilada,Berguedà,CC,0,Zona de muntanya,462,2270.1800,21.8742,0.9635,21.8742,0.9635,0.0000,0.0000,6.3422,0.2794,6.3422,0.2794,0.0000,0.0000,2241.9611,98.7571,28.2164,1.2429,20.6840,2112.0793,0.0000,28.9941,0.0000,3.3111,3.3111,0.0000,0,10.3436,0.4321,3.1342,0.0000,0.0000,0.0000,6.7773,0.9088,0.2504,0.6584,0,7.3240,0.0000,0.0000,0.0000,0.4599,0.0000,0.0000,0.0000,0.0000,0.0509,1.9000,0.0000,1.1754,3.7378,2139.2279,2139.2279,0.0000,0.0000,0.0000,44.6654,139.5293,41.1263,9.9537
2013,8298,82981,Vic,Osona,CC,0,,41647,3078.1600,818.0094,26.5746,774.5745,25.1635,43.4349,1.4111,196.5821,6.3863,165.4567,5.3752,31.1254,1.0112,2063.5711,67.0391,1014.5915,32.9609,1361.9045,5091.2618,5.3098,20.2267,3.8050,163.4623,137.2120,26.2503,0,186.0248,9.4100,18.5657,67.0978,34.5736,27.4958,28.8819,4.3056,0.0000,4.3056,0,415.0688,0.0000,0.0000,0.6716,91.7691,6.2612,6.8693,0.0000,4.5907,10.7696,103.7761,0.0000,75.5370,121.0854,1865.7002,266.8081,1598.8921,0.0000,0.0000,223.8788,254.7805,24.9180,22.0350
2013,8297,82975,Veciana,Anoia,CC,0,Zona de muntanya,176,3892.8100,7.9518,0.2043,7.9518,0.2043,0.0000,0.0000,22.7146,0.5835,22.7146,0.5835,0.0000,0.0000,3862.1438,99.2122,30.6664,0.7878,4.5320,2213.3404,0.0000,285.6547,0.0000,0.0000,0.0000,0.0000,0,3.4415,1.7557,0.0000,0.0000,0.0000,0.8447,0.8411,0.8761,0.0000,0.8761,0,3.6374,0.0000,0.0000,0.0000,0.1716,0.0000,0.0000,0.0000,0.0000,0.0828,1.3500,0.0000,0.7812,1.2518,3811.6568,3699.9137,0.0000,0.0000,111.7431,51.1406,0.0000,76.7040,9.7511
2013,8308,83089,Viver i Serrateix,Berguedà,CC,0,Zona de muntanya,177,6746.9900,3.3053,0.0490,2.3528,0.0349,0.9525,0.0141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6743.6855,99.9510,3.3053,0.0490,2.6498,5355.0905,28.8175,0.0000,0.0000,0.0000,0.0000,0.0000,0,1.0240,0.6046,0.3532,0.0000,0.0000,0.0000,0.0661,0.0000,0.0000,0.0000,0,1.3301,0.0000,0.0000,0.0000,0.8070,0.0000,0.0000,0.0000,0.0000,0.0000,0.1158,0.0000,0.0000,0.4073,6734.8260,3493.3897,0.2659,3241.1704,0.0000,172.8594,0.0000,6.5408,45.5955
2013,17015,170157,Banyoles,Pla de l'Estany,CG,0,,19119,1101.4600,293.4618,26.6429,270.3990,24.5491,23.0628,2.0938,110.5880,10.0401,89.9759,8.1688,20.6122,1.8713,697.4126,63.3170,404.0499,36.6830,1732.6768,6514.9866,7.8589,30.6602,7.0238,20.9784,18.3795,2.5989,0,143.4990,12.8262,6.6432,28.6019,8.2194,7.9250,79.2833,3.3396,0.0720,2.5299,0.737678971,102.7960,0.0000,0.0000,0.1969,19.0287,0.0000,2.8909,0.0000,0.0000,1.0322,22.9144,0.0000,17.2940,39.4389,535.2399,289.7899,161.1652,84.2848,0.0000,133.2344,911.3672,11.9852,9.9528
