Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,6,4,2,2,2,0,1,0,1,3
080018,Abrera,831,480,351,71,90,-19,185,10,175,507
250024,Àger,33,22,11,1,2,-1,11,0,11,21
250030,Agramunt,198,211,-13,18,37,-19,137,41,96,64
080023,Aguilar de Segarra,14,11,3,0,0,0,2,0,2,5
170010,Agullana,27,60,-33,10,4,6,21,0,21,-6
080142,Aiguafreda,143,128,15,9,16,-7,28,0,28,36
430017,Aiguamúrcia,74,42,32,2,1,1,7,1,6,39
170025,Aiguaviva,41,27,14,0,3,-3,4,2,2,13
250387,Aitona,77,60,17,66,68,-2,65,26,39,54
250045,"Alamús, els",36,14,22,5,11,-6,11,9,2,18
250058,Alàs i Cerc,10,15,-5,0,1,-1,0,1,-1,-7
250061,"Albagés, l'",12,19,-7,2,2,0,2,1,1,-6
170031,Albanyà,6,10,-4,0,0,0,5,0,5,1
250077,Albatàrrec,177,54,123,12,15,-3,22,16,6,126
250083,Albesa,44,57,-13,5,5,0,19,4,15,2
250096,"Albi, l'",44,26,18,4,3,1,7,2,5,24
430022,Albinyana,207,129,78,13,20,-7,11,10,1,72
430038,"Albiol, l'",40,14,26,0,1,-1,2,1,1,26
170046,Albons,58,45,13,5,5,0,10,2,8,21
430043,Alcanar,339,229,110,122,162,-40,361,3,358,428
250100,Alcanó,4,5,-1,0,0,0,0,0,0,-1
250117,Alcarràs,508,193,315,69,63,6,226,4,222,543
250122,Alcoletge,156,112,44,13,26,-13,30,10,20,51
430056,Alcover,220,128,92,17,20,-3,109,3,106,195
439044,"Aldea, l'",120,141,-21,39,16,23,126,2,124,126
430069,Aldover,48,22,26,5,2,3,40,4,36,65
430075,"Aleixar, l'",44,14,30,5,1,4,23,0,23,57
080039,Alella,459,458,1,42,43,-1,145,26,119,119
430081,Alfara de Carles,11,11,0,1,4,-3,5,0,5,2
250138,Alfarràs,88,89,-1,47,61,-14,54,43,11,-4
250143,Alfés,13,8,5,1,0,1,1,0,1,7
430094,Alforja,153,54,99,26,9,17,29,2,27,143
250156,Algerri,13,18,-5,2,5,-3,2,0,2,-6
250169,Alguaire,75,120,-45,26,19,7,57,20,37,-1
250175,Alins,13,5,8,0,1,-1,8,0,8,15
430108,Alió,15,19,-4,2,2,0,2,0,2,-2
250194,Almacelles,108,143,-35,91,88,3,83,16,67,35
250208,Almatret,6,10,-4,0,3,-3,2,1,1,-6
250215,Almenar,111,96,15,45,44,1,56,29,27,43
430115,Almoster,70,44,26,4,1,3,5,0,5,34
250220,Alòs de Balaguer,6,16,-10,0,1,-1,2,1,1,-10
170062,Alp,108,92,16,31,27,4,90,5,85,105
080044,Alpens,10,12,-2,0,0,0,0,0,0,-2
250236,Alpicat,463,180,283,42,67,-25,54,18,36,294
250241,Alt Àneu,18,18,0,2,1,1,2,1,1,2
430120,Altafulla,290,181,109,31,19,12,63,15,48,169
170078,Amer,77,72,5,11,3,8,29,2,27,40
430136,"Ametlla de Mar, l'",291,213,78,64,53,11,256,7,249,338
080057,"Ametlla del Vallès, l'",476,396,80,22,30,-8,75,41,34,106
439060,"Ampolla, l'",118,109,9,18,35,-17,78,4,74,66
430141,Amposta,763,535,228,268,200,68,479,197,282,578
170084,Anglès,207,243,-36,18,21,-3,97,8,89,50
250273,Anglesola,44,52,-8,3,2,1,27,5,22,15
250292,Arbeca,47,84,-37,10,14,-4,76,23,53,12
430167,"Arboç, l'",337,190,147,44,49,-5,108,33,75,217
430154,Arbolí,16,6,10,0,0,0,1,0,1,11
170097,Arbúcies,181,205,-24,30,47,-17,232,42,190,149
080060,Arenys de Mar,765,651,114,83,112,-29,209,59,150,235
080076,Arenys de Munt,481,374,107,15,60,-45,86,16,70,132
170101,Argelaguer,21,12,9,1,0,1,5,0,5,15
080082,Argençola,9,7,2,0,1,-1,18,0,18,19
430173,"Argentera, l'",4,22,-18,0,0,0,3,0,3,-15
080095,Argentona,631,468,163,34,60,-26,65,15,50,187
170118,"Armentera, l'",33,28,5,6,4,2,9,8,1,8
430189,Arnes,11,12,-1,5,3,2,2,1,1,2
250313,Arres,7,2,5,0,0,0,2,0,2,7
250328,Arsèguel,3,4,-1,0,1,-1,0,0,0,-2
080109,Artés,260,182,78,17,25,-8,72,17,55,125
250334,Artesa de Lleida,58,41,17,14,9,5,10,0,10,32
250349,Artesa de Segre,100,147,-47,20,10,10,182,36,146,109
430192,Ascó,57,58,-1,8,9,-1,27,0,27,25
250365,Aspa,7,7,0,0,0,0,0,0,0,0
250371,"Avellanes i Santa Linya, les",21,15,6,5,4,1,6,0,6,13
080116,Avià,135,84,51,4,6,-2,14,6,8,57
080121,Avinyó,105,51,54,4,10,-6,27,4,23,71
170123,Avinyonet de Puigventós,172,79,93,6,10,-4,9,2,7,96
080137,Avinyonet del Penedès,75,79,-4,6,5,1,18,2,16,13
080155,Badalona,9078,11546,-2468,1473,2364,-891,5408,4917,491,-2868
089045,Badia del Vallès,664,794,-130,81,144,-63,122,35,87,-106
080168,Bagà,115,65,50,16,9,7,30,1,29,86
250390,Baix Pallars,26,21,5,0,1,-1,5,0,5,9
250404,Balaguer,530,639,-109,116,184,-68,553,204,349,172
080174,Balenyà,239,139,100,17,23,-6,43,12,31,125
080180,Balsareny,105,85,20,15,11,4,78,10,68,92
430206,Banyeres del Penedès,278,138,140,9,27,-18,24,2,22,144
170157,Banyoles,564,494,70,69,154,-85,350,63,287,272
250411,Barbens,39,40,-1,7,12,-5,13,3,10,4
430213,Barberà de la Conca,40,45,-5,4,0,4,17,0,17,16
082520,Barberà del Vallès,1714,1312,402,119,239,-120,264,97,167,449
080193,Barcelona,32215,53313,-21098,14406,15915,-1509,58645,24085,34560,11953
250426,"Baronia de Rialb, la",12,10,2,0,1,-1,3,0,3,4
170160,Bàscara,45,32,13,8,4,4,11,3,8,25
250447,Bassella,6,10,-4,0,0,0,4,0,4,0
430228,Batea,21,44,-23,13,17,-4,43,11,32,5
