Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,12,14,-2,1,1,0,1,2,-1,-3,
080018,Abrera,614,395,219,55,105,-50,173,64,109,278,
250024,Àger,24,22,2,4,2,2,6,5,1,5,
250030,Agramunt,211,188,23,52,49,3,140,23,117,143,
080023,Aguilar de Segarra,9,15,-6,0,0,0,1,0,1,-5,
170010,Agullana,47,37,10,4,5,-1,41,1,40,49,
080142,Aiguafreda,173,117,56,13,6,7,11,0,11,74,
430017,Aiguamúrcia,68,57,11,4,10,-6,14,3,11,16,
170025,Aiguaviva,84,28,56,1,4,-3,0,1,-1,52,
250387,Aitona,44,78,-34,42,63,-21,49,20,29,-26,
250045,"Alamús, els",20,31,-11,4,11,-7,16,4,12,-6,
250058,Alàs i Cerc,14,15,-1,0,0,0,7,0,7,6,
250061,"Albagés, l'",12,19,-7,0,3,-3,1,1,0,-10,
170031,Albanyà,10,14,-4,0,0,0,8,0,8,4,
250077,Albatàrrec,139,78,61,17,16,1,40,15,25,87,
250083,Albesa,22,57,-35,3,16,-13,34,0,34,-14,
250096,"Albi, l'",27,22,5,2,4,-2,10,7,3,6,
430022,Albinyana,196,118,78,3,21,-18,18,3,15,75,
430038,"Albiol, l'",40,15,25,0,1,-1,16,0,16,40,
170046,Albons,50,33,17,1,7,-6,22,0,22,33,
430043,Alcanar,247,193,54,180,207,-27,558,36,522,549,
250100,Alcanó,7,7,0,0,0,0,0,0,0,0,
250117,Alcarràs,591,199,392,120,74,46,359,3,356,794,
250122,Alcoletge,269,80,189,29,11,18,52,7,45,252,
430056,Alcover,227,123,104,17,13,4,94,3,91,199,
439044,"Aldea, l'",97,125,-28,19,31,-12,143,1,142,102,
430069,Aldover,28,45,-17,6,7,-1,26,0,26,8,
430075,"Aleixar, l'",46,19,27,3,0,3,10,0,10,40,
080039,Alella,473,363,110,46,63,-17,122,20,102,195,
430081,Alfara de Carles,13,16,-3,2,1,1,5,0,5,3,
250138,Alfarràs,61,84,-23,34,108,-74,64,36,28,-69,
250143,Alfés,11,17,-6,1,1,0,3,1,2,-4,
430094,Alforja,138,89,49,5,6,-1,29,0,29,77,
250156,Algerri,9,13,-4,0,3,-3,5,0,5,-2,
250169,Alguaire,107,109,-2,21,18,3,73,10,63,64,
250175,Alins,10,3,7,1,0,1,2,0,2,10,
430108,Alió,22,11,11,0,1,-1,6,0,6,16,
250194,Almacelles,149,133,16,77,96,-19,151,15,136,133,
250208,Almatret,8,19,-11,1,1,0,3,0,3,-8,
250215,Almenar,84,78,6,37,33,4,70,19,51,61,
430115,Almoster,79,48,31,1,4,-3,2,1,1,29,
250220,Alòs de Balaguer,5,6,-1,0,1,-1,0,0,0,-2,
170062,Alp,131,111,20,24,24,0,89,13,76,96,
080044,Alpens,15,6,9,0,0,0,2,0,2,11,
250236,Alpicat,383,216,167,39,36,3,60,14,46,216,
250241,Alt Àneu,13,17,-4,2,8,-6,5,1,4,-6,
430120,Altafulla,250,213,37,32,22,10,72,18,54,101,
170078,Amer,96,104,-8,10,15,-5,40,1,39,26,
430136,"Ametlla de Mar, l'",272,190,82,61,44,17,281,47,234,333,
080057,"Ametlla del Vallès, l'",414,305,109,33,43,-10,70,35,35,134,
439060,"Ampolla, l'",203,105,98,41,38,3,221,10,211,312,
430141,Amposta,708,541,167,248,199,49,734,146,588,804,
170084,Anglès,203,188,15,16,26,-10,149,10,139,144,
250273,Anglesola,53,55,-2,11,2,9,29,1,28,35,
250292,Arbeca,55,69,-14,4,22,-18,75,5,70,38,
430167,"Arboç, l'",297,189,108,54,50,4,187,22,165,277,
430154,Arbolí,7,10,-3,0,0,0,2,0,2,-1,
170097,Arbúcies,226,231,-5,35,43,-8,295,59,236,223,
080060,Arenys de Mar,792,624,168,82,119,-37,227,65,162,293,
080076,Arenys de Munt,442,265,177,23,32,-9,39,31,8,176,
170101,Argelaguer,20,18,2,6,0,6,10,2,8,16,
080082,Argençola,9,11,-2,0,5,-5,3,0,3,-4,
430173,"Argentera, l'",8,6,2,0,0,0,0,0,0,2,
080095,Argentona,484,401,83,55,87,-32,75,16,59,110,
170118,"Armentera, l'",49,21,28,3,4,-1,17,2,15,42,
430189,Arnes,10,5,5,4,9,-5,3,0,3,3,
250313,Arres,3,3,0,0,0,0,1,0,1,1,
250328,Arsèguel,6,7,-1,1,0,1,0,1,-1,-1,
080109,Artés,221,149,72,23,23,0,81,16,65,137,
250334,Artesa de Lleida,72,49,23,1,3,-2,21,0,21,42,
250349,Artesa de Segre,116,129,-13,25,57,-32,203,0,203,158,
430192,Ascó,52,50,2,2,4,-2,13,1,12,12,
250365,Aspa,3,6,-3,0,0,0,1,0,1,-2,
250371,"Avellanes i Santa Linya, les",23,32,-9,3,0,3,7,0,7,1,
080116,Avià,115,76,39,5,9,-4,15,9,6,41,
080121,Avinyó,64,67,-3,7,4,3,22,2,20,20,
170123,Avinyonet de Puigventós,108,63,45,3,4,-1,5,4,1,45,
080137,Avinyonet del Penedès,115,86,29,11,9,2,39,1,38,69,
080155,Badalona,8413,10805,-2392,1674,2394,-720,6324,5242,1082,-2030,
089045,Badia del Vallès,508,679,-171,68,179,-111,125,37,88,-194,
080168,Bagà,147,87,60,11,18,-7,20,0,20,73,
