Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,10,8,2,0,1,-1,2,3,-1,0,
080018,Abrera,557,504,53,54,74,-20,71,74,-3,30,
250024,Àger,22,19,3,4,1,3,11,5,6,12,
250030,Agramunt,134,158,-24,34,31,3,71,33,38,17,
080023,Aguilar de Segarra,2,9,-7,0,3,-3,0,1,-1,-11,
170010,Agullana,46,54,-8,5,5,0,12,1,11,3,
080142,Aiguafreda,109,126,-17,5,14,-9,6,2,4,-22,
430017,Aiguamúrcia,45,47,-2,5,6,-1,14,1,13,10,
170025,Aiguaviva,38,24,14,5,2,3,4,0,4,21,
250387,Aitona,54,62,-8,48,35,13,45,19,26,31,
250045,"Alamús, els",17,22,-5,6,4,2,16,5,11,8,
250058,Alàs i Cerc,12,12,0,1,3,-2,4,7,-3,-5,
250061,"Albagés, l'",11,19,-8,6,3,3,0,1,-1,-6,
170031,Albanyà,11,10,1,0,0,0,0,0,0,1,
250077,Albatàrrec,97,92,5,26,21,5,64,27,37,47,
250083,Albesa,41,63,-22,13,8,5,16,16,0,-17,
250096,"Albi, l'",30,21,9,5,2,3,4,1,3,15,
430022,Albinyana,154,128,26,13,15,-2,8,5,3,27,
430038,"Albiol, l'",46,15,31,0,1,-1,4,3,1,31,
170046,Albons,24,35,-11,3,3,0,7,4,3,-8,
430043,Alcanar,240,216,24,158,182,-24,138,81,57,57,
250100,Alcanó,4,7,-3,0,0,0,2,0,2,-1,
250117,Alcarràs,446,251,195,139,69,70,161,132,29,294,
250122,Alcoletge,261,113,148,30,19,11,52,13,39,198,
430056,Alcover,207,168,39,28,13,15,37,100,-63,-9,
439044,"Aldea, l'",140,164,-24,41,34,7,108,16,92,75,
430069,Aldover,33,29,4,4,2,2,6,1,5,11,
430075,"Aleixar, l'",41,36,5,1,4,-3,7,0,7,9,
080039,Alella,487,397,90,54,49,5,52,147,-95,0,
430081,Alfara de Carles,13,6,7,0,0,0,1,0,1,8,
250138,Alfarràs,64,111,-47,33,42,-9,25,18,7,-49,
250143,Alfés,11,11,0,0,3,-3,0,0,0,-3,
430094,Alforja,99,86,13,7,5,2,16,4,12,27,
250156,Algerri,11,16,-5,1,2,-1,3,0,3,-3,
250169,Alguaire,111,133,-22,24,25,-1,36,50,-14,-37,
250175,Alins,4,10,-6,0,0,0,0,1,-1,-7,
430108,Alió,19,14,5,2,0,2,1,10,-9,-2,
250194,Almacelles,141,147,-6,76,86,-10,88,41,47,31,
250208,Almatret,3,21,-18,3,1,2,2,1,1,-15,
250215,Almenar,80,95,-15,42,42,0,31,22,9,-6,
430115,Almoster,45,50,-5,1,15,-14,1,1,0,-19,
250220,Alòs de Balaguer,8,11,-3,0,1,-1,0,0,0,-4,
170062,Alp,109,109,0,9,7,2,19,27,-8,-6,
080044,Alpens,9,11,-2,0,0,0,2,2,0,-2,
250236,Alpicat,222,174,48,31,41,-10,33,40,-7,31,
