Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,8,15,-7,1,0,1,0,..,..,..,
080018,Abrera,546,354,192,51,30,21,80,..,..,..,
250024,Àger,12,18,-6,0,0,0,0,..,..,..,
250030,Agramunt,105,99,6,15,10,5,126,..,..,..,
080023,Aguilar de Segarra,13,4,9,0,0,0,0,..,..,..,
170010,Agullana,10,18,-8,0,6,-6,7,..,..,..,
080142,Aiguafreda,100,71,29,4,5,-1,14,..,..,..,
430017,Aiguamúrcia,37,18,19,3,0,3,5,..,..,..,
170025,Aiguaviva,29,12,17,0,0,0,2,..,..,..,
250387,Aitona,13,31,-18,23,22,1,0,..,..,..,
250045,"Alamús, els",10,12,-2,2,0,2,0,..,..,..,
250058,Alàs i Cerc,18,6,12,1,1,0,0,..,..,..,
250061,"Albagés, l'",11,8,3,1,0,1,0,..,..,..,
170031,Albanyà,0,13,-13,0,0,0,0,..,..,..,
250077,Albatàrrec,39,34,5,2,3,-1,13,..,..,..,
250083,Albesa,17,22,-5,1,1,0,0,..,..,..,
250096,"Albi, l'",26,14,12,0,4,-4,8,..,..,..,
430022,Albinyana,173,68,105,4,9,-5,15,..,..,..,
430038,"Albiol, l'",32,7,25,0,0,0,0,..,..,..,
170046,Albons,13,20,-7,0,3,-3,9,..,..,..,
430043,Alcanar,137,106,31,54,92,-38,225,..,..,..,
250100,Alcanó,1,2,-1,0,0,0,0,..,..,..,
250117,Alcarràs,51,68,-17,4,22,-18,11,..,..,..,
250122,Alcoletge,65,49,16,12,5,7,7,..,..,..,
430056,Alcover,151,74,77,20,7,13,68,..,..,..,
439044,"Aldea, l'",28,50,-22,9,7,2,18,..,..,..,
430069,Aldover,25,16,9,1,2,-1,0,..,..,..,
430075,"Aleixar, l'",15,21,-6,1,0,1,12,..,..,..,
080039,Alella,392,333,59,32,28,4,107,..,..,..,
430081,Alfara de Carles,2,10,-8,1,1,0,0,..,..,..,
250138,Alfarràs,51,33,18,19,15,4,1,..,..,..,
250143,Alfés,3,2,1,0,1,-1,1,..,..,..,
430094,Alforja,39,26,13,3,3,0,0,..,..,..,
250156,Algerri,14,7,7,1,4,-3,1,..,..,..,
250169,Alguaire,57,61,-4,8,11,-3,19,..,..,..,
250175,Alins,7,2,5,0,0,0,0,..,..,..,
430108,Alió,11,14,-3,2,0,2,15,..,..,..,
250194,Almacelles,92,69,23,43,41,2,44,..,..,..,
250208,Almatret,9,2,7,0,5,-5,2,..,..,..,
250215,Almenar,41,49,-8,15,18,-3,0,..,..,..,
430115,Almoster,86,35,51,1,3,-2,0,..,..,..,
250220,Alòs de Balaguer,7,13,-6,1,0,1,0,..,..,..,
170062,Alp,64,61,3,3,6,-3,0,..,..,..,
080044,Alpens,7,6,1,0,0,0,3,..,..,..,
250236,Alpicat,229,93,136,18,11,7,41,..,..,..,
250241,Alt Àneu,25,24,1,1,0,1,10,..,..,..,
430120,Altafulla,213,119,94,21,20,1,57,..,..,..,
170078,Amer,47,47,0,4,4,0,6,..,..,..,
430136,"Ametlla de Mar, l'",86,67,19,23,38,-15,95,..,..,..,
080057,"Ametlla del Vallès, l'",444,224,220,24,21,3,93,..,..,..,
439060,"Ampolla, l'",68,41,27,13,11,2,16,..,..,..,
430141,Amposta,353,201,152,84,84,0,390,..,..,..,
170084,Anglès,116,149,-33,6,8,-2,0,..,..,..,
250273,Anglesola,21,17,4,2,1,1,10,..,..,..,
250292,Arbeca,34,55,-21,8,5,3,60,..,..,..,
430167,"Arboç, l'",189,100,89,21,16,5,108,..,..,..,
430154,Arbolí,4,4,0,0,3,-3,0,..,..,..,
170097,Arbúcies,138,104,34,12,9,3,134,..,..,..,
080060,Arenys de Mar,545,503,42,76,53,23,213,..,..,..,
080076,Arenys de Munt,440,231,209,32,17,15,59,..,..,..,
170101,Argelaguer,24,16,8,0,2,-2,1,..,..,..,
080082,Argençola,7,1,6,0,0,0,0,..,..,..,
430173,"Argentera, l'",9,6,3,0,0,0,0,..,..,..,
080095,Argentona,488,333,155,33,29,4,8,..,..,..,
170118,"Armentera, l'",20,23,-3,0,0,0,0,..,..,..,
430189,Arnes,6,3,3,3,1,2,0,..,..,..,
250313,Arres,1,2,-1,0,0,0,0,..,..,..,
250328,Arsèguel,1,0,1,0,0,0,0,..,..,..,
080109,Artés,137,71,66,14,17,-3,0,..,..,..,
250334,Artesa de Lleida,15,44,-29,5,7,-2,0,..,..,..,
250349,Artesa de Segre,37,63,-26,10,18,-8,82,..,..,..,
430192,Ascó,17,39,-22,0,5,-5,0,..,..,..,
250365,Aspa,6,5,1,0,0,0,0,..,..,..,
250371,"Avellanes i Santa Linya, les",18,14,4,0,0,0,2,..,..,..,
080116,Avià,77,49,28,1,0,1,13,..,..,..,
080121,Avinyó,39,41,-2,1,1,0,15,..,..,..,
170123,Avinyonet de Puigventós,102,36,66,1,1,0,1,..,..,..,
080137,Avinyonet del Penedès,62,30,32,0,1,-1,27,..,..,..,
080155,Badalona,3692,5958,-2266,746,884,-138,79,..,..,..,
089045,Badia del Vallès,297,759,-462,50,86,-36,2,..,..,..,
080168,Bagà,76,53,23,3,2,1,22,..,..,..,
250390,Baix Pallars,6,14,-8,0,0,0,1,..,..,..,
250404,Balaguer,240,251,-11,75,58,17,5,..,..,..,
080174,Balenyà,69,90,-21,7,3,4,27,..,..,..,
080180,Balsareny,52,42,10,3,13,-10,2,..,..,..,
430206,Banyeres del Penedès,119,71,48,9,19,-10,34,..,..,..,
170157,Banyoles,344,414,-70,43,50,-7,381,..,..,..,
250411,Barbens,22,22,0,7,0,7,13,..,..,..,
430213,Barberà de la Conca,15,14,1,5,0,5,12,..,..,..,
082520,Barberà del Vallès,896,1020,-124,115,112,3,5,..,..,..,
080193,Barcelona,15566,33857,-18291,7415,7618,-203,969,..,..,..,
250426,"Baronia de Rialb, la",10,11,-1,2,0,2,1,..,..,..,
170160,Bàscara,24,19,5,1,1,0,10,..,..,..,
250447,Bassella,7,2,5,0,0,0,0,..,..,..,
430228,Batea,19,14,5,7,8,-1,36,..,..,..,
250450,Bausen,0,1,-1,0,0,0,0,..,..,..,
080207,Begues,295,195,100,20,19,1,1,..,..,..,
170139,Begur,121,140,-19,15,14,1,98,..,..,..,
250463,Belianes,1,7,-6,0,0,0,0,..,..,..,
251706,Bellaguarda,5,4,1,2,0,2,0,..,..,..,
170182,Bellcaire d'Empordà,13,9,4,5,3,2,19,..,..,..,
250479,Bellcaire d'Urgell,7,19,-12,0,3,-3,0,..,..,..,
250485,Bell-lloc d'Urgell,25,27,-2,7,7,0,0,..,..,..,
250498,Bellmunt d'Urgell,11,5,6,0,0,0,3,..,..,..,
430234,Bellmunt del Priorat,11,6,5,0,0,0,0,..,..,..,
080214,Bellprat,4,3,1,0,0,0,0,..,..,..,
250501,Bellpuig,91,81,10,10,7,3,56,..,..,..,
430249,Bellvei,99,67,32,6,8,-2,1,..,..,..,
250518,Bellver de Cerdanya,84,45,39,2,4,-2,15,..,..,..,
250523,Bellvís,23,38,-15,8,4,4,35,..,..,..,
250539,Benavent de Segrià,49,12,37,6,0,6,5,..,..,..,
430252,Benifallet,5,9,-4,0,0,0,0,..,..,..,
430265,Benissanet,24,23,1,4,0,4,16,..,..,..,
080229,Berga,414,287,127,48,38,10,408,..,..,..,
170195,Besalú,95,50,45,8,3,5,30,..,..,..,
170209,Bescanó,184,65,119,4,12,-8,9,..,..,..,
170216,Beuda,4,9,-5,2,0,2,5,..,..,..,
080235,Bigues i Riells del Fai,483,233,250,13,15,-2,11,..,..,..,
250557,Biosca,8,6,2,0,1,-1,0,..,..,..,
170221,"Bisbal d'Empordà, la",109,202,-93,19,26,-7,13,..,..,..,
430271,"Bisbal de Falset, la",4,8,-4,2,0,2,0,..,..,..,
430287,"Bisbal del Penedès, la",218,105,113,10,6,4,0,..,..,..,
172348,Biure,13,3,10,0,0,0,2,..,..,..,
430290,Blancafort,21,16,5,3,2,1,17,..,..,..,
170237,Blanes,1113,777,336,209,167,42,36,..,..,..,
170293,Boadella i les Escaules,7,12,-5,0,2,-2,1,..,..,..,
170242,Bolvir,6,13,-7,0,1,-1,1,..,..,..,
430304,Bonastre,38,8,30,8,0,8,0,..,..,..,
250576,"Bòrdes, Es",13,4,9,3,4,-1,3,..,..,..,
170255,Bordils,40,58,-18,7,2,5,0,..,..,..,
250582,"Borges Blanques, les",118,124,-6,19,14,5,50,..,..,..,
430311,"Borges del Camp, les",104,37,67,4,2,2,1,..,..,..,
170268,Borrassà,0,5,-5,0,2,-2,0,..,..,..,
080240,Borredà,26,19,7,0,0,0,8,..,..,..,
250595,Bossòst,34,30,4,17,17,0,0,..,..,..,
430326,Bot,5,7,-2,0,0,0,16,..,..,..,
430332,Botarell,61,33,28,3,6,-3,7,..,..,..,
250560,Bovera,3,7,-4,0,0,0,0,..,..,..,
430347,Bràfim,15,9,6,1,3,-2,13,..,..,..,
170274,Breda,109,93,16,5,8,-3,27,..,..,..,
080253,"Bruc, el",153,41,112,1,3,-2,0,..,..,..,
080266,"Brull, el",7,10,-3,1,0,1,1,..,..,..,
170280,Brunyola i Sant Martí Sapresa,8,10,-2,0,2,-2,0,..,..,..,
430350,Cabacés,8,9,-1,0,0,0,0,..,..,..,
250609,Cabanabona,5,2,3,0,0,0,0,..,..,..,
170314,Cabanelles,18,6,12,0,0,0,3,..,..,..,
170307,Cabanes,18,21,-3,4,0,4,10,..,..,..,
080272,"Cabanyes, les",20,12,8,0,0,0,5,..,..,..,
250616,Cabó,0,1,-1,0,0,0,0,..,..,..,
430363,Cabra del Camp,56,44,12,4,0,4,16,..,..,..,
080288,Cabrera d'Anoia,71,43,28,1,2,-1,1,..,..,..,
080291,Cabrera de Mar,178,145,33,2,3,-1,26,..,..,..,
080305,Cabrils,319,222,97,16,14,2,100,..,..,..,
170329,Cadaqués,52,27,25,10,7,3,57,..,..,..,
080312,Calaf,58,82,-24,19,2,17,45,..,..,..,
430379,Calafell,1350,609,741,131,83,48,410,..,..,..,
080348,Calders,37,27,10,1,4,-3,3,..,..,..,
080327,Caldes d'Estrac,179,109,70,14,9,5,50,..,..,..,
170335,Caldes de Malavella,321,150,171,9,17,-8,3,..,..,..,
080333,Caldes de Montbui,428,290,138,44,38,6,263,..,..,..,
080351,Calella,581,471,110,114,76,38,541,..,..,..,
080370,Calldetenes,59,53,6,0,1,-1,8,..,..,..,
080386,Callús,43,38,5,9,1,8,18,..,..,..,
080364,Calonge de Segarra,5,5,0,0,0,0,0,..,..,..,
170340,Calonge i Sant Antoni,399,242,157,54,33,21,261,..,..,..,
250621,Camarasa,16,19,-3,2,0,2,1,..,..,..,
439039,Camarles,31,41,-10,5,4,1,16,..,..,..,
430385,Cambrils,928,594,334,356,198,158,28,..,..,..,
170353,Camós,32,25,7,1,0,1,6,..,..,..,
170366,Campdevànol,89,101,-12,5,4,1,10,..,..,..,
170372,Campelles,2,1,1,1,1,0,0,..,..,..,
080399,Campins,31,15,16,1,1,0,0,..,..,..,
170388,Campllong,19,13,6,0,3,-3,2,..,..,..,
170391,Camprodon,93,96,-3,10,7,3,13,..,..,..,
250637,Canejan,2,2,0,2,0,2,0,..,..,..,
170405,Canet d'Adri,24,11,13,1,3,-2,0,..,..,..,
080403,Canet de Mar,602,228,374,32,55,-23,144,..,..,..,
080410,Canovelles,551,591,-40,81,56,25,235,..,..,..,
080425,Cànoves i Samalús,189,112,77,7,3,4,27,..,..,..,
170412,Cantallops,8,7,1,2,0,2,4,..,..,..,
080431,Canyelles,285,96,189,10,9,1,35,..,..,..,
430398,Capafonts,6,6,0,0,0,0,1,..,..,..,
430402,Capçanes,9,4,5,0,0,0,1,..,..,..,
080446,Capellades,132,142,-10,15,12,3,82,..,..,..,
170427,Capmany,36,15,21,0,1,-1,7,..,..,..,
080459,Capolat,0,2,-2,0,0,0,0,..,..,..,
080462,Cardedeu,624,392,232,40,46,-6,167,..,..,..,
080478,Cardona,55,129,-74,3,11,-8,34,..,..,..,
080484,Carme,0,10,-10,0,1,-1,0,..,..,..,
430419,Caseres,3,3,0,1,0,1,4,..,..,..,
170448,Cassà de la Selva,207,192,15,25,16,9,33,..,..,..,
080497,Casserres,30,39,-9,0,2,-2,0,..,..,..,
080575,Castell de l'Areny,13,0,13,0,0,0,0,..,..,..,
259046,Castell de Mur,7,5,2,0,1,-1,1,..,..,..,
250642,Castellar de la Ribera,0,1,-1,0,0,0,0,..,..,..,
080522,Castellar de n'Hug,9,6,3,0,1,-1,4,..,..,..,
080500,Castellar del Riu,12,11,1,1,0,1,0,..,..,..,
080517,Castellar del Vallès,762,500,262,48,58,-10,142,..,..,..,
080538,Castellbell i el Vilar,129,96,33,10,8,2,61,..,..,..,
080543,Castellbisbal,697,239,458,35,37,-2,71,..,..,..,
080556,Castellcir,47,18,29,0,0,0,13,..,..,..,
250674,Castelldans,12,14,-2,2,4,-2,0,..,..,..,
080569,Castelldefels,1879,1909,-30,423,430,-7,77,..,..,..,
080581,Castellet i la Gornal,95,72,23,2,1,1,9,..,..,..,
170464,Castellfollit de la Roca,25,41,-16,11,6,5,24,..,..,..,
080608,Castellfollit de Riubregós,4,8,-4,1,1,0,1,..,..,..,
080594,Castellfollit del Boix,17,8,9,0,1,-1,1,..,..,..,
080615,Castellgalí,74,62,12,2,2,0,1,..,..,..,
080620,Castellnou de Bages,77,11,66,6,2,4,0,..,..,..,
250680,Castellnou de Seana,15,6,9,0,0,0,2,..,..,..,
170470,Castelló d'Empúries,251,197,54,55,62,-7,552,..,..,..,
250693,Castelló de Farfanya,10,10,0,0,0,0,0,..,..,..,
080636,Castellolí,22,12,10,5,0,5,2,..,..,..,
170486,Castell-Platja d'Aro,449,305,144,71,60,11,298,..,..,..,
250707,Castellserà,12,22,-10,5,1,4,9,..,..,..,
080641,Castellterçol,104,73,31,3,6,-3,61,..,..,..,
430424,Castellvell del Camp,196,32,164,3,7,-4,0,..,..,..,
080654,Castellví de la Marca,46,46,0,5,0,5,21,..,..,..,
080667,Castellví de Rosanes,79,52,27,0,4,-4,9,..,..,..,
430430,"Catllar, el",171,90,81,18,7,11,16,..,..,..,
250714,Cava,1,1,0,0,0,0,0,..,..,..,
171899,"Cellera de Ter, la",42,51,-9,5,2,3,17,..,..,..,
170499,Celrà,124,70,54,4,12,-8,21,..,..,..,
080673,Centelles,161,112,49,19,11,8,39,..,..,..,
082687,Cercs,38,43,-5,0,0,0,6,..,..,..,
082665,Cerdanyola del Vallès,1516,1675,-159,268,294,-26,729,..,..,..,
080689,Cervelló,400,281,119,17,21,-4,68,..,..,..,
250729,Cervera,213,226,-13,65,43,22,339,..,..,..,
250735,Cervià de les Garrigues,28,13,15,0,0,0,4,..,..,..,
170502,Cervià de Ter,0,4,-4,0,0,0,0,..,..,..,
170519,Cistella,13,5,8,0,2,-2,0,..,..,..,
250740,Ciutadilla,0,11,-11,0,0,0,0,..,..,..,
250753,Clariana de Cardener,8,4,4,0,0,0,0,..,..,..,
250766,"Cogul, el",10,2,8,0,0,0,0,..,..,..,
170545,Colera,14,21,-7,0,2,-2,0,..,..,..,
250772,Coll de Nargó,11,8,3,2,1,1,4,..,..,..,
080692,Collbató,269,82,187,14,7,7,1,..,..,..,
430458,Colldejou,5,1,4,0,0,0,0,..,..,..,
080706,Collsuspina,22,5,17,0,0,0,0,..,..,..,
170558,Colomers,3,3,0,0,0,0,0,..,..,..,
251636,"Coma i la Pedra, la",12,5,7,0,0,0,0,..,..,..,
251615,Conca de Dalt,15,7,8,1,0,1,0,..,..,..,
430461,Conesa,20,6,14,0,0,0,0,..,..,..,
430477,Constantí,149,114,35,50,17,33,0,..,..,..,
080713,Copons,13,10,3,0,2,-2,1,..,..,..,
430483,Corbera d'Ebre,5,15,-10,4,1,3,2,..,..,..,
080728,Corbera de Llobregat,706,330,376,45,43,2,4,..,..,..,
250788,Corbins,22,10,12,5,3,2,3,..,..,..,
170577,Corçà,25,33,-8,0,0,0,4,..,..,..,
080734,Cornellà de Llobregat,1852,2917,-1065,340,359,-19,18,..,..,..,
170561,Cornellà del Terri,77,52,25,1,5,-4,2,..,..,..,
430496,Cornudella de Montsant,31,22,9,1,4,-3,0,..,..,..,
430509,Creixell,176,110,66,7,12,-5,44,..,..,..,
170583,Crespià,8,5,3,0,0,0,0,..,..,..,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",51,27,24,4,2,2,20,..,..,..,
080749,Cubelles,785,307,478,62,33,29,5,..,..,..,
250791,Cubells,0,4,-4,0,1,-1,0,..,..,..,
430516,Cunit,725,439,286,60,34,26,9,..,..,..,
170600,Darnius,21,21,0,2,2,0,11,..,..,..,
170617,Das,8,10,-2,0,0,0,0,..,..,..,
439018,Deltebre,95,98,-3,36,24,12,135,..,..,..,
080752,Dosrius,323,131,192,20,16,4,13,..,..,..,
430537,Duesaigües,2,2,0,2,0,2,0,..,..,..,
170622,"Escala, l'",128,135,-7,18,22,-4,57,..,..,..,
080765,Esparreguera,992,526,466,88,79,9,192,..,..,..,
170638,Espinelves,3,5,-2,0,0,0,0,..,..,..,
250812,"Espluga Calba, l'",7,8,-1,1,0,1,3,..,..,..,
430542,"Espluga de Francolí, l'",70,78,-8,21,11,10,32,..,..,..,
080771,Esplugues de Llobregat,1423,1994,-571,192,237,-45,674,..,..,..,
170643,Espolla,8,3,5,0,0,0,2,..,..,..,
170656,Esponellà,9,17,-8,1,0,1,8,..,..,..,
250827,Espot,14,8,6,2,1,1,0,..,..,..,
080787,"Espunyola, l'",13,0,13,0,0,0,0,..,..,..,
082541,"Esquirol, l'",47,48,-1,1,1,0,10,..,..,..,
