Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,6,9,-3,1,0,1,2,0,2,0,
080018,Abrera,799,462,337,65,103,-38,79,11,68,367,
250024,Àger,12,22,-10,0,0,0,6,0,6,-4,
250030,Agramunt,151,218,-67,27,68,-41,185,17,168,60,
080023,Aguilar de Segarra,12,0,12,0,0,0,2,0,2,14,
170010,Agullana,30,39,-9,3,17,-14,14,1,13,-10,
080142,Aiguafreda,177,119,58,11,7,4,12,0,12,74,
430017,Aiguamúrcia,75,31,44,0,3,-3,3,0,3,44,
170025,Aiguaviva,23,24,-1,1,2,-1,1,1,0,-2,
250387,Aitona,54,67,-13,56,73,-17,60,2,58,28,
250045,"Alamús, els",12,39,-27,6,6,0,13,0,13,-14,
250058,Alàs i Cerc,18,16,2,1,0,1,4,2,2,5,
250061,"Albagés, l'",14,13,1,1,1,0,0,0,0,1,
170031,Albanyà,14,8,6,1,0,1,0,0,0,7,
250077,Albatàrrec,74,59,15,17,15,2,38,6,32,49,
250083,Albesa,29,42,-13,10,10,0,31,1,30,17,
250096,"Albi, l'",11,41,-30,2,4,-2,8,1,7,-25,
430022,Albinyana,202,118,84,11,17,-6,11,1,10,88,
430038,"Albiol, l'",36,26,10,1,3,-2,2,0,2,10,
170046,Albons,38,29,9,4,1,3,5,0,5,17,
430043,Alcanar,269,192,77,132,162,-30,363,25,338,385,
250100,Alcanó,9,3,6,1,0,1,0,0,0,7,
250117,Alcarràs,288,165,123,76,70,6,418,2,416,545,
250122,Alcoletge,184,67,117,11,13,-2,28,0,28,143,
430056,Alcover,187,138,49,25,15,10,63,3,60,119,
439044,"Aldea, l'",96,78,18,32,24,8,165,3,162,188,
430069,Aldover,44,24,20,4,1,3,20,1,19,42,
430075,"Aleixar, l'",55,41,14,1,0,1,7,0,7,22,
080039,Alella,389,401,-12,31,44,-13,103,11,92,67,
