Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,8,5,3,3,5,-2,4,0,4,5
080018,Abrera,462,399,63,75,65,10,120,32,88,161
250024,Àger,19,14,5,4,3,1,7,3,4,10
250030,Agramunt,126,151,-25,29,38,-9,92,37,55,21
080023,Aguilar de Segarra,18,4,14,0,1,-1,0,0,0,13
170010,Agullana,39,45,-6,1,11,-10,27,4,23,7
080142,Aiguafreda,128,100,28,5,14,-9,21,0,21,40
430017,Aiguamúrcia,73,53,20,2,4,-2,5,0,5,23
170025,Aiguaviva,57,27,30,0,2,-2,4,3,1,29
250387,Aitona,53,67,-14,59,45,14,82,5,77,77
250045,"Alamús, els",37,18,19,4,3,1,10,5,5,25
250058,Alàs i Cerc,5,7,-2,3,1,2,2,4,-2,-2
250061,"Albagés, l'",10,14,-4,3,1,2,7,1,6,4
170031,Albanyà,13,3,10,0,0,0,2,0,2,12
250077,Albatàrrec,119,81,38,17,15,2,68,5,63,103
250083,Albesa,49,39,10,8,5,3,43,3,40,53
250096,"Albi, l'",19,21,-2,1,7,-6,4,2,2,-6
430022,Albinyana,115,124,-9,7,15,-8,7,6,1,-16
430038,"Albiol, l'",21,26,-5,0,0,0,0,0,0,-5
170046,Albons,44,33,11,5,5,0,12,2,10,21
430043,Alcanar,199,244,-45,142,184,-42,218,121,97,10
250100,Alcanó,9,9,0,0,1,-1,0,0,0,-1
250117,Alcarràs,496,281,215,120,80,40,185,25,160,415
250122,Alcoletge,151,93,58,31,22,9,48,12,36,103
430056,Alcover,202,114,88,36,25,11,57,33,24,123
439044,"Aldea, l'",156,132,24,36,34,2,112,4,108,134
430069,Aldover,43,13,30,3,4,-1,9,0,9,38
430075,"Aleixar, l'",29,23,6,6,3,3,3,0,3,12
080039,Alella,476,385,91,33,47,-14,118,42,76,153
430081,Alfara de Carles,18,15,3,3,0,3,5,1,4,10
250138,Alfarràs,65,83,-18,26,51,-25,40,22,18,-25
250143,Alfés,16,21,-5,1,2,-1,3,0,3,-3
430094,Alforja,109,75,34,5,11,-6,19,2,17,45
250156,Algerri,10,10,0,2,2,0,2,0,2,2
250169,Alguaire,65,102,-37,27,10,17,65,10,55,35
250175,Alins,17,2,15,2,0,2,3,0,3,20
430108,Alió,14,8,6,0,0,0,2,1,1,7
250194,Almacelles,166,136,30,91,68,23,148,25,123,176
250208,Almatret,8,15,-7,1,0,1,1,1,0,-6
250215,Almenar,80,111,-31,36,41,-5,69,18,51,15
430115,Almoster,73,48,25,1,6,-5,4,1,3,23
250220,Alòs de Balaguer,10,14,-4,0,3,-3,0,0,0,-7
170062,Alp,120,106,14,20,26,-6,48,19,29,37
080044,Alpens,9,14,-5,0,0,0,3,0,3,-2
250236,Alpicat,262,153,109,51,25,26,37,13,24,159
250241,Alt Àneu,10,19,-9,7,1,6,6,0,6,3
430120,Altafulla,257,188,69,22,30,-8,59,22,37,98
170078,Amer,79,68,11,7,6,1,28,12,16,28
430136,"Ametlla de Mar, l'",221,174,47,50,81,-31,177,36,141,157
080057,"Ametlla del Vallès, l'",407,328,79,35,27,8,65,31,34,121
439060,"Ampolla, l'",193,125,68,35,34,1,100,14,86,155
430141,Amposta,660,473,187,213,204,9,535,184,351,547
170084,Anglès,225,199,26,27,31,-4,138,52,86,108
250273,Anglesola,39,34,5,9,4,5,14,0,14,24
250292,Arbeca,67,64,3,7,7,0,29,5,24,27
430167,"Arboç, l'",190,230,-40,34,40,-6,82,48,34,-12
430154,Arbolí,8,8,0,1,0,1,1,0,1,2
170097,Arbúcies,156,211,-55,26,29,-3,169,49,120,62
080060,Arenys de Mar,675,619,56,90,113,-23,199,85,114,147
080076,Arenys de Munt,395,279,116,12,24,-12,47,24,23,127
170101,Argelaguer,27,21,6,2,1,1,5,1,4,11
080082,Argençola,13,5,8,0,0,0,2,0,2,10
