Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,0,6,-6,1,2,-1,1,1,0,-7
080018,Abrera,797,563,234,69,95,-26,110,12,98,306
250024,Àger,16,22,-6,0,2,-2,3,0,3,-5
250030,Agramunt,130,172,-42,27,65,-38,208,3,205,125
080023,Aguilar de Segarra,14,7,7,2,3,-1,2,0,2,8
170010,Agullana,45,35,10,8,6,2,14,4,10,22
080142,Aiguafreda,129,91,38,8,2,6,14,0,14,58
430017,Aiguamúrcia,40,23,17,2,5,-3,18,0,18,32
170025,Aiguaviva,26,27,-1,0,1,-1,9,0,9,7
250387,Aitona,55,68,-13,77,61,16,49,1,48,51
250045,"Alamús, els",13,28,-15,6,6,0,23,0,23,8
250058,Alàs i Cerc,25,19,6,0,0,0,4,1,3,9
250061,"Albagés, l'",16,19,-3,1,2,-1,2,0,2,-2
170031,Albanyà,4,7,-3,0,2,-2,3,1,2,-3
250077,Albatàrrec,52,65,-13,21,14,7,26,1,25,19
250083,Albesa,32,34,-2,5,9,-4,37,1,36,30
250096,"Albi, l'",12,18,-6,1,6,-5,6,0,6,-5
430022,Albinyana,203,105,98,10,8,2,15,0,15,115
430038,"Albiol, l'",52,20,32,1,0,1,2,1,1,34
170046,Albons,30,30,0,1,3,-2,8,0,8,6
430043,Alcanar,237,173,64,147,126,21,361,11,350,435
250100,Alcanó,3,4,-1,1,0,1,0,0,0,0
250117,Alcarràs,205,172,33,45,43,2,48,0,48,83
250122,Alcoletge,143,64,79,18,14,4,34,1,33,116
430056,Alcover,170,110,60,15,23,-8,62,37,25,77
439044,"Aldea, l'",111,94,17,32,9,23,101,0,101,141
430069,Aldover,32,14,18,2,5,-3,11,0,11,26
430075,"Aleixar, l'",20,21,-1,2,1,1,5,0,5,5
080039,Alella,395,434,-39,56,40,16,109,9,100,77
430081,Alfara de Carles,0,16,-16,0,2,-2,0,0,0,-18
250138,Alfarràs,88,96,-8,65,46,19,92,0,92,103
250143,Alfés,5,8,-3,0,0,0,2,0,2,-1
430094,Alforja,97,59,38,10,2,8,22,6,16,62
