Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,3,7,-4,0,0,0,3,5,-2,-6,
080018,Abrera,548,405,143,74,60,14,46,30,16,173,
250024,Àger,28,24,4,0,1,-1,6,4,2,5,
250030,Agramunt,146,156,-10,15,25,-10,49,61,-12,-32,
080023,Aguilar de Segarra,11,4,7,3,1,2,0,0,0,9,
170010,Agullana,61,46,15,5,0,5,4,3,1,21,
080142,Aiguafreda,117,110,7,8,6,2,5,25,-20,-11,
430017,Aiguamúrcia,49,71,-22,7,5,2,3,8,-5,-25,
170025,Aiguaviva,41,30,11,1,1,0,0,3,-3,8,
250387,Aitona,50,46,4,36,22,14,44,41,3,21,
250045,"Alamús, els",23,25,-2,6,4,2,14,6,8,8,
250058,Alàs i Cerc,19,7,12,2,1,1,5,7,-2,11,
250061,"Albagés, l'",12,28,-16,2,0,2,0,1,-1,-15,
170031,Albanyà,8,9,-1,0,2,-2,6,1,5,2,
250077,Albatàrrec,101,83,18,12,30,-18,38,10,28,28,
250083,Albesa,38,46,-8,12,9,3,19,19,0,-5,
250096,"Albi, l'",18,17,1,2,8,-6,1,3,-2,-7,
430022,Albinyana,123,105,18,16,17,-1,8,5,3,20,
430038,"Albiol, l'",22,12,10,0,0,0,0,0,0,10,
170046,Albons,39,46,-7,2,1,1,6,5,1,-5,
430043,Alcanar,243,235,8,184,175,9,160,78,82,99,
250100,Alcanó,5,4,1,0,0,0,0,0,0,1,
250117,Alcarràs,424,303,121,177,126,51,206,77,129,301,
250122,Alcoletge,211,100,111,37,23,14,51,20,31,156,
430056,Alcover,189,165,24,19,22,-3,36,62,-26,-5,
439044,"Aldea, l'",114,177,-63,34,41,-7,86,106,-20,-90,
430069,Aldover,20,34,-14,4,5,-1,6,1,5,-10,
430075,"Aleixar, l'",50,42,8,2,0,2,5,3,2,12,
080039,Alella,414,401,13,63,43,20,79,69,10,43,
430081,Alfara de Carles,16,14,2,0,0,0,2,0,2,4,
