Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250426,"Baronia de Rialb, la",13,7,6,2,0,2,0,1,-1,7,
170160,Bàscara,52,52,0,2,3,-1,6,3,3,2,
250447,Bassella,4,13,-9,1,0,1,4,3,1,-7,
430228,Batea,23,31,-8,2,8,-6,23,4,19,5,
250450,Bausen,3,4,-1,3,5,-2,0,0,0,-3,
080207,Begues,369,243,126,23,46,-23,49,21,28,131,
170139,Begur,145,159,-14,12,14,-2,66,14,52,36,
250463,Belianes,6,8,-2,3,2,1,6,2,4,3,
251706,Bellaguarda,11,10,1,0,1,-1,0,0,0,0,
170182,Bellcaire d'Empordà,46,38,8,2,4,-2,17,3,14,20,
250479,Bellcaire d'Urgell,37,46,-9,3,7,-4,18,6,12,-1,
250485,Bell-lloc d'Urgell,98,69,29,5,11,-6,33,15,18,41,
250498,Bellmunt d'Urgell,5,5,0,0,4,-4,1,1,0,-4,
430234,Bellmunt del Priorat,3,16,-13,1,0,1,0,0,0,-12,
080214,Bellprat,0,7,-7,0,0,0,0,3,-3,-10,
250501,Bellpuig,160,163,-3,28,32,-4,149,43,106,99,
430249,Bellvei,136,143,-7,23,14,9,39,11,28,30,
250518,Bellver de Cerdanya,100,117,-17,5,17,-12,11,7,4,-25,
250523,Bellvís,43,46,-3,8,11,-3,40,36,4,-2,
250539,Benavent de Segrià,70,54,16,11,3,8,8,8,0,24,
430252,Benifallet,26,27,-1,5,2,3,20,0,20,22,
430265,Benissanet,35,28,7,5,9,-4,38,8,30,33,
080229,Berga,574,550,24,80,78,2,376,41,335,361,
170195,Besalú,96,95,1,10,2,8,41,13,28,37,
170209,Bescanó,180,173,7,5,10,-5,23,10,13,15,
170216,Beuda,6,11,-5,1,0,1,10,0,10,6,
080235,Bigues i Riells del Fai,486,394,92,27,41,-14,42,20,22,100,
250557,Biosca,6,8,-2,0,0,0,0,0,0,-2,
170221,"Bisbal d'Empordà, la",394,356,38,53,57,-4,245,127,118,152,
