Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,6,7,-1,0,0,0,1,2,-1,-2
080018,Abrera,456,451,5,61,79,-18,57,140,-83,-96
250024,Àger,28,10,18,4,1,3,11,13,-2,19
250030,Agramunt,140,130,10,35,41,-6,85,104,-19,-15
080023,Aguilar de Segarra,7,7,0,0,0,0,0,3,-3,-3
170010,Agullana,58,40,18,5,14,-9,19,1,18,27
080142,Aiguafreda,145,118,27,18,16,2,11,2,9,38
430017,Aiguamúrcia,46,53,-7,9,4,5,9,2,7,5
170025,Aiguaviva,42,28,14,0,1,-1,2,0,2,15
250387,Aitona,56,62,-6,32,32,0,96,52,44,38
250045,"Alamús, els",12,15,-3,8,1,7,5,8,-3,1
250058,Alàs i Cerc,15,15,0,3,0,3,2,2,0,3
250061,"Albagés, l'",13,23,-10,0,0,0,0,0,0,-10
170031,Albanyà,7,11,-4,2,0,2,0,0,0,-2
250077,Albatàrrec,117,85,32,23,31,-8,90,22,68,92
250083,Albesa,38,29,9,12,4,8,34,3,31,48
250096,"Albi, l'",30,19,11,0,1,-1,4,3,1,11
430022,Albinyana,160,120,40,10,15,-5,6,3,3,38
430038,"Albiol, l'",22,12,10,0,1,-1,1,0,1,10
170046,Albons,50,19,31,1,1,0,7,0,7,38
430043,Alcanar,202,250,-48,147,190,-43,135,39,96,5
250100,Alcanó,4,6,-2,0,0,0,0,0,0,-2
250117,Alcarràs,382,285,97,85,70,15,192,117,75,187
250122,Alcoletge,144,102,42,41,21,20,73,12,61,123
430056,Alcover,173,148,25,34,32,2,39,27,12,39
439044,"Aldea, l'",175,112,63,19,27,-8,101,30,71,126
430069,Aldover,15,32,-17,5,7,-2,9,2,7,-12
430075,"Aleixar, l'",23,18,5,1,2,-1,5,0,5,9
080039,Alella,486,365,121,31,41,-10,91,45,46,157
430081,Alfara de Carles,4,7,-3,5,0,5,2,3,-1,1
250138,Alfarràs,61,72,-11,53,37,16,22,27,-5,0
250143,Alfés,26,6,20,2,6,-4,6,0,6,22
430094,Alforja,140,63,77,12,6,6,23,26,-3,80
250156,Algerri,4,16,-12,0,3,-3,4,0,4,-11
250169,Alguaire,82,100,-18,19,20,-1,51,48,3,-16
250175,Alins,10,3,7,2,0,2,4,0,4,13
430108,Alió,8,10,-2,0,0,0,3,1,2,0
250194,Almacelles,151,136,15,100,79,21,85,48,37,73
250208,Almatret,19,15,4,5,1,4,3,1,2,10
250215,Almenar,87,102,-15,29,37,-8,43,43,0,-23
430115,Almoster,56,42,14,3,2,1,11,2,9,24
250220,Alòs de Balaguer,4,4,0,0,0,0,0,0,0,0
170062,Alp,111,97,14,10,23,-13,15,27,-12,-11
080044,Alpens,7,19,-12,2,0,2,3,0,3,-7
250236,Alpicat,216,174,42,13,42,-29,31,35,-4,9
250241,Alt Àneu,20,7,13,3,2,1,1,1,0,14
430120,Altafulla,242,217,25,21,25,-4,33,41,-8,13
170078,Amer,74,80,-6,6,12,-6,20,10,10,-2
430136,"Ametlla de Mar, l'",204,174,30,61,55,6,139,158,-19,17
080057,"Ametlla del Vallès, l'",458,319,139,35,37,-2,58,37,21,158
439060,"Ampolla, l'",169,121,48,38,23,15,63,40,23,86
430141,Amposta,575,510,65,166,208,-42,332,244,88,111
170084,Anglès,152,210,-58,17,27,-10,94,46,48,-20
250273,Anglesola,35,36,-1,1,3,-2,12,3,9,6
250292,Arbeca,49,63,-14,10,4,6,27,3,24,16
430167,"Arboç, l'",263,238,25,35,33,2,71,89,-18,9
430154,Arbolí,3,3,0,0,0,0,0,0,0,0
170097,Arbúcies,170,183,-13,19,46,-27,129,34,95,55
080060,Arenys de Mar,718,642,76,95,111,-16,116,108,8,68
080076,Arenys de Munt,361,286,75,37,27,10,42,17,25,110
