Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,11,5,6,0,0,0,0,0,0,6
080018,Abrera,448,464,-16,71,67,4,52,67,-15,-27
250024,Àger,22,24,-2,2,0,2,6,5,1,1
250030,Agramunt,122,146,-24,20,25,-5,23,81,-58,-87
080023,Aguilar de Segarra,16,13,3,0,0,0,2,0,2,5
170010,Agullana,42,44,-2,7,5,2,4,5,-1,-1
080142,Aiguafreda,135,130,5,9,9,0,8,5,3,8
430017,Aiguamúrcia,33,43,-10,6,3,3,1,1,0,-7
170025,Aiguaviva,16,26,-10,0,0,0,3,1,2,-8
250387,Aitona,60,48,12,42,15,27,50,68,-18,21
250045,"Alamús, els",28,14,14,6,0,6,3,16,-13,7
250058,Alàs i Cerc,8,9,-1,4,3,1,4,3,1,1
250061,"Albagés, l'",9,17,-8,2,1,1,0,1,-1,-8
170031,Albanyà,9,12,-3,0,0,0,0,0,0,-3
250077,Albatàrrec,85,91,-6,37,28,9,50,64,-14,-11
250083,Albesa,35,41,-6,8,4,4,7,27,-20,-22
250096,"Albi, l'",7,32,-25,3,2,1,2,4,-2,-26
430022,Albinyana,116,115,1,25,16,9,4,15,-11,-1
430038,"Albiol, l'",22,22,0,1,0,1,0,2,-2,-1
170046,Albons,29,46,-17,3,2,1,10,0,10,-6
430043,Alcanar,197,216,-19,93,137,-44,79,473,-394,-457
250100,Alcanó,3,2,1,1,1,0,0,0,0,1
250117,Alcarràs,354,294,60,171,128,43,200,124,76,179
250122,Alcoletge,164,157,7,27,33,-6,23,18,5,6
430056,Alcover,153,157,-4,33,19,14,26,54,-28,-18
439044,"Aldea, l'",137,136,1,28,38,-10,62,155,-93,-102
430069,Aldover,26,27,-1,7,5,2,5,3,2,3
430075,"Aleixar, l'",58,50,8,1,2,-1,2,2,0,7
080039,Alella,422,365,57,40,49,-9,58,89,-31,17
430081,Alfara de Carles,8,15,-7,1,0,1,1,0,1,-5
250138,Alfarràs,74,78,-4,22,25,-3,15,9,6,-1
250143,Alfés,7,11,-4,1,0,1,1,1,0,-3
430094,Alforja,116,90,26,0,7,-7,5,2,3,22
250156,Algerri,19,16,3,1,3,-2,0,0,0,1
250169,Alguaire,90,102,-12,28,24,4,19,21,-2,-10
250175,Alins,7,18,-11,1,0,1,1,5,-4,-14
430108,Alió,23,24,-1,4,0,4,1,0,1,4
250194,Almacelles,114,112,2,82,101,-19,27,29,-2,-19
250208,Almatret,6,13,-7,0,1,-1,1,2,-1,-9
250215,Almenar,71,109,-38,60,57,3,33,48,-15,-50
430115,Almoster,48,39,9,5,5,0,2,2,0,9
250220,Alòs de Balaguer,7,12,-5,0,0,0,0,1,-1,-6
170062,Alp,72,114,-42,15,13,2,7,19,-12,-52
080044,Alpens,12,11,1,1,0,1,1,1,0,2
250236,Alpicat,181,173,8,29,37,-8,19,20,-1,-1
250241,Alt Àneu,15,21,-6,2,0,2,1,1,0,-4
430120,Altafulla,288,203,85,20,39,-19,16,40,-24,42
170078,Amer,70,81,-11,11,11,0,18,4,14,3
430136,"Ametlla de Mar, l'",152,154,-2,46,71,-25,73,33,40,13
080057,"Ametlla del Vallès, l'",406,337,69,19,30,-11,37,51,-14,44
439060,"Ampolla, l'",179,150,29,35,31,4,47,30,17,50
430141,Amposta,485,572,-87,126,233,-107,117,218,-101,-295
170084,Anglès,172,211,-39,10,15,-5,38,63,-25,-69
250273,Anglesola,45,48,-3,6,7,-1,4,1,3,-1
250292,Arbeca,61,73,-12,6,13,-7,16,5,11,-8
430167,"Arboç, l'",254,255,-1,21,37,-16,51,56,-5,-22
430154,Arbolí,5,10,-5,0,0,0,0,0,0,-5
170097,Arbúcies,152,248,-96,18,44,-26,73,18,55,-67
080060,Arenys de Mar,809,664,145,107,78,29,77,72,5,179
080076,Arenys de Munt,402,342,60,25,30,-5,28,18,10,65
170101,Argelaguer,27,21,6,2,0,2,0,6,-6,2
080082,Argençola,4,9,-5,0,0,0,1,3,-2,-7
430173,"Argentera, l'",6,9,-3,0,0,0,1,0,1,-2
080095,Argentona,502,396,106,50,43,7,29,48,-19,94
170118,"Armentera, l'",61,49,12,4,1,3,9,1,8,23
430189,Arnes,9,8,1,3,6,-3,0,0,0,-2
250313,Arres,1,1,0,10,0,10,1,0,1,11
250328,Arsèguel,1,3,-2,0,0,0,0,2,-2,-4
080109,Artés,219,185,34,44,32,12,37,38,-1,45
250334,Artesa de Lleida,34,37,-3,6,6,0,9,7,2,-1
250349,Artesa de Segre,101,117,-16,10,30,-20,26,10,16,-20
430192,Ascó,51,37,14,3,3,0,1,1,0,14
250365,Aspa,7,6,1,0,0,0,0,0,0,1
250371,"Avellanes i Santa Linya, les",30,28,2,5,0,5,2,1,1,8
080116,Avià,80,100,-20,1,6,-5,4,8,-4,-29
080121,Avinyó,58,75,-17,7,10,-3,9,3,6,-14
170123,Avinyonet de Puigventós,69,57,12,3,7,-4,5,2,3,11
080137,Avinyonet del Penedès,71,93,-22,8,12,-4,13,5,8,-18
080155,Badalona,6686,7858,-1172,1310,1419,-109,2554,3913,-1359,-2640
089045,Badia del Vallès,467,489,-22,65,85,-20,52,36,16,-26
080168,Bagà,59,99,-40,6,8,-2,1,4,-3,-45
250390,Baix Pallars,15,22,-7,3,4,-1,2,0,2,-6
250404,Balaguer,459,498,-39,125,144,-19,197,339,-142,-200
080174,Balenyà,141,148,-7,8,9,-1,17,20,-3,-11
080180,Balsareny,90,92,-2,7,6,1,3,9,-6,-7
430206,Banyeres del Penedès,139,126,13,7,24,-17,13,11,2,-2
170157,Banyoles,569,479,90,84,72,12,196,524,-328,-226
250411,Barbens,24,28,-4,3,3,0,16,3,13,9
430213,Barberà de la Conca,18,27,-9,4,3,1,3,0,3,-5
082520,Barberà del Vallès,1129,1235,-106,186,167,19,116,184,-68,-155
