Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
080207,Begues,315,246,69,20,56,-36,86,48,38,71
170139,Begur,221,140,81,31,19,12,104,28,76,169
250463,Belianes,12,5,7,3,4,-1,2,1,1,7
251706,Bellaguarda,16,8,8,0,0,0,3,1,2,10
170182,Bellcaire d'Empordà,67,42,25,3,1,2,3,0,3,30
250479,Bellcaire d'Urgell,49,41,8,8,3,5,18,6,12,25
250485,Bell-lloc d'Urgell,47,42,5,9,7,2,18,13,5,12
250498,Bellmunt d'Urgell,6,6,0,0,0,0,0,0,0,0
430234,Bellmunt del Priorat,16,11,5,0,0,0,1,0,1,6
080214,Bellprat,17,7,10,0,0,0,0,0,0,10
250501,Bellpuig,135,160,-25,32,25,7,73,9,64,46
430249,Bellvei,187,121,66,16,10,6,25,21,4,76
250518,Bellver de Cerdanya,208,82,126,8,9,-1,16,5,11,136
250523,Bellvís,53,45,8,12,3,9,45,45,0,17
250539,Benavent de Segrià,62,46,16,5,3,2,6,3,3,21
430252,Benifallet,20,18,2,1,0,1,17,1,16,19
430265,Benissanet,35,38,-3,4,10,-6,20,2,18,9
080229,Berga,510,552,-42,102,67,35,206,41,165,158
170195,Besalú,88,84,4,9,5,4,35,14,21,29
170209,Bescanó,212,133,79,22,10,12,18,9,9,100
170216,Beuda,12,9,3,1,0,1,4,1,3,7
080235,Bigues i Riells del Fai,547,338,209,27,32,-5,37,43,-6,198
250557,Biosca,5,7,-2,5,0,5,1,0,1,4
170221,"Bisbal d'Empordà, la",375,351,24,29,40,-11,142,84,58,71
430271,"Bisbal de Falset, la",8,4,4,5,0,5,1,0,1,10
430287,"Bisbal del Penedès, la",368,161,207,13,20,-7,36,6,30,230
172348,Biure,15,9,6,2,2,0,5,1,4,10
430290,Blancafort,21,4,17,1,2,-1,3,1,2,18
170237,Blanes,1419,1106,313,256,301,-45,618,391,227,495
170293,Boadella i les Escaules,11,11,0,0,0,0,0,1,-1,-1
170242,Bolvir,119,9,110,3,0,3,2,3,-1,112
430304,Bonastre,90,50,40,7,5,2,8,4,4,46
250576,"Bòrdes, Es",28,9,19,11,3,8,1,0,1,28
170255,Bordils,99,54,45,3,9,-6,18,24,-6,33
250582,"Borges Blanques, les",214,155,59,44,36,8,54,51,3,70
430311,"Borges del Camp, les",104,67,37,11,13,-2,23,1,22,57
170268,Borrassà,35,38,-3,3,4,-1,8,7,1,-3
080240,Borredà,20,23,-3,2,2,0,1,0,1,-2
250595,Bossòst,49,37,12,16,19,-3,20,8,12,21
430326,Bot,23,14,9,1,2,-1,12,2,10,18
430332,Botarell,60,35,25,2,2,0,1,3,-2,23
250560,Bovera,16,6,10,3,0,3,7,0,7,20
430347,Bràfim,28,19,9,2,4,-2,11,0,11,18
170274,Breda,186,117,69,15,5,10,24,19,5,84
080253,"Bruc, el",149,99,50,12,5,7,15,4,11,68
080266,"Brull, el",17,2,15,4,1,3,2,1,1,19
170280,Brunyola i Sant Martí Sapresa,33,26,7,0,0,0,5,3,2,9
