Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,7,4,3,0,1,-1,3,0,3,5
080018,Abrera,465,434,31,68,64,4,74,43,31,66
250024,Àger,16,19,-3,0,0,0,9,12,-3,-6
250030,Agramunt,108,127,-19,17,14,3,62,44,18,2
080023,Aguilar de Segarra,15,3,12,0,0,0,0,0,0,12
170010,Agullana,26,28,-2,6,3,3,9,19,-10,-9
080142,Aiguafreda,148,93,55,16,4,12,10,17,-7,60
430017,Aiguamúrcia,31,36,-5,6,9,-3,5,0,5,-3
170025,Aiguaviva,43,25,18,0,0,0,0,1,-1,17
250387,Aitona,64,44,20,40,23,17,78,47,31,68
250045,"Alamús, els",32,43,-11,2,5,-3,7,1,6,-8
250058,Alàs i Cerc,15,12,3,0,0,0,3,2,1,4
250061,"Albagés, l'",18,21,-3,1,2,-1,0,1,-1,-5
170031,Albanyà,9,15,-6,0,0,0,1,0,1,-5
250077,Albatàrrec,101,97,4,34,32,2,47,75,-28,-22
250083,Albesa,12,32,-20,5,4,1,28,16,12,-7
250096,"Albi, l'",11,24,-13,0,2,-2,2,4,-2,-17
430022,Albinyana,172,136,36,6,7,-1,6,8,-2,33
430038,"Albiol, l'",34,11,23,1,2,-1,0,2,-2,20
170046,Albons,44,45,-1,5,5,0,9,1,8,7
430043,Alcanar,203,161,42,84,112,-28,135,113,22,36
250100,Alcanó,6,5,1,0,0,0,0,3,-3,-2
250117,Alcarràs,306,309,-3,117,104,13,271,196,75,85
250122,Alcoletge,187,139,48,24,32,-8,45,3,42,82
430056,Alcover,175,150,25,16,11,5,38,20,18,48
439044,"Aldea, l'",113,123,-10,19,17,2,81,108,-27,-35
430069,Aldover,19,35,-16,5,2,3,4,0,4,-9
430075,"Aleixar, l'",18,36,-18,4,3,1,4,3,1,-16
080039,Alella,467,431,36,48,50,-2,123,95,28,62
430081,Alfara de Carles,12,12,0,2,3,-1,2,0,2,1
250138,Alfarràs,51,66,-15,21,20,1,23,49,-26,-40
250143,Alfés,5,17,-12,1,1,0,1,2,-1,-13
430094,Alforja,60,96,-36,10,12,-2,10,3,7,-31
250156,Algerri,22,18,4,2,0,2,0,3,-3,3
250169,Alguaire,73,88,-15,23,14,9,33,23,10,4
250175,Alins,3,3,0,0,3,-3,7,1,6,3
430108,Alió,21,27,-6,7,0,7,1,1,0,1
250194,Almacelles,171,136,35,95,89,6,68,33,35,76
250208,Almatret,6,13,-7,1,2,-1,4,0,4,-4
250215,Almenar,81,92,-11,43,32,11,54,59,-5,-5
430115,Almoster,22,63,-41,2,2,0,4,4,0,-41
250220,Alòs de Balaguer,7,3,4,0,0,0,0,0,0,4
170062,Alp,62,95,-33,13,8,5,15,20,-5,-33
080044,Alpens,2,15,-13,0,1,-1,0,0,0,-14
250236,Alpicat,251,229,22,37,31,6,34,34,0,28
250241,Alt Àneu,16,17,-1,2,3,-1,7,1,6,4
430120,Altafulla,264,223,41,32,27,5,46,42,4,50
170078,Amer,71,68,3,12,18,-6,8,11,-3,-6
430136,"Ametlla de Mar, l'",139,235,-96,37,49,-12,109,384,-275,-383
080057,"Ametlla del Vallès, l'",336,333,3,33,20,13,63,49,14,30
