Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,6,14,-8,0,0,0,4,1,3,-5
080018,Abrera,511,403,108,45,76,-31,50,24,26,103
250024,Àger,18,13,5,3,1,2,9,5,4,11
250030,Agramunt,138,150,-12,21,38,-17,37,46,-9,-38
080023,Aguilar de Segarra,9,7,2,0,0,0,0,2,-2,0
170010,Agullana,36,35,1,4,5,-1,5,6,-1,-1
080142,Aiguafreda,139,107,32,5,18,-13,10,0,10,29
430017,Aiguamúrcia,44,35,9,7,8,-1,4,2,2,10
170025,Aiguaviva,26,17,9,0,0,0,6,2,4,13
250387,Aitona,53,62,-9,30,27,3,37,46,-9,-15
250045,"Alamús, els",46,35,11,5,7,-2,3,9,-6,3
250058,Alàs i Cerc,8,13,-5,0,0,0,5,5,0,-5
250061,"Albagés, l'",16,13,3,1,0,1,0,0,0,4
170031,Albanyà,26,8,18,2,0,2,0,0,0,20
250077,Albatàrrec,89,123,-34,13,13,0,29,10,19,-15
250083,Albesa,23,42,-19,13,1,12,10,12,-2,-9
250096,"Albi, l'",14,24,-10,4,0,4,3,1,2,-4
430022,Albinyana,135,136,-1,8,14,-6,4,3,1,-6
430038,"Albiol, l'",14,11,3,0,0,0,4,1,3,6
170046,Albons,52,30,22,4,2,2,5,0,5,29
430043,Alcanar,201,219,-18,98,182,-84,87,241,-154,-256
250100,Alcanó,15,6,9,0,0,0,0,1,-1,8
250117,Alcarràs,405,316,89,155,114,41,157,121,36,166
250122,Alcoletge,171,152,19,21,26,-5,22,36,-14,0
430056,Alcover,169,159,10,13,22,-9,26,39,-13,-12
439044,"Aldea, l'",124,166,-42,39,43,-4,61,149,-88,-134
430069,Aldover,27,22,5,8,6,2,3,1,2,9
430075,"Aleixar, l'",31,45,-14,6,5,1,2,0,2,-11
080039,Alella,450,404,46,35,46,-11,98,48,50,85
430081,Alfara de Carles,7,9,-2,3,6,-3,2,1,1,-4
250138,Alfarràs,60,85,-25,21,36,-15,15,25,-10,-50
250143,Alfés,10,23,-13,0,1,-1,0,3,-3,-17
430094,Alforja,94,93,1,7,3,4,5,5,0,5
250156,Algerri,29,30,-1,3,2,1,0,0,0,0
250169,Alguaire,57,84,-27,38,29,9,21,9,12,-6
250175,Alins,9,7,2,1,2,-1,3,2,1,2
430108,Alió,33,15,18,3,2,1,0,1,-1,18
250194,Almacelles,137,129,8,78,87,-9,55,19,36,35
250208,Almatret,10,7,3,0,1,-1,3,2,1,3
250215,Almenar,67,88,-21,41,38,3,20,29,-9,-27
430115,Almoster,57,36,21,2,1,1,1,2,-1,21
250220,Alòs de Balaguer,8,6,2,0,0,0,0,1,-1,1
170062,Alp,78,106,-28,10,17,-7,9,12,-3,-38
080044,Alpens,7,8,-1,1,0,1,0,0,0,0
250236,Alpicat,210,179,31,33,29,4,35,28,7,42
250241,Alt Àneu,8,26,-18,2,1,1,1,2,-1,-18
430120,Altafulla,310,216,94,21,31,-10,41,56,-15,69
170078,Amer,79,77,2,8,16,-8,20,6,14,8
430136,"Ametlla de Mar, l'",192,205,-13,45,68,-23,94,23,71,35
080057,"Ametlla del Vallès, l'",405,321,84,24,28,-4,20,32,-12,68
439060,"Ampolla, l'",183,130,53,29,34,-5,41,21,20,68
430141,Amposta,669,566,103,167,180,-13,185,201,-16,74
170084,Anglès,180,216,-36,12,31,-19,47,42,5,-50
250273,Anglesola,39,39,0,7,5,2,3,1,2,4
250292,Arbeca,32,60,-28,11,5,6,18,20,-2,-24
430167,"Arboç, l'",252,250,2,51,47,4,66,45,21,27
430154,Arbolí,8,10,-2,0,3,-3,4,0,4,-1
170097,Arbúcies,136,238,-102,16,34,-18,43,155,-112,-232
080060,Arenys de Mar,765,563,202,98,98,0,121,107,14,216
080076,Arenys de Munt,387,367,20,32,25,7,22,15,7,34
170101,Argelaguer,19,16,3,1,0,1,0,3,-3,1
080082,Argençola,1,8,-7,1,1,0,0,0,0,-7
430173,"Argentera, l'",7,9,-2,0,0,0,0,0,0,-2
080095,Argentona,482,452,30,47,67,-20,40,52,-12,-2
170118,"Armentera, l'",41,42,-1,3,3,0,4,0,4,3
430189,Arnes,10,13,-3,3,3,0,0,0,0,-3
250313,Arres,1,5,-4,0,1,-1,0,0,0,-5
250328,Arsèguel,4,6,-2,0,0,0,0,1,-1,-3
080109,Artés,231,186,45,24,38,-14,35,39,-4,27
250334,Artesa de Lleida,55,34,21,5,7,-2,7,18,-11,8
250349,Artesa de Segre,81,100,-19,11,16,-5,29,42,-13,-37
430192,Ascó,62,51,11,3,10,-7,5,0,5,9
250365,Aspa,7,7,0,0,0,0,0,0,0,0
250371,"Avellanes i Santa Linya, les",28,18,10,5,5,0,8,1,7,17
080116,Avià,102,70,32,7,6,1,8,10,-2,31
080121,Avinyó,70,74,-4,2,9,-7,9,3,6,-5
170123,Avinyonet de Puigventós,76,52,24,6,2,4,8,1,7,35
080137,Avinyonet del Penedès,71,90,-19,7,1,6,8,3,5,-8
080155,Badalona,7245,8158,-913,1304,1574,-270,3135,3744,-609,-1792
089045,Badia del Vallès,460,435,25,87,102,-15,43,49,-6,4
080168,Bagà,51,126,-75,5,7,-2,2,5,-3,-80
250390,Baix Pallars,18,14,4,1,0,1,2,2,0,5
250404,Balaguer,405,596,-191,134,143,-9,189,168,21,-179
080174,Balenyà,172,147,25,14,11,3,18,25,-7,21
080180,Balsareny,101,102,-1,16,6,10,18,11,7,16
430206,Banyeres del Penedès,190,150,40,14,22,-8,12,27,-15,17
170157,Banyoles,601,537,64,108,73,35,172,249,-77,22
250411,Barbens,23,23,0,3,2,1,6,53,-47,-46
430213,Barberà de la Conca,32,25,7,2,6,-4,1,5,-4,-1
082520,Barberà del Vallès,1186,1216,-30,163,166,-3,140,147,-7,-40
080193,Barcelona,34180,39150,-4970,15257,14735,522,37564,34570,2994,-1454
250426,"Baronia de Rialb, la",9,10,-1,6,0,6,2,0,2,7
170160,Bàscara,52,40,12,4,4,0,4,3,1,13
250447,Bassella,14,5,9,3,0,3,0,9,-9,3
430228,Batea,21,28,-7,8,11,-3,4,6,-2,-12
250450,Bausen,0,1,-1,0,0,0,0,0,0,-1
080207,Begues,325,230,95,43,69,-26,32,49,-17,52
170139,Begur,134,145,-11,13,15,-2,42,82,-40,-53
250463,Belianes,11,12,-1,1,1,0,6,2,4,3
251706,Bellaguarda,2,14,-12,0,1,-1,1,0,1,-12
170182,Bellcaire d'Empordà,36,28,8,4,1,3,5,12,-7,4
250479,Bellcaire d'Urgell,30,40,-10,3,6,-3,7,3,4,-9
250485,Bell-lloc d'Urgell,51,68,-17,3,3,0,8,64,-56,-73
250498,Bellmunt d'Urgell,7,5,2,0,1,-1,0,0,0,1
430234,Bellmunt del Priorat,8,19,-11,0,1,-1,1,0,1,-11
080214,Bellprat,0,1,-1,0,0,0,0,1,-1,-2
250501,Bellpuig,170,155,15,35,44,-9,45,19,26,32
430249,Bellvei,130,111,19,12,17,-5,15,16,-1,13
250518,Bellver de Cerdanya,94,201,-107,5,15,-10,21,11,10,-107
250523,Bellvís,63,56,7,11,15,-4,26,39,-13,-10
250539,Benavent de Segrià,42,59,-17,22,17,5,4,9,-5,-17
430252,Benifallet,0,13,-13,0,0,0,0,0,0,-13
430265,Benissanet,40,33,7,7,6,1,16,23,-7,1
080229,Berga,463,497,-34,79,94,-15,76,201,-125,-174
170195,Besalú,83,72,11,12,11,1,12,16,-4,8
170209,Bescanó,231,113,118,13,13,0,8,20,-12,106
170216,Beuda,22,5,17,0,0,0,2,0,2,19
080235,Bigues i Riells del Fai,374,402,-28,33,28,5,23,17,6,-17
250557,Biosca,0,4,-4,1,1,0,0,0,0,-4
170221,"Bisbal d'Empordà, la",374,329,45,40,62,-22,102,99,3,26
430271,"Bisbal de Falset, la",5,9,-4,2,1,1,0,3,-3,-6
430287,"Bisbal del Penedès, la",220,176,44,28,19,9,7,25,-18,35
