Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,7,3,4,2,3,-1,5,0,5,8,
080018,Abrera,503,471,32,51,84,-33,96,58,38,37,
250024,Àger,35,28,7,1,2,-1,6,2,4,10,
250030,Agramunt,123,123,0,20,17,3,101,44,57,60,
080023,Aguilar de Segarra,8,12,-4,0,0,0,1,1,0,-4,
170010,Agullana,53,44,9,11,8,3,20,2,18,30,
080142,Aiguafreda,134,123,11,9,15,-6,18,1,17,22,
430017,Aiguamúrcia,57,52,5,10,3,7,17,4,13,25,
170025,Aiguaviva,42,32,10,0,0,0,6,5,1,11,
250387,Aitona,68,87,-19,43,20,23,116,135,-19,-15,
250045,"Alamús, els",37,41,-4,8,13,-5,13,2,11,2,
250058,Alàs i Cerc,9,8,1,0,2,-2,2,6,-4,-5,
250061,"Albagés, l'",8,6,2,0,2,-2,2,0,2,2,
170031,Albanyà,15,15,0,2,3,-1,1,0,1,0,
250077,Albatàrrec,79,111,-32,27,18,9,65,30,35,12,
250083,Albesa,35,43,-8,12,8,4,34,28,6,2,
250096,"Albi, l'",13,21,-8,2,1,1,2,7,-5,-12,
430022,Albinyana,169,129,40,3,11,-8,19,4,15,47,
430038,"Albiol, l'",32,20,12,0,1,-1,3,1,2,13,
170046,Albons,34,39,-5,3,9,-6,14,2,12,1,
430043,Alcanar,237,204,33,121,128,-7,154,63,91,117,
250100,Alcanó,5,2,3,0,0,0,1,1,0,3,
250117,Alcarràs,293,246,47,96,84,12,312,130,182,241,
250122,Alcoletge,135,180,-45,35,12,23,75,25,50,28,
430056,Alcover,183,143,40,19,21,-2,53,19,34,72,
439044,"Aldea, l'",131,156,-25,33,43,-10,100,32,68,33,
430069,Aldover,34,31,3,10,4,6,21,1,20,29,
430075,"Aleixar, l'",47,38,9,2,2,0,9,1,8,17,
080039,Alella,499,413,86,32,45,-13,159,66,93,166,
430081,Alfara de Carles,12,19,-7,1,2,-1,4,1,3,-5,
250138,Alfarràs,57,65,-8,24,23,1,31,37,-6,-13,
250143,Alfés,12,16,-4,0,1,-1,1,0,1,-4,
430094,Alforja,75,71,4,6,12,-6,15,4,11,9,
250156,Algerri,25,14,11,4,0,4,7,0,7,22,
250169,Alguaire,98,101,-3,21,16,5,92,27,65,67,
250175,Alins,6,5,1,0,1,-1,3,0,3,3,
430108,Alió,28,20,8,3,2,1,11,1,10,19,
250194,Almacelles,129,161,-32,83,82,1,200,16,184,153,
250208,Almatret,10,11,-1,4,3,1,5,8,-3,-3,
250215,Almenar,60,95,-35,29,34,-5,80,52,28,-12,
430115,Almoster,41,46,-5,0,1,-1,2,2,0,-6,
250220,Alòs de Balaguer,9,4,5,1,5,-4,3,0,3,4,
170062,Alp,98,82,16,20,26,-6,19,3,16,26,
080044,Alpens,9,19,-10,0,0,0,5,0,5,-5,
250236,Alpicat,218,176,42,25,52,-27,46,31,15,30,
250241,Alt Àneu,22,13,9,1,0,1,1,1,0,10,
430120,Altafulla,308,252,56,28,35,-7,67,46,21,70,
170078,Amer,107,78,29,9,9,0,22,2,20,49,
430136,"Ametlla de Mar, l'",195,213,-18,70,67,3,223,45,178,163,
080057,"Ametlla del Vallès, l'",519,404,115,28,49,-21,90,18,72,166,
439060,"Ampolla, l'",207,159,48,33,25,8,84,35,49,105,
430141,Amposta,692,554,138,163,172,-9,377,64,313,442,
170084,Anglès,183,249,-66,29,14,15,152,54,98,47,
250273,Anglesola,53,60,-7,12,9,3,15,2,13,9,
250292,Arbeca,60,70,-10,12,9,3,39,2,37,30,
430167,"Arboç, l'",243,281,-38,50,32,18,155,47,108,88,
430154,Arbolí,4,9,-5,0,1,-1,0,0,0,-6,
170097,Arbúcies,191,184,7,28,28,0,84,10,74,81,
080060,Arenys de Mar,749,689,60,69,110,-41,352,68,284,303,
080076,Arenys de Munt,474,340,134,28,35,-7,96,17,79,206,
170101,Argelaguer,26,24,2,5,4,1,2,0,2,5,
080082,Argençola,13,7,6,0,3,-3,0,0,0,3,
430173,"Argentera, l'",5,9,-4,0,0,0,0,0,0,-4,
080095,Argentona,568,484,84,46,54,-8,77,38,39,115,
170118,"Armentera, l'",46,33,13,0,3,-3,11,1,10,20,
430189,Arnes,9,18,-9,7,6,1,1,2,-1,-9,
250313,Arres,0,4,-4,0,0,0,0,0,0,-4,
250328,Arsèguel,3,8,-5,1,0,1,1,0,1,-3,
