Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,9,5,4,0,0,0,7,0,7,11,
080018,Abrera,496,458,38,73,57,16,62,26,36,90,
250024,Àger,17,23,-6,0,0,0,1,4,-3,-9,
250030,Agramunt,101,151,-50,22,24,-2,59,85,-26,-78,
080023,Aguilar de Segarra,10,7,3,1,0,1,3,0,3,7,
170010,Agullana,48,37,11,12,7,5,7,6,1,17,
080142,Aiguafreda,158,151,7,10,6,4,7,10,-3,8,
430017,Aiguamúrcia,38,38,0,4,2,2,4,17,-13,-11,
170025,Aiguaviva,22,36,-14,0,0,0,1,1,0,-14,
250387,Aitona,82,50,32,42,33,9,78,36,42,83,
250045,"Alamús, els",36,31,5,9,4,5,11,3,8,18,
250058,Alàs i Cerc,14,14,0,0,2,-2,2,0,2,0,
250061,"Albagés, l'",4,18,-14,0,2,-2,3,0,3,-13,
170031,Albanyà,19,17,2,0,4,-4,0,0,0,-2,
250077,Albatàrrec,67,72,-5,28,22,6,94,37,57,58,
250083,Albesa,15,30,-15,13,3,10,8,28,-20,-25,
250096,"Albi, l'",13,22,-9,5,6,-1,3,0,3,-7,
430022,Albinyana,121,131,-10,7,18,-11,7,1,6,-15,
430038,"Albiol, l'",19,15,4,1,0,1,4,0,4,9,
170046,Albons,35,28,7,9,1,8,17,5,12,27,
430043,Alcanar,204,250,-46,85,118,-33,138,138,0,-79,
250100,Alcanó,7,5,2,0,0,0,2,0,2,4,
250117,Alcarràs,342,363,-21,117,87,30,193,141,52,61,
250122,Alcoletge,185,117,68,26,22,4,32,7,25,97,
430056,Alcover,150,162,-12,20,25,-5,48,26,22,5,
439044,"Aldea, l'",98,152,-54,25,35,-10,83,58,25,-39,
430069,Aldover,19,36,-17,1,5,-4,1,2,-1,-22,
430075,"Aleixar, l'",51,40,11,2,4,-2,10,16,-6,3,
080039,Alella,469,435,34,29,34,-5,97,87,10,39,
430081,Alfara de Carles,11,7,4,0,0,0,0,4,-4,0,
250138,Alfarràs,58,107,-49,44,44,0,21,12,9,-40,
250143,Alfés,11,9,2,0,1,-1,1,0,1,2,
430094,Alforja,108,123,-15,13,6,7,16,11,5,-3,
250156,Algerri,17,14,3,7,4,3,3,0,3,9,
250169,Alguaire,78,76,2,22,23,-1,33,13,20,21,
250175,Alins,7,6,1,1,2,-1,0,0,0,0,
430108,Alió,18,25,-7,0,0,0,0,7,-7,-14,
250194,Almacelles,135,122,13,70,82,-12,84,23,61,62,
250208,Almatret,10,13,-3,10,5,5,7,1,6,8,
250215,Almenar,71,79,-8,37,37,0,36,33,3,-5,
430115,Almoster,35,46,-11,4,4,0,2,1,1,-10,
250220,Alòs de Balaguer,6,4,2,0,3,-3,0,0,0,-1,
170062,Alp,64,103,-39,20,8,12,9,42,-33,-60,
080044,Alpens,11,8,3,1,1,0,0,1,-1,2,
250236,Alpicat,166,181,-15,29,35,-6,31,46,-15,-36,
250241,Alt Àneu,14,11,3,2,3,-1,0,2,-2,0,
430120,Altafulla,213,204,9,40,34,6,48,32,16,31,
170078,Amer,75,68,7,4,5,-1,18,7,11,17,
430136,"Ametlla de Mar, l'",224,202,22,65,52,13,125,53,72,107,
080057,"Ametlla del Vallès, l'",341,326,15,49,33,16,46,31,15,46,
439060,"Ampolla, l'",124,137,-13,46,47,-1,63,123,-60,-74,
430141,Amposta,530,607,-77,138,211,-73,209,152,57,-93,
170084,Anglès,151,182,-31,30,16,14,43,84,-41,-58,
250273,Anglesola,33,53,-20,4,6,-2,9,15,-6,-28,
250292,Arbeca,53,57,-4,8,2,6,21,3,18,20,
430167,"Arboç, l'",222,266,-44,47,43,4,48,44,4,-36,
430154,Arbolí,7,5,2,0,0,0,0,0,0,2,
170097,Arbúcies,173,185,-12,41,14,27,109,67,42,57,
080060,Arenys de Mar,715,668,47,79,86,-7,132,103,29,69,
080076,Arenys de Munt,372,397,-25,21,36,-15,17,39,-22,-62,
170101,Argelaguer,26,19,7,0,0,0,2,0,2,9,
080082,Argençola,10,7,3,2,1,1,1,0,1,5,
430173,"Argentera, l'",2,9,-7,0,2,-2,0,0,0,-9,
080095,Argentona,462,404,58,46,45,1,68,30,38,97,
