Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,15,8,7,0,4,-4,0,..,..,..,
080018,Abrera,466,281,185,47,38,9,62,..,..,..,
250024,Àger,12,16,-4,1,0,1,1,..,..,..,
250030,Agramunt,75,82,-7,4,11,-7,13,..,..,..,
080023,Aguilar de Segarra,5,7,-2,0,0,0,0,..,..,..,
170010,Agullana,17,11,6,0,1,-1,5,..,..,..,
080142,Aiguafreda,58,75,-17,9,2,7,9,..,..,..,
430017,Aiguamúrcia,22,26,-4,2,0,2,5,..,..,..,
170025,Aiguaviva,39,24,15,1,1,0,5,..,..,..,
250387,Aitona,39,37,2,15,14,1,3,..,..,..,
250045,"Alamús, els",5,3,2,0,2,-2,5,..,..,..,
250058,Alàs i Cerc,7,10,-3,0,4,-4,1,..,..,..,
250061,"Albagés, l'",6,6,0,3,4,-1,0,..,..,..,
170031,Albanyà,0,3,-3,0,0,0,0,..,..,..,
250077,Albatàrrec,49,26,23,5,2,3,5,..,..,..,
250083,Albesa,26,15,11,4,1,3,8,..,..,..,
250096,"Albi, l'",19,15,4,2,5,-3,10,..,..,..,
430022,Albinyana,234,70,164,7,4,3,10,..,..,..,
430038,"Albiol, l'",17,13,4,0,0,0,0,..,..,..,
170046,Albons,33,19,14,5,1,4,12,..,..,..,
430043,Alcanar,129,129,0,75,78,-3,334,..,..,..,
250100,Alcanó,0,3,-3,0,0,0,0,..,..,..,
250117,Alcarràs,31,59,-28,5,18,-13,0,..,..,..,
250122,Alcoletge,101,42,59,12,1,11,12,..,..,..,
430056,Alcover,108,84,24,13,16,-3,31,..,..,..,
439044,"Aldea, l'",51,83,-32,11,7,4,50,..,..,..,
430069,Aldover,17,18,-1,3,1,2,2,..,..,..,
430075,"Aleixar, l'",16,16,0,1,0,1,8,..,..,..,
080039,Alella,440,344,96,31,22,9,98,..,..,..,
430081,Alfara de Carles,4,5,-1,1,1,0,0,..,..,..,
250138,Alfarràs,27,47,-20,27,14,13,0,..,..,..,
250143,Alfés,11,7,4,0,0,0,0,..,..,..,
430094,Alforja,79,24,55,3,1,2,7,..,..,..,
250156,Algerri,5,7,-2,0,1,-1,2,..,..,..,
250169,Alguaire,33,46,-13,3,5,-2,9,..,..,..,
250175,Alins,5,1,4,0,0,0,0,..,..,..,
430108,Alió,17,13,4,0,0,0,7,..,..,..,
250194,Almacelles,55,40,15,29,25,4,36,..,..,..,
250208,Almatret,6,11,-5,3,1,2,0,..,..,..,
250215,Almenar,54,38,16,19,6,13,3,..,..,..,
430115,Almoster,65,41,24,0,0,0,0,..,..,..,
250220,Alòs de Balaguer,3,11,-8,0,1,-1,7,..,..,..,
170062,Alp,84,43,41,2,4,-2,0,..,..,..,
080044,Alpens,8,3,5,0,0,0,0,..,..,..,
250236,Alpicat,287,65,222,33,8,25,9,..,..,..,
250241,Alt Àneu,14,8,6,1,0,1,0,..,..,..,
430120,Altafulla,260,144,116,22,11,11,59,..,..,..,
170078,Amer,16,30,-14,0,1,-1,14,..,..,..,
430136,"Ametlla de Mar, l'",93,116,-23,25,41,-16,107,..,..,..,
080057,"Ametlla del Vallès, l'",406,239,167,20,17,3,77,..,..,..,
439060,"Ampolla, l'",99,30,69,17,4,13,36,..,..,..,
430141,Amposta,337,247,90,97,92,5,295,..,..,..,
170084,Anglès,106,163,-57,7,10,-3,1,..,..,..,
250273,Anglesola,22,24,-2,0,1,-1,13,..,..,..,
250292,Arbeca,25,50,-25,1,11,-10,101,..,..,..,
430167,"Arboç, l'",141,115,26,28,12,16,76,..,..,..,
430154,Arbolí,6,3,3,0,0,0,0,..,..,..,
170097,Arbúcies,157,119,38,36,11,25,114,..,..,..,
080060,Arenys de Mar,565,462,103,67,98,-31,133,..,..,..,
080076,Arenys de Munt,406,221,185,13,18,-5,39,..,..,..,
170101,Argelaguer,27,5,22,0,0,0,0,..,..,..,
080082,Argençola,0,9,-9,0,3,-3,0,..,..,..,
430173,"Argentera, l'",4,3,1,0,0,0,0,..,..,..,
080095,Argentona,597,346,251,19,27,-8,0,..,..,..,
170118,"Armentera, l'",18,27,-9,0,0,0,0,..,..,..,
430189,Arnes,9,17,-8,5,3,2,0,..,..,..,
250313,Arres,0,3,-3,0,0,0,0,..,..,..,
250328,Arsèguel,0,5,-5,0,0,0,0,..,..,..,
080109,Artés,125,82,43,9,14,-5,0,..,..,..,
250334,Artesa de Lleida,21,15,6,4,3,1,0,..,..,..,
250349,Artesa de Segre,79,69,10,12,17,-5,61,..,..,..,
430192,Ascó,32,42,-10,6,0,6,0,..,..,..,
250365,Aspa,0,2,-2,0,0,0,0,..,..,..,
250371,"Avellanes i Santa Linya, les",6,10,-4,1,0,1,0,..,..,..,
080116,Avià,72,37,35,0,5,-5,6,..,..,..,
080121,Avinyó,49,41,8,5,13,-8,16,..,..,..,
170123,Avinyonet de Puigventós,127,37,90,1,5,-4,3,..,..,..,
080137,Avinyonet del Penedès,60,41,19,9,5,4,26,..,..,..,
080155,Badalona,3929,6305,-2376,658,842,-184,76,..,..,..,
089045,Badia del Vallès,295,802,-507,59,89,-30,4,..,..,..,
080168,Bagà,55,37,18,8,4,4,0,..,..,..,
250390,Baix Pallars,0,4,-4,0,0,0,0,..,..,..,
250404,Balaguer,237,211,26,98,76,22,10,..,..,..,
080174,Balenyà,88,90,-2,3,9,-6,28,..,..,..,
080180,Balsareny,70,69,1,6,8,-2,2,..,..,..,
430206,Banyeres del Penedès,95,90,5,14,4,10,37,..,..,..,
170157,Banyoles,344,418,-74,40,50,-10,289,..,..,..,
250411,Barbens,9,24,-15,6,4,2,4,..,..,..,
430213,Barberà de la Conca,16,14,2,1,0,1,5,..,..,..,
082520,Barberà del Vallès,840,1092,-252,71,91,-20,12,..,..,..,
080193,Barcelona,15500,35614,-20114,6436,8504,-2068,1636,..,..,..,
250426,"Baronia de Rialb, la",9,2,7,1,0,1,0,..,..,..,
170160,Bàscara,24,22,2,4,0,4,9,..,..,..,
250447,Bassella,5,5,0,0,0,0,0,..,..,..,
430228,Batea,21,24,-3,9,6,3,45,..,..,..,
250450,Bausen,0,1,-1,0,0,0,0,..,..,..,
080207,Begues,362,122,240,11,17,-6,0,..,..,..,
