Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,5,4,1,0,0,0,0,0,0,1,
080018,Abrera,494,457,37,70,69,1,52,188,-136,-98,
250024,Àger,35,19,16,2,1,1,4,3,1,18,
250030,Agramunt,100,124,-24,29,24,5,46,37,9,-10,
080023,Aguilar de Segarra,7,10,-3,0,0,0,0,1,-1,-4,
170010,Agullana,36,29,7,6,3,3,11,3,8,18,
080142,Aiguafreda,145,164,-19,8,6,2,8,7,1,-16,
430017,Aiguamúrcia,46,44,2,1,4,-3,2,1,1,0,
170025,Aiguaviva,19,33,-14,5,1,4,0,7,-7,-17,
250387,Aitona,79,49,30,44,26,18,77,59,18,66,
250045,"Alamús, els",31,13,18,3,7,-4,6,8,-2,12,
250058,Alàs i Cerc,15,15,0,1,0,1,2,0,2,3,
250061,"Albagés, l'",8,15,-7,1,0,1,3,0,3,-3,
170031,Albanyà,9,19,-10,2,1,1,4,0,4,-5,
250077,Albatàrrec,88,72,16,21,23,-2,76,23,53,67,
250083,Albesa,32,30,2,9,2,7,25,22,3,12,
250096,"Albi, l'",15,20,-5,0,6,-6,0,1,-1,-12,
430022,Albinyana,118,123,-5,18,23,-5,4,9,-5,-15,
430038,"Albiol, l'",17,27,-10,0,0,0,1,0,1,-9,
170046,Albons,60,40,20,6,4,2,8,27,-19,3,
430043,Alcanar,220,202,18,113,112,1,131,448,-317,-298,
250100,Alcanó,11,9,2,1,0,1,2,0,2,5,
250117,Alcarràs,321,327,-6,146,104,42,221,142,79,115,
250122,Alcoletge,168,180,-12,31,27,4,26,29,-3,-11,
430056,Alcover,155,162,-7,19,31,-12,32,45,-13,-32,
439044,"Aldea, l'",113,148,-35,27,33,-6,48,127,-79,-120,
430069,Aldover,15,24,-9,7,4,3,3,2,1,-5,
