Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,9,9,0,0,1,-1,0,0,0,-1
080018,Abrera,583,412,171,49,57,-8,131,11,120,283
250024,Àger,13,10,3,3,1,2,0,0,0,5
250030,Agramunt,102,170,-68,32,27,5,109,3,106,43
080023,Aguilar de Segarra,11,4,7,0,0,0,0,0,0,7
170010,Agullana,42,25,17,3,0,3,8,0,8,28
080142,Aiguafreda,113,103,10,3,6,-3,22,1,21,28
430017,Aiguamúrcia,39,33,6,6,1,5,5,2,3,14
170025,Aiguaviva,35,16,19,3,1,2,1,0,1,22
250387,Aitona,23,51,-28,29,53,-24,0,0,0,-52
250045,"Alamús, els",19,20,-1,5,2,3,4,0,4,6
250058,Alàs i Cerc,5,12,-7,1,0,1,1,2,-1,-7
250061,"Albagés, l'",11,14,-3,0,1,-1,2,0,2,-2
170031,Albanyà,17,3,14,0,0,0,0,0,0,14
250077,Albatàrrec,89,41,48,9,11,-2,8,1,7,53
250083,Albesa,37,37,0,6,2,4,15,2,13,17
250096,"Albi, l'",35,20,15,2,1,1,6,1,5,21
430022,Albinyana,205,117,88,8,8,0,4,1,3,91
430038,"Albiol, l'",52,17,35,0,0,0,0,2,-2,33
170046,Albons,22,17,5,0,0,0,14,0,14,19
430043,Alcanar,188,139,49,97,136,-39,228,3,225,235
250100,Alcanó,9,4,5,0,0,0,0,0,0,5
250117,Alcarràs,95,99,-4,15,28,-13,14,1,13,-4
250122,Alcoletge,99,77,22,18,8,10,9,0,9,41
430056,Alcover,139,106,33,33,14,19,83,2,81,133
439044,"Aldea, l'",69,74,-5,23,12,11,11,1,10,16
430069,Aldover,34,11,23,2,0,2,1,0,1,26
430075,"Aleixar, l'",33,13,20,1,5,-4,4,0,4,20
080039,Alella,362,382,-20,31,34,-3,140,7,133,110
430081,Alfara de Carles,26,7,19,0,0,0,0,0,0,19
250138,Alfarràs,21,50,-29,10,24,-14,11,1,10,-33
250143,Alfés,5,9,-4,0,0,0,0,0,0,-4
430094,Alforja,72,24,48,4,1,3,3,0,3,54
250156,Algerri,8,12,-4,0,0,0,5,0,5,1
250169,Alguaire,55,61,-6,18,17,1,44,0,44,39
250175,Alins,9,6,3,0,2,-2,0,0,0,1
430108,Alió,2,13,-11,0,0,0,6,0,6,-5
250194,Almacelles,73,97,-24,65,49,16,35,3,32,24
250208,Almatret,6,8,-2,1,1,0,1,0,1,-1
250215,Almenar,46,58,-12,29,29,0,0,3,-3,-15
430115,Almoster,129,55,74,5,0,5,0,0,0,79
250220,Alòs de Balaguer,4,18,-14,1,0,1,3,0,3,-10
170062,Alp,87,70,17,13,6,7,1,1,0,24
080044,Alpens,12,5,7,0,0,0,2,0,2,9
250236,Alpicat,239,112,127,28,28,0,68,1,67,194
250241,Alt Àneu,14,23,-9,5,9,-4,0,0,0,-13
430120,Altafulla,265,169,96,27,29,-2,67,8,59,153
170078,Amer,39,37,2,2,1,1,6,0,6,9
430136,"Ametlla de Mar, l'",180,141,39,56,61,-5,89,6,83,117
080057,"Ametlla del Vallès, l'",492,274,218,32,26,6,153,3,150,374
439060,"Ampolla, l'",89,60,29,26,7,19,1,4,-3,45
430141,Amposta,330,334,-4,122,136,-14,283,23,260,242
170084,Anglès,141,155,-14,18,14,4,0,5,-5,-15
250273,Anglesola,32,50,-18,6,5,1,16,0,16,-1
250292,Arbeca,10,88,-78,0,29,-29,30,2,28,-79
