Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,9,6,3,4,1,3,2,2,0,6,
080018,Abrera,595,441,154,80,80,0,96,10,86,240,
250024,Àger,27,13,14,1,1,0,0,0,0,14,
250030,Agramunt,159,156,3,38,19,19,101,18,83,105,
080023,Aguilar de Segarra,19,10,9,0,0,0,0,0,0,9,
170010,Agullana,34,27,7,7,9,-2,24,0,24,29,
080142,Aiguafreda,127,98,29,6,5,1,12,1,11,41,
430017,Aiguamúrcia,47,29,18,4,0,4,6,0,6,28,
170025,Aiguaviva,33,28,5,2,1,1,0,0,0,6,
250387,Aitona,39,53,-14,53,35,18,15,0,15,19,
250045,"Alamús, els",34,19,15,7,2,5,5,1,4,24,
250058,Alàs i Cerc,19,13,6,0,0,0,2,1,1,7,
250061,"Albagés, l'",13,25,-12,1,2,-1,0,0,0,-13,
170031,Albanyà,14,6,8,2,0,2,5,0,5,15,
250077,Albatàrrec,82,41,41,7,5,2,14,0,14,57,
250083,Albesa,31,24,7,7,4,3,12,0,12,22,
250096,"Albi, l'",25,16,9,2,5,-3,9,0,9,15,
430022,Albinyana,246,130,116,16,5,11,0,0,0,127,
430038,"Albiol, l'",60,10,50,1,0,1,2,0,2,53,
170046,Albons,24,43,-19,0,0,0,1,0,1,-18,
430043,Alcanar,192,163,29,164,139,25,54,17,37,91,
250100,Alcanó,4,5,-1,0,0,0,0,0,0,-1,
250117,Alcarràs,151,109,42,33,29,4,15,1,14,60,
250122,Alcoletge,143,63,80,11,17,-6,15,0,15,89,
430056,Alcover,149,95,54,30,18,12,70,8,62,128,
439044,"Aldea, l'",24,111,-87,7,9,-2,0,1,-1,-90,
430069,Aldover,21,24,-3,2,1,1,5,0,5,3,
430075,"Aleixar, l'",33,37,-4,1,7,-6,4,0,4,-6,
080039,Alella,371,446,-75,37,45,-8,104,21,83,0,
430081,Alfara de Carles,9,6,3,2,0,2,0,0,0,5,
250138,Alfarràs,65,50,15,44,22,22,55,0,55,92,
250143,Alfés,9,9,0,0,0,0,0,0,0,0,
430094,Alforja,122,65,57,9,1,8,3,0,3,68,
250156,Algerri,17,18,-1,0,0,0,6,1,5,4,
250169,Alguaire,74,90,-16,15,7,8,60,1,59,51,
250175,Alins,2,12,-10,1,1,0,0,0,0,-10,
430108,Alió,22,12,10,0,0,0,5,2,3,13,
250194,Almacelles,134,108,26,107,58,49,55,2,53,128,
250208,Almatret,13,10,3,0,2,-2,1,0,1,2,
250215,Almenar,72,72,0,33,21,12,0,2,-2,10,
430115,Almoster,86,52,34,1,3,-2,0,0,0,32,
250220,Alòs de Balaguer,14,17,-3,1,1,0,0,0,0,-3,
170062,Alp,82,87,-5,11,9,2,1,1,0,-3,
080044,Alpens,9,12,-3,0,0,0,0,0,0,-3,
250236,Alpicat,235,155,80,52,27,25,57,3,54,159,
250241,Alt Àneu,26,14,12,4,4,0,3,0,3,15,
430120,Altafulla,284,190,94,33,27,6,40,4,36,136,
170078,Amer,49,62,-13,7,2,5,9,1,8,0,
430136,"Ametlla de Mar, l'",176,162,14,52,59,-7,37,22,15,22,
080057,"Ametlla del Vallès, l'",525,337,188,21,23,-2,142,7,135,321,
439060,"Ampolla, l'",152,50,102,18,12,6,32,1,31,139,
430141,Amposta,432,344,88,175,127,48,73,37,36,172,
170084,Anglès,194,175,19,28,21,7,0,1,-1,25,
250273,Anglesola,67,39,28,3,6,-3,17,1,16,41,
250292,Arbeca,4,88,-84,0,10,-10,2,1,1,-93,
430167,"Arboç, l'",227,149,78,18,23,-5,139,0,139,212,
430154,Arbolí,2,4,-2,0,0,0,0,0,0,-2,
170097,Arbúcies,257,171,86,29,34,-5,171,6,165,246,
080060,Arenys de Mar,607,606,1,100,120,-20,136,16,120,101,
080076,Arenys de Munt,448,291,157,21,24,-3,36,6,30,184,
170101,Argelaguer,5,22,-17,1,2,-1,1,0,1,-17,
080082,Argençola,20,8,12,0,2,-2,0,0,0,10,
430173,"Argentera, l'",13,8,5,1,0,1,0,0,0,6,
080095,Argentona,532,457,75,37,58,-21,8,2,6,60,
170118,"Armentera, l'",26,26,0,1,3,-2,0,0,0,-2,
430189,Arnes,13,6,7,4,1,3,1,0,1,11,
250313,Arres,7,1,6,1,1,0,2,0,2,8,
250328,Arsèguel,0,9,-9,2,0,2,0,0,0,-7,
080109,Artés,174,106,68,13,14,-1,2,6,-4,63,
250334,Artesa de Lleida,27,24,3,12,15,-3,2,0,2,2,
250349,Artesa de Segre,108,119,-11,22,19,3,132,1,131,123,
430192,Ascó,41,34,7,7,3,4,4,1,3,14,
250365,Aspa,13,9,4,0,0,0,0,0,0,4,
250371,"Avellanes i Santa Linya, les",16,12,4,3,0,3,5,0,5,12,
080116,Avià,88,69,19,4,6,-2,8,1,7,24,
080121,Avinyó,49,42,7,14,4,10,11,0,11,28,
170123,Avinyonet de Puigventós,66,42,24,5,2,3,2,0,2,29,
080137,Avinyonet del Penedès,110,43,67,3,1,2,12,0,12,81,
080155,Badalona,6572,8879,-2307,1256,1616,-360,306,86,220,-2447,
089045,Badia del Vallès,511,844,-333,91,123,-32,45,2,43,-322,
080168,Bagà,83,53,30,2,8,-6,3,1,2,26,
250390,Baix Pallars,23,9,14,0,1,-1,3,0,3,16,
250404,Balaguer,425,344,81,146,85,61,4,16,-12,130,
080174,Balenyà,195,102,93,12,2,10,26,0,26,129,
080180,Balsareny,80,94,-14,4,9,-5,17,1,16,-3,
430206,Banyeres del Penedès,226,91,135,13,4,9,10,0,10,154,
170157,Banyoles,492,569,-77,90,80,10,301,6,295,228,
250411,Barbens,49,34,15,15,2,13,16,0,16,44,
430213,Barberà de la Conca,26,22,4,4,1,3,6,1,5,12,
082520,Barberà del Vallès,1100,1222,-122,159,171,-12,6,9,-3,-137,
080193,Barcelona,24044,53811,-29767,11943,13316,-1373,702,726,-24,-31164,
250426,"Baronia de Rialb, la",13,14,-1,0,1,-1,0,0,0,-2,
170160,Bàscara,49,32,17,3,4,-1,10,0,10,26,
250447,Bassella,8,9,-1,1,0,1,0,0,0,0,
430228,Batea,22,24,-2,7,12,-5,44,11,33,26,
250450,Bausen,0,1,-1,0,3,-3,1,0,1,-3,
080207,Begues,444,234,210,32,20,12,1,6,-5,217,
170139,Begur,197,188,9,23,14,9,96,4,92,110,
250463,Belianes,12,23,-11,3,6,-3,14,0,14,0,
251706,Bellaguarda,3,4,-1,0,0,0,1,0,1,0,
170182,Bellcaire d'Empordà,30,26,4,6,3,3,14,1,13,20,
250479,Bellcaire d'Urgell,36,25,11,1,5,-4,3,0,3,10,
250485,Bell-lloc d'Urgell,60,50,10,3,5,-2,2,0,2,10,
250498,Bellmunt d'Urgell,4,4,0,0,0,0,0,0,0,0,
430234,Bellmunt del Priorat,15,11,4,1,0,1,2,0,2,7,
080214,Bellprat,5,6,-1,0,0,0,0,0,0,-1,
250501,Bellpuig,120,144,-24,10,21,-11,74,0,74,39,
430249,Bellvei,91,122,-31,8,2,6,0,0,0,-25,
250518,Bellver de Cerdanya,122,92,30,8,4,4,25,3,22,56,
250523,Bellvís,41,65,-24,12,26,-14,82,0,82,44,
250539,Benavent de Segrià,66,36,30,17,3,14,6,0,6,50,
430252,Benifallet,0,22,-22,0,2,-2,0,0,0,-24,
430265,Benissanet,32,33,-1,8,3,5,13,0,13,17,
080229,Berga,597,426,171,86,87,-1,242,7,235,405,
170195,Besalú,114,71,43,9,10,-1,21,1,20,62,
170209,Bescanó,191,114,77,11,7,4,32,0,32,113,
170216,Beuda,20,18,2,0,1,-1,2,0,2,3,
080235,Bigues i Riells del Fai,569,348,221,19,34,-15,13,4,9,215,
250557,Biosca,16,11,5,0,0,0,0,0,0,5,
170221,"Bisbal d'Empordà, la",379,308,71,58,58,0,193,1,192,263,
430271,"Bisbal de Falset, la",3,3,0,0,0,0,0,0,0,0,
430287,"Bisbal del Penedès, la",288,168,120,10,8,2,32,0,32,154,
172348,Biure,15,14,1,0,1,-1,6,0,6,6,
430290,Blancafort,19,21,-2,1,2,-1,4,0,4,1,
170237,Blanes,1574,1192,382,322,354,-32,27,37,-10,340,
170293,Boadella i les Escaules,11,9,2,0,0,0,0,0,0,2,
170242,Bolvir,21,20,1,3,0,3,5,3,2,6,
430304,Bonastre,33,40,-7,1,3,-2,7,0,7,-2,
250576,"Bòrdes, Es",12,4,8,7,3,4,0,1,-1,11,
170255,Bordils,48,58,-10,10,5,5,0,0,0,-5,
250582,"Borges Blanques, les",142,119,23,24,20,4,56,7,49,76,
430311,"Borges del Camp, les",138,62,76,6,12,-6,5,2,3,73,
170268,Borrassà,46,22,24,9,4,5,9,0,9,38,
080240,Borredà,25,28,-3,0,1,-1,17,0,17,13,
250595,Bossòst,49,38,11,17,22,-5,0,0,0,6,
430326,Bot,15,28,-13,4,1,3,3,0,3,-7,
430332,Botarell,89,53,36,5,17,-12,0,0,0,24,
250560,Bovera,9,9,0,1,1,0,6,0,6,6,
430347,Bràfim,20,26,-6,11,3,8,12,0,12,14,
170274,Breda,154,167,-13,8,9,-1,36,0,36,22,
080253,"Bruc, el",161,96,65,3,11,-8,2,2,0,57,
