Municipi,Total
Horta de Sant Joan,762.0
Hostalric,2656.0
Igualada,25189.0
Isona i Conca Dellà,637.0
Isòvol,231.0
Ivars de Noguera,230.0
Ivorra,64.0
Jafre,264.0
Jorba,521.0
Josa i Tuixén,95.0
Juià,212.0
Juncosa,275.0
Juneda,2199.0
Les,712.0
Linyola,1670.0
Lladorre,158.0
Lladurs,111.0
Lladó,461.0
Llagostera,5292.0
Llambilles,448.0
Llanars,369.0
Llançà,3261.0
Llardecans,286.0
Llavorsí,235.0
Lleida,92.53099999999998
Llers,753.0
Lles de Cerdanya,177.0
Llimiana,113.0
Llinars del Vallès,6325.0
Lliçà de Vall,4273.0
Llobera,127.0
Llorac,70.0
Llorenç del Penedès,1427.0
Lloret de Mar,28661.0
Lluçà,170.0
Llívia,1196.0
Madremanya,164.0
Maials,566.0
Maià de Montcal,265.0
Maldà,144.0
Malgrat de Mar,12190.0
Malla,176.0
Manlleu,12956.0
Manresa,19070.005999999998
Margalef,70.0
Marganell,204.0
Martorell,18240.0
Martorelles,3268.0
Marçà,381.0
Mas de Barberans,389.0
Masarac,177.0
Masdenverge,734.0
Masllorenç,326.0
Maspujols,474.0
Masquefa,5548.0
Massalcoreig,369.0
Massanes,484.0
Massoteres,122.0
Matadepera,5647.0
Mataró,82.66800000000002
Maçanet de Cabrenys,419.0
Maçanet de la Selva,4748.0
Mediona,1450.0
Menàrguens,546.0
Meranges,54.0
Mieres,28306.0
Miralcamp,938.0
Miravet,469.0
Moià,3714.0
Molins de Rei,16406.0
Mollerussa,10004.0
Mollet de Peralada,100.0
Mollet del Vallès,27026.355
Molló,218.0
Monistrol de Calders,445.0
Monistrol de Montserrat,1981.0
Montagut i Oix,635.0
Montblanc,4918.0
Montbrió del Camp,1685.0
Montcada i Reixac,23297.0
Montclar,66.0
Montellà i Martinet,459.0
Montesquiu,588.0
Montferrer i Castellbò,714.0
Montferri,243.0
Montgai,407.0
Montgat,7505.0
Montmajor,300.0
Montmaneu,116.0
Montmeló,5936.0
Montoliu de Lleida,328.0
Montoliu de Segarra,116.0
Montornès de Segarra,53.0
Montornès del Vallès,10932.0
Montseny,198.0
