Codi,Literal,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
43023,Bellmunt del Priorat,-,-,-,-,-,-,-,-,-,-
25049,Bellmunt d'Urgell,1,-,-,-,-,-,-,-,-,-
08021,Bellprat,-,-,-,-,-,-,-,-,-,-
25050,Bellpuig,8,13,8,11,23,24,1,7,23,16
43024,Bellvei,-,1,1,1,1,2,-,-,-,-
25051,Bellver de Cerdanya,4,4,-,-,2,1,2,-,-,11
25052,Bellvís,-,-,1,-,-,1,-,-,-,-
25053,Benavent de Segrià,-,1,-,-,-,-,-,-,-,-
43025,Benifallet,-,1,-,-,-,-,-,-,-,-
43026,Benissanet,-,2,-,-,-,-,1,-,1,1
08022,Berga,32,12,10,20,40,21,17,37,41,11
17019,Besalú,2,-,2,2,2,1,-,2,2,2
17020,Bescanó,3,2,2,1,2,-,-,-,-,-
17021,Beuda,-,-,-,-,-,-,-,-,-,1
08023,Bigues i Riells,20,1,4,8,6,5,1,-,30,-
25055,Biosca,-,-,-,-,-,-,-,-,-,-
43027,"Bisbal de Falset, la",-,1,-,-,-,-,-,-,-,-
43028,"Bisbal del Penedès, la",1,-,1,2,3,1,2,1,1,-
17022,"Bisbal d'Empordà, la",25,23,17,18,25,28,16,20,39,51
17234,Biure,-,-,-,-,-,-,-,-,-,-
43029,Blancafort,1,-,-,-,-,-,-,-,-,-
17023,Blanes,68,114,80,78,137,113,64,91,23,70
17029,Boadella i les Escaules,-,-,-,-,-,-,-,-,-,1
17024,Bolvir,2,3,2,1,1,1,-,-,11,-
43030,Bonastre,-,-,-,-,-,-,-,-,-,-
25057,"Bòrdes, es",-,1,-,-,-,-,-,-,-,-
17025,Bordils,2,-,-,-,-,-,-,-,-,-
25058,"Borges Blanques, les",9,16,6,7,5,3,6,13,-,5
43031,"Borges del Camp, les",1,-,-,1,-,-,-,-,-,-
17026,Borrassà,-,-,-,-,1,-,-,-,-,-
08024,Borredà,-,-,-,-,-,-,-,-,-,-
25059,Bossòst,-,-,-,-,-,-,-,-,-,-
43032,Bot,-,-,1,2,-,-,-,-,-,-
43033,Botarell,1,1,-,3,-,2,2,1,-,1
25056,Bovera,-,-,-,-,-,-,-,-,-,-
43034,Bràfim,-,-,-,-,-,1,-,-,-,-
17027,Breda,-,2,-,-,1,1,-,1,-,-
08025,"Bruc, el",1,2,-,-,-,-,-,-,-,-
08026,"Brull, el",-,-,-,-,-,-,-,-,-,-
17028,Brunyola i Sant Martí Sapresa,-,-,-,-,-,-,-,-,-,-
43035,Cabacés,-,1,-,-,-,-,-,1,1,1
25060,Cabanabona,-,-,-,-,-,-,-,-,-,-
17031,Cabanelles,-,-,-,-,-,-,-,-,-,-
17030,Cabanes,-,-,-,-,-,-,1,-,-,-
08027,"Cabanyes, les",-,1,-,-,1,-,1,-,-,-
25061,Cabó,-,-,-,-,-,-,-,-,-,-
43036,Cabra del Camp,-,-,1,-,-,1,-,-,-,-
08028,Cabrera d'Anoia,-,-,1,-,-,-,-,-,1,-
08029,Cabrera de Mar,14,4,14,21,5,2,3,-,4,26
08030,Cabrils,1,-,1,3,-,1,1,1,-,-
17032,Cadaqués,3,4,9,-,4,6,9,-,-,1
08031,Calaf,7,10,10,16,11,11,25,3,17,2
43037,Calafell,16,41,32,25,27,24,16,12,10,6
08034,Calders,-,-,-,-,-,-,-,-,-,-
17033,Caldes de Malavella,4,4,2,1,5,2,4,-,-,-
08033,Caldes de Montbui,15,31,23,17,23,19,4,2,2,14
08032,Caldes d'Estrac,1,-,-,1,3,-,-,-,1,-
08035,Calella,13,20,16,18,5,9,4,7,5,10
08037,Calldetenes,3,2,3,2,2,1,7,-,-,-
08038,Callús,11,1,9,15,8,18,14,27,13,4
08036,Calonge de Segarra,-,-,-,-,-,-,-,-,-,-
17034,Calonge i Sant Antoni,9,8,8,11,16,6,5,2,17,4
25062,Camarasa,-,-,-,-,-,-,-,-,-,-
43903,Camarles,-,-,-,1,-,-,-,1,-,2
43038,Cambrils,108,169,115,135,177,139,148,57,36,92
17035,Camós,-,-,-,-,-,-,-,1,-,-
17036,Campdevànol,3,3,5,4,6,2,2,2,-,1
17037,Campelles,-,-,-,-,-,-,-,-,-,-
08039,Campins,-,-,-,-,-,-,-,-,-,-
17038,Campllong,-,-,1,-,-,-,1,-,-,-
17039,Camprodon,-,-,-,-,-,-,1,-,-,-
25063,Canejan,-,-,-,-,-,-,-,-,-,-
17040,Canet d'Adri,-,-,-,-,-,-,-,-,-,-
08040,Canet de Mar,10,11,7,22,8,5,18,30,6,3
43907,"Canonja, la",4,4,11,7,8,5,8,4,4,2
08041,Canovelles,33,18,47,61,71,32,28,2,2,1
08042,Cànoves i Samalús,1,-,-,1,-,-,-,-,-,-
17041,Cantallops,-,-,-,-,-,-,-,-,-,1
08043,Canyelles,-,2,-,1,1,-,2,-,-,-
43039,Capafonts,-,-,-,-,-,-,-,-,-,-
43040,Capçanes,-,1,-,-,-,-,-,-,-,-
08044,Capellades,3,4,4,5,7,7,3,2,3,2
17042,Capmany,-,-,-,-,-,-,-,-,-,-
08045,Capolat,-,-,-,-,-,-,-,-,-,-
08046,Cardedeu,11,25,15,17,14,3,5,-,-,2
08047,Cardona,40,13,1,3,4,6,5,5,19,14
08048,Carme,1,-,-,2,-,-,1,-,-,-
43041,Caseres,-,1,-,-,1,-,1,-,-,-
17044,Cassà de la Selva,5,6,10,20,4,5,5,1,-,1
08049,Casserres,1,-,-,-,-,-,-,-,-,-
08057,Castell de l'Areny,-,-,-,-,-,-,-,-,-,-
25904,Castell de Mur,-,1,-,-,-,-,-,-,-,-
25064,Castellar de la Ribera,-,-,-,-,-,-,-,-,-,-
08052,Castellar de N'Hug,-,-,-,-,-,-,-,-,-,-
08050,Castellar del Riu,-,-,-,-,-,-,-,-,-,-
08051,Castellar del Vallès,36,36,68,52,56,47,21,40,30,149
08053,Castellbell i el Vilar,1,1,2,-,3,-,3,-,-,-
08054,Castellbisbal,57,27,54,45,56,32,16,3,2,2
08055,Castellcir,1,-,1,-,-,-,1,-,-,-
25067,Castelldans,-,-,-,-,-,-,-,-,-,-
08056,Castelldefels,158,189,178,175,105,186,82,40,319,765
08058,Castellet i la Gornal,2,1,2,-,2,2,5,-,-,-
17046,Castellfollit de la Roca,9,5,4,4,6,6,3,12,6,6
08060,Castellfollit de Riubregós,-,-,-,-,1,-,-,-,-,-
08059,Castellfollit del Boix,-,-,-,-,-,-,-,-,-,-
08061,Castellgalí,-,-,2,-,-,-,-,-,-,-
08062,Castellnou de Bages,-,-,-,-,-,-,-,-,-,-
25068,Castellnou de Seana,-,1,-,-,1,-,-,-,-,-
25069,Castelló de Farfanya,-,-,-,-,-,-,-,-,-,-
17047,Castelló d'Empúries,9,6,7,3,6,7,5,29,4,25
08063,Castellolí,-,-,-,-,-,-,-,-,-,-
17048,Castell-Platja d'Aro,13,9,9,3,14,9,17,3,-,23
25070,Castellserà,-,-,-,-,-,1,-,-,-,-
08064,Castellterçol,-,1,6,-,2,-,2,-,-,-
43042,Castellvell del Camp,-,-,-,-,-,-,1,-,-,-
08065,Castellví de la Marca,-,-,1,-,-,1,-,-,-,-
08066,Castellví de Rosanes,-,1,-,-,-,-,-,-,-,-
43043,"Catllar, el",-,-,-,1,-,-,-,-,-,2
25071,Cava,-,-,-,-,-,-,-,-,-,-
17189,"Cellera de Ter, la",-,1,1,-,1,-,1,-,1,1
17049,Celrà,1,3,4,2,4,1,2,1,1,1
08067,Centelles,16,4,17,29,20,18,8,28,-,-
08268,Cercs,-,-,-,-,-,-,-,-,-,-
08266,Cerdanyola del Vallès,170,164,188,224,135,102,56,35,74,49
08068,Cervelló,4,5,6,5,5,1,1,1,1,7
25072,Cervera,8,5,10,19,14,24,15,13,43,8
25073,Cervià de les Garrigues,-,-,-,-,-,-,-,-,-,-
17050,Cervià de Ter,1,-,-,-,-,-,-,-,-,-
17051,Cistella,-,-,-,-,-,-,-,-,-,-
25074,Ciutadilla,-,-,-,-,-,-,-,-,-,-
25075,Clariana de Cardener,-,-,-,-,-,-,-,-,-,-
25076,"Cogul, el",-,-,-,-,-,-,-,-,-,-
17054,Colera,-,-,-,-,-,-,-,-,-,-
25077,Coll de Nargó,-,-,-,-,-,-,-,-,-,-
08069,Collbató,-,-,-,-,1,-,-,2,-,-
43045,Colldejou,-,-,-,-,-,-,-,-,-,-
08070,Collsuspina,-,-,-,-,-,-,-,-,-,-
17055,Colomers,-,-,-,-,-,-,1,-,-,-
25163,"Coma i la Pedra, la",-,-,-,-,-,-,-,-,-,-
25161,Conca de Dalt,-,-,-,-,-,-,-,-,-,-
43046,Conesa,-,-,-,-,-,-,-,-,-,-
43047,Constantí,18,15,20,27,16,24,22,6,19,32
08071,Copons,-,-,-,-,-,-,-,1,-,-
08072,Corbera de Llobregat,16,25,10,20,12,47,8,1,-,-
43048,Corbera d'Ebre,2,1,1,-,1,-,-,-,-,-
25078,Corbins,-,-,-,-,1,-,-,-,-,-
17057,Corçà,-,-,-,-,-,-,-,-,-,1
08073,Cornellà de Llobregat,656,938,643,693,459,418,218,267,596,268
17056,Cornellà del Terri,-,-,-,1,1,1,-,-,2,-
43049,Cornudella de Montsant,-,-,-,-,-,-,-,-,-,-
43050,Creixell,2,2,-,-,5,1,1,-,-,3
17058,Crespià,-,-,-,-,-,-,-,-,-,-
17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",2,-,-,-,-,-,-,-,-,-
08074,Cubelles,12,15,19,25,19,13,10,5,4,7
25079,Cubells,-,-,-,-,-,-,-,-,-,-
43051,Cunit,8,25,31,11,19,17,19,1,5,8
17060,Darnius,-,-,-,-,-,-,-,-,-,-
17061,Das,-,1,-,-,-,-,-,-,-,-
43901,Deltebre,6,4,2,1,1,1,2,1,4,14
08075,Dosrius,1,1,-,2,-,1,1,-,3,-
43053,Duesaigües,-,1,-,-,1,-,-,-,-,-
17062,"Escala, l'",6,3,-,9,30,-,-,-,-,2
08076,Esparreguera,13,15,10,4,6,2,3,3,1,2
17063,Espinelves,-,-,-,-,-,-,-,-,-,-
25081,"Espluga Calba, l'",-,1,1,-,-,-,-,-,-,-
43054,"Espluga de Francolí, l'",3,2,5,3,1,1,3,2,-,2
08077,Esplugues de Llobregat,178,164,274,125,138,139,76,76,376,164
17064,Espolla,-,-,-,-,-,-,-,-,-,-
17065,Esponellà,-,-,-,1,-,-,-,-,-,-
25082,Espot,-,-,-,1,-,-,-,2,-,-
08078,"Espunyola, l'",-,-,-,-,-,-,-,-,-,-
08254,"Esquirol, l'",2,4,-,-,-,2,2,-,-,-
25088,Estamariu,-,-,-,-,-,-,-,-,-,-
08079,"Estany, l'",-,-,-,-,-,-,1,-,-,-
25085,Estaràs,-,-,-,-,-,-,-,-,-,-
25086,Esterri d'Àneu,1,2,1,2,1,-,-,6,-,3
25087,Esterri de Cardós,-,-,-,-,-,-,-,1,-,-
43055,Falset,3,1,4,2,4,1,-,-,1,4
17005,"Far d'Empordà, el",-,-,-,-,1,-,-,-,-,-
25089,Farrera,-,-,-,-,-,-,-,-,-,-
43056,"Fatarella, la",-,-,-,-,-,-,-,-,-,-
43057,"Febró, la",-,-,-,-,-,-,-,-,-,-
08134,Figaró-Montmany,-,-,-,1,1,1,-,-,-,1
08080,Fígols,-,-,-,-,-,-,-,-,-,-
25908,Fígols i Alinyà,-,-,-,-,-,-,-,-,-,-
43058,"Figuera, la",-,-,-,-,-,-,-,-,-,-
17066,Figueres,145,142,99,63,104,102,94,146,214,201
43059,Figuerola del Camp,-,-,-,1,-,-,-,1,-,-
17067,Flaçà,2,1,-,-,-,-,-,1,-,-
43060,Flix,-,2,1,4,2,5,5,-,10,4
25092,"Floresta, la",1,-,-,1,1,-,-,-,-,1
08082,Fogars de la Selva,-,-,-,-,-,-,-,-,-,-
08081,Fogars de Montclús,-,-,-,-,-,-,-,-,-,-
17068,Foixà,-,-,-,-,-,-,-,-,-,-
08083,Folgueroles,4,-,-,-,2,2,-,-,1,1
25093,Fondarella,-,-,-,-,1,-,1,-,-,-
08084,Fonollosa,-,-,-,-,1,-,-,-,-,-
17069,Fontanals de Cerdanya,1,-,-,-,-,-,-,-,-,-
17070,Fontanilles,-,-,-,-,-,-,-,-,-,-
17071,Fontcoberta,1,2,-,1,1,1,5,-,-,-
08085,Font-rubí,1,1,1,1,2,1,-,-,-,-
25094,Foradada,-,-,-,-,-,-,-,-,-,-
17902,Forallac,1,1,3,-,1,2,1,-,2,2
43061,Forès,-,-,-,-,-,-,-,-,-,-
17073,Fornells de la Selva,1,4,3,-,1,-,1,-,-,-
17074,Fortià,-,1,-,-,1,-,-,-,-,1
08086,"Franqueses del Vallès, les",44,59,103,61,72,34,27,39,48,68
43062,Freginals,-,-,-,-,-,-,-,-,-,-
25096,"Fuliola, la",-,-,1,-,1,1,3,1,2,-
25097,Fulleda,-,-,-,-,-,-,-,-,-,-
08090,Gaià,-,-,-,-,-,-,-,-,-,-
43063,"Galera, la",1,-,-,-,-,-,-,-,-,-
08087,Gallifa,-,-,-,-,-,-,-,-,-,-
43064,Gandesa,1,3,9,9,5,16,16,11,10,5
43065,Garcia,-,-,-,-,-,-,-,-,-,-
43066,"Garidells, els",-,-,-,-,-,-,-,-,-,-
08088,"Garriga, la",23,30,6,2,5,1,4,1,1,-
17075,Garrigàs,-,-,-,-,-,-,-,-,-,-
17076,Garrigoles,-,-,-,-,-,-,-,-,-,-
17077,Garriguella,-,-,1,-,-,-,-,-,-,-
08089,Gavà,303,405,229,294,260,215,97,67,301,478
25098,Gavet de la Conca,-,-,-,-,-,-,-,-,-,-
08091,Gelida,6,8,8,13,22,11,20,15,16,-
17078,Ger,-,-,-,-,-,-,-,-,-,-
25912,Gimenells i el Pla de la Font,-,-,-,-,-,-,-,-,-,1
43067,Ginestar,-,2,1,-,1,-,-,-,-,-
17079,Girona,149,294,215,172,174,164,181,111,312,223
08092,Gironella,4,1,-,4,4,2,3,-,1,-
08093,Gisclareny,-,-,-,-,-,-,-,-,-,-
43068,Godall,-,-,-,-,-,-,-,-,-,-
25099,Golmés,1,-,1,1,1,-,-,-,-,-
17080,Gombrèn,-,-,-,-,-,-,-,-,-,-
25100,Gósol,-,-,-,-,-,-,-,-,-,-
08094,"Granada, la",5,4,5,5,8,6,2,1,1,1
25101,"Granadella, la",-,-,-,-,-,1,1,-,-,-
08095,Granera,-,-,-,-,-,-,-,-,-,-
25102,"Granja d'Escarp, la",-,-,-,-,-,-,-,-,-,-
08096,Granollers,240,230,226,297,329,213,115,42,65,31
25103,Granyanella,-,-,-,-,-,-,-,-,-,-
25105,Granyena de les Garrigues,-,-,-,-,-,-,-,-,-,-
25104,Granyena de Segarra,-,-,-,-,-,-,-,-,-,-
43069,Gratallops,-,-,-,-,-,-,-,-,-,-
08097,Gualba,-,-,-,-,-,-,-,-,-,-
17081,Gualta,-,-,-,-,-,-,-,-,-,-
08099,Guardiola de Berguedà,-,3,-,-,-,1,-,-,3,-
43070,"Guiamets, els",-,-,1,-,-,-,-,-,-,-
17082,Guils de Cerdanya,-,-,-,-,-,-,-,-,-,-
25109,Guimerà,-,-,-,-,-,-,-,-,-,-
25903,"Guingueta d'Àneu, la",1,-,-,1,-,-,-,1,-,-
25110,Guissona,24,46,20,29,32,46,63,33,-,-
25111,Guixers,-,-,-,-,-,-,-,-,-,-
08100,Gurb,-,1,-,-,-,1,1,-,-,-
43071,Horta de Sant Joan,2,9,1,2,4,1,9,7,7,4
08101,"Hospitalet de Llobregat, l'",805,"1,092","1,328","1,611","1,794",876,680,698,"1,126","1,401"
08162,"Hostalets de Pierola, els",1,-,1,-,-,-,-,-,-,1
17083,Hostalric,2,4,-,5,1,2,5,-,-,-
08102,Igualada,96,82,109,128,133,138,122,80,113,77
25115,Isona i Conca Dellà,1,-,2,-,-,-,-,-,-,-
17084,Isòvol,-,-,-,-,-,-,-,-,-,-
25112,Ivars de Noguera,-,-,-,-,-,-,-,-,-,1
25113,Ivars d'Urgell,-,-,-,-,-,1,-,-,-,-
25114,Ivorra,-,-,-,-,-,-,-,-,-,-
17085,Jafre,-,-,2,-,-,-,-,-,-,-
17086,"Jonquera, la",1,1,-,1,1,3,-,1,1,1
08103,Jorba,1,-,-,-,1,-,-,-,-,-
25910,Josa i Tuixén,-,-,-,-,-,-,-,-,-,-
17087,Juià,-,-,-,-,-,-,-,-,-,-
25118,Juncosa,-,-,-,-,-,-,-,-,-,-
25119,Juneda,-,1,1,-,-,-,-,-,-,2
25121,Les,2,1,-,2,-,-,-,-,-,-
25122,Linyola,1,-,4,-,-,2,-,-,-,-
08104,"Llacuna, la",-,-,-,-,-,-,-,-,-,-
17088,Lladó,-,-,-,-,-,-,-,-,1,1
25123,Lladorre,-,1,-,-,-,-,-,-,-,-
25124,Lladurs,-,-,-,-,-,-,-,-,-,-
08105,"Llagosta, la",6,8,6,10,8,37,4,6,7,6
17089,Llagostera,34,7,10,8,16,10,5,1,1,35
17090,Llambilles,-,-,-,-,-,-,-,-,-,-
17091,Llanars,-,-,-,-,-,-,-,-,-,-
17092,Llançà,8,4,8,8,6,-,5,6,34,1
25125,Llardecans,-,-,-,-,-,-,-,-,-,-
25126,Llavorsí,-,2,-,-,1,-,1,6,-,-
25120,Lleida,356,479,667,630,762,606,480,575,441,589
17093,Llers,-,-,-,-,-,-,1,-,-,-
25127,Lles de Cerdanya,-,-,-,-,-,-,-,-,-,-
08107,Lliçà d'Amunt,7,8,5,6,6,4,16,-,4,5
08108,Lliçà de Vall,-,4,1,3,2,2,-,1,1,-
25128,Llimiana,-,-,-,-,-,-,-,-,-,-
08106,Llinars del Vallès,5,5,3,3,2,1,-,1,3,2
17094,Llívia,5,1,2,3,1,-,1,1,7,25
43072,"Lloar, el",-,-,-,-,-,-,-,-,-,-
25129,Llobera,-,-,-,-,-,-,-,-,-,-
43073,Llorac,-,-,-,-,-,-,-,-,-,-
43074,Llorenç del Penedès,3,3,2,1,2,-,-,-,-,-
17095,Lloret de Mar,15,11,17,20,11,38,15,51,135,31
17096,"Llosses, les",-,-,-,-,-,-,-,-,-,-
08109,Lluçà,-,-,-,-,-,-,-,-,-,-
17102,Maçanet de Cabrenys,-,-,-,-,-,-,-,-,-,-
17103,Maçanet de la Selva,4,2,5,6,2,1,1,-,-,2
17097,Madremanya,-,1,-,-,-,-,-,-,-,-
17098,Maià de Montcal,-,-,-,-,-,-,-,-,-,-
25133,Maials,1,-,-,-,-,-,-,-,-,-
25130,Maldà,-,-,-,-,-,-,-,-,-,-
08110,Malgrat de Mar,23,25,25,43,29,23,20,4,2,16
08111,Malla,-,-,-,-,-,-,-,-,-,-
08112,Manlleu,26,24,13,26,32,27,15,17,21,62
08113,Manresa,237,257,270,264,212,217,63,64,18,42
43076,Marçà,-,1,-,-,1,-,-,-,-,-
43075,Margalef,-,-,-,-,-,-,-,-,-,-
08242,Marganell,-,-,-,-,-,-,-,-,-,-
08114,Martorell,45,"1,399",117,74,76,54,15,18,223,1
08115,Martorelles,2,2,-,2,1,3,1,-,1,-
43077,Mas de Barberans,-,-,-,-,-,-,1,-,-,-
17100,Masarac,-,-,-,-,-,-,-,-,-,-
43078,Masdenverge,-,2,1,1,1,-,1,-,-,-
08116,"Masies de Roda, les",1,-,-,-,-,-,-,-,-,-
08117,"Masies de Voltregà, les",1,-,-,3,2,4,6,3,1,5
43079,Masllorenç,-,-,-,-,-,-,-,-,-,-
08118,"Masnou, el",81,101,181,139,84,52,48,143,9,63
43080,"Masó, la",-,-,-,-,-,-,-,-,-,-
43081,Maspujols,-,-,-,-,-,-,-,-,-,-
08119,Masquefa,3,2,3,2,2,1,2,2,2,-
43082,"Masroig, el",-,1,-,-,-,-,-,-,-,1
25131,Massalcoreig,-,-,1,-,-,-,-,-,-,-
17101,Massanes,-,1,-,-,-,-,-,-,-,-
25132,Massoteres,-,-,-,-,-,-,-,-,-,-
08120,Matadepera,24,4,4,1,12,8,13,6,13,14
08121,Mataró,393,491,444,506,500,282,234,209,203,331
08122,Mediona,3,1,-,1,3,-,-,-,-,-
25134,Menàrguens,-,-,-,-,-,-,-,-,-,-
17099,Meranges,-,-,-,1,-,-,-,-,-,-
17105,Mieres,-,5,5,-,-,-,-,-,3,-
43083,"Milà, el",-,-,-,-,-,-,-,-,-,-
25135,Miralcamp,1,-,-,-,1,-,-,-,-,-
43084,Miravet,-,-,-,-,-,-,-,-,-,-
08138,Moià,3,4,3,2,4,3,9,-,-,-
43085,"Molar, el",1,-,-,-,-,-,-,-,-,-
08123,Molins de Rei,125,78,117,178,112,135,35,23,28,46
25137,Mollerussa,52,75,87,94,79,117,127,71,104,115
17106,Mollet de Peralada,-,-,-,-,-,-,-,-,-,-
08124,Mollet del Vallès,173,207,212,271,68,149,112,62,86,162
17107,Molló,-,-,-,-,-,-,-,-,-,-
25136,"Molsosa, la",-,-,-,-,-,-,-,-,-,-
08128,Monistrol de Calders,-,1,-,1,-,-,-,-,-,-
08127,Monistrol de Montserrat,3,6,11,7,16,9,10,1,1,-
17109,Montagut i Oix,-,1,-,-,-,-,2,-,3,1
43086,Montblanc,16,36,20,12,18,26,12,4,22,17
43088,Montbrió del Camp,1,5,1,4,2,3,3,1,-,-
08125,Montcada i Reixac,95,83,95,84,84,126,68,62,30,50
08130,Montclar,-,-,-,-,-,-,-,-,-,-
25139,Montellà i Martinet,1,-,4,3,2,5,3,-,-,5
