Codi,Literal,Habitatges familiars    principals,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  buits,Habitatges familiars  no principals  total,Habitatges familiars    total,Habitatges col·lectius
430311,"Borges del Camp, les",759,161,97,258,1017,1
170268,Borrassà,260,0,32,53,313,0
080240,Borredà,223,92,141,233,456,2
250595,Bossòst,413,223,139,362,775,3
430326,Bot,251,73,146,219,470,0
430332,Botarell,409,52,0,89,498,0
250560,Bovera,125,53,63,116,241,0
430347,Bràfim,275,67,60,127,402,0
170274,Breda,1461,200,0,313,1774,0
080253,"Bruc, el",729,0,311,339,1068,0
080266,"Brull, el",76,0,0,64,140,0
170280,Brunyola i Sant Martí Sapresa,129,50,0,56,185,0
430350,Cabacés,128,66,42,108,236,0
250609,Cabanabona,26,0,42,51,77,1
170314,Cabanelles,104,28,21,49,153,0
170307,Cabanes,346,0,0,109,455,0
080272,"Cabanyes, les",308,0,0,33,341,2
250616,Cabó,38,50,15,65,103,0
430363,Cabra del Camp,413,432,128,560,973,0
080288,Cabrera d'Anoia,526,566,0,590,1116,0
080291,Cabrera de Mar,1606,441,0,658,2264,0
080305,Cabrils,2423,371,293,664,3087,2
170329,Cadaqués,1131,2131,0,2344,3475,6
080312,Calaf,1431,0,300,362,1793,0
430379,Calafell,10092,13635,3254,16889,26981,10
080348,Calders,350,209,0,246,596,1
080327,Caldes d'Estrac,1226,485,229,714,1940,3
170335,Caldes de Malavella,2619,637,287,924,3543,2
080333,Caldes de Montbui,6507,563,367,930,7437,6
080351,Calella,7519,1559,1537,3096,10615,5
080370,Calldetenes,917,0,0,26,943,1
080386,Callús,740,0,138,154,894,1
080364,Calonge de Segarra,56,71,0,103,159,0
170340,Calonge i Sant Antoni,4167,6475,2069,8544,12711,2
250621,Camarasa,397,308,30,338,735,2
439039,Camarles,1245,151,316,467,1712,0
430385,Cambrils,12622,13030,5098,18128,30750,9
170353,Camós,228,0,0,57,285,0
170366,Campdevànol,1393,197,172,369,1762,1
170372,Campelles,57,101,0,105,162,0
080399,Campins,195,67,0,82,277,0
170388,Campllong,165,0,0,102,267,0
170391,Camprodon,1083,1160,556,1716,2799,7
250637,Canejan,54,17,11,28,82,0
170405,Canet d'Adri,246,69,0,85,331,0
080403,Canet de Mar,5613,1307,800,2107,7720,5
439076,"Canonja, la",2283,0,29,35,2318,0
080410,Canovelles,5584,0,568,759,6343,2
080425,Cànoves i Samalús,1042,0,0,361,1403,0
170412,Cantallops,134,61,0,65,199,0
080431,Canyelles,1528,781,85,866,2394,0
430398,Capafonts,67,78,17,95,162,0
430402,Capçanes,170,48,68,116,286,2
080446,Capellades,2123,130,331,461,2584,1
170427,Capmany,279,0,0,105,384,0
080459,Capolat,40,4,0,6,46,0
080462,Cardedeu,6490,0,752,1123,7613,3
080478,Cardona,1963,0,553,648,2611,8
080484,Carme,342,0,83,144,486,0
430419,Caseres,110,86,0,99,209,0
170448,Cassà de la Selva,3828,234,580,814,4642,10
080497,Casserres,609,162,273,435,1044,1
080575,Castell de l'Areny,42,8,4,12,54,0
259046,Castell de Mur,86,44,19,63,149,4
250642,Castellar de la Ribera,42,0,9,16,58,0
080522,Castellar de n'Hug,84,147,24,171,255,2
080500,Castellar del Riu,78,4,4,8,86,0
080517,Castellar del Vallès,8261,505,1190,1695,9956,5
080538,Castellbell i el Vilar,1339,491,271,762,2101,1
080543,Castellbisbal,4254,823,0,993,5247,0
080556,Castellcir,226,48,0,63,289,1
250674,Castelldans,398,76,53,129,527,0
080569,Castelldefels,23397,4523,4294,8817,32214,35
080581,Castellet i la Gornal,857,366,0,453,1310,0
170464,Castellfollit de la Roca,433,0,118,134,567,0
080608,Castellfollit de Riubregós,82,30,41,71,153,0
080594,Castellfollit del Boix,168,99,20,119,287,0
080615,Castellgalí,735,226,112,338,1073,1
080620,Castellnou de Bages,419,88,0,106,525,0
250680,Castellnou de Seana,280,0,47,63,343,0
170470,Castelló d'Empúries,4523,11045,844,11889,16412,2
250693,Castelló de Farfanya,217,132,79,211,428,0
