Codi,Literal,Habitatges familiars    principals,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  buits,Habitatges familiars  no principals  total,Habitatges familiars    total,Habitatges col·lectius
171387,Portbou,594,320,205,525,1119,0
251749,"Portella, la",279,18,0,27,306,1
431153,Pradell de la Teixeta,85,44,26,70,155,1
431166,Prades,287,446,76,522,809,0
431172,Prat de Comte,71,76,35,111,182,0
081691,"Prat de Llobregat, el",24253,531,2297,2828,27081,6
431188,Pratdip,333,265,97,362,695,1
081712,Prats de Lluçanès,972,173,227,400,1372,1
081705,"Prats de Rei, els",194,76,76,152,346,1
251752,Prats i Sansor,88,409,0,415,503,2
251765,Preixana,144,0,81,100,244,0
251771,Preixens,190,38,61,99,289,0
082303,Premià de Dalt,3755,0,203,407,4162,0
081727,Premià de Mar,10891,1132,1065,2197,13088,3
171390,"Preses, les",671,0,0,10,681,0
251790,Prullans,96,146,31,177,273,0
171411,Puigcerdà,3296,1803,859,2662,5958,1
081748,Puigdàlber,199,0,0,40,239,0
251804,Puiggròs,123,12,12,24,147,0
431191,Puigpelat,381,110,78,188,569,0
081751,Puig-reig,1678,0,639,743,2421,2
251811,Puigverd d'Agramunt,103,0,27,33,136,0
251826,Puigverd de Lleida,500,146,109,255,755,1
081764,Pujalt,70,52,0,58,128,0
081770,"Quar, la",19,7,0,8,27,0
171426,Quart,1197,0,78,102,1299,0
170433,Queralbs,94,243,19,262,356,1
431205,Querol,238,435,89,524,762,0
171432,Rabós,81,0,0,95,176,0
081786,Rajadell,219,18,22,40,259,0
431212,Rasquera,344,154,85,239,583,0
171447,Regencós,113,45,0,53,166,0
081799,Rellinars,292,252,0,272,564,0
431227,Renau,54,17,0,21,75,0
431233,Reus,40586,2793,6488,9281,49867,27
251832,Rialp,312,165,81,246,558,3
431248,"Riba, la",295,0,154,168,463,0
431251,Riba-roja d'Ebre,499,108,256,364,863,0
259059,Ribera d'Ondara,170,74,35,109,279,0
251850,Ribera d'Urgellet,408,169,80,249,657,0
171450,Ribes de Freser,795,572,241,813,1608,7
171463,Riells i Viabrea,1458,672,176,848,2306,0
431264,"Riera de Gaià, la",700,0,146,209,909,0
251863,Riner,98,32,13,45,143,1
171479,Ripoll,4479,221,1223,1444,5923,6
081803,Ripollet,14033,0,930,1016,15049,3
259139,Riu de Cerdanya,57,93,0,97,154,0
171485,Riudarenes,767,341,103,444,1211,0
171498,Riudaura,169,0,85,108,277,0
431270,Riudecanyes,467,92,116,208,675,0
431286,Riudecols,512,62,94,156,668,0
171501,Riudellots de la Selva,696,0,0,111,807,0
431299,Riudoms,2383,193,313,506,2889,2
171518,Riumors,100,24,40,64,164,0
081810,"Roca del Vallès, la",3622,0,442,578,4200,7
431303,Rocafort de Queralt,109,90,48,138,247,0
431310,Roda de Berà,2482,5100,909,6009,8491,2
081831,Roda de Ter,2266,0,238,303,2569,1
431325,Rodonyà,190,183,0,206,396,0
431331,Roquetes,3050,226,336,562,3612,0
171523,Roses,7849,15363,2500,17863,25712,2
251898,Rosselló,1211,0,203,253,1464,1
431346,"Rourell, el",145,28,39,67,212,0
081846,Rubí,28114,1751,3174,4925,33039,7
081859,Rubió,70,31,0,34,104,0
171539,Rupià,92,64,21,85,177,0
089019,Rupit i Pruit,133,111,0,115,248,0
081878,Sabadell,81596,1423,10184,11607,93203,34
081884,Sagàs,46,28,10,38,84,0
251902,Salàs de Pallars,166,258,0,267,433,2
081901,Saldes,115,198,36,234,349,0
171544,Sales de Llierca,46,15,0,21,67,0
081918,Sallent,2718,280,843,1123,3841,2
431359,Salomó,200,50,58,108,308,0
439057,Salou,10793,17454,3019,20473,31266,1
171557,Salt,10276,134,827,961,11237,4
251919,Sanaüja,178,65,64,129,307,0
081944,Sant Adrià de Besòs,13034,0,1562,1658,14692,4
081957,Sant Agustí de Lluçanès,32,39,0,42,74,0
081960,Sant Andreu de la Barca,9977,0,238,324,10301,4
081976,Sant Andreu de Llavaneres,3785,1148,863,2011,5796,4
171576,Sant Andreu Salou,49,0,0,120,169,0
171833,Sant Aniol de Finestres,125,50,40,90,215,1
081982,Sant Antoni de Vilamajor,2084,0,475,688,2772,3
081995,Sant Bartomeu del Grau,329,0,0,91,420,0
082009,Sant Boi de Llobregat,30582,631,3295,3926,34508,11
082016,Sant Boi de Lluçanès,191,72,61,133,324,2
431362,Sant Carles de la Ràpita,5857,2664,1634,4298,10155,4
082037,Sant Cebrià de Vallalta,1296,382,350,732,2028,0
082021,Sant Celoni,6474,0,652,1120,7594,1
082042,Sant Climent de Llobregat,1364,0,233,268,1632,1
171582,Sant Climent Sescebes,202,0,0,26,228,4
082055,Sant Cugat del Vallès,29641,1431,2264,3695,33336,23
082068,Sant Cugat Sesgarrigues,351,0,0,54,405,1
251961,Sant Esteve de la Sarga,56,128,0,128,184,0
082074,Sant Esteve de Palautordera,939,162,291,453,1392,0
082080,Sant Esteve Sesrovires,2232,864,0,1154,3386,3
171595,Sant Feliu de Buixalleu,273,221,70,291,564,0
082107,Sant Feliu de Codines,2533,0,521,652,3185,2
171609,Sant Feliu de Guíxols,8383,5320,1667,6987,15370,2
082114,Sant Feliu de Llobregat,16329,0,1780,2129,18458,9
171616,Sant Feliu de Pallerols,515,205,142,347,862,3
082129,Sant Feliu Sasserra,255,62,64,126,381,0
171621,Sant Ferriol,82,13,0,20,102,0
082093,Sant Fost de Campsentelles,2926,181,195,376,3302,7
082135,Sant Fruitós de Bages,3088,0,824,872,3960,1
171637,Sant Gregori,1100,75,167,242,1342,3
251924,Sant Guim de Freixenet,485,133,144,277,762,0
251977,Sant Guim de la Plana,70,27,19,46,116,0
171642,Sant Hilari Sacalm,2303,352,436,788,3091,1
082153,Sant Hipòlit de Voltregà,1362,0,195,245,1607,1
081939,Sant Iscle de Vallalta,476,0,119,143,619,0
439023,Sant Jaume d'Enveja,1292,412,196,608,1900,0
082166,Sant Jaume de Frontanyà,18,16,7,23,41,1
171655,Sant Jaume de Llierca,319,0,87,113,432,0
431378,Sant Jaume dels Domenys,971,405,153,558,1529,1
171674,Sant Joan de les Abadesses,1446,384,571,955,2401,15
171680,Sant Joan de Mollet,200,0,0,14,214,0
082188,Sant Joan de Vilatorrada,4119,0,566,685,4804,2
082172,Sant Joan Despí,12237,0,1128,1281,13518,3
171851,Sant Joan les Fonts,1242,0,152,211,1453,1
171668,Sant Jordi Desvalls,284,0,0,53,337,0
089030,Sant Julià de Cerdanyola,100,52,106,158,258,0
171693,Sant Julià de Ramis,1232,0,0,109,1341,0
082205,Sant Julià de Vilatorta,1060,153,193,346,1406,0
179032,Sant Julià del Llor i Bonmatí,477,0,83,104,581,0
082212,Sant Just Desvern,5851,0,1497,1651,7502,5
082227,Sant Llorenç d'Hortons,946,265,0,302,1248,1
171714,Sant Llorenç de la Muga,94,147,23,170,264,1
251930,Sant Llorenç de Morunys,414,645,122,767,1181,1
082233,Sant Llorenç Savall,923,258,163,421,1344,1
082251,Sant Martí d'Albars,40,0,0,43,83,0
082248,Sant Martí de Centelles,442,0,93,115,557,0
171729,Sant Martí de Llémena,219,71,47,118,337,0
259025,Sant Martí de Riucorb,268,198,0,214,482,0
082264,Sant Martí de Tous,404,90,138,228,632,0
082270,Sant Martí Sarroca,1178,0,60,102,1280,0
082286,Sant Martí Sesgueioles,132,57,0,75,207,0
171735,Sant Martí Vell,82,32,0,35,117,0
082299,Sant Mateu de Bages,233,78,33,111,344,0
171740,Sant Miquel de Campmajor,79,0,22,27,106,0
171753,Sant Miquel de Fluvià,284,83,0,89,373,0
171766,Sant Mori,72,69,16,85,157,0
171772,Sant Pau de Segúries,268,208,102,310,578,0
082310,Sant Pere de Ribes,11051,1471,1178,2649,13700,3
082325,Sant Pere de Riudebitlles,925,0,0,228,1153,0
082331,Sant Pere de Torelló,992,0,0,149,1141,0
082346,Sant Pere de Vilamajor,1564,545,0,663,2227,0
171788,Sant Pere Pescador,790,627,219,846,1636,1
081897,Sant Pere Sallavinera,55,43,0,46,101,0
082359,Sant Pol de Mar,1986,1449,262,1711,3697,1
082362,Sant Quintí de Mediona,841,264,202,466,1307,0
082378,Sant Quirze de Besora,909,0,215,305,1214,1
082384,Sant Quirze del Vallès,6809,358,312,670,7479,5
082397,Sant Quirze Safaja,260,98,40,138,398,0
251945,Sant Ramon,178,68,23,91,269,1
082401,Sant Sadurní d'Anoia,4782,253,546,799,5581,1
082418,Sant Sadurní d'Osormort,38,0,0,8,46,0
080983,Sant Salvador de Guardiola,1056,378,112,490,1546,2
082628,Sant Vicenç de Castellet,3646,258,792,1050,4696,8
082649,Sant Vicenç de Montalt,2079,1318,152,1470,3549,6
082652,Sant Vicenç de Torelló,791,0,0,171,962,0
082634,Sant Vicenç dels Horts,9869,970,1198,2168,12037,5
431384,Santa Bàrbara,1592,0,463,504,2096,0
082439,Santa Cecília de Voltregà,54,0,0,25,79,0
082444,Santa Coloma de Cervelló,2738,150,144,294,3032,1
171805,Santa Coloma de Farners,4700,359,757,1116,5816,4
082457,Santa Coloma de Gramenet,45646,498,2371,2869,48515,12
431397,Santa Coloma de Queralt,1082,189,449,638,1720,1
171812,Santa Cristina d'Aro,2062,1300,277,1577,3639,1
082460,Santa Eugènia de Berga,839,0,0,42,881,0
082476,Santa Eulàlia de Riuprimer,428,0,101,127,555,0
082482,Santa Eulàlia de Ronçana,2437,569,156,725,3162,2
082495,Santa Fe del Penedès,146,0,0,13,159,0
171827,Santa Llogaia d'Àlguema,133,0,0,12,145,0
082508,Santa Margarida de Montbui,3657,0,665,791,4448,0
082515,Santa Margarida i els Monjos,2651,0,373,485,3136,1
082589,Santa Maria d'Oló,376,94,70,164,540,0
082536,Santa Maria de Besora,62,28,13,41,103,0
082567,Santa Maria de Martorelles,312,0,0,68,380,1
082554,Santa Maria de Merlès,53,35,38,73,126,0
082573,Santa Maria de Miralles,56,17,0,20,76,0
082592,Santa Maria de Palautordera,3376,502,298,800,4176,0
431401,Santa Oliva,1251,258,160,418,1669,2
171848,Santa Pau,589,130,103,233,822,0
082606,Santa Perpètua de Mogoda,9255,0,0,590,9845,3
082613,Santa Susanna,1225,602,151,753,1978,0
081923,Santpedor,2663,0,373,498,3161,4
431423,Sarral,621,122,261,383,1004,0
171864,Sarrià de Ter,1925,0,147,174,2099,1
252017,Sarroca de Bellera,48,211,25,236,284,0
252000,Sarroca de Lleida,155,51,26,77,232,0
171870,"Saus, Camallera i Llampaies",314,75,56,131,445,0
431439,Savallà del Comtat,34,52,9,61,95,0
431444,"Secuita, la",634,87,170,257,891,0
171886,"Selva de Mar, la",92,118,57,175,267,0
431457,"Selva del Camp, la",2008,430,189,619,2627,3
431460,Senan,27,37,0,40,67,0
430445,"Sénia, la",2368,392,711,1103,3471,1
252022,Senterada,78,86,50,136,214,0
250352,"Sentiu de Sió, la",187,34,22,56,243,0
082671,Sentmenat,3247,214,210,424,3671,1
171903,Serinyà,425,0,45,67,492,1
252043,Seròs,695,190,0,281,976,0
171910,Serra de Daró,77,35,0,45,122,0
171925,Setcases,84,266,72,338,422,0
252038,"Seu d'Urgell, la",5262,673,1119,1792,7054,7
082690,Seva,1282,371,0,502,1784,1
252056,Sidamon,269,0,39,41,310,1
171931,Sils,2126,348,157,505,2631,1
082704,Sitges,12240,4466,2449,6915,19155,3
170524,Siurana,65,0,0,8,73,0
082711,Sobremunt,19,32,0,35,54,0
252069,"Soleràs, el",138,0,86,94,232,0
431476,Solivella,250,196,38,234,484,0
252075,Solsona,3680,235,1012,1247,4927,4
082726,Sora,68,113,0,113,181,0
252081,Soriguera,169,68,0,73,242,4
252094,Sort,949,795,0,953,1902,7
252108,Soses,659,0,0,4,663,0
082732,Subirats,1089,387,215,602,1691,3
252115,Sudanell,315,61,71,132,447,1
252120,Sunyer,108,0,45,54,162,0
082747,Súria,2400,274,504,778,3178,1
171946,Susqueda,44,24,10,34,78,0
082763,Tagamanent,124,12,16,28,152,0
082779,Talamanca,79,80,81,161,240,0
252154,Talarn,86,80,67,147,233,1
252167,Talavera,101,50,17,67,168,0
171959,"Tallada d'Empordà, la",163,96,0,117,280,0
082785,Taradell,2257,279,255,534,2791,3
431482,Tarragona,52391,5548,7772,13320,65711,12
252173,Tàrrega,6193,316,2118,2434,8627,2
252189,Tarrés,47,22,20,42,89,0
252192,Tarroja de Segarra,67,24,31,55,122,0
082750,Tavèrnoles,108,0,0,73,181,1
082802,Tavertet,56,79,0,82,138,0
082819,Teià,2164,185,0,314,2478,1
252206,Térmens,573,0,92,136,709,0
171962,Terrades,104,29,14,43,147,1
082798,Terrassa,83249,2544,15908,18452,101701,38
082824,Tiana,2887,0,174,209,3096,4
252213,Tírvia,71,85,0,87,158,0
252228,Tiurana,35,0,0,11,46,0
431495,Tivenys,361,158,82,240,601,0
431508,Tivissa,684,259,166,425,1109,0
082830,Tona,3048,185,366,551,3599,3
252234,Torà,478,106,184,290,768,3
082845,Tordera,6275,814,1370,2184,8459,9
082858,Torelló,5363,293,947,1240,6603,1
252249,"Torms, els",61,24,35,59,120,0
252252,Tornabous,383,58,54,112,495,0
252271,"Torre de Cabdella, la",336,249,120,369,705,2
082861,"Torre de Claramunt, la",1375,0,297,416,1791,2
431515,"Torre de Fontaubella, la",73,27,11,38,111,0
431520,"Torre de l'Espanyol, la",234,62,85,147,381,0
252265,Torrebesses,116,46,80,126,242,0
431536,Torredembarra,6198,6833,1366,8199,14397,4
252287,Torrefarrera,1537,0,305,387,1924,1
259078,Torrefeta i Florejacs,251,130,91,221,472,0
252304,Torregrossa,797,0,211,291,1088,0
252311,Torrelameu,250,0,64,89,339,0
082877,Torrelavit,506,121,90,211,717,0
082883,Torrelles de Foix,983,583,238,821,1804,1
082896,Torrelles de Llobregat,2057,476,0,476,2533,2
171978,Torrent,54,79,0,82,136,0
252326,Torres de Segre,792,100,85,185,977,0
252332,Torre-serona,147,0,3,3,150,0
171984,Torroella de Fluvià,280,158,0,180,460,0
171997,Torroella de Montgrí,4404,3749,2894,6643,11047,2
431541,Torroja del Priorat,73,100,22,122,195,0
172001,Tortellà,319,66,0,107,426,0
431554,Tortosa,12984,1931,2083,4014,16998,7
172018,Toses,72,126,10,136,208,0
172023,Tossa de Mar,2458,3022,446,3468,5926,1
252347,Tremp,2489,1308,856,2164,4653,6
172044,Ullà,335,49,75,124,459,0
082900,Ullastrell,688,0,0,141,829,1
172057,Ullastret,99,58,0,63,162,0
431567,Ulldecona,2632,342,1002,1344,3976,3
431573,Ulldemolins,200,226,53,279,479,2
172039,Ultramort,77,20,0,31,108,0
172060,Urús,71,234,0,241,312,0
082917,Vacarisses,2259,1312,370,1682,3941,3
170144,"Vajol, la",34,37,0,42,76,0
172076,"Vall d'en Bas, la",1042,222,194,416,1458,0
172082,"Vall de Bianya, la",505,106,75,181,686,3
250432,"Vall de Boí, la",488,1327,204,1531,2019,10
259010,Vall de Cardós,150,172,228,400,550,4
082922,Vallbona d'Anoia,543,0,128,139,682,0
252385,Vallbona de les Monges,121,163,0,172,293,2
082938,Vallcebre,134,54,17,71,205,1
431589,Vallclara,60,83,16,99,159,0
252402,Vallfogona de Balaguer,712,0,186,197,909,0
171707,Vallfogona de Ripollès,92,94,0,113,205,0
431592,Vallfogona de Riucorb,58,125,12,137,195,0
082943,Vallgorguina,995,0,239,325,1320,0
082956,Vallirana,5100,1113,659,1772,6872,6
172095,Vall-llobrega,311,250,0,286,597,0
431606,Vallmoll,646,195,95,290,936,0
082969,Vallromanes,896,136,0,237,1133,0
431613,Valls,9523,986,1533,2519,12042,6
259062,"Valls d'Aguilar, les",133,121,52,173,306,0
252398,"Valls de Valira, les",350,145,100,245,595,2
431628,Vandellòs i l'Hospitalet de l'Infant,2393,2109,469,2578,4971,1
259097,"Vansa i Fórnols, la",94,0,49,51,145,0
082975,Veciana,61,25,13,38,99,0
431634,"Vendrell, el",14397,12369,4260,16629,31026,5
172109,Ventalló,352,214,0,248,600,0
252424,Verdú,364,96,185,281,645,2
172116,Verges,451,122,0,189,640,0
431649,Vespella de Gaià,168,195,0,205,373,0
082981,Vic,15744,723,2687,3410,19154,17
172121,Vidrà,62,41,29,70,132,0
172137,Vidreres,2832,514,463,977,3809,2
252430,Vielha e Mijaran,2075,2288,0,2371,4446,20
431652,Vilabella,318,46,64,110,428,0
172142,Vilabertran,384,0,0,21,405,0
172155,Vilablareix,836,0,0,21,857,0
082994,Vilada,189,58,46,104,293,0
172174,Viladamat,184,54,0,73,257,0
172168,Viladasens,72,16,0,16,88,0
083015,Viladecans,24231,671,2714,3385,27616,9
083008,Viladecavalls,2451,0,243,430,2881,1
172180,Vilademuls,283,120,221,341,624,1
172207,Viladrau,406,126,214,340,746,3
172214,Vilafant,1844,0,86,108,1952,1
083054,Vilafranca del Penedès,15138,820,3109,3929,19067,16
252445,Vilagrassa,178,0,155,166,344,0
172235,Vilajuïga,457,0,0,98,555,0
431750,Vilalba dels Arcs,245,59,34,93,338,0
083067,Vilalba Sasserra,287,0,0,59,346,0
252458,Vilaller,265,179,136,315,580,4
172240,Vilallonga de Ter,199,461,84,545,744,1
431665,Vilallonga del Camp,829,78,214,292,1121,0
172253,Vilamacolum,111,27,0,40,151,0
172266,Vilamalla,387,0,0,25,412,1
172272,Vilamaniscle,63,53,0,56,119,0
252477,Vilamòs,84,58,0,61,145,0
172288,Vilanant,134,0,39,68,202,0
431671,Vilanova d'Escornalbou,224,3,6,9,233,0
252483,Vilanova de Bellpuig,465,0,0,117,582,0
252496,Vilanova de l'Aguda,94,0,15,19,113,0
252542,Vilanova de la Barca,427,52,0,88,515,3
252509,Vilanova de Meià,167,308,43,351,518,0
431687,Vilanova de Prades,54,70,29,99,153,0
083036,Vilanova de Sau,145,62,0,69,214,0
252516,Vilanova de Segrià,333,116,96,212,545,0
083020,Vilanova del Camí,4495,218,865,1083,5578,1
089024,Vilanova del Vallès,1789,205,0,301,2090,1
083073,Vilanova i la Geltrú,26586,2816,3348,6164,32750,16
431690,Vilaplana,248,40,44,84,332,0
431704,Vila-rodona,511,111,218,329,840,0
172305,Vila-sacra,260,0,0,23,283,0
252521,Vila-sana,252,0,47,72,324,1
431711,Vila-seca,8401,7466,1758,9224,17625,2
082140,Vilassar de Dalt,3440,313,291,604,4044,2
082191,Vilassar de Mar,7666,1129,1100,2229,9895,9
172229,Vilaür,50,30,11,41,91,0
431726,Vilaverd,205,62,65,127,332,0
431732,"Vilella Alta, la",54,43,25,68,122,0
431747,"Vilella Baixa, la",92,100,45,145,237,0
172333,Vilobí d'Onyar,1155,89,0,160,1315,0
083041,Vilobí del Penedès,380,44,0,75,455,0
172327,Vilopriu,84,81,0,87,171,0
252537,"Vilosell, el",80,144,14,158,238,0
431763,Vimbodí i Poblet,409,184,145,329,738,1
252555,Vinaixa,236,89,81,170,406,0
431779,Vinebre,199,54,67,121,320,0
431785,Vinyols i els Arcs,771,607,196,803,1574,2
083089,Viver i Serrateix,47,0,0,77,124,2
430521,Xerta,460,114,140,254,714,0
,Catalunya,2944944,470081,448356,918437,3863381,2012

