Codi,Literal,Habitatges familiars  principals  convencionals,Habitatges familiars  principals  allotjaments,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  vacants,Habitatges familiars  no principals  altres,Habitatges familiars    total,Establiments col·lectius
171254,Pardines,55,0,125,14,2,196,0
081593,Parets del Vallès,5108,0,355,690,33,6186,4
171267,Parlavà,117,0,40,37,4,198,0
431016,Passanant i Belltall,86,0,151,49,0,286,0
171289,Pau,161,0,96,0,1,258,0
431021,Paüls,200,0,31,0,0,231,0
171292,Pedret i Marzà,49,0,13,0,0,62,0
251641,Penelles,159,0,39,24,1,223,1
171306,"Pera, la",136,0,40,36,0,212,0
081607,Perafita,134,0,68,28,0,230,0
431037,Perafort,218,0,6,101,2,327,0
171328,Peralada,503,0,125,153,1,782,0
251654,Peramola,120,0,107,43,0,270,0
431042,"Perelló, el",817,0,51,278,16,1162,0
081614,Piera,3468,1,3443,1682,9,8603,7
431055,"Piles, les",67,0,79,15,0,161,0
081635,Pineda de Mar,7603,0,3538,3265,84,14490,9
431068,"Pinell de Brai, el",348,0,38,128,3,517,0
251667,Pinell de Solsonès,61,0,16,28,4,109,0
251673,Pinós,88,0,61,7,7,163,0
431074,Pira,167,0,54,13,0,234,0
431080,"Pla de Santa Maria, el",587,0,100,132,1,820,1
081640,"Pla del Penedès, el",313,0,45,55,0,413,0
171334,"Planes d'Hostoles, les",599,0,112,129,0,840,0
171349,Planoles,118,0,347,51,10,526,0
259118,"Plans de Sió, els",182,0,174,3,0,359,0
251689,"Poal, el",216,1,25,12,0,254,0
251692,"Pobla de Cérvoles, la",97,0,121,23,0,241,0
081653,"Pobla de Claramunt, la",648,0,71,224,0,943,0
081666,"Pobla de Lillet, la",552,0,164,286,3,1005,1
431093,"Pobla de Mafumet, la",390,0,2,93,0,485,0
431107,"Pobla de Massaluca, la",141,0,41,55,0,237,0
431114,"Pobla de Montornès, la",599,0,355,0,0,954,0
251713,"Pobla de Segur, la",1123,0,541,357,23,2044,2
431129,Poboleda,138,0,223,4,0,365,0
081672,Polinyà,1740,0,66,263,5,2074,1
431135,"Pont d'Armentera, el",205,0,39,106,0,350,0
250306,"Pont de Bar, el",66,0,22,6,0,94,0
171352,Pont de Molins,161,0,9,10,0,180,0
251734,"Pont de Suert, el",793,0,373,193,17,1376,1
081825,"Pont de Vilomara i Rocafort, el",952,0,53,185,0,1190,0
431418,Pontils,48,0,64,10,0,122,0
081688,Pontons,161,0,300,51,0,512,0
171365,Pontós,85,0,18,21,0,124,0
251728,Ponts,846,0,248,263,1,1358,3
171371,Porqueres,1145,0,40,101,0,1286,0
431140,Porrera,183,0,122,6,2,313,0
171404,"Port de la Selva, el",328,0,1223,7,2,1560,0
171387,Portbou,596,0,252,44,33,925,0
251749,"Portella, la",225,4,34,28,0,291,0
431153,Pradell de la Teixeta,75,0,56,8,0,139,0
431166,Prades,234,0,421,68,1,724,0
431172,Prat de Comte,75,0,32,67,0,174,0
081691,"Prat de Llobregat, el",21315,0,201,2294,205,24015,12
431188,Pratdip,220,0,394,41,2,657,0
081712,Prats de Lluçanès,900,0,10,275,1,1186,2
081705,"Prats de Rei, els",199,0,26,52,2,279,1
251752,Prats i Sansor,81,0,345,6,0,432,1
251765,Preixana,145,0,16,43,0,204,0
251771,Preixens,174,0,85,42,0,301,0
082303,Premià de Dalt,2930,0,596,111,1,3638,3
081727,Premià de Mar,9155,0,1627,887,44,11713,3
171390,"Preses, les",506,0,45,65,1,617,0
251790,Prullans,81,0,121,0,0,202,0
171411,Puigcerdà,2661,0,1591,614,55,4921,2
081748,Puigdàlber,118,0,21,6,0,145,0
251804,Puiggròs,107,0,28,18,1,154,0
431191,Puigpelat,216,0,139,36,3,394,0
081751,Puig-reig,1524,0,45,304,2,1875,5
251811,Puigverd d'Agramunt,95,0,14,13,0,122,0
251826,Puigverd de Lleida,381,0,123,54,2,560,1
081764,Pujalt,60,0,10,46,0,116,0
081770,"Quar, la",21,0,3,0,0,24,0
171426,Quart,769,0,46,141,6,962,0
170433,Queralbs,79,0,260,1,0,340,0
431205,Querol,133,0,449,18,1,601,0
171432,Rabós,69,0,11,37,0,117,0
081786,Rajadell,141,0,16,12,0,169,0
431212,Rasquera,273,0,112,79,1,465,0
171447,Regencós,104,0,57,19,0,180,0
081799,Rellinars,148,0,262,31,1,442,0
431227,Renau,26,0,17,3,0,46,0
431233,Reus,31244,0,2439,6825,367,40875,35
251832,Rialp,205,0,247,53,5,510,1
431248,"Riba, la",269,0,0,183,0,452,0
431251,Riba-roja d'Ebre,494,0,0,349,0,843,0
259059,Ribera d'Ondara,148,0,7,41,0,196,0
251850,Ribera d'Urgellet,292,0,306,2,0,600,0
171450,Ribes de Freser,790,0,302,232,0,1324,1
171463,Riells i Viabrea,816,0,1072,29,5,1922,0
431264,"Riera de Gaià, la",377,0,122,101,10,610,0
251863,Riner,78,0,0,46,2,126,1
171479,Ripoll,4002,0,178,973,7,5160,5
081803,Ripollet,10613,0,255,2325,44,13237,5
259139,Riu de Cerdanya,32,0,42,2,0,76,0
171485,Riudarenes,502,0,179,78,0,759,0
171498,Riudaura,140,0,15,37,0,192,0
431270,Riudecanyes,303,0,146,16,0,465,0
431286,Riudecols,366,0,105,92,1,564,0
171501,Riudellots de la Selva,505,0,0,21,0,526,0
431299,Riudoms,1810,0,127,247,11,2195,0
171518,Riumors,78,0,1,43,0,122,0
081810,"Roca del Vallès, la",2630,0,406,127,2,3165,1
431303,Rocafort de Queralt,116,0,80,26,0,222,0
431310,Roda de Berà,1513,0,4555,400,125,6593,1
081831,Roda de Ter,1747,0,27,333,5,2112,1
431325,Rodonyà,161,1,177,38,0,377,0
431331,Roquetes,2312,0,657,526,14,3509,2
171523,Roses,4830,1,17122,707,7,22667,2
251898,Rosselló,614,0,60,155,2,831,1
431346,"Rourell, el",103,0,7,46,1,157,0
081846,Rubí,21044,0,2955,4089,137,28225,7
081859,Rubió,35,0,39,11,1,86,0
171539,Rupià,69,0,97,1,0,167,0
089019,Rupit i Pruit,123,0,93,16,0,232,0
081878,Sabadell,65707,1,2158,11852,314,80032,39
081884,Sagàs,42,0,0,4,0,46,0
251902,Salàs de Pallars,134,0,127,78,0,339,0
081901,Saldes,106,0,16,0,0,122,0
171544,Sales de Llierca,34,0,14,6,0,54,0
081918,Sallent,2552,0,69,821,1,3443,4
431359,Salomó,152,0,9,107,1,269,0
439057,Salou,5601,0,13358,6102,3819,28880,3
171557,Salt,7651,0,301,1724,18,9694,39
251919,Sanaüja,180,0,116,46,0,342,0
081944,Sant Adrià de Besòs,11119,0,60,1757,0,12936,8
081957,Sant Agustí de Lluçanès,27,0,34,11,3,75,0
081960,Sant Andreu de la Barca,7718,0,132,1236,0,9086,3
081976,Sant Andreu de Llavaneres,2666,0,948,1343,17,4974,4
171576,Sant Andreu Salou,47,0,20,11,0,78,0
171833,Sant Aniol de Finestres,106,1,20,45,0,172,0
081982,Sant Antoni de Vilamajor,1317,0,57,271,0,1645,0
081995,Sant Bartomeu del Grau,318,0,58,47,1,424,1
082009,Sant Boi de Llobregat,26809,0,1000,3696,43,31548,6
082016,Sant Boi de Lluçanès,169,0,76,49,2,296,2
431362,Sant Carles de la Ràpita,4184,0,2162,1156,3,7505,1
082037,Sant Cebrià de Vallalta,763,0,307,190,0,1260,0
082021,Sant Celoni,4337,1,512,1165,1,6016,2
082042,Sant Climent de Llobregat,1071,0,64,167,0,1302,2
171582,Sant Climent Sescebes,158,0,25,68,2,253,0
082055,Sant Cugat del Vallès,19806,0,2792,5911,227,28736,19
082068,Sant Cugat Sesgarrigues,236,0,52,45,0,333,0
251961,Sant Esteve de la Sarga,48,0,69,0,0,117,0
082074,Sant Esteve de Palautordera,523,0,187,0,0,710,0
082080,Sant Esteve Sesrovires,1734,0,624,80,23,2461,2
171595,Sant Feliu de Buixalleu,267,0,250,29,43,589,0
082107,Sant Feliu de Codines,1644,0,527,370,10,2551,4
171609,Sant Feliu de Guíxols,6607,2,4691,1301,1220,13821,5
082114,Sant Feliu de Llobregat,13979,0,514,2056,43,16592,10
171616,Sant Feliu de Pallerols,439,0,118,164,0,721,0
082129,Sant Feliu Sasserra,218,0,55,54,0,327,0
171621,Sant Ferriol,66,0,12,19,0,97,0
082093,Sant Fost de Campsentelles,2172,0,269,74,1,2516,4
082135,Sant Fruitós de Bages,2017,0,84,331,10,2442,2
171637,Sant Gregori,798,0,30,48,3,879,2
251924,Sant Guim de Freixenet,348,0,125,46,0,519,0
251977,Sant Guim de la Plana,55,0,25,20,0,100,0
171642,Sant Hilari Sacalm,1778,0,295,361,16,2450,2
082153,Sant Hipòlit de Voltregà,1067,0,16,329,5,1417,3
081939,Sant Iscle de Vallalta,353,0,0,136,0,489,0
439023,Sant Jaume d'Enveja,1091,0,188,181,0,1460,0
082166,Sant Jaume de Frontanyà,10,0,16,5,1,32,1
171655,Sant Jaume de Llierca,268,0,34,42,0,344,0
431378,Sant Jaume dels Domenys,564,0,489,73,1,1127,0
171674,Sant Joan de les Abadesses,1341,0,317,257,7,1922,2
171680,Sant Joan de Mollet,142,0,22,2,0,166,0
082188,Sant Joan de Vilatorrada,3178,0,56,536,10,3780,2
082172,Sant Joan Despí,10012,0,594,1331,64,12001,4
171851,Sant Joan les Fonts,988,1,25,189,9,1212,1
171668,Sant Jordi Desvalls,220,0,82,38,0,340,0
089030,Sant Julià de Cerdanyola,97,0,148,6,0,251,0
171693,Sant Julià de Ramis,677,0,8,71,0,756,1
082205,Sant Julià de Vilatorta,808,0,112,153,0,1073,0
179032,Sant Julià del Llor i Bonmatí,379,0,129,9,0,517,1
082212,Sant Just Desvern,4660,0,279,855,11,5805,4
082227,Sant Llorenç d'Hortons,610,0,328,37,0,975,1
171714,Sant Llorenç de la Muga,84,0,86,0,0,170,0
251930,Sant Llorenç de Morunys,324,0,429,85,10,848,4
082233,Sant Llorenç Savall,690,0,454,21,2,1167,2
082251,Sant Martí d'Albars,33,0,23,12,0,68,0
082248,Sant Martí de Centelles,281,0,63,21,0,365,0
171729,Sant Martí de Llémena,175,0,74,40,0,289,0
259025,Sant Martí de Riucorb,262,0,164,83,0,509,0
082264,Sant Martí de Tous,356,0,66,70,4,496,0
082270,Sant Martí Sarroca,803,0,134,93,0,1030,0
082286,Sant Martí Sesgueioles,120,0,55,36,0,211,0
171735,Sant Martí Vell,77,0,2,0,0,79,0
082299,Sant Mateu de Bages,231,0,21,84,0,336,0
171740,Sant Miquel de Campmajor,66,0,26,24,0,116,0
171753,Sant Miquel de Fluvià,212,0,75,15,0,302,0
171766,Sant Mori,51,0,56,16,0,123,0
171772,Sant Pau de Segúries,243,0,101,76,0,420,2
082310,Sant Pere de Ribes,8073,0,2583,986,41,11683,6
082325,Sant Pere de Riudebitlles,731,0,39,155,20,945,0
082331,Sant Pere de Torelló,761,0,34,117,0,912,1
082346,Sant Pere de Vilamajor,1006,0,0,553,1,1560,0
171788,Sant Pere Pescador,522,0,364,19,0,905,0
081897,Sant Pere Sallavinera,46,0,25,22,0,93,0
082359,Sant Pol de Mar,1506,0,1356,571,2,3435,1
082362,Sant Quintí de Mediona,645,0,242,191,0,1078,0
082378,Sant Quirze de Besora,752,1,150,175,0,1078,1
082384,Sant Quirze del Vallès,4314,0,779,197,8,5298,3
082397,Sant Quirze Safaja,156,0,113,0,0,269,1
251945,Sant Ramon,178,0,45,6,0,229,0
082401,Sant Sadurní d'Anoia,3274,0,83,573,28,3958,1
082418,Sant Sadurní d'Osormort,28,0,0,0,0,28,0
080983,Sant Salvador de Guardiola,773,0,487,31,4,1295,1
082628,Sant Vicenç de Castellet,2532,0,0,593,0,3125,1
082649,Sant Vicenç de Montalt,1392,0,1174,46,0,2612,0
082652,Sant Vicenç de Torelló,651,0,38,74,6,769,0
082634,Sant Vicenç dels Horts,8174,0,940,1709,13,10836,5
431384,Santa Bàrbara,1248,0,70,351,5,1674,0
082439,Santa Cecília de Voltregà,58,0,2,0,0,60,0
082444,Santa Coloma de Cervelló,1966,0,299,279,9,2553,2
171805,Santa Coloma de Farners,3269,0,635,459,9,4372,1
082457,Santa Coloma de Gramenet,39428,1,734,5405,173,45741,10
431397,Santa Coloma de Queralt,962,1,142,232,3,1340,1
171812,Santa Cristina d'Aro,1894,0,2061,149,2,4106,5
082460,Santa Eugènia de Berga,622,0,20,64,0,706,0
082476,Santa Eulàlia de Riuprimer,287,0,13,64,0,364,0
082482,Santa Eulàlia de Ronçana,1677,1,883,107,5,2673,0
082495,Santa Fe del Penedès,98,0,13,5,0,116,0
171827,Santa Llogaia d'Àlguema,99,0,1,32,0,132,0
082508,Santa Margarida de Montbui,3047,0,53,793,2,3895,0
082515,Santa Margarida i els Monjos,1686,1,12,264,0,1963,1
082589,Santa Maria d'Oló,329,0,103,92,3,527,0
082536,Santa Maria de Besora,60,0,27,9,2,98,0
082567,Santa Maria de Martorelles,249,0,77,16,0,342,1
082554,Santa Maria de Merlès,43,0,15,63,3,124,0
082573,Santa Maria de Miralles,41,0,2,0,0,43,0
082592,Santa Maria de Palautordera,2335,1,980,169,1,3486,0
431401,Santa Oliva,792,0,476,77,0,1345,2
171848,Santa Pau,479,0,28,87,0,594,0
082606,Santa Perpètua de Mogoda,6928,0,267,1073,55,8323,2
082613,Santa Susanna,729,0,891,52,0,1672,1
081923,Santpedor,1802,0,101,283,0,2186,3
431423,Sarral,510,0,251,88,12,861,0
171864,Sarrià de Ter,1307,0,115,108,1,1531,1
252017,Sarroca de Bellera,66,0,58,0,0,124,0
252000,Sarroca de Lleida,159,0,37,3,27,226,0
171870,"Saus, Camallera i Llampaies",262,0,60,42,0,364,0
431439,Savallà del Comtat,27,0,65,9,0,101,0
431444,"Secuita, la",405,0,193,124,5,727,0
171886,"Selva de Mar, la",82,0,163,5,0,250,0
431457,"Selva del Camp, la",1443,0,81,359,3,1886,1
431460,Senan,17,0,40,6,0,63,0
430445,"Sénia, la",1832,0,401,1274,54,3561,1
252022,Senterada,44,0,75,1,0,120,0
250352,"Sentiu de Sió, la",154,0,56,24,0,234,0
082671,Sentmenat,2016,0,319,414,9,2758,3
171903,Serinyà,302,0,25,77,1,405,0
252043,Seròs,617,0,117,144,6,884,0
171910,Serra de Daró,67,0,46,2,0,115,0
171925,Setcases,71,0,281,10,0,362,0
252038,"Seu d'Urgell, la",4045,0,553,974,10,5582,6
082690,Seva,909,0,474,85,2,1470,1
252056,Sidamon,204,0,10,30,0,244,0
171931,Sils,1123,0,823,1,3,1950,0
082704,Sitges,8098,2,5371,1961,1152,16584,5
170524,Siurana,55,0,4,12,0,71,0
082711,Sobremunt,25,0,26,3,0,54,0
252069,"Soleràs, el",138,0,25,66,1,230,0
431476,Solivella,247,0,146,37,1,431,0
252075,Solsona,2548,0,365,851,13,3777,3
082726,Sora,64,0,45,15,0,124,0
252081,Soriguera,126,0,148,36,0,310,0
252094,Sort,750,1,704,95,1,1551,1
252108,Soses,465,0,67,92,2,626,1
082732,Subirats,907,0,357,114,2,1380,1
252115,Sudanell,243,0,13,80,0,336,1
252120,Sunyer,93,1,10,22,0,126,0
082747,Súria,2105,0,164,524,0,2793,1
171946,Susqueda,41,0,28,1,0,70,0
082763,Tagamanent,80,0,0,3,0,83,0
082779,Talamanca,39,0,175,13,0,227,0
252154,Talarn,134,0,63,70,3,270,0
252167,Talavera,96,0,11,9,0,116,0
171959,"Tallada d'Empordà, la",114,0,59,24,0,197,0
082785,Taradell,1718,0,531,176,2,2427,1
431482,Tarragona,41115,1,6911,10136,851,59014,21
252173,Tàrrega,4594,0,501,1386,2,6483,4
252189,Tarrés,47,0,27,9,1,84,0
252192,Tarroja de Segarra,62,0,8,32,0,102,0
082750,Tavèrnoles,74,0,7,33,0,114,0
082802,Tavertet,57,0,88,22,1,168,0
082819,Teià,1773,0,156,156,1,2086,1
252206,Térmens,457,0,41,108,0,606,0
171962,Terrades,82,0,44,9,4,139,0
082798,Terrassa,63058,1,1842,13760,212,78873,22
082824,Tiana,1955,0,349,188,4,2496,3
252213,Tírvia,51,0,74,7,0,132,0
252228,Tiurana,7,0,5,1,0,13,0
431495,Tivenys,327,0,148,40,3,518,0
431508,Tivissa,636,0,316,117,9,1078,0
082830,Tona,2050,0,371,456,13,2890,3
252234,Torà,416,0,78,100,0,594,1
082845,Tordera,3807,6,682,1248,1,5744,2
082858,Torelló,4299,0,139,792,20,5250,1
252249,"Torms, els",71,0,26,17,1,115,0
252252,Tornabous,282,0,78,20,1,381,0
252271,"Torre de Cabdella, la",274,0,0,173,0,447,0
082861,"Torre de Claramunt, la",821,0,125,79,23,1048,2
431515,"Torre de Fontaubella, la",56,0,29,7,0,92,0
431520,"Torre de l'Espanyol, la",237,0,104,0,0,341,0
252265,Torrebesses,122,0,56,36,1,215,0
431536,Torredembarra,4178,0,7635,319,96,12228,1
252287,Torrefarrera,652,0,5,267,0,924,2
259078,Torrefeta i Florejacs,228,0,25,1,10,264,0
252304,Torregrossa,739,0,48,160,0,947,1
252311,Torrelameu,187,0,14,33,0,234,0
082877,Torrelavit,377,0,68,101,5,551,0
082883,Torrelles de Foix,665,0,144,157,0,966,0
082896,Torrelles de Llobregat,1284,0,312,125,1,1722,1
171978,Torrent,59,1,21,11,0,92,0
252326,Torres de Segre,638,0,50,134,2,824,0
252332,Torre-serona,115,0,3,12,0,130,0
171984,Torroella de Fluvià,148,0,5,34,0,187,0
171997,Torroella de Montgrí,2963,0,5530,656,1943,11092,1
431541,Torroja del Priorat,60,0,125,0,0,185,0
172001,Tortellà,280,0,26,61,1,368,0
431554,Tortosa,10227,0,1421,3469,98,15215,12
172018,Toses,61,1,120,13,0,195,0
172023,Tossa de Mar,1773,0,4441,296,24,6534,1
252347,Tremp,2022,1,1026,1232,16,4297,1
172044,Ullà,265,0,52,38,0,355,0
082900,Ullastrell,405,0,103,91,0,599,0
172057,Ullastret,80,0,0,51,0,131,0
431567,Ulldecona,2027,0,291,809,2,3129,0
431573,Ulldemolins,201,0,199,10,10,420,0
172039,Ultramort,69,1,8,6,0,84,0
172060,Urús,71,0,238,3,0,312,0
082917,Vacarisses,1168,0,1753,93,30,3044,1
170144,"Vajol, la",40,0,16,12,1,69,0
172076,"Vall d'en Bas, la",884,0,263,199,1,1347,0
172082,"Vall de Bianya, la",420,0,93,83,3,599,0
250432,"Vall de Boí, la",350,0,356,69,1,776,0
259010,Vall de Cardós,144,0,236,11,9,400,0
082922,Vallbona d'Anoia,356,4,3,101,0,464,0
252385,Vallbona de les Monges,101,0,170,9,1,281,2
082938,Vallcebre,95,0,100,9,0,204,0
431589,Vallclara,49,0,96,1,0,146,0
252402,Vallfogona de Balaguer,478,0,19,25,1,523,0
171707,Vallfogona de Ripollès,80,0,64,40,0,184,0
431592,Vallfogona de Riucorb,49,0,135,0,0,184,1
082943,Vallgorguina,540,0,491,3,0,1034,0
082956,Vallirana,3266,2,1434,537,8,5247,12
172095,Vall-llobrega,179,0,141,15,12,347,0
431606,Vallmoll,447,0,61,273,0,781,0
082969,Vallromanes,572,0,16,255,1,844,0
431613,Valls,7044,0,872,1772,11,9699,5
259062,"Valls d'Aguilar, les",124,0,19,10,0,153,0
252398,"Valls de Valira, les",257,0,87,64,19,427,0
431628,Vandellòs i l'Hospitalet de l'Infant,1478,0,1204,914,17,3613,1
259097,"Vansa i Fórnols, la",74,0,0,42,0,116,0
082975,Veciana,49,0,31,13,0,93,0
431634,"Vendrell, el",8846,1,15601,2246,56,26750,3
172109,Ventalló,248,0,188,61,0,497,0
252424,Verdú,329,0,206,6,4,545,2
172116,Verges,395,0,37,64,28,524,0
431649,Vespella de Gaià,97,0,169,1,0,267,0
082981,Vic,11456,0,1415,2483,56,15410,25
172121,Vidrà,53,0,43,6,0,102,0
172137,Vidreres,1799,0,1020,190,4,3013,1
252430,Vielha e Mijaran,1501,0,1719,187,7,3414,3
431652,Vilabella,264,0,54,60,0,378,0
172142,Vilabertran,281,0,18,42,0,341,0
172155,Vilablareix,598,0,9,51,1,659,0
082994,Vilada,193,0,34,10,0,237,0
172174,Viladamat,143,0,57,29,0,229,0
172168,Viladasens,60,0,18,7,0,85,0
083015,Viladecans,19366,0,386,2718,67,22537,5
083008,Viladecavalls,1946,0,353,140,18,2457,3
172180,Vilademuls,226,0,16,207,0,449,0
172207,Viladrau,311,0,471,1,0,783,2
172214,Vilafant,1353,2,49,139,12,1555,0
083054,Vilafranca del Penedès,11053,0,870,2451,108,14482,10
252445,Vilagrassa,144,0,23,38,0,205,0
172235,Vilajuïga,364,0,26,66,4,460,0
431750,Vilalba dels Arcs,246,0,107,32,2,387,0
083067,Vilalba Sasserra,184,0,46,12,0,242,0
252458,Vilaller,224,0,165,28,1,418,1
172240,Vilallonga de Ter,171,0,232,29,6,438,0
431665,Vilallonga del Camp,429,0,45,52,0,526,0
172253,Vilamacolum,91,0,9,1,0,101,0
172266,Vilamalla,281,0,49,61,2,393,0
172272,Vilamaniscle,54,0,72,0,0,126,0
252477,Vilamòs,47,0,34,9,0,90,1
172288,Vilanant,109,0,35,14,3,161,0
431671,Vilanova d'Escornalbou,159,0,59,28,0,246,0
252483,Vilanova de Bellpuig,378,0,14,97,0,489,0
252496,Vilanova de l'Aguda,75,0,33,28,0,136,0
252542,Vilanova de la Barca,314,1,54,42,1,412,2
252509,Vilanova de Meià,164,0,271,20,0,455,0
431687,Vilanova de Prades,51,0,62,19,1,133,0
083036,Vilanova de Sau,124,0,76,48,4,252,0
252516,Vilanova de Segrià,269,0,1,65,0,335,0
083020,Vilanova del Camí,3393,0,1,981,0,4375,0
089024,Vilanova del Vallès,885,0,357,179,1,1422,1
083073,Vilanova i la Geltrú,20154,0,4920,3572,237,28883,12
431690,Vilaplana,196,0,30,37,1,264,0
431704,Vila-rodona,400,0,159,100,0,659,0
172305,Vila-sacra,140,0,12,33,1,186,0
252521,Vila-sana,178,0,2,34,0,214,1
431711,Vila-seca,4555,0,7837,1003,142,13537,0
082140,Vilassar de Dalt,2622,1,331,340,7,3301,6
082191,Vilassar de Mar,6160,0,2143,617,110,9030,7
172229,Vilaür,46,0,30,7,0,83,0
431726,Vilaverd,154,0,58,52,0,264,0
431732,"Vilella Alta, la",51,0,44,22,0,117,0
431747,"Vilella Baixa, la",80,0,111,25,1,217,0
172333,Vilobí d'Onyar,745,0,100,159,0,1004,0
083041,Vilobí del Penedès,290,0,25,15,0,330,0
172327,Vilopriu,67,0,78,2,0,147,0
252537,"Vilosell, el",89,0,107,20,3,219,0
431763,Vimbodí i Poblet,382,0,169,103,1,655,1
252555,Vinaixa,229,0,40,64,0,333,0
431779,Vinebre,164,0,1,111,0,276,0
431785,Vinyols i els Arcs,463,0,625,49,0,1137,2
083089,Viver i Serrateix,49,0,4,46,0,99,0
430521,Xerta,438,0,1,328,1,768,0
,Catalunya,2315774,82,514943,452921,30435,3314155,1781

