Codi,Literal,1,2,3,4,5,6 i més,Total llars
430304,Bonastre,49,44,31,21,6,3,154
250576,"Bòrdes, Es",22,21,12,11,7,4,77
170255,Bordils,83,113,107,110,34,16,463
250582,"Borges Blanques, les",344,520,385,389,136,57,1831
430311,"Borges del Camp, les",134,164,119,105,40,25,587
170268,Borrassà,30,47,32,36,21,12,178
80240,Borredà,47,47,33,37,8,9,181
250595,Bossòst,86,76,82,66,26,12,348
430326,Bot,44,84,57,48,26,16,275
430332,Botarell,54,63,56,45,27,11,256
250560,Bovera,35,35,25,21,10,11,137
430347,Bràfim,68,56,38,40,16,7,225
170274,Breda,213,331,294,249,76,37,1200
80253,"Bruc, el",115,129,95,75,32,15,461
80266,"Brull, el",11,11,14,8,7,6,57
170280,Brunyola i Sant Martí Sapresa,13,29,30,14,7,16,109
430350,Cabacés,28,24,24,21,15,6,118
250609,Cabanabona,12,8,4,6,2,3,35
170314,Cabanelles,26,26,8,18,7,2,87
170307,Cabanes,57,84,49,47,25,11,273
80272,"Cabanyes, les",20,56,42,42,13,10,183
250616,Cabó,13,9,7,5,5,3,42
430363,Cabra del Camp,63,79,41,50,20,6,259
80288,Cabrera d'Anoia,62,79,47,41,13,11,253
80291,Cabrera de Mar,219,270,276,295,125,58,1243
80305,Cabrils,242,382,348,429,169,83,1653
170329,Cadaqués,263,224,140,151,30,18,826
80312,Calaf,195,280,242,220,86,27,1050
430379,Calafell,1463,1710,972,867,282,124,5418
80348,Calders,62,70,70,61,19,6,288
80327,Caldes d'Estrac,212,225,155,117,32,24,765
170335,Caldes de Malavella,288,393,339,298,96,59,1473
80333,Caldes de Montbui,795,1273,1164,1094,311,141,4778
80351,Calella,1335,1440,1108,857,272,175,5187
80370,Calldetenes,84,129,141,190,48,28,620
80386,Callús,76,145,108,94,30,18,471
80364,Calonge de Segarra,10,12,12,9,4,11,58
170340,Calonge i Sant Antoni,2722,613,290,255,97,48,4025
250621,Camarasa,78,83,60,49,23,21,314
439039,Camarles,133,316,218,211,84,35,997
430385,Cambrils,1733,2030,1684,1508,492,224,7671
170353,Camós,20,41,43,47,23,16,190
170366,Campdevànol,246,383,309,240,55,22,1255
170372,Campelles,17,11,8,4,3,4,47
80399,Campins,38,29,21,19,7,4,118
170388,Campllong,18,32,17,23,11,5,106
170391,Camprodon,281,226,196,140,35,21,899
250637,Canejan,20,10,5,7,0,4,46
170405,Canet d'Adri,49,47,32,34,15,12,189
80403,Canet de Mar,816,1131,836,797,236,92,3908
80410,Canovelles,548,1051,1019,1077,359,160,4214
80425,Cànoves i Samalús,99,182,130,150,64,26,651
170412,Cantallops,31,25,27,9,8,3,103
80431,Canyelles,176,235,165,155,44,28,803
430398,Capafonts,18,21,12,2,1,1,55
430402,Capçanes,51,28,24,31,13,7,154
80446,Capellades,246,437,365,396,140,55,1639
170427,Capmany,32,59,40,30,13,5,179
80459,Capolat,6,4,7,4,3,0,24
80462,Cardedeu,674,1230,1041,1033,314,121,4413
80478,Cardona,416,552,407,377,115,79,1946
80484,Carme,53,60,32,52,17,17,231
430419,Caseres,29,31,23,18,7,8,116
170448,Cassà de la Selva,543,760,552,607,200,77,2739
80497,Casserres,118,163,125,104,38,16,564
80575,Castell de l'Areny,8,10,4,2,2,0,26
259046,Castell de Mur,27,18,9,8,3,2,67
250642,Castellar de la Ribera,9,6,5,4,3,12,39
80522,Castellar de n'Hug,18,14,14,9,2,4,61
80500,Castellar del Riu,15,14,5,12,1,1,48
80517,Castellar del Vallès,823,1698,1511,1549,417,173,6171
80538,Castellbell i el Vilar,226,293,235,198,78,31,1061
80543,Castellbisbal,386,874,767,746,206,101,3080
80556,Castellcir,29,39,27,32,13,4,144
250674,Castelldans,76,115,70,63,21,10,355
80569,Castelldefels,3210,4470,3892,3521,1021,471,16585
80581,Castellet i la Gornal,143,164,107,111,31,15,571
